POA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
POA3144,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,21,0,4,0,3,36,43,49,55,11,20,7,6,9,0,3,250,0,4,0,4,0,5,0,0,0,0,0,0,0,0,0,9,0,6,9,0,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,10,5,0,8,5,3,8,3,0,0,0,0,0,5,0,43,0,29,74,12,0,4,0,0,0,0,0,0,0,0,3,123,0,4,7,8,16,8,13,16,5,5,0,0,0,0,0,79,0,0,10,5,14,21,34,21,18,13,30,23,5,5,0,202,0,0,0,4,0,7,9,9,0,3,0,3,0,0,0,40,0,0,0,0,0,0,3,8
POA3145,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,21,0,0,0,5,0,0,5,7,5,0,6,4,3,0,0,36,0,0,7,0,13,4,14,12,0,0,0,0,0,0,0,51,0,0,0,10,101,154,229,230,80,93,96,175,40,3,15,1238,0,5,10,0,0,11,0,0,0,0,0,0,0,0,0,24,0,10,16,3,0,3,0,0,0,0,0,0,0,0,0,40,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,21,6,20,12,6,4,5,14,4,0,0,0,3,0,0,6,86,3,108,219,39,4,0,5,11,0,0,0,0,0,0,17,411,0,3,3,10,32,18,24,37,4,7,4,12,12,0,4,162,0,0,16,14,24,38,120,103,40,64,112,162,56,11,10,782,0,0,0,3,8,37,26,9,4,4,8,10,9,0,4,119,0,0,0,0,6,7,4,16
POA3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,14,0,0,5,10,11,6,12,6,0,3,8,0,0,0,0,81,0,9,10,8,109,196,376,264,54,53,42,49,23,18,25,1239,0,11,15,4,4,8,0,0,0,0,0,0,0,0,0,40,0,13,7,4,5,4,0,0,0,0,0,0,0,0,0,28,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9,8,20,5,5,11,8,16,4,0,0,0,4,3,0,0,88,3,57,183,26,4,0,3,3,0,0,0,0,0,0,5,284,0,5,18,26,49,35,20,20,3,8,8,3,0,0,0,194,0,7,15,24,38,66,157,108,43,61,72,61,22,3,11,680,0,0,4,3,6,41,18,19,3,5,5,0,8,0,5,121,0,0,0,3,13,7,27,20
POA3147,0,0,0,0,7,14,7,0,0,0,0,0,0,0,0,29,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,10,0,0,0,4,5,6,10,4,0,0,0,0,0,0,0,35,0,3,3,6,112,165,357,252,51,50,57,53,19,7,26,1156,0,0,8,13,3,0,0,0,0,0,0,0,0,0,0,26,0,3,17,4,3,0,4,0,0,0,0,0,0,0,0,38,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,20,3,17,9,3,5,9,4,3,0,0,0,0,0,0,0,60,0,30,96,26,0,0,4,0,0,0,0,0,0,0,3,165,0,3,0,10,48,35,13,10,9,0,3,10,3,0,5,150,4,0,5,21,45,51,101,47,12,16,31,33,9,0,10,391,0,0,4,0,7,14,16,19,0,4,0,9,0,0,0,71,0,0,0,0,15,0,8,17
POA3148,0,0,0,0,6,18,15,6,0,0,0,0,0,0,0,53,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,16,0,0,5,5,64,89,266,184,30,40,31,37,8,0,26,783,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,5,7,3,3,0,0,3,0,0,0,0,0,35,0,0,0,3,9,0,10,4,0,0,0,0,0,0,0,29,3,9,3,6,3,11,4,3,0,0,0,0,0,0,0,43,0,41,170,34,5,11,4,3,0,0,0,0,0,0,3,283,0,0,0,5,25,29,16,10,0,4,3,5,0,0,0,101,0,0,9,13,21,58,200,75,34,27,48,47,20,0,6,553,0,0,0,0,10,44,42,7,4,9,6,6,6,0,3,138,0,0,0,0,0,11,9,17
POA3149,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,15,0,0,0,0,5,20,11,21,4,0,11,0,9,0,4,80,0,3,0,5,4,9,18,7,0,0,0,9,0,0,0,64,0,5,9,22,348,543,1513,997,224,263,195,257,98,22,74,4584,0,14,27,4,7,4,0,0,0,0,0,0,0,0,0,54,0,17,17,5,20,6,13,7,7,9,0,4,0,0,0,113,0,0,0,0,16,22,6,3,0,0,0,0,3,0,0,52,14,33,19,7,3,9,20,5,0,0,0,0,0,0,0,112,4,140,377,66,21,10,6,37,4,7,7,0,0,0,16,693,3,0,6,32,134,151,65,45,30,15,17,9,11,7,18,542,9,0,19,30,87,241,723,341,79,141,153,215,82,15,23,2165,0,5,0,12,22,77,104,29,10,5,0,6,9,0,0,287,0,0,0,0,8,11,35,37
POA3150,0,0,0,11,22,40,12,13,0,0,0,0,0,0,5,100,0,0,0,3,12,28,42,36,22,13,8,6,8,6,0,194,0,0,4,7,14,7,4,6,3,0,0,7,3,0,0,59,3,11,32,38,776,1157,3123,2134,506,517,549,697,218,86,155,10006,0,21,61,10,15,19,0,0,0,0,0,0,0,0,5,125,4,33,91,27,18,18,22,23,4,13,0,0,0,0,11,269,0,3,0,10,38,26,15,9,0,0,0,0,0,0,0,110,42,87,41,14,21,7,28,3,3,4,0,0,0,0,3,250,9,136,406,89,32,6,0,19,0,0,0,0,0,0,16,718,0,11,18,88,362,330,200,95,32,36,42,51,42,16,23,1346,5,5,64,104,258,507,1436,696,179,190,294,296,128,50,41,4262,0,3,12,15,54,155,171,40,3,8,9,22,21,3,16,537,0,0,0,7,45,40,51,108
POA3151,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,13,0,0,0,3,0,4,6,0,0,0,5,0,0,0,0,12,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,6,0,3,5,15,130,173,575,360,84,120,97,98,31,3,31,1730,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8,8,0,5,0,0,0,0,0,0,0,0,0,6,42,0,0,0,0,20,4,5,0,0,0,0,0,0,0,0,34,10,14,3,0,8,4,3,0,0,0,0,0,0,0,0,43,0,76,259,30,18,0,0,4,0,0,0,0,3,0,8,409,0,0,0,10,53,25,36,19,4,0,6,3,6,0,3,177,0,0,8,15,33,40,120,105,13,29,47,91,24,5,9,538,0,0,0,3,14,36,23,3,0,0,0,5,0,3,0,86,0,0,0,0,4,6,8,20
POA3152,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,39,0,0,0,0,4,13,10,0,4,0,0,0,0,0,0,29,0,4,0,5,9,5,5,0,0,0,3,0,0,0,0,32,3,7,14,24,196,286,1500,812,159,144,165,200,41,8,30,3574,0,3,15,15,0,8,0,0,0,0,0,0,0,0,6,48,0,10,24,10,9,16,9,3,0,0,5,0,0,0,0,81,0,0,0,9,22,9,24,4,0,0,0,0,0,0,0,71,28,56,26,14,10,4,8,4,0,0,3,0,0,0,8,160,0,34,92,34,15,0,0,0,0,0,0,0,0,0,3,181,3,0,8,45,150,185,152,58,14,16,16,20,10,4,11,690,5,0,24,57,142,213,651,250,55,45,52,57,17,7,11,1593,0,0,3,14,25,86,59,27,6,4,3,4,6,0,3,241,0,0,0,9,17,16,49,71
POA3153,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,3,3,3,8,0,3,0,0,0,0,0,0,21,0,3,3,0,37,63,357,226,42,35,34,48,6,4,13,881,0,0,14,3,3,7,0,0,0,0,0,0,0,0,0,40,0,6,15,4,0,0,6,0,0,0,0,0,0,0,0,27,0,0,0,5,14,6,10,4,3,0,0,3,0,0,0,44,16,66,35,10,13,6,16,5,0,0,0,3,0,0,46,230,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,4,35,73,80,25,4,6,0,5,0,0,0,246,0,0,14,23,21,63,273,178,50,47,53,29,14,3,0,775,0,0,3,0,4,13,31,3,3,0,5,0,0,0,0,68,0,0,0,3,9,13,22,29
