POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3329,43,24,16,25,9,17,7,16,4,166
POA3330,33,9,17,7,5,10,4,18,0,99
POA3331,413,562,701,478,462,311,275,333,60,3597
POA3332,76,67,131,77,66,40,60,65,12,600
POA3333,97,56,60,38,40,21,34,51,4,408
POA3334,54,40,33,26,22,20,22,49,6,264
POA3335,271,546,450,356,431,211,428,309,104,3108
POA3336,898,1973,1113,1011,1290,688,1022,692,187,8887
POA3337,1402,1885,2574,2326,2314,1629,2312,1992,399,16839
POA3338,1267,2198,2116,2108,1968,1284,2227,1653,350,15173
POA3340,1396,2101,2140,1525,1800,1026,1126,1121,236,12468
POA3341,121,145,173,91,111,54,86,97,18,891
POA3342,276,296,310,223,243,151,139,207,32,1884
POA3345,109,137,125,70,91,44,54,55,10,695
POA3350,3831,8476,3965,4318,3923,2871,1334,2678,442,31839
POA3351,633,659,800,533,483,357,360,520,79,4427
POA3352,1414,1668,1561,1088,1209,787,658,983,158,9517
POA3355,426,738,736,746,599,519,351,730,86,4929
POA3356,476,845,1059,1007,766,732,479,912,118,6389
POA3357,256,504,213,200,223,132,71,115,32,1753
POA3358,188,374,315,271,238,189,118,165,22,1874
POA3360,60,48,39,27,45,20,35,45,8,328
POA3361,75,28,35,21,15,16,26,30,6,254
POA3363,204,234,260,164,151,120,92,192,16,1430
POA3364,284,209,155,93,98,63,53,110,19,1088
POA3370,103,142,112,98,62,51,39,100,16,720
POA3371,56,54,53,48,45,30,39,57,10,388
POA3373,183,134,140,131,106,74,88,142,29,1025
POA3374,51,28,27,38,21,7,20,13,8,209
POA3375,46,12,3,12,11,3,0,16,0,114
POA3377,506,552,468,694,361,315,231,691,96,3917
POA3378,54,14,3,0,3,0,0,4,0,82
POA3379,155,34,25,23,23,15,11,50,4,341
POA3380,295,321,320,441,238,223,205,529,46,2624
POA3381,151,118,87,82,52,39,30,90,14,665
POA3384,66,33,30,34,21,12,19,33,8,252
POA3385,86,19,30,32,21,11,17,21,9,246
POA3387,74,9,10,11,6,6,15,23,0,154
POA3388,84,42,17,12,16,8,15,26,0,230
POA3390,73,61,37,38,41,22,40,54,10,375
POA3391,30,3,4,11,4,4,5,17,4,83
POA3392,66,24,16,21,18,21,19,35,7,229
POA3393,204,141,151,190,111,90,67,118,18,1086
POA3395,68,6,10,11,16,7,12,17,0,151
POA3396,69,42,26,34,24,12,34,45,7,293
POA3400,905,1332,988,949,763,702,441,779,121,6972
POA3401,609,344,376,232,305,192,161,241,44,2506
POA3407,88,16,17,15,8,4,10,33,0,205
POA3409,184,94,53,57,32,27,32,49,8,534
POA3412,39,25,6,19,4,0,9,20,0,118
