POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3919,147,182,369,230,176,163,114,202,36,1618
POA3920,58,65,444,334,12,8,0,6,11,939
POA3921,22,8,0,4,0,3,4,4,4,57
POA3922,538,703,662,529,391,402,128,466,86,3902
POA3923,71,54,52,30,41,42,5,25,5,329
POA3925,306,424,337,258,218,159,67,193,37,1991
POA3926,333,404,241,154,158,118,43,105,31,1585
POA3927,121,249,120,105,88,67,18,54,10,825
POA3928,63,65,29,17,12,14,3,12,5,225
POA3929,124,131,40,31,40,33,7,27,12,446
POA3930,1951,2524,951,833,1110,841,162,427,143,8937
POA3931,1674,2435,1707,1424,1375,1076,382,921,176,11179
POA3933,132,109,113,36,67,41,16,50,7,572
POA3934,1725,2238,1260,1121,1124,948,243,607,156,9421
POA3936,917,1055,1034,679,716,604,214,493,123,5832
POA3937,201,257,82,85,61,57,14,42,23,824
POA3938,208,315,251,162,180,139,51,104,22,1442
POA3939,781,1104,1224,855,713,733,255,703,138,6505
POA3940,172,218,313,239,156,164,96,223,45,1626
POA3941,827,1082,1155,697,588,526,176,551,123,5732
POA3942,220,265,159,91,109,118,20,75,31,1092
POA3943,207,203,83,53,77,61,11,30,23,742
POA3944,100,92,14,15,26,30,4,3,14,303
POA3945,134,78,84,50,57,34,29,47,16,530
POA3946,50,28,24,13,15,5,8,12,3,158
POA3950,302,297,367,297,223,223,181,300,48,2236
POA3951,132,73,77,58,57,40,26,42,10,517
POA3953,647,595,577,405,387,342,242,430,62,3672
POA3954,47,40,39,13,20,21,11,13,0,207
POA3956,322,228,191,138,113,81,57,151,38,1320
POA3957,47,14,22,22,17,5,9,23,0,153
POA3958,54,22,9,9,12,11,9,15,9,146
POA3959,146,116,79,51,54,36,15,60,14,556
POA3960,231,179,116,124,87,88,54,139,19,1045
POA3962,73,56,42,50,34,23,26,60,13,373
POA3964,12,8,14,9,10,11,3,26,0,91
POA3965,7,9,8,3,14,3,3,16,0,71
POA3966,70,23,27,23,17,18,22,41,5,239
POA3967,23,3,3,3,0,0,0,11,0,51
POA3971,321,191,226,206,152,128,126,240,42,1630
POA3975,906,1863,1139,1001,1207,680,865,946,246,8858
POA3976,717,1236,1897,1334,1304,853,1631,1816,316,11108
POA3977,5642,8409,8881,7107,7145,4917,5978,6563,1183,55823
POA3978,2299,4344,3184,2960,2794,1740,2216,2094,432,22062
POA3979,54,26,25,14,25,9,9,16,0,187
POA3980,190,177,387,202,261,154,189,208,39,1806
POA3981,393,233,530,287,341,226,301,377,47,2738
POA3984,401,384,614,369,385,273,353,390,87,3252
POA3987,133,87,160,77,96,49,77,92,19,809
POA3988,151,76,73,40,57,31,34,87,7,558
POA3990,16,7,8,4,11,9,6,10,0,65
POA3991,28,13,27,17,21,20,17,27,7,178
POA3992,109,94,88,86,54,65,37,90,15,641
POA3995,568,705,752,644,438,567,235,552,93,4555
POA3996,453,698,367,296,287,223,74,206,43,2652
