POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA3016,17,42,35,18,35,41,19,36,0,248,11,28,20,19,28,69,8,40,27,271,441,1192,888,662,1276,1787,596,1353,62,8257
POA3018,14,31,27,16,43,29,19,23,3,208,7,27,18,13,53,55,13,28,56,264,345,834,676,484,1376,1603,419,889,91,6710
POA3019,21,28,34,24,34,24,4,8,6,178,11,41,32,16,75,50,0,12,83,314,253,615,587,314,1119,882,172,281,123,4341
POA3020,68,128,140,68,150,117,29,35,15,739,34,139,158,94,331,203,42,74,273,1351,899,2536,2605,1451,4840,3814,887,1383,508,18907
POA3021,90,202,230,60,196,155,36,39,18,1021,52,206,178,104,426,250,49,79,366,1709,934,3161,2881,1603,5237,3771,808,1174,679,20252
POA3022,3,4,10,0,11,3,0,5,0,49,6,6,9,11,34,10,4,5,24,108,63,168,166,115,326,299,67,111,43,1355
POA3023,69,192,171,85,257,212,43,86,14,1140,61,171,158,93,402,334,60,102,368,1754,1455,4086,3352,2250,7345,6717,1417,2356,699,29670
POA3024,32,71,46,32,130,93,14,33,5,459,24,60,68,39,180,208,30,45,178,829,690,1776,1669,1152,4292,4046,695,1109,345,15772
POA3025,20,36,30,14,28,55,16,7,3,203,7,17,32,20,60,53,12,15,63,283,289,585,571,423,1187,1350,332,629,116,5482
POA3026,6,14,28,8,40,32,6,6,0,142,4,19,21,17,64,44,6,9,48,241,188,489,451,304,1102,909,197,317,89,4046
POA3027,3,21,17,10,25,12,0,4,0,104,3,20,27,11,58,58,5,18,69,268,197,544,584,337,1204,1403,201,398,124,4976
POA3028,32,76,86,47,96,108,19,30,9,504,30,48,57,31,133,141,23,57,128,640,693,1774,1530,970,3099,3056,678,1216,276,13291
POA3029,113,250,267,132,450,313,89,117,29,1753,107,303,356,212,758,619,87,171,842,3462,2512,7171,7555,4466,15304,13309,2523,4205,1685,58728
POA3030,144,265,224,127,388,332,89,137,23,1725,91,253,263,142,608,558,97,206,522,2737,2596,6884,5886,4160,13605,14193,3069,5237,1039,56670
POA3031,21,55,31,27,52,48,8,25,0,268,8,46,24,20,92,62,20,31,49,359,502,1241,1059,783,2147,2377,697,1260,108,10189
