POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA3284,139,26,166,581,263,20,871,2064,251,3184
POA3285,8,0,9,199,65,0,264,681,79,1032
POA3286,10,6,13,58,14,7,79,349,23,445
POA3287,4,0,4,72,18,7,96,226,23,340
POA3289,26,0,30,120,41,5,168,456,46,664
POA3292,4,0,4,10,3,0,16,138,20,176
POA3293,3,0,3,53,15,5,65,196,19,274
POA3294,13,9,17,148,58,7,213,522,57,791
POA3300,375,51,426,1502,532,54,2088,6102,523,8705
POA3301,6,0,6,222,64,4,293,680,66,1033
POA3302,4,0,4,42,12,0,49,234,21,306
POA3303,6,5,7,42,10,3,60,161,21,237
POA3304,62,19,79,339,159,19,520,1548,253,2318
POA3305,334,31,374,1764,753,63,2578,7946,735,11258
POA3309,0,0,0,10,4,0,11,68,14,97
POA3310,3,0,3,21,20,0,40,189,13,246
POA3311,92,15,110,154,86,3,248,1157,119,1521
POA3312,9,3,8,152,56,8,218,536,86,834
POA3314,7,0,10,79,24,4,103,320,36,463
POA3315,77,7,80,204,82,5,290,1031,119,1438
POA3317,3,0,7,27,11,0,37,99,26,159
POA3318,54,9,65,151,51,5,206,755,99,1054
POA3319,3,0,3,40,18,3,62,231,59,351
POA3321,7,0,7,396,79,7,485,801,60,1351
POA3322,5,0,5,21,10,0,32,112,3,150
POA3323,4,0,6,13,12,0,19,48,9,76
POA3324,10,7,19,70,20,0,93,351,43,483
POA3325,7,3,11,54,30,4,90,255,38,383
POA3328,11,6,19,472,112,13,604,1055,107,1755
POA3329,0,0,0,71,28,4,104,128,8,238
POA3330,3,0,3,34,8,0,40,118,18,171
POA3331,109,15,127,1587,340,43,1969,3258,234,5461
POA3332,10,0,7,228,63,10,300,549,64,909
POA3333,8,0,14,141,50,3,189,475,52,711
POA3334,4,0,4,55,32,0,82,325,65,472
POA3335,6,0,8,1338,215,23,1576,2789,350,4706
POA3336,16,3,19,4575,479,74,5125,6745,599,12472
POA3337,288,26,317,7245,1962,224,9433,19519,2289,31239
POA3338,259,33,293,7521,1392,191,9104,15747,2013,26864
POA3340,406,32,448,4729,1354,133,6217,13015,1055,20286
POA3341,9,0,12,290,73,12,369,879,88,1328
POA3342,76,14,93,652,221,17,887,2144,175,3208
POA3345,10,0,11,250,69,10,326,713,66,1108
POA3350,1418,245,1662,11085,3386,373,14839,36106,2914,53869
POA3351,66,9,75,1560,518,65,2145,4694,455,7297
POA3352,144,18,165,3436,1085,135,4656,9187,1107,14954
POA3355,413,111,530,1645,709,78,2423,7684,885,10995
POA3356,442,72,517,2193,920,122,3233,8702,954,12892
POA3357,52,6,58,727,277,22,1021,1830,118,2970
POA3358,13,0,13,780,156,29,959,1496,85,2543
POA3360,10,3,12,115,41,5,160,463,46,668
POA3361,32,6,29,98,22,0,124,401,58,589
POA3363,102,38,145,492,201,24,712,1987,304,3005
POA3364,27,10,35,335,140,9,484,1240,156,1877
POA3370,48,6,54,245,88,9,341,1188,108,1641
POA3371,16,12,27,91,81,3,173,644,156,977
POA3373,64,14,77,304,124,11,443,1481,167,2091
POA3374,3,0,3,58,25,0,90,252,30,372
POA3375,3,0,3,36,4,6,50,126,6,189
POA3377,282,34,321,1122,548,49,1724,5233,1233,8187
POA3378,0,0,0,24,10,0,35,56,9,101
POA3379,22,7,23,106,25,4,129,434,70,635
POA3380,146,72,221,769,301,34,1102,3635,526,5264
POA3381,16,0,16,184,54,7,244,786,157,1186
POA3384,12,0,12,81,39,0,118,346,56,517
POA3385,7,0,11,62,21,0,86,327,56,471
POA3387,4,0,3,46,13,0,64,165,20,243
POA3388,18,0,20,80,35,0,116,330,34,479
POA3390,18,8,27,127,51,10,186,523,59,772
POA3391,3,0,5,23,9,0,36,94,19,147
POA3392,40,3,42,64,28,0,98,373,47,521
POA3393,73,39,118,326,138,24,486,1479,221,2184
POA3395,13,3,16,48,27,3,79,205,12,304
POA3396,46,0,49,62,34,8,103,459,37,595
POA3400,509,59,570,2267,887,126,3278,8336,759,12374
POA3401,44,0,48,771,275,17,1059,2411,224,3694
POA3407,4,3,10,57,23,0,77,242,21,347
POA3409,44,5,43,130,67,8,200,588,57,847
POA3412,6,0,6,44,19,3,67,156,10,237
POA3413,8,0,8,29,12,3,42,110,10,167
POA3414,72,12,81,210,91,13,304,1077,98,1478
POA3415,0,0,0,3,0,0,3,30,0,37
POA3418,123,16,138,370,137,16,521,1730,164,2410
POA3419,34,4,38,116,56,14,182,530,49,749
POA3420,0,0,0,53,16,0,64,130,20,210
POA3423,17,11,24,47,20,0,70,307,40,415
POA3424,19,18,37,93,20,0,111,463,60,633
POA3427,19,5,20,1147,226,18,1394,2805,286,4486
POA3428,4,0,10,87,48,0,139,394,40,567
POA3429,611,48,664,7159,2234,212,9599,20660,1410,31668
POA3430,5,0,0,47,8,0,51,167,30,249
POA3431,29,0,33,813,267,20,1098,2292,154,3540
POA3432,0,0,0,21,16,0,32,111,10,159
POA3433,0,0,0,42,5,0,46,108,21,170
POA3434,56,6,58,1154,338,33,1528,3110,264,4902
POA3435,28,3,28,565,186,21,768,1670,170,2614
POA3437,118,63,184,2377,604,75,3054,5564,447,9062
POA3438,69,0,67,504,98,22,634,1275,78,1985
POA3440,15,0,19,408,115,10,539,999,79,1617
POA3441,10,0,11,261,88,10,360,735,78,1172
POA3442,150,7,167,1675,436,35,2147,4394,383,6926
POA3444,278,39,316,1522,518,60,2101,5739,568,8406
POA3446,15,0,15,198,72,5,279,567,60,910
POA3447,3,4,3,57,25,0,84,335,51,469
POA3448,8,4,17,140,56,9,207,544,66,822
POA3450,222,188,411,995,447,40,1483,4000,1145,6628
POA3451,87,4,95,955,348,47,1352,3167,299,4813
POA3453,20,4,26,282,114,11,410,1028,118,1554
POA3458,29,25,56,276,135,19,426,1402,185,2013
POA3460,95,22,124,321,144,15,481,1772,230,2485
POA3461,66,6,68,619,222,20,859,2845,311,4004
POA3462,17,5,17,180,64,7,244,715,93,1054
POA3463,70,3,70,271,147,8,427,1720,173,2324
POA3464,14,0,14,190,62,12,262,639,65,965
POA3465,370,56,431,1171,538,63,1783,6153,679,8607
POA3467,46,7,49,170,63,3,234,792,115,1143
POA3468,7,0,7,32,5,0,41,185,17,243
POA3469,8,0,15,23,9,0,39,152,49,237
POA3472,35,7,41,148,61,10,220,966,112,1295
POA3475,10,0,9,30,17,0,50,236,38,327
POA3477,5,0,5,103,65,4,176,447,71,689
POA3478,100,28,127,268,101,14,387,1667,184,2242
POA3480,79,17,92,201,98,9,306,1079,136,1524
POA3482,0,4,3,19,3,0,29,103,47,178
POA3483,28,6,31,115,26,0,144,524,62,735
POA3485,5,11,17,26,9,0,32,192,36,260
POA3487,0,0,0,10,8,0,24,42,8,68
POA3488,0,0,0,12,3,0,15,57,8,80
POA3489,0,0,0,9,8,0,14,24,0,42
POA3490,71,8,81,140,51,4,197,803,117,1126
POA3491,4,0,4,20,5,0,25,79,11,120
POA3494,4,0,3,93,23,3,117,353,64,536
POA3496,133,19,155,970,328,41,1337,3438,493,5265
POA3498,95,14,102,914,308,35,1262,3127,436,4819
POA3500,868,129,1002,4835,1665,187,6687,19241,2374,28305
POA3501,26,6,30,413,109,13,532,1027,85,1648
POA3505,110,18,132,730,271,36,1038,2552,426,4021
POA3506,5,0,5,4,0,0,8,21,0,30
POA3507,3,0,3,13,3,0,19,86,39,145
POA3509,3,5,4,24,12,0,39,133,16,189
POA3512,10,0,10,59,19,5,78,201,16,294
POA3515,8,5,14,574,142,13,732,1051,89,1876
POA3516,17,0,16,104,33,5,144,427,48,618
POA3517,61,20,87,186,88,11,282,839,150,1276
POA3518,33,4,37,104,65,10,173,821,160,1165
POA3520,0,4,3,14,5,0,15,104,25,140
POA3521,13,5,15,120,35,3,168,395,59,618
POA3522,5,0,10,46,13,0,61,206,30,290
POA3523,118,23,138,382,154,21,556,2496,441,3492
POA3525,53,17,68,155,77,4,234,799,147,1178
POA3527,23,15,42,83,39,3,125,459,62,646
POA3529,0,0,0,24,10,0,31,60,6,91
POA3530,0,0,0,3,8,0,14,80,7,107
POA3531,8,0,8,29,12,0,47,103,10,159
POA3533,28,3,34,107,29,3,142,423,59,627
POA3537,56,34,89,149,41,3,191,552,176,919
POA3540,6,0,9,20,20,0,36,169,34,248
POA3542,4,0,4,19,12,0,26,77,9,115
POA3544,4,0,8,27,19,0,49,134,30,206
POA3546,12,0,12,47,21,0,72,210,9,286
POA3549,51,23,77,481,153,11,652,2112,502,3264
POA3550,1275,134,1416,6028,2358,211,8593,24445,2076,35116
POA3551,300,32,330,7166,2046,254,9465,16518,1332,27308
POA3555,632,207,840,3050,1165,135,4350,11845,1307,17502
POA3556,263,43,317,2120,928,75,3125,7536,788,11444
POA3557,3,6,8,169,40,6,209,409,60,677
POA3558,28,10,31,117,60,4,177,536,104,821
POA3559,3,0,11,63,55,3,122,285,74,475
POA3561,155,26,175,546,228,25,801,2671,295,3768
POA3562,0,0,0,40,7,0,46,127,31,207
POA3563,20,3,26,122,48,0,173,447,75,697
POA3564,423,115,546,2460,963,97,3515,9654,1006,14183
POA3565,3,0,3,26,4,0,24,73,7,106
POA3566,8,0,8,92,37,4,134,293,46,472
POA3567,9,0,10,83,30,5,120,405,35,558
POA3568,119,13,135,356,173,18,548,1769,203,2519
POA3570,12,0,11,100,49,5,155,422,119,694
POA3571,8,0,12,46,23,0,71,159,18,253
POA3572,0,0,0,27,10,0,40,65,8,111
POA3573,0,0,0,45,18,0,61,180,31,273
POA3575,24,3,24,102,25,0,130,491,67,683
POA3576,0,0,0,11,13,0,27,18,0,48
POA3579,214,28,243,691,279,31,1001,3135,404,4537
POA3580,16,4,14,119,77,4,199,649,100,943
POA3581,0,0,0,23,4,0,26,96,7,132
POA3583,3,0,3,16,11,0,29,97,12,138
POA3584,8,8,17,170,59,3,239,580,106,920
POA3585,371,53,424,1707,640,66,2410,6188,687,9290
POA3586,6,0,6,129,51,5,187,400,48,640
POA3588,4,0,11,56,21,3,81,218,29,332
POA3589,0,0,3,37,21,3,60,181,48,289
POA3590,0,0,0,55,11,0,74,160,30,270
POA3591,0,0,0,29,11,0,40,90,7,140
POA3594,13,0,10,65,18,0,80,338,46,463
POA3595,16,0,19,72,28,3,113,367,72,553
POA3596,6,0,6,13,7,0,19,58,13,91
POA3597,9,0,7,68,18,0,86,281,20,383
POA3599,0,0,6,14,0,0,18,93,24,136
POA3607,3,0,3,24,3,0,30,88,16,138
POA3608,73,24,99,359,139,9,503,1708,199,2409
POA3610,22,4,28,188,79,7,278,840,273,1394
POA3612,49,7,61,162,94,8,264,1139,179,1586
POA3614,0,0,0,193,47,5,248,402,62,716
POA3616,122,15,143,856,283,32,1171,3064,372,4607
POA3617,0,0,0,22,7,0,30,86,18,138
POA3618,12,3,17,80,43,10,127,392,61,581
POA3620,270,63,334,1180,444,33,1665,4704,530,6900
POA3621,64,7,80,393,157,17,564,1234,125,1932
POA3622,3,0,3,92,36,3,131,260,32,421
POA3623,16,5,20,108,52,4,166,532,54,748
POA3624,6,0,11,67,31,0,101,313,46,461
POA3629,201,48,250,1255,474,43,1771,5231,906,7911
POA3630,812,108,928,4488,1416,150,6055,17680,2244,25981
POA3631,235,27,263,2727,714,74,3515,7195,628,11335
POA3633,0,0,0,104,40,0,140,340,28,501
POA3634,14,4,19,324,133,14,466,883,147,1501
POA3635,0,6,5,80,33,4,116,312,47,468
POA3636,193,24,222,676,327,36,1043,3019,439,4500
POA3637,9,0,11,118,48,3,163,276,42,490
POA3638,78,4,83,308,132,12,452,1283,100,1837
POA3639,8,0,6,44,32,0,77,327,23,426
POA3640,12,0,12,167,58,11,234,505,88,827
POA3641,10,3,20,195,64,3,264,644,92,999
POA3644,275,37,315,1221,470,43,1733,5490,616,7839
POA3646,13,0,13,85,38,11,133,328,39,501
POA3647,0,0,0,4,9,0,14,35,0,50
POA3649,11,0,15,60,17,3,84,272,42,402
POA3658,79,16,89,967,285,54,1299,3396,393,5095
POA3659,12,0,17,94,46,0,143,467,31,641
POA3660,211,27,233,967,408,30,1406,4672,604,6688
POA3662,0,0,0,243,13,5,262,516,60,838
POA3663,0,0,0,18,18,3,38,104,16,159
POA3664,26,0,26,170,82,3,253,662,45,954
POA3665,3,0,5,45,34,3,80,218,37,332
POA3666,202,24,228,579,287,25,888,3105,453,4441
POA3669,55,8,66,157,85,9,248,873,158,1281
POA3670,3,0,6,59,41,3,100,377,37,508
POA3672,440,80,524,1153,546,64,1760,6710,841,9306
POA3673,10,0,16,225,131,0,361,1065,136,1566
