POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA3842,45,10,47,724,322,18,1063,2583,345,3993
POA3844,603,156,765,5012,1794,203,7008,16670,1754,25436
POA3847,19,3,24,321,123,24,469,1208,211,1887
POA3850,393,72,466,2368,837,92,3295,8481,855,12637
POA3851,56,8,59,672,266,22,971,3280,1152,5405
POA3852,0,0,0,3,4,3,15,185,8,204
POA3854,9,0,9,262,141,12,415,705,75,1196
POA3856,3,0,3,165,85,9,256,523,75,857
POA3857,4,0,3,45,32,3,84,213,38,331
POA3858,66,6,82,407,197,21,627,1671,307,2596
POA3859,17,0,17,151,58,7,220,468,77,761
POA3860,150,13,166,1080,425,59,1561,4090,406,6063
POA3862,46,3,54,544,212,25,786,1894,203,2879
POA3864,0,0,0,36,13,0,47,133,25,204
POA3865,10,0,10,60,39,3,101,296,43,447
POA3869,22,0,22,268,99,9,387,966,81,1431
POA3870,19,0,21,171,77,8,254,755,105,1117
POA3871,75,9,85,457,218,18,694,1606,204,2501
POA3873,0,0,0,53,29,4,84,146,29,255
POA3874,3,4,10,51,42,5,94,406,45,552
POA3875,467,161,630,2699,1049,135,3881,11372,1328,16577
POA3878,35,0,46,123,62,3,193,936,39,1171
POA3880,205,10,218,355,194,8,555,3097,192,3846
POA3882,21,5,24,228,86,3,320,712,50,1089
POA3885,31,7,36,271,126,13,409,1011,135,1556
POA3886,3,0,7,52,21,3,70,236,35,339
POA3887,0,0,0,19,17,3,38,176,31,242
POA3888,104,18,119,371,203,19,596,2060,337,2993
POA3889,5,0,5,6,4,0,10,127,25,162
POA3890,0,4,3,38,6,0,45,207,39,289
POA3891,0,0,0,7,0,0,7,75,21,101
POA3892,39,3,47,125,57,6,196,763,84,1044
POA3893,0,0,0,0,3,0,3,19,0,21
POA3895,7,0,4,25,11,0,31,136,10,175
POA3896,0,0,0,57,22,0,77,196,21,291
POA3898,9,8,19,74,33,5,106,421,110,635
POA3900,7,0,7,14,4,0,15,105,38,154
POA3902,3,0,3,49,17,4,66,263,41,372
POA3903,11,5,19,111,49,11,173,472,68,708
POA3904,24,3,31,185,83,3,279,1291,104,1673
POA3909,243,48,291,945,435,42,1421,5231,797,7456
POA3910,322,23,357,4436,1421,182,6043,12124,729,18894
POA3911,52,0,53,575,215,24,811,1999,127,2934
POA3912,278,78,359,2740,1034,95,3873,8257,617,12747
POA3913,61,0,64,575,242,26,840,1930,106,2872
POA3915,272,31,309,1580,561,75,2223,5854,699,8771
POA3916,46,0,52,135,81,0,217,644,48,911
POA3918,51,8,59,716,286,26,1026,2385,134,3546
POA3919,22,7,30,579,187,29,796,1726,165,2686
POA3920,0,0,0,96,0,7,103,874,38,1015
POA3921,4,0,4,19,4,0,19,89,13,120
POA3922,266,81,339,1314,528,46,1889,6035,674,8600
POA3923,8,3,16,85,55,5,142,539,75,756
POA3925,78,22,95,699,220,27,945,2422,432,3795
POA3926,89,8,100,548,264,27,835,1813,170,2817
POA3927,37,0,36,273,142,6,416,1027,122,1571
POA3928,8,4,10,43,31,9,86,286,34,407
POA3929,24,8,32,102,100,3,206,697,124,1027
POA3930,485,47,531,3692,1174,104,4969,9388,527,14888
POA3931,1032,300,1341,3841,1537,107,5483,15086,1325,21895
POA3933,19,0,25,152,73,0,227,610,32,862
POA3934,545,66,618,3666,1243,112,5026,10359,644,16033
POA3936,376,69,451,1797,900,68,2768,7962,842,11569
POA3937,27,8,33,251,122,6,383,952,110,1448
POA3938,79,9,90,404,252,14,674,2067,180,2917
POA3939,535,96,636,2101,940,62,3105,9311,1136,13555
POA3940,538,118,665,556,241,16,806,3310,468,4589
POA3941,340,52,395,1951,813,83,2846,7622,968,11445
POA3942,67,16,83,318,207,4,533,1706,227,2463
POA3943,57,13,68,162,190,7,361,1299,180,1844
POA3944,33,6,38,42,103,0,149,545,64,759
POA3945,8,0,8,166,71,6,241,577,77,898
POA3946,0,0,9,36,37,0,72,171,20,257
POA3950,178,17,197,717,302,39,1065,2950,245,4255
POA3951,3,0,9,169,64,5,237,547,67,850
POA3953,215,26,249,1269,459,42,1773,4467,438,6675
POA3954,9,6,7,42,32,8,75,229,16,321
POA3956,50,8,60,403,191,16,619,1764,187,2563
POA3957,5,0,4,56,30,0,83,139,16,242
POA3958,0,0,4,34,23,4,60,142,29,237
POA3959,17,5,16,150,84,11,244,711,85,1044
POA3960,127,15,136,250,135,21,399,1786,208,2388
POA3962,20,9,26,105,46,14,164,568,83,818
POA3964,3,0,3,23,19,0,41,99,3,146
POA3965,5,0,8,16,13,0,26,153,27,204
POA3966,8,0,9,79,23,3,100,322,39,453
POA3967,5,0,5,18,11,0,26,60,7,97
POA3971,115,24,143,455,225,18,701,2555,358,3615
POA3975,157,5,163,3947,616,68,4630,8196,629,13458
POA3976,172,15,190,4133,956,110,5195,13820,1477,20488
POA3977,1016,121,1144,24221,4947,707,29870,53833,4711,88410
POA3978,89,9,100,11071,1413,185,12670,16856,1394,30926
POA3979,0,0,0,53,27,5,84,178,32,298
POA3980,39,3,43,622,205,28,864,1786,209,2860
POA3981,104,26,126,969,264,50,1282,2734,258,4274
POA3984,96,21,122,1063,439,50,1548,4094,486,6133
POA3987,10,0,10,272,97,14,384,808,118,1310
POA3988,10,0,10,170,61,12,251,595,54,890
POA3990,0,0,0,9,0,0,9,88,8,110
POA3991,0,0,0,50,17,0,68,237,47,351
POA3992,10,0,16,214,77,6,294,678,80,1049
POA3995,349,66,423,1514,605,70,2186,7005,725,9908
POA3996,212,37,247,907,420,32,1361,3988,264,5613
