POA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA3967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,4,0,0,4,0,3,0,6,3,4,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,7,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,10,0,0,0,12,10,6,3,0,46
POA3971,14,12,8,10,4,3,56,0,5,13,12,18,16,3,0,70,13,41,39,41,50,56,22,5,260,4,23,35,53,58,73,20,7,281,48,117,112,135,177,137,49,12,791,5,8,3,4,6,7,4,0,38,0,6,3,11,16,15,5,5,57,52,136,117,150,200,159,60,14,888,0,0,3,4,5,0,0,0,16,42,36,45,51,66,117,53,30,448,112,249,268,327,408,433,167,56,2017
POA3975,535,174,65,31,3,0,1114,9,54,91,52,25,3,0,0,239,219,711,941,482,185,81,22,3,2643,125,327,490,365,166,57,25,8,1559,149,322,431,372,227,98,34,12,1634,17,19,26,16,19,6,4,4,108,9,36,56,60,33,22,6,3,216,172,378,509,445,276,121,48,13,1958,10,24,26,21,12,3,4,0,103,115,173,184,109,82,57,26,19,772,659,1948,2783,1648,803,356,122,53,8381
POA3976,246,91,50,31,4,0,736,19,68,59,46,39,4,14,0,241,237,835,540,285,275,102,42,7,2302,168,508,491,354,288,129,30,0,1973,341,692,588,569,545,252,70,14,3073,70,42,51,43,32,11,0,0,254,21,47,66,81,89,40,11,0,359,434,783,702,690,668,302,91,13,3679,12,14,17,25,19,16,0,0,108,277,387,289,246,221,173,87,21,1700,1156,2884,2347,1730,1568,749,262,52,10741
POA3977,1856,622,226,99,28,4,4087,64,377,490,268,171,106,18,0,1493,781,3564,3996,1851,774,473,140,30,11612,672,2573,3143,1871,1055,569,181,41,10102,1527,3920,3903,2985,2131,1088,457,108,16123,215,257,231,181,125,34,8,0,1059,128,250,326,281,212,136,59,8,1405,1868,4429,4463,3446,2469,1255,526,117,18584,29,93,144,68,63,45,22,8,479,810,1269,1135,796,669,513,399,205,5794,4286,13483,15224,8931,5433,3063,1317,409,52149
POA3978,1220,294,86,28,3,0,2626,23,212,267,117,43,17,0,0,676,318,2270,2458,754,262,125,33,5,6210,274,1557,1613,634,255,130,39,4,4506,457,1707,1099,683,379,180,79,8,4599,70,99,55,27,22,11,0,0,284,49,125,126,90,53,28,12,0,480,565,1934,1281,801,458,219,95,8,5365,18,75,79,30,8,11,8,0,226,221,527,405,169,120,102,59,10,1617,1455,7531,7328,2798,1224,626,241,34,21234
POA3979,0,0,5,0,0,0,7,0,0,3,3,0,0,0,0,8,0,11,17,5,3,9,0,0,43,0,3,3,5,4,4,3,0,22,5,14,18,12,15,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,18,14,15,8,3,0,69,0,0,0,0,0,0,0,0,0,3,7,7,9,3,14,4,0,39,15,28,44,34,34,35,8,0,194
POA3980,10,13,3,3,0,0,34,0,12,9,11,7,4,4,0,49,10,57,46,34,24,16,6,0,196,12,49,57,38,43,23,11,0,228,60,154,177,158,123,93,20,9,793,13,7,6,12,10,0,0,0,42,0,8,7,7,10,11,5,0,43,68,166,192,176,142,102,25,9,881,0,0,0,0,0,0,0,0,10,28,23,38,35,43,51,17,5,251,117,320,356,303,260,201,66,19,1648
POA3981,10,8,3,8,0,0,36,0,9,14,17,7,7,0,3,53,20,97,54,46,24,24,9,5,273,34,88,83,56,49,33,13,0,359,95,302,211,200,152,77,37,9,1075,15,12,18,6,10,9,0,0,67,6,12,15,17,12,6,0,4,68,115,320,244,221,173,90,34,14,1214,0,0,3,6,5,6,3,0,24,35,49,46,43,27,49,47,29,327,205,566,457,389,292,213,111,51,2283
POA3984,10,18,30,19,3,0,87,9,32,21,19,14,13,4,0,113,28,89,68,62,67,70,25,0,407,21,110,122,95,106,85,25,9,570,94,376,233,265,279,185,76,16,1521,13,17,13,11,14,7,5,0,87,3,9,15,29,11,25,9,0,105,112,403,263,302,312,223,89,15,1714,0,0,3,3,7,5,5,0,22,58,57,89,83,122,122,90,23,635,230,700,573,570,649,537,238,49,3555
POA3987,0,3,0,0,0,0,13,0,6,4,6,0,0,0,0,18,6,20,19,12,13,3,3,0,82,8,25,23,19,23,14,3,0,116,20,60,71,92,66,27,11,3,352,0,3,4,3,0,3,0,0,11,0,4,3,5,3,6,0,0,20,21,62,77,97,74,36,15,3,385,0,0,0,0,0,0,0,0,3,23,14,27,22,30,18,12,0,150,61,133,160,169,138,74,27,6,769
POA3988,4,4,3,3,0,0,19,0,6,3,4,4,3,0,0,20,0,18,22,23,14,9,3,0,94,0,19,18,7,20,15,6,0,80,16,35,32,39,37,27,9,0,199,5,5,0,3,4,0,5,0,14,0,3,3,5,0,0,6,0,17,18,42,40,45,46,27,13,0,233,0,0,0,0,0,0,0,0,5,5,7,13,8,16,15,10,0,74,27,100,96,92,103,67,31,7,521
POA3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,4,0,3,0,13,0,3,0,0,5,3,6,0,13,4,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,9,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,10,0,6,8,7,18,15,10,0,63
POA3991,0,0,4,0,0,0,3,0,4,0,0,3,0,0,0,8,0,0,5,0,0,4,0,0,13,0,4,6,8,11,3,6,0,29,4,12,14,18,19,15,6,0,76,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,8,12,12,15,17,18,6,0,85,0,0,0,0,0,0,0,0,0,9,4,3,5,12,15,0,0,56,18,24,29,33,41,36,12,0,200
POA3992,5,4,3,7,0,0,23,0,4,6,7,11,10,0,0,36,0,26,18,15,22,16,4,0,99,5,9,16,23,18,18,4,0,97,16,56,56,45,46,33,3,5,261,3,4,3,0,0,0,0,0,19,0,0,4,0,5,5,6,0,18,21,59,61,44,56,38,5,5,292,0,0,0,0,0,0,0,0,3,8,11,22,13,18,26,5,0,98,38,113,124,107,122,116,19,4,651
