POA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA3000,1269,384,246,125,44,5,7266,97,354,192,90,63,39,13,0,847,3596,6539,1949,650,411,215,78,12,13454,1136,1524,652,247,162,108,36,5,3865,538,695,296,163,113,52,17,3,1866,72,80,24,12,14,7,7,0,219,65,117,56,40,40,10,0,0,327,672,889,374,216,171,71,20,3,2420,102,136,50,21,18,14,12,3,350,1203,1839,705,327,229,110,50,14,4472,7467,15823,5190,1937,1300,678,244,34,32672
POA3002,197,130,133,98,66,17,907,0,48,44,34,47,45,16,0,241,113,568,291,193,206,184,84,21,1652,23,54,75,52,65,83,30,16,395,10,48,43,13,47,20,8,7,200,0,3,5,5,0,3,0,0,16,0,4,9,3,10,15,7,0,56,17,51,61,22,56,34,19,9,263,0,10,6,4,9,6,7,4,44,28,55,63,50,32,61,29,15,333,179,1043,728,485,541,511,246,85,3832
POA3003,342,122,73,33,12,0,1407,3,99,61,38,21,7,4,0,244,368,1339,469,199,92,53,19,5,2539,101,222,130,77,54,24,10,0,613,72,177,74,46,43,19,5,0,437,10,9,5,7,7,0,0,0,37,16,17,16,8,12,3,7,0,71,94,198,94,60,59,21,6,0,539,10,26,11,5,11,4,0,0,60,91,227,100,46,35,26,3,0,525,706,2880,1205,552,347,170,57,6,5923
POA3004,539,212,172,143,72,12,1928,9,124,94,58,46,45,24,0,405,225,1357,743,340,278,271,131,25,3366,69,252,214,142,136,118,72,20,1027,61,174,116,85,76,46,41,12,612,12,9,10,9,3,5,0,4,48,8,24,24,17,33,27,14,4,155,79,213,155,112,109,79,53,21,823,3,21,12,12,4,13,8,3,83,80,354,200,134,114,99,111,97,1199,503,3054,1957,1014,866,776,484,182,8827
POA3006,1034,349,191,122,53,4,4372,40,298,153,95,65,40,13,3,701,964,3815,1586,479,351,209,77,13,7503,313,701,440,211,165,127,47,14,2009,173,461,219,119,122,48,16,0,1165,22,41,8,6,4,4,0,0,82,18,56,39,30,18,19,7,0,192,217,563,260,151,150,67,28,0,1437,17,105,42,16,19,17,9,0,232,175,626,308,126,96,71,40,7,1449,1927,8533,3822,1433,1028,651,255,40,17699
POA3008,668,231,156,81,19,4,2709,19,152,96,56,53,23,7,0,402,482,2515,1104,358,268,156,37,3,4924,148,410,267,171,134,83,23,0,1237,92,225,142,132,118,56,18,4,783,8,14,11,8,10,4,3,0,67,18,22,26,22,31,11,6,0,141,119,272,184,160,152,68,26,3,990,23,52,30,19,8,7,0,0,134,155,641,291,127,125,76,33,3,1447,1017,5507,2633,1131,895,487,147,16,11842
POA3011,743,322,179,78,12,5,2549,10,261,245,169,122,40,11,0,859,387,2295,1448,686,315,145,45,12,5317,156,526,435,245,173,92,24,4,1663,198,500,344,233,223,96,32,5,1629,30,42,24,22,13,9,8,0,141,9,38,45,46,34,30,5,0,208,243,576,411,300,271,135,37,5,1981,10,39,25,12,9,10,0,0,106,170,506,273,179,171,145,138,142,1726,1026,5365,3590,1920,1235,635,267,168,14212
POA3012,759,366,156,42,6,0,2440,16,207,271,211,108,42,5,0,852,308,2076,1749,847,307,150,44,9,5496,143,581,533,397,233,104,35,8,2036,160,645,485,413,295,168,59,23,2254,28,43,41,23,18,15,0,0,169,14,37,57,67,57,24,5,0,268,202,726,585,500,374,203,71,24,2692,4,47,26,18,21,10,5,3,139,173,480,304,204,185,126,123,125,1727,915,5150,4228,2548,1388,686,288,178,15377
POA3013,515,318,153,54,15,0,1457,3,105,175,154,112,29,5,0,586,157,1103,1137,777,333,107,26,15,3660,56,238,295,291,158,69,22,4,1140,97,265,282,230,229,110,44,26,1282,19,15,11,18,10,7,3,0,83,8,26,23,44,36,14,11,0,175,122,303,315,290,274,132,58,31,1536,0,8,13,3,8,7,4,0,42,61,133,110,111,90,52,22,27,610,429,2277,2565,1955,1128,459,152,74,9029
POA3015,478,385,207,76,16,7,1471,9,98,201,174,124,65,6,5,679,178,978,1426,839,388,164,38,5,4018,53,267,365,383,238,92,28,11,1441,106,319,351,343,329,149,52,33,1679,20,12,11,21,24,4,5,0,101,8,29,37,56,40,20,11,0,207,139,358,399,420,389,178,66,30,1988,0,15,21,7,9,9,4,0,62,79,128,152,137,84,85,70,95,833,474,2131,3039,2341,1445,673,229,155,10490
POA3016,338,393,323,157,59,3,1448,6,55,97,160,187,108,29,4,643,204,508,747,861,633,319,111,24,3395,58,116,208,342,295,219,86,15,1343,72,157,172,291,293,219,96,35,1334,10,8,12,15,23,14,10,0,93,10,5,25,42,64,35,16,8,201,96,172,206,344,375,265,117,50,1626,3,8,8,18,11,18,11,6,70,73,85,80,100,91,102,68,37,637,445,1102,1687,2228,1913,1185,468,137,9164
POA3018,307,185,99,49,18,0,852,5,58,96,113,72,45,12,0,411,101,556,739,463,239,122,57,10,2298,32,158,253,286,205,111,52,21,1107,84,235,325,330,273,212,117,48,1618,5,13,8,16,16,13,0,0,73,6,21,31,41,45,44,7,5,196,92,268,372,385,323,267,123,55,1887,0,8,5,9,8,11,12,0,50,49,102,140,105,82,90,84,43,703,290,1329,1910,1545,1028,699,361,137,7302
POA3019,116,43,10,6,4,0,632,4,51,35,20,12,5,0,0,124,122,665,392,139,76,39,11,0,1457,56,188,163,109,63,41,10,5,637,59,168,143,131,100,60,21,9,677,15,17,10,10,11,4,0,0,73,10,35,23,34,21,10,0,0,131,77,224,175,180,130,78,22,9,887,9,24,8,6,0,0,0,0,55,99,210,136,73,91,80,28,17,739,429,1760,1022,576,390,253,75,27,4528
POA3020,507,176,110,47,13,0,1995,28,171,189,120,72,47,8,5,633,555,2223,1474,703,353,231,68,9,5617,291,758,732,504,343,155,40,18,2848,395,852,801,686,601,360,162,63,3915,54,64,68,81,47,22,3,0,340,33,85,80,123,102,49,22,13,515,483,1002,948,887,751,428,192,78,4770,11,63,48,22,25,11,9,0,197,420,729,557,443,357,346,300,140,3295,1884,5998,4452,2855,2025,1260,631,253,19356
POA3021,354,152,76,51,9,0,1610,31,168,102,75,49,21,8,0,446,658,2087,1107,533,362,283,73,12,5117,390,1086,792,455,358,261,69,15,3422,485,1048,947,795,771,575,241,59,4922,61,99,98,80,68,27,6,0,443,50,100,116,124,124,87,35,5,635,598,1247,1158,1003,961,688,281,63,6002,30,55,51,24,39,33,11,0,239,676,1056,780,572,573,512,462,351,4980,2454,6576,4341,2811,2416,1847,915,449,21808
POA3022,55,16,3,10,0,0,150,0,14,19,18,4,0,0,0,50,18,159,121,50,21,3,7,0,376,9,53,75,44,16,16,11,0,216,19,74,80,72,43,29,12,5,334,4,8,15,3,0,4,0,0,35,0,4,10,10,8,5,5,0,39,20,89,106,86,53,33,16,9,408,0,0,0,0,0,0,0,0,7,40,89,59,38,39,26,14,11,309,95,464,427,251,130,99,46,17,1525
POA3023,1001,452,175,84,18,4,2539,27,213,264,248,98,25,19,0,891,741,2382,2713,1737,750,374,110,20,8830,312,1012,1341,1110,545,263,82,9,4671,564,1143,1516,1373,890,512,202,36,6242,93,72,116,109,71,32,0,0,487,58,117,189,216,142,97,25,5,847,723,1330,1827,1698,1098,641,224,43,7579,14,58,72,53,35,28,12,4,270,595,929,787,597,406,333,222,114,3993,2492,6644,8001,5888,3104,1747,687,205,28777
POA3024,1264,201,70,35,4,0,2417,16,151,201,78,45,22,6,0,517,215,1584,1767,463,196,116,36,0,4380,177,757,813,403,235,123,37,3,2542,451,1010,928,701,428,207,59,9,3799,61,62,54,40,32,5,3,0,255,35,61,88,78,43,35,3,0,349,547,1138,1066,823,498,247,67,13,4398,13,57,50,21,18,7,4,0,166,289,443,429,205,128,112,49,24,1681,1274,4953,5584,2195,1194,660,198,41,16104
POA3025,207,69,35,18,3,0,536,11,73,89,59,37,13,3,0,276,99,643,620,243,92,40,14,3,1753,54,211,245,186,96,33,29,4,857,88,307,316,212,147,94,60,33,1252,15,17,22,16,10,7,3,0,90,10,18,22,38,16,12,7,6,129,102,340,355,272,174,111,71,39,1471,3,13,8,8,7,4,5,0,50,74,185,128,107,65,72,129,74,823,360,1652,1643,940,514,293,246,117,5771
POA3026,140,54,15,0,0,0,329,5,21,54,26,11,0,0,0,107,73,330,469,250,71,28,7,0,1233,36,139,255,132,54,17,4,0,638,63,141,232,156,88,34,14,4,731,4,12,29,11,4,3,0,0,57,3,16,33,25,12,6,0,0,97,69,167,295,185,102,41,10,4,886,0,10,7,0,5,4,0,0,30,67,123,105,63,63,23,15,0,456,268,897,1318,711,312,120,41,5,3677
POA3027,552,162,55,22,0,0,1309,5,41,75,32,10,6,0,0,168,141,643,783,263,89,57,5,0,1984,61,177,230,114,81,33,4,0,704,89,131,152,110,58,27,3,0,568,10,13,5,10,0,0,0,0,39,8,22,14,16,8,6,0,0,72,96,161,173,137,72,36,3,0,681,4,12,16,3,6,4,0,0,51,82,172,137,55,36,20,5,0,504,425,1683,1978,761,341,181,25,0,5398
POA3028,510,164,78,38,3,0,1380,13,129,164,105,71,35,5,5,522,260,1126,1026,518,327,197,48,6,3507,149,490,570,440,348,143,51,8,2204,294,729,674,668,692,383,114,22,3582,37,43,34,37,39,14,0,4,209,28,32,75,87,80,49,10,0,353,363,811,771,792,806,448,127,30,4144,13,34,25,15,22,22,5,0,135,210,364,303,240,230,209,106,58,1716,1032,3515,3369,2268,1890,1084,342,110,13611
POA3029,5016,996,326,153,45,0,10962,57,519,750,328,171,78,29,0,1944,1239,6322,6961,2162,1044,605,133,19,18492,798,3220,3389,1566,925,468,136,19,10522,1306,2684,2561,2008,1488,736,297,56,11132,143,166,177,112,83,58,8,0,734,106,229,364,253,213,108,34,9,1314,1555,3081,3103,2365,1779,905,343,59,13184,67,239,294,82,66,51,22,0,824,1238,2298,1876,870,608,468,237,87,7685,5213,19851,21376,8381,4917,2742,943,188,63609
POA3030,4343,1330,499,250,58,8,9040,75,410,758,511,248,126,25,9,2161,975,4727,6846,2825,1214,708,189,33,17514,577,1958,2582,1925,1111,581,177,33,8947,1164,2911,2620,2411,1676,860,302,70,12020,173,197,155,123,111,38,8,0,801,106,205,295,298,221,129,41,10,1302,1440,3309,3065,2834,2008,1030,350,78,14124,38,138,204,123,80,70,30,4,686,873,1361,1371,841,610,547,431,273,6298,4061,14377,19174,10392,5762,3305,1268,436,58769
POA3031,731,353,225,103,15,0,2343,0,183,190,144,105,66,13,0,719,386,1730,1198,624,332,200,36,14,4525,99,318,259,233,151,96,30,13,1190,110,298,233,178,122,68,30,12,1061,15,20,9,18,14,10,5,0,85,22,28,25,27,23,21,0,0,143,143,348,271,227,162,91,35,12,1282,0,26,14,11,9,11,0,3,77,110,243,206,149,109,110,76,43,1049,774,3735,2868,1741,1091,683,210,88,11189
POA3032,890,470,287,184,34,3,3045,18,215,255,196,186,110,21,3,1013,558,2229,1852,1196,655,349,90,15,6944,178,535,492,496,338,189,66,10,2305,207,582,411,400,371,195,90,18,2275,47,48,38,29,17,19,4,0,187,21,66,67,81,85,48,23,3,397,271,695,513,505,471,254,114,22,2860,7,40,35,20,27,11,6,0,146,167,407,269,234,183,148,91,56,1551,1266,5238,4309,3119,2148,1252,421,103,17859
POA3033,217,120,72,40,10,0,614,3,46,87,104,50,37,6,0,333,177,552,645,471,250,135,51,8,2287,47,178,230,280,199,107,82,11,1134,95,276,292,358,263,197,195,48,1715,11,22,12,12,22,8,6,0,86,9,20,25,60,47,25,31,5,222,113,314,332,430,328,226,227,55,2026,0,3,12,15,6,14,10,0,58,62,101,99,103,77,86,124,34,694,417,1350,1618,1529,980,650,499,113,7149
POA3034,183,84,53,29,15,0,525,3,32,76,47,33,22,3,0,219,149,488,516,355,207,167,49,5,1933,40,135,201,185,118,103,47,15,841,76,201,217,249,190,155,116,40,1243,5,16,15,9,20,10,0,0,75,10,16,33,40,45,28,17,6,188,90,232,270,294,254,187,134,45,1505,5,4,10,12,5,4,7,0,49,39,78,86,66,79,108,141,117,717,330,1126,1333,1043,743,620,401,180,5785
POA3036,61,33,35,22,3,0,206,5,20,20,36,26,23,8,0,140,89,189,179,189,124,83,33,12,903,11,57,65,99,112,63,41,5,464,50,96,106,182,150,118,75,30,813,7,7,5,8,8,12,3,0,44,4,5,11,19,27,16,9,0,94,62,107,131,207,186,138,90,33,952,0,4,6,4,8,9,3,5,38,15,34,27,29,39,51,35,37,265,193,452,495,600,530,399,211,90,2970
POA3037,564,337,161,60,5,0,1734,35,173,230,198,88,32,3,0,757,702,1851,1705,1210,579,284,75,13,6416,301,811,1011,969,546,184,69,20,3918,607,1079,1360,1526,1007,422,168,34,6201,82,59,88,76,52,28,3,0,390,60,93,162,237,135,60,17,10,774,746,1234,1616,1832,1191,506,188,44,7367,20,42,49,44,42,28,9,0,230,330,420,436,358,311,240,149,70,2312,2180,5086,5610,4954,2922,1335,499,151,22740
POA3038,207,147,117,56,24,3,846,11,76,88,102,99,43,10,0,436,411,931,633,664,502,252,52,14,3461,142,308,375,489,454,201,58,11,2040,223,490,522,694,783,434,167,32,3348,31,36,19,41,66,32,3,0,230,23,40,53,101,149,69,30,6,470,277,567,601,843,990,536,198,39,4045,12,18,9,24,34,32,8,0,141,159,210,182,200,170,224,108,36,1295,1051,2363,2098,2472,2365,1343,459,108,12255
POA3039,454,228,200,118,19,8,1688,12,142,152,166,142,86,22,5,728,301,1237,923,672,434,247,64,20,3890,116,287,243,261,230,131,45,22,1330,97,288,200,218,224,138,55,27,1248,12,26,18,9,12,6,0,0,93,7,16,31,49,28,33,9,10,185,121,337,249,273,259,178,63,41,1521,6,11,10,5,15,11,5,4,57,58,137,84,84,106,77,88,38,661,643,2775,2123,1694,1377,860,301,127,9889
POA3040,625,404,303,168,47,12,2205,27,159,220,213,204,122,34,6,977,535,1463,1319,1228,840,429,129,43,5976,185,382,391,510,397,289,111,46,2308,161,410,337,502,435,232,118,53,2249,21,30,22,31,27,14,5,0,154,16,34,42,75,90,50,25,17,343,199,472,400,608,557,298,147,71,2747,4,14,18,17,17,12,12,0,98,163,221,173,163,146,149,100,72,1188,1163,3295,3154,3143,2462,1461,577,257,15505
POA3041,243,176,114,77,15,0,851,7,41,78,114,81,62,13,3,400,192,515,630,584,317,201,45,19,2508,67,139,208,268,212,149,57,19,1120,96,199,221,285,223,146,78,28,1287,19,10,7,22,15,12,5,0,90,9,25,24,40,38,37,13,5,185,125,236,257,357,272,188,99,35,1566,0,14,10,10,12,6,9,3,69,41,66,74,84,62,74,60,30,497,452,1222,1506,1587,1073,758,300,108,7007
POA3042,214,144,57,36,8,0,738,4,84,107,97,59,27,9,0,377,163,703,752,445,240,121,34,6,2478,67,258,327,305,249,138,50,8,1395,140,432,423,450,350,228,114,46,2182,27,27,24,22,15,7,7,0,122,14,20,35,63,33,38,18,6,232,179,485,481,539,398,270,133,51,2531,0,9,15,14,9,11,12,0,72,65,104,103,104,98,105,114,63,768,488,1910,2003,1643,1119,718,357,130,8355
POA3043,148,86,48,32,7,0,511,5,60,58,52,28,30,9,0,251,156,625,512,314,181,127,52,5,1979,62,299,355,270,203,140,57,12,1402,156,551,471,414,337,276,162,32,2404,26,35,41,21,26,16,4,0,173,12,41,53,59,45,53,24,5,277,192,622,559,487,406,347,191,43,2851,3,9,13,21,16,19,10,4,98,104,171,146,122,129,153,150,53,1029,550,1961,1795,1354,1010,842,479,125,8112
POA3044,767,352,171,79,17,5,2144,12,185,265,213,145,55,5,0,886,375,1777,1676,979,503,197,55,23,5589,165,471,566,537,344,144,61,25,2296,200,614,483,567,481,228,97,73,2736,24,40,29,22,27,14,3,5,167,17,42,55,91,71,38,10,14,353,247,698,572,680,574,277,110,86,3251,11,31,28,28,17,11,15,7,151,126,246,231,195,144,133,132,126,1340,971,4140,4097,2974,1906,897,395,277,15664
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,9,6,6,8,3,4,0,0,44,7,8,8,10,11,4,0,0,54
POA3046,880,255,118,43,13,6,2676,19,222,227,154,119,45,19,5,811,505,2362,1682,643,363,167,69,18,5806,303,796,731,528,304,153,68,33,2904,332,830,687,584,538,257,163,84,3470,32,44,50,43,26,20,3,0,214,33,67,73,93,92,31,30,8,436,396,945,806,724,652,308,198,97,4119,23,49,50,19,18,18,11,4,192,335,640,367,296,245,209,252,291,2645,1644,6318,4740,2613,1815,944,633,439,19147
POA3047,236,77,36,17,3,0,878,14,67,39,22,30,6,3,0,189,208,825,434,180,102,52,17,8,1828,144,407,312,176,123,70,27,4,1263,229,438,337,256,212,111,49,26,1657,52,38,31,27,16,10,0,0,172,20,36,37,37,32,19,5,3,196,298,513,407,323,266,136,52,27,2022,6,30,16,18,13,4,3,0,94,377,542,405,301,268,144,129,43,2221,1092,2855,1850,1104,837,432,240,85,8486
POA3048,132,42,30,14,0,0,427,19,57,44,35,14,5,3,0,187,191,517,258,139,115,60,20,5,1301,89,279,234,199,144,52,17,4,1015,180,369,271,264,217,95,54,13,1464,44,34,23,22,18,5,0,0,156,23,37,54,39,29,15,5,0,205,254,438,352,330,264,117,58,12,1824,7,18,20,13,16,4,5,5,80,210,295,266,182,178,123,80,25,1364,785,1803,1302,944,756,376,184,44,6190
POA3049,63,43,31,9,3,0,231,3,30,37,33,22,18,0,0,161,100,349,216,151,108,39,22,6,994,48,165,188,176,169,74,27,4,838,105,275,259,292,277,172,59,10,1447,15,14,12,9,9,10,0,0,67,13,16,25,39,37,12,8,0,159,133,303,294,338,320,197,70,13,1667,8,9,9,6,0,10,6,0,39,71,74,98,78,79,73,59,41,573,365,1002,906,826,743,420,187,66,4507
POA3051,581,306,177,107,35,3,2495,12,150,122,87,64,46,14,0,499,705,1617,796,419,218,125,50,14,3948,123,227,218,136,106,74,31,17,928,91,223,134,109,82,48,19,0,706,17,13,7,9,8,4,0,0,62,5,21,19,17,25,11,7,0,103,114,254,154,130,118,59,30,0,868,10,24,9,12,12,4,9,0,77,266,378,232,127,139,98,42,19,1307,1323,3870,2107,1215,830,515,203,60,10121
POA3052,234,118,128,95,63,12,1224,11,56,28,25,18,22,8,4,173,345,676,251,124,114,81,70,22,1680,48,106,55,49,32,34,13,12,343,81,86,42,27,19,14,7,6,277,28,7,3,3,3,0,0,0,47,6,6,6,8,9,4,6,4,54,111,103,54,29,30,24,8,5,369,19,9,3,0,0,5,0,0,39,160,113,70,39,30,24,27,14,477,740,1592,703,385,341,276,187,71,4305
POA3053,487,194,152,120,56,15,2874,23,148,72,42,35,31,16,0,365,1386,2126,531,224,174,182,116,34,4765,258,317,155,78,82,66,38,17,1005,158,223,103,71,54,27,14,4,648,35,14,4,5,10,5,5,0,83,27,18,23,14,11,15,7,0,114,220,259,124,90,67,43,23,7,848,37,52,12,7,4,5,0,3,125,310,365,143,99,57,50,68,57,1156,2427,4918,1532,745,573,499,312,139,11136
POA3054,290,223,185,178,86,14,1474,4,104,57,61,71,62,18,0,383,329,998,453,284,250,206,105,16,2646,47,140,86,61,67,62,31,9,503,36,129,50,50,56,30,10,8,376,8,7,5,0,4,3,4,0,27,3,11,12,11,9,11,0,0,54,50,148,69,62,66,42,13,8,459,4,13,4,7,0,10,7,0,49,29,78,61,45,40,33,28,18,334,487,1960,1026,737,680,608,280,72,5846
POA3055,569,282,174,102,17,0,1880,11,159,166,126,109,60,15,0,642,361,1444,879,497,289,155,45,6,3687,104,327,237,176,139,76,18,5,1089,131,364,207,196,126,81,34,23,1158,11,29,16,10,7,8,0,0,83,8,30,28,26,32,15,13,6,156,147,416,247,230,174,101,47,31,1397,0,21,18,19,10,7,5,0,75,59,182,116,61,67,70,57,41,642,723,3254,2236,1397,945,565,209,86,9410
POA3056,1091,563,351,202,54,0,3895,22,299,309,215,201,92,17,0,1172,808,3190,1694,840,451,274,51,12,7322,169,504,417,269,177,86,43,12,1679,197,504,272,233,181,73,42,18,1509,32,43,20,9,9,13,0,0,113,26,48,29,42,40,21,7,0,204,247,591,311,281,229,105,48,19,1834,7,21,28,12,13,12,4,0,99,109,305,151,98,94,92,73,40,963,1437,6486,4000,2279,1522,867,295,90,16966
POA3057,684,272,168,78,30,0,2181,7,226,181,113,74,48,8,3,656,390,1989,960,453,214,104,24,4,4142,62,320,250,142,90,49,11,0,931,105,299,154,114,81,45,18,12,821,9,13,16,10,8,3,3,0,54,4,23,32,19,17,8,11,0,127,115,333,197,140,105,54,28,14,999,8,18,21,3,3,5,0,0,60,52,195,132,81,49,38,30,16,590,676,3995,2421,1205,709,382,133,36,9560
POA3058,1166,674,334,123,31,4,3484,10,244,384,359,201,107,18,4,1326,518,2374,2008,1274,581,290,64,10,7124,228,610,640,563,380,188,36,8,2653,264,653,527,523,411,224,111,40,2751,44,42,33,37,8,13,0,0,185,26,56,53,89,81,40,9,9,359,332,754,614,649,508,277,117,40,3295,10,27,47,24,32,16,11,5,170,161,339,250,222,192,173,147,127,1611,1312,5449,5111,3775,2217,1172,426,201,19655
POA3059,271,130,81,28,0,0,782,17,85,82,65,52,27,3,0,320,285,937,769,467,275,116,18,0,2857,134,370,428,431,273,123,26,0,1785,220,546,480,456,461,203,57,9,2431,32,29,26,28,19,8,6,0,149,19,47,56,57,67,32,5,0,284,272,622,555,544,551,248,68,7,2862,3,13,20,18,19,13,4,0,97,103,175,178,122,137,99,50,9,879,845,2429,2300,1772,1383,663,164,19,9584
POA3060,330,126,52,33,0,0,965,6,62,85,46,17,6,5,0,228,151,683,562,243,118,56,22,7,1842,75,234,246,173,100,32,14,5,875,136,259,229,236,168,102,41,22,1188,18,18,14,6,13,7,0,0,78,13,27,30,26,31,7,3,0,150,168,304,278,266,216,121,43,23,1415,9,17,20,10,10,3,0,0,58,151,208,188,102,90,88,89,53,969,577,1901,1707,973,601,344,166,85,6350
POA3061,39,11,4,0,0,0,91,4,18,5,7,4,3,0,0,37,39,130,64,39,23,18,0,0,316,17,74,100,53,21,20,6,0,296,50,91,77,69,57,32,28,4,404,12,12,4,11,0,0,0,0,37,3,12,10,14,13,3,8,0,49,64,113,90,81,67,35,33,4,495,4,7,4,3,3,0,0,3,25,59,66,75,47,64,47,34,5,397,189,450,373,247,189,120,77,9,1661
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA3063,4,3,0,0,0,0,12,0,0,0,0,4,5,0,0,11,5,14,6,15,13,3,0,0,51,7,3,12,17,11,0,0,0,42,6,10,17,34,21,9,8,3,103,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,8,4,10,20,36,19,9,5,5,118,0,0,0,0,0,0,0,0,0,0,9,3,11,15,4,5,0,40,16,34,41,81,58,21,10,5,277
POA3064,2483,626,248,121,26,3,5630,83,494,476,260,98,49,15,0,1471,1040,4694,4238,1518,842,372,67,16,12795,680,2935,2962,1412,794,303,62,14,9158,1315,3130,2556,1824,1396,487,158,23,10897,168,237,213,127,83,30,7,0,873,131,308,308,257,186,65,20,4,1284,1621,3675,3077,2210,1666,582,190,26,13053,55,130,201,90,53,32,15,5,583,984,1549,1329,821,553,351,169,95,5855,4572,15497,14767,6938,4261,1799,543,160,48542
POA3065,382,239,213,107,51,4,1587,8,117,86,83,73,42,4,0,404,246,1379,647,326,235,148,56,21,3063,46,208,143,93,82,48,30,10,655,41,172,116,74,65,29,12,9,511,4,16,14,11,7,3,0,0,62,8,18,23,16,13,4,4,5,86,53,201,155,95,93,40,11,6,659,4,20,9,5,15,4,3,0,53,98,234,172,114,112,87,38,23,877,471,2737,1588,953,824,473,201,58,7301
POA3066,350,151,86,52,11,0,1324,3,130,77,49,46,19,0,0,328,201,1521,624,246,135,73,27,3,2823,47,224,166,104,56,34,13,0,647,49,210,136,94,52,21,8,0,578,10,23,7,14,7,4,0,0,61,5,23,16,14,12,7,4,0,81,63,252,160,125,76,36,7,5,728,0,23,3,0,4,0,0,0,39,96,194,125,96,58,29,23,4,625,426,2999,1511,770,458,244,87,17,6517
POA3067,412,153,101,63,18,4,1377,5,145,73,52,51,45,11,0,383,229,1501,691,274,155,101,46,6,3004,60,261,161,85,65,44,21,5,707,61,200,112,80,72,25,18,0,560,10,20,6,10,6,7,0,0,55,5,20,13,10,10,6,4,0,77,73,239,135,96,83,36,22,0,691,7,21,12,7,0,9,0,0,59,45,201,116,59,56,41,30,13,560,450,2972,1615,730,510,333,142,30,6779
