POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3140,4979,5321,10300,367,483,847,40,32,75,2000,2105,4096,34,38,66,14,13,26,9,14,25,9,11,21,4,5,17,0,0,0,0,0,0,2106,2221,4322,111,149,264,38,27,65,2624,2874,5502,304,271,576,7913,8466,16382
POA3141,3567,4036,7607,435,467,900,408,458,864,3873,4040,7912,251,289,541,129,124,257,162,184,342,45,51,94,24,20,47,63,55,121,0,0,6,4959,5226,10187,1714,2041,3752,99,95,187,7203,7826,15030,791,914,1707,11563,12777,24339
POA3142,2885,3394,6281,370,465,835,102,115,217,1427,1566,2997,56,83,138,16,29,46,32,47,84,5,18,18,0,3,8,11,9,22,0,0,0,1659,1865,3526,422,493,916,24,31,52,2468,2856,5330,373,433,809,5732,6685,12421
POA3143,1783,2169,3956,161,188,345,68,99,173,1376,1639,3016,52,52,105,24,30,54,38,41,85,11,8,20,0,0,4,7,13,16,0,0,0,1573,1895,3473,318,406,722,30,20,54,2082,2508,4592,190,215,404,4052,4895,8948
POA3144,2755,3162,5918,277,294,572,59,70,129,1196,1379,2579,21,25,47,4,11,22,16,14,26,11,8,14,0,0,0,5,6,10,0,0,0,1316,1513,2832,269,306,571,24,18,39,1888,2128,4015,187,200,393,4822,5499,10327
POA3145,6061,6439,12502,479,524,1002,106,113,213,2644,2790,5434,73,88,163,37,34,69,52,51,101,20,25,44,14,9,17,15,24,39,0,0,0,2951,3135,6089,1016,988,2009,58,59,116,4508,4706,9215,382,405,788,10950,11554,22506
POA3146,6935,7530,14462,553,610,1166,114,113,227,3086,3311,6399,76,78,157,48,52,99,51,57,110,17,15,33,13,16,26,17,21,43,0,0,0,3422,3673,7090,636,740,1371,52,47,99,4664,5071,9737,318,378,697,11919,12967,24894
POA3147,4130,4421,8556,291,287,573,41,41,89,1729,1750,3477,45,38,88,22,17,40,16,24,35,14,10,24,4,0,5,4,0,3,0,0,0,1884,1882,3763,412,398,813,33,31,66,2619,2593,5208,253,297,551,7001,7314,14318
POA3148,2177,2330,4517,141,161,301,60,38,98,1295,1243,2538,32,38,70,28,18,47,17,21,34,6,3,14,5,0,7,3,0,9,0,0,0,1448,1360,2815,494,399,892,38,30,65,2121,1953,4071,225,178,409,4524,4461,8988
POA3149,9306,10066,19375,701,774,1481,120,111,232,3871,3768,7641,87,78,162,72,77,147,68,70,132,33,32,62,12,11,27,17,20,31,0,0,0,4276,4162,8439,1651,1604,3252,78,76,157,6716,6613,13326,566,523,1088,16589,17198,33787
