POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3419,3,24,0,8,0,40,0,0,8,9,18,5,44,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,3,0,3,3,11,55,38,126,16,248
POA3420,0,6,0,0,0,7,0,0,5,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,8,0,0,14,16,53,4,91
POA3423,0,4,0,0,0,5,0,0,6,7,12,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,14,22,47,5,88
POA3424,6,11,0,0,0,20,0,4,11,9,12,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,8,3,9,39,26,85,10,171
POA3427,28,105,25,31,0,224,28,33,94,57,80,12,303,3,0,7,10,10,0,33,0,0,9,15,68,0,99,4,0,12,4,21,12,63,173,98,588,402,796,75,2141
POA3428,0,7,7,4,0,17,4,0,8,4,3,0,24,0,0,3,0,0,0,3,0,0,0,0,5,0,10,0,0,0,0,3,0,5,13,8,40,39,90,4,196
POA3429,216,670,236,290,26,1689,188,186,672,406,523,55,2037,10,9,63,39,61,6,190,16,6,60,100,341,16,542,18,8,67,60,245,59,449,893,664,3265,2621,5732,369,13542
POA3430,0,0,0,0,0,6,0,0,7,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,21,13,39,4,83
POA3431,25,70,27,43,5,202,19,25,73,40,57,9,227,0,0,4,13,12,0,35,3,0,4,10,52,0,67,4,0,8,9,27,13,52,121,95,408,295,680,54,1651
POA3432,3,0,3,0,0,3,0,0,4,3,0,0,9,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,23,16,11,7,62
