POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3565,0,0,0,0,0,4,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,6,0,8,13,14,3,43
POA3566,0,12,0,6,0,16,0,0,9,5,4,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,3,4,0,3,28,33,64,13,138
POA3567,3,5,0,0,0,10,0,0,3,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,8,36,20,71,11,145
POA3568,13,41,11,4,0,66,11,8,23,35,28,4,117,0,0,0,0,3,0,6,0,0,0,4,24,0,27,0,0,3,4,23,6,35,27,27,136,117,377,44,730
POA3570,5,8,0,3,0,18,3,3,11,7,14,0,36,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,12,3,13,10,6,30,32,115,19,215
POA3571,0,6,3,6,0,13,0,0,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,17,22,48,10,93
POA3572,0,7,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,22,3,47
POA3573,0,0,0,6,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,4,3,3,23,21,46,7,100
POA3575,6,13,0,0,0,28,3,0,7,7,13,3,36,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,0,0,3,5,3,9,68,39,104,15,243
POA3576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,0,17
POA3579,12,60,19,23,0,127,16,15,51,44,82,10,227,0,0,0,0,7,0,5,0,0,0,4,52,0,62,0,0,4,8,21,0,41,46,39,226,224,750,60,1346
POA3580,0,8,0,3,0,13,3,0,10,9,16,4,40,0,0,0,0,0,0,0,0,0,0,3,5,0,7,0,0,0,0,13,5,15,3,7,35,36,141,14,232
POA3581,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,18,6,42
POA3583,0,0,0,4,0,7,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,9,12,29,0,47
POA3584,0,19,0,7,0,33,6,4,12,8,18,0,52,0,0,0,0,0,0,5,0,3,0,4,18,0,25,0,0,0,0,5,4,9,8,9,59,48,194,17,340
POA3585,54,198,45,96,5,426,66,55,213,147,194,20,689,0,0,0,10,23,0,36,3,9,6,14,130,6,166,0,0,11,10,65,21,113,146,151,736,574,1567,115,3281
POA3586,3,4,3,7,0,26,4,4,11,7,23,4,48,0,0,0,0,4,0,3,0,0,0,0,12,0,11,0,0,0,0,11,0,19,9,6,36,35,155,15,256
POA3588,0,5,0,6,0,9,0,0,0,5,4,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,4,0,0,15,13,49,11,90
POA3589,0,3,0,3,0,10,0,4,4,3,5,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,6,14,12,48,7,86
POA3590,0,4,3,5,0,13,0,6,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,7,23,16,50,9,97
POA3591,4,0,4,3,0,6,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,10,29,3,50
POA3594,4,8,0,5,0,11,0,4,0,10,7,6,19,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,9,3,7,18,27,69,9,141
POA3595,0,0,0,3,0,7,0,0,4,10,9,0,23,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,4,0,5,0,3,14,12,78,3,119
POA3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,3,23
POA3597,0,6,0,0,0,15,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,6,10,3,3,22,33,54,19,139
POA3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,9,22,5,35
POA3607,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,7,10,29,6,49
POA3608,9,34,11,8,3,79,5,11,30,23,30,10,110,0,0,5,0,0,0,20,0,0,0,3,17,0,24,0,0,3,11,14,0,27,24,33,168,129,348,35,741
POA3610,6,18,5,3,3,40,0,4,16,27,20,0,66,0,0,0,0,4,0,5,0,0,0,0,13,0,18,0,0,4,5,19,0,25,16,12,77,76,196,15,383
POA3612,9,9,6,4,0,34,0,3,21,24,25,10,91,0,0,4,0,0,0,11,0,0,0,5,8,0,13,0,0,0,0,6,9,23,19,16,62,71,199,37,404
POA3614,4,16,3,0,0,30,3,3,18,13,19,6,67,0,0,0,0,0,0,4,3,0,4,0,20,0,26,0,0,6,0,4,3,14,22,14,72,56,159,12,340
POA3616,35,76,13,21,0,168,26,17,83,96,77,8,301,0,0,4,8,13,0,19,0,4,5,12,48,0,76,3,0,3,8,22,11,46,94,81,357,325,723,60,1640
POA3617,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,8,14,0,37
POA3618,3,0,3,0,4,13,0,0,9,13,13,0,32,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,4,0,9,7,3,19,44,96,17,176
POA3620,37,94,33,35,0,230,22,28,118,117,174,17,465,0,0,4,4,10,5,24,4,3,8,18,100,6,136,3,0,8,4,41,25,85,82,92,444,409,1132,109,2267
POA3621,0,27,6,12,0,54,5,3,30,26,56,8,126,0,0,0,0,7,0,8,0,0,0,4,24,0,34,0,0,0,5,23,6,34,11,16,121,110,383,44,688
POA3622,0,8,0,0,0,11,0,4,10,7,4,0,26,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,5,38,29,74,6,162
POA3623,3,8,5,0,0,13,0,3,10,11,17,0,37,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,5,0,6,9,7,43,43,117,9,223
POA3624,0,0,3,0,0,7,0,0,0,9,10,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,4,18,23,80,9,125
POA3629,40,84,43,54,6,233,35,32,121,139,184,16,528,0,0,7,3,11,0,17,0,5,7,16,69,4,93,0,0,16,16,44,15,98,98,99,407,464,1173,91,2333
POA3630,161,385,131,190,15,1019,281,151,687,433,570,67,2194,4,0,13,8,25,0,57,14,8,38,75,252,9,396,17,0,38,51,139,65,303,678,445,2006,1489,3407,353,8381
POA3631,104,244,67,95,8,587,128,81,363,205,211,30,1018,0,0,11,8,18,0,35,3,8,17,22,172,4,221,4,0,22,15,75,28,144,326,257,1192,813,1949,154,4690
POA3633,0,12,7,6,0,32,8,4,6,14,16,0,43,0,0,0,0,0,0,0,0,0,3,7,0,0,9,0,0,0,0,8,0,11,13,5,40,45,97,5,210
POA3634,10,31,15,15,0,73,7,15,32,32,40,3,126,0,0,0,0,0,0,4,0,0,0,4,20,0,25,0,0,0,4,16,0,27,25,29,114,106,278,22,581
POA3635,0,3,3,0,0,11,0,4,5,3,7,0,35,0,0,0,0,0,0,0,0,0,0,4,9,0,9,0,0,0,0,7,0,3,3,11,21,26,88,4,157
POA3636,18,63,19,31,3,150,20,18,84,70,105,9,302,0,0,3,0,6,0,14,3,0,0,5,57,4,73,0,0,4,10,29,8,55,50,52,256,242,724,78,1404
POA3637,7,0,0,3,0,17,0,0,7,13,8,0,30,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,5,0,5,23,28,108,10,185
POA3638,11,26,9,14,0,71,4,4,38,28,31,5,118,0,0,0,0,4,0,9,0,0,0,3,17,0,29,0,0,0,0,20,6,31,19,19,110,101,308,32,591
POA3639,0,11,3,5,0,14,0,0,4,3,7,0,18,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,0,0,4,0,4,3,3,24,19,73,4,133
POA3640,3,0,3,5,0,19,0,3,12,18,17,3,53,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,3,0,8,0,14,3,15,76,66,141,16,316
POA3641,0,4,5,12,0,26,0,3,13,14,16,0,49,0,0,3,0,0,0,3,0,0,6,0,9,0,16,0,0,0,0,5,0,6,3,9,45,70,185,23,337
POA3644,32,100,36,37,3,230,16,19,84,101,115,15,351,0,0,0,0,9,0,18,0,0,6,23,61,10,96,0,3,6,5,40,18,79,59,81,415,408,1156,124,2249
POA3646,4,14,0,4,0,23,0,3,16,7,6,0,30,0,0,0,0,0,0,5,0,0,0,0,8,0,8,0,0,0,0,5,0,3,15,10,54,21,86,7,189
POA3647,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,3,0,14
POA3649,0,3,0,0,0,10,0,0,5,6,3,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,35,22,69,9,135
POA3658,17,69,32,30,0,169,15,21,66,72,86,10,272,0,0,3,6,4,0,17,3,0,8,11,65,0,88,0,0,13,16,53,12,87,80,72,318,317,972,78,1839
POA3659,3,16,8,4,0,30,0,8,13,10,4,0,41,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,6,6,10,16,15,60,59,110,15,266
POA3660,21,85,30,35,0,187,25,28,86,80,115,16,342,0,0,5,9,15,0,35,0,6,8,16,62,0,94,0,0,0,6,23,17,47,94,80,399,384,988,78,2020
POA3662,4,7,3,3,0,21,0,3,8,6,9,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,4,3,10,18,12,73,72,177,10,360
POA3663,0,0,8,0,0,5,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,10,16,23,3,54
POA3664,0,16,7,7,0,35,4,0,13,19,9,0,52,0,0,3,4,4,0,11,0,0,3,0,6,0,9,0,4,5,0,3,0,10,27,24,80,81,170,7,386
POA3665,6,8,4,0,0,16,0,0,4,0,0,0,12,0,0,0,0,3,0,7,0,0,0,0,4,0,6,0,0,0,0,0,0,0,8,4,28,26,54,7,125
POA3666,23,63,12,17,0,144,18,15,45,57,66,12,214,0,0,15,12,28,4,60,4,0,7,8,34,0,51,4,0,4,6,13,5,39,92,69,308,260,607,79,1411
POA3669,9,9,9,5,0,32,9,0,22,14,28,3,82,0,0,0,5,0,0,7,0,0,4,0,11,0,17,0,0,0,0,4,3,11,26,18,89,76,172,26,409
POA3670,0,6,6,0,0,16,6,0,9,4,18,0,39,0,0,0,0,0,0,6,0,0,0,0,4,0,6,0,0,0,0,3,0,12,14,8,36,30,92,9,175
POA3672,47,118,55,62,4,322,40,35,156,155,210,25,625,3,5,7,6,25,3,50,0,3,6,13,80,4,110,0,0,4,11,56,24,110,169,121,552,545,1367,148,2902
POA3673,10,27,6,12,0,51,7,0,28,19,25,0,83,5,0,0,5,4,0,12,0,0,3,0,23,0,32,0,0,4,5,8,4,17,21,25,144,108,281,33,618
POA3675,21,30,8,13,0,90,7,14,41,40,42,5,144,0,0,3,0,0,0,5,0,7,0,6,18,0,29,0,0,0,0,15,7,23,30,53,163,127,317,29,723
POA3677,87,259,68,131,10,628,156,140,503,335,419,33,1582,4,3,10,11,32,0,52,13,3,21,43,172,0,250,9,3,12,18,91,38,167,353,309,1281,979,2524,212,5665
POA3678,36,113,39,42,0,273,47,45,139,112,99,13,458,5,0,9,12,13,3,40,0,0,5,20,60,0,85,0,0,17,10,31,14,67,137,141,581,430,1004,88,2392
POA3682,0,8,3,0,0,19,0,3,3,14,15,0,31,0,0,0,0,3,0,3,0,0,0,0,12,0,15,0,0,0,4,3,0,13,5,10,45,40,121,5,230
POA3683,9,14,10,17,0,55,4,12,34,20,39,3,126,0,0,0,5,6,0,9,0,0,3,4,9,0,16,0,0,0,5,17,5,33,27,32,103,93,265,27,548
POA3685,12,39,16,22,0,92,9,10,37,34,45,3,143,3,0,3,0,0,0,6,0,0,4,4,19,0,35,0,0,7,0,14,4,22,52,44,211,171,419,28,929
POA3687,3,11,5,3,0,22,0,3,20,9,17,4,52,0,0,0,0,0,0,0,0,0,0,6,13,0,16,0,0,0,0,3,0,7,3,7,57,49,165,10,290
POA3688,9,15,10,5,0,48,10,4,21,21,27,3,87,0,0,0,0,7,0,8,0,0,0,4,16,0,18,0,0,0,0,11,0,12,23,25,79,82,249,20,483
POA3690,170,427,200,268,12,1228,199,188,720,491,787,47,2437,3,5,18,6,40,0,71,8,7,36,77,328,12,458,11,10,40,40,195,44,345,577,523,2206,1956,5246,301,10814
POA3691,81,228,66,88,4,544,74,90,314,165,214,14,870,4,0,9,10,11,0,29,3,8,14,29,122,4,175,5,4,13,21,68,11,123,262,254,1102,828,2170,138,4763
POA3695,0,8,4,7,0,25,0,4,7,10,7,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,4,5,5,40,38,87,5,182
POA3697,6,3,5,4,0,19,0,5,11,0,4,4,21,0,0,5,0,3,0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,0,14,16,55,29,75,5,188
POA3698,10,25,7,3,0,61,6,3,14,11,12,0,42,4,0,8,3,6,0,29,0,0,5,0,0,0,3,0,0,0,0,4,9,12,41,21,107,60,111,14,353
POA3699,14,22,0,13,0,57,0,9,19,9,17,3,54,0,4,5,8,7,0,30,0,0,0,0,8,0,3,0,0,0,0,5,0,3,27,27,122,57,172,13,424
POA3700,11,14,6,5,0,43,0,8,17,17,34,0,78,0,0,4,0,0,0,5,0,0,0,0,18,0,19,0,0,0,0,7,8,21,6,27,71,57,231,20,415
POA3701,3,5,6,4,0,29,0,4,15,11,18,0,55,0,0,3,0,0,0,6,0,0,0,0,5,0,10,0,0,0,0,4,0,6,14,19,50,53,172,15,324
POA3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,10
POA3705,0,3,0,0,0,10,0,0,3,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,18,16,39,5,79
POA3707,11,22,9,7,0,56,5,8,38,31,36,5,118,0,0,0,4,3,0,5,0,3,0,0,25,0,32,0,0,0,0,4,0,12,23,37,83,85,260,23,515
POA3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,4,22
POA3709,0,4,0,6,0,3,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,4,0,0,5,0,13,16,45,8,83
POA3711,4,8,0,4,4,21,3,0,14,8,8,3,35,0,0,5,0,0,0,4,0,0,0,0,8,0,6,0,0,0,0,0,0,5,8,4,50,29,96,5,191
POA3712,4,9,0,0,0,7,0,0,3,6,4,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,5,0,3,0,4,23,11,53,4,97
POA3713,3,12,7,16,4,39,8,7,12,7,16,0,44,0,0,0,0,5,0,7,0,0,3,5,4,0,7,0,0,0,0,5,0,5,10,13,43,44,136,10,252
POA3714,23,56,15,27,4,144,10,11,49,38,60,9,185,0,0,4,10,3,0,24,3,3,7,8,28,0,50,3,0,0,6,24,9,40,60,64,224,183,488,53,1078
POA3715,3,3,0,0,0,8,0,0,0,8,7,0,22,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,3,3,0,11,6,3,15,25,60,5,125
POA3717,11,39,18,21,0,108,9,13,46,41,34,7,145,0,0,5,0,4,0,8,5,0,5,9,38,0,53,3,0,10,11,30,9,54,49,43,202,189,483,48,1011
POA3718,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,3,8,11,11,5,34
POA3719,0,7,8,0,0,15,0,0,6,0,5,0,19,0,0,0,0,4,0,4,0,0,3,0,0,0,9,0,0,0,0,0,0,3,7,10,31,28,49,0,121
POA3720,7,11,0,0,0,17,0,0,7,4,9,0,17,0,0,6,0,0,0,0,0,0,0,0,9,0,5,0,0,0,5,4,0,7,7,13,49,48,100,3,223
POA3722,38,98,33,35,9,232,24,17,83,64,57,14,266,5,3,6,14,9,0,24,0,5,14,15,60,0,94,5,3,7,5,16,15,45,96,97,448,346,840,69,1891
POA3723,29,62,22,13,4,164,9,16,43,21,19,3,107,0,0,6,0,3,0,14,0,0,4,9,18,0,30,4,0,13,3,15,7,41,102,65,293,180,405,38,1080
POA3725,6,10,4,5,0,15,0,3,4,8,4,0,21,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,4,9,11,43,40,89,9,190
POA3726,0,0,0,3,0,10,0,0,3,5,4,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,5,0,0,7,5,6,10,26,56,9,112
POA3727,0,0,4,0,0,5,0,0,9,4,8,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,5,0,0,9,13,50,4,77
POA3728,5,7,0,0,0,12,3,5,10,4,13,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,5,31,28,92,5,166
POA3730,46,121,31,49,9,281,34,27,145,90,138,9,440,0,0,6,4,11,3,21,0,0,5,23,64,0,99,0,0,3,7,47,5,73,105,107,517,432,1261,102,2517
POA3732,5,9,7,9,0,27,0,0,8,6,5,0,20,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,8,0,8,4,8,52,43,92,11,202
POA3733,0,0,3,0,0,8,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,5,6,11,24,28,3,80
POA3735,0,14,3,4,0,27,7,9,5,6,7,3,30,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,3,10,0,15,6,12,46,47,104,15,236
POA3737,15,50,12,23,0,121,16,21,89,61,76,8,265,0,0,3,0,3,0,10,0,0,3,3,36,0,48,0,0,7,4,31,4,44,64,61,288,229,639,53,1336
POA3738,0,0,0,0,0,9,0,0,3,4,10,0,15,0,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,3,4,4,0,16,14,31,0,73
POA3739,0,0,0,0,0,0,3,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,21,12,22,8,78
POA3740,10,9,5,4,0,35,0,8,18,20,12,5,62,0,0,3,0,7,0,17,0,0,4,0,12,0,18,0,0,0,0,7,3,17,32,27,111,86,186,18,450
POA3741,18,66,15,8,0,131,14,14,50,31,21,0,129,0,0,8,14,11,0,31,0,0,5,5,25,0,37,4,0,6,7,20,5,41,96,70,362,221,433,30,1218
POA3744,7,14,6,8,0,33,5,0,0,6,0,0,12,0,0,0,0,0,0,9,0,0,0,0,3,0,3,0,0,0,4,0,0,5,22,12,53,33,58,3,177
POA3746,6,0,0,5,0,16,4,0,4,7,10,0,23,0,0,0,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,10,9,25,24,53,6,122
POA3747,52,92,13,18,0,231,48,41,118,84,76,15,387,6,4,11,8,3,0,30,6,0,4,6,27,0,39,0,0,17,9,12,11,48,196,172,512,283,549,59,1774
POA3749,14,49,11,6,0,121,16,20,53,26,16,7,140,0,0,6,0,0,0,7,0,0,5,5,17,0,24,0,0,6,4,9,5,22,91,50,249,115,238,26,766
POA3750,91,236,87,69,11,678,295,93,735,379,284,50,1836,7,5,34,19,19,4,79,28,6,50,59,127,12,280,51,9,98,75,100,51,378,1467,315,2742,1701,1874,298,8397
POA3751,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,5,7,5,12,0,39
POA3752,113,334,121,126,13,870,216,119,588,329,360,44,1663,15,0,22,30,37,9,113,5,5,37,64,199,8,320,37,6,82,52,123,38,338,1010,383,2595,1619,2816,271,8685
POA3753,16,58,27,31,3,151,40,22,98,53,45,7,265,0,0,3,4,7,0,17,0,4,7,8,46,0,62,7,3,11,12,27,9,68,127,66,361,339,648,55,1601
POA3754,275,844,302,294,24,2102,404,254,1271,697,746,95,3464,17,13,60,62,68,3,235,47,10,98,182,438,11,780,73,13,132,101,237,68,622,2013,825,5185,3545,6224,435,18229
POA3755,0,4,0,0,0,3,0,0,4,6,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,18,12,37,0,79
POA3756,47,150,96,120,9,485,70,59,226,185,231,27,796,3,0,19,13,29,0,64,7,0,19,44,156,14,238,14,5,24,27,132,42,244,344,186,994,999,2286,183,4980
POA3757,42,133,61,65,3,344,35,32,144,123,132,23,490,0,8,4,10,17,0,38,3,4,12,31,105,9,156,4,0,12,14,81,23,134,144,125,579,577,1545,112,3086
POA3758,14,22,18,24,0,86,3,9,17,28,41,3,96,0,0,0,0,4,0,7,0,0,0,8,36,0,47,0,0,6,0,15,4,28,38,39,105,133,422,40,769
POA3759,15,21,4,3,0,46,10,11,23,14,15,0,76,0,0,0,0,0,0,8,3,0,4,0,3,0,12,0,0,0,3,6,3,11,30,40,126,70,152,25,440
POA3760,5,10,0,0,0,15,0,3,7,0,3,0,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,15,36,28,51,0,146
POA3761,0,22,10,0,3,56,11,8,25,12,14,0,56,0,0,3,0,0,0,12,0,0,10,4,6,0,24,0,0,0,3,4,5,15,47,19,124,74,161,13,434
POA3762,0,4,0,0,0,0,0,0,5,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,4,20,5,40
POA3763,11,20,21,10,0,76,4,4,23,22,27,0,85,0,0,5,3,4,0,11,0,0,0,10,29,3,35,0,0,0,0,8,3,18,35,29,103,116,312,24,614
POA3764,64,132,56,73,6,395,35,36,130,117,133,10,471,5,3,6,13,16,0,35,4,0,10,25,102,0,145,6,0,18,17,66,15,123,192,152,651,617,1500,102,3215
POA3765,33,123,42,29,0,285,36,42,130,87,93,11,395,0,0,11,6,3,0,26,7,0,8,15,73,3,108,5,0,12,14,44,11,89,155,119,630,451,1048,64,2459
POA3766,17,31,10,0,0,85,13,14,26,16,16,0,84,0,0,8,4,4,0,10,3,0,3,0,7,0,16,0,0,3,0,0,0,9,75,41,172,79,138,10,515
POA3767,25,37,10,7,0,106,18,6,22,13,8,0,72,3,0,6,3,4,0,15,3,0,6,0,11,0,20,0,0,0,3,6,0,19,63,44,141,88,148,12,502
POA3770,14,30,16,12,3,97,13,7,49,22,36,9,141,0,0,8,8,9,0,24,5,0,4,3,54,0,65,0,0,5,10,22,9,53,55,48,239,179,596,52,1166
POA3775,17,60,25,18,0,144,20,12,62,50,38,3,191,0,0,6,3,8,0,27,0,0,9,13,60,0,78,0,0,5,11,21,17,56,89,61,329,262,637,62,1436
POA3777,48,156,59,50,13,389,51,41,155,122,159,14,543,8,9,30,10,34,0,96,6,6,10,38,109,3,173,3,0,17,17,70,13,121,229,163,829,655,1547,111,3537
POA3778,0,4,3,0,0,12,3,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,5,0,19,12,40,0,77
POA3779,4,3,0,0,0,11,0,0,7,0,12,0,16,0,0,4,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,42,29,54,0,145
POA3781,33,69,34,36,0,200,18,12,76,61,87,6,268,4,0,3,0,10,0,15,3,0,5,9,59,0,82,0,0,11,11,48,10,82,80,66,296,303,785,56,1590
POA3782,51,166,57,45,6,384,33,39,139,120,116,8,443,7,4,14,10,12,0,41,9,4,20,25,75,0,134,9,0,29,27,58,14,133,224,169,750,527,1201,63,2937
POA3783,12,54,19,6,0,108,10,11,37,27,32,7,129,0,3,0,8,10,0,28,0,0,0,5,26,0,36,4,0,9,9,23,6,44,56,32,204,155,386,27,864
POA3785,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,13,7,0,0,25
POA3786,10,42,9,3,5,101,24,10,32,14,9,3,93,0,0,3,0,4,0,10,3,0,4,0,9,0,17,5,0,10,6,7,0,30,91,49,205,100,157,11,623
POA3787,13,17,3,0,0,55,12,3,25,10,7,0,55,0,0,3,3,5,0,12,0,0,0,0,8,0,13,0,0,5,3,6,0,12,54,30,125,60,98,14,379
POA3788,14,34,12,9,0,87,13,9,36,15,16,6,102,4,4,7,0,3,0,18,0,4,9,0,13,0,23,0,0,7,8,10,4,33,86,42,219,139,181,21,688
POA3789,5,3,0,0,0,16,3,0,7,3,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,9,35,21,22,7,106
POA3791,14,41,4,5,0,98,11,10,38,24,17,0,96,4,0,4,4,0,0,8,4,0,4,0,7,0,18,3,3,3,3,5,7,28,79,42,184,88,150,14,561
POA3792,12,23,5,4,0,69,13,6,30,12,13,0,75,0,0,3,3,0,0,12,0,0,0,0,5,0,8,0,0,3,5,4,0,19,58,23,125,80,119,9,406
POA3793,14,58,20,23,0,138,21,16,76,46,42,4,207,0,0,3,4,8,0,23,0,0,7,15,39,0,55,0,0,11,8,15,0,38,93,51,306,225,518,34,1231
POA3795,9,21,5,3,0,45,7,3,12,15,10,0,47,0,0,0,0,0,0,11,5,0,0,5,23,3,33,0,0,0,5,6,4,18,32,24,108,84,201,18,462
POA3796,69,187,62,65,0,452,47,45,164,141,155,22,578,0,4,24,19,13,0,62,6,4,25,30,124,4,189,3,4,17,23,78,9,135,194,171,810,702,1677,91,3654
POA3797,22,48,23,24,0,129,8,8,43,29,58,6,150,0,0,11,3,13,0,24,0,0,0,9,41,0,54,0,0,4,4,31,12,53,47,41,169,192,581,44,1072
