POA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
POA3805,3,3,5,0,0,0,0,0,22,4,14,0,3,3,0,0,0,19,4,28,32,72,109,102,72,34,451,15,44,49,74,113,102,72,34,487,4452,3764,3694,3835,3134,1671,742,167,21462,228,240,182,151,127,61,42,24,1055,4691,4049,3927,4060,3370,1832,856,219,23003,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,6,4,22,19,14,3,4,64,5,8,3,19,19,14,3,4,73,4056,3889,3976,4135,3202,1852,900,327,22337,199,224,188,153,126,69,36,21,1021,4260,4118,4164,4306,3345,1931,936,353,23430,9,5,5,0,0,0,0,0,23,5,13,3,3,3,0,0,0,25,5,28,40,95,125,113,73,37,512,16,45,50,94,133,113,73,37,565,8503,7653,7675,7970,6336,3525,1635,495,43795,433,464,374,300,250,129,81,45,2075,8954,8166,8093,8373,6721,3764,1793,572,46432
POA3806,0,0,3,3,0,0,0,0,10,0,4,9,7,4,0,0,0,18,4,22,37,81,100,119,116,88,567,8,27,50,86,100,119,116,88,591,3457,2491,3498,3474,2592,1551,885,265,18202,129,118,139,127,90,66,63,19,735,3600,2635,3674,3680,2785,1728,1061,374,19538,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,7,16,15,16,13,8,82,0,7,7,15,17,16,13,8,89,3155,2738,3945,3782,2743,1992,1278,554,20196,120,129,135,129,76,91,99,67,838,3277,2877,4090,3929,2834,2098,1385,627,21120,0,6,3,4,0,0,0,0,10,0,4,9,7,3,0,0,0,19,8,26,46,88,111,136,129,93,648,9,38,55,101,117,136,129,93,683,6620,5228,7439,7255,5340,3541,2161,820,38402,243,246,272,253,164,149,159,87,1570,6870,5510,7771,7609,5620,3829,2447,1003,40653
POA3807,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,7,3,15,21,23,19,8,94,0,3,4,18,25,23,19,8,97,649,332,443,604,438,238,138,35,2875,20,20,13,17,13,9,9,0,108,669,362,459,635,472,278,163,47,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,9,0,0,3,0,0,4,0,0,7,527,357,499,649,475,297,152,39,2988,11,16,16,15,15,14,14,3,107,537,373,515,667,494,317,164,46,3099,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,7,9,19,25,24,19,8,105,0,3,10,16,21,24,19,8,106,1172,695,940,1256,909,536,288,70,5866,27,38,25,28,31,25,18,9,212,1203,729,980,1298,968,587,327,92,6181
POA3808,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,5,9,9,3,39,0,0,6,4,5,9,9,3,43,222,94,182,213,211,150,64,10,1150,11,0,18,16,16,8,8,0,76,238,100,203,236,233,172,74,16,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,4,0,0,0,6,173,106,199,233,218,149,63,24,1164,6,5,7,15,8,11,9,7,72,181,113,211,249,234,163,73,26,1242,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,4,12,16,6,3,46,0,0,5,4,12,16,6,3,50,390,205,380,447,431,297,123,34,2313,25,9,23,26,27,21,17,7,146,416,210,414,483,467,336,142,42,2512
POA3809,0,4,4,0,0,0,0,0,5,4,8,0,0,0,0,0,0,13,5,15,30,23,19,41,20,0,151,3,23,32,24,20,41,20,0,169,1071,1833,1690,952,537,424,142,22,6665,54,70,54,38,15,15,7,4,258,1129,1929,1777,1010,575,474,174,20,7095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,5,10,4,0,30,0,6,7,0,5,10,4,0,35,1088,2156,1671,969,722,559,180,20,7363,63,76,54,38,27,18,7,0,282,1143,2234,1734,1015,753,587,186,20,7677,0,4,5,0,0,0,0,0,4,3,7,0,0,0,0,0,0,17,5,21,35,27,26,48,25,5,180,8,29,38,27,25,48,25,5,203,2158,3982,3356,1922,1262,982,323,38,14024,118,150,115,74,41,30,18,4,544,2276,4161,3511,2024,1326,1067,364,45,14770
POA3810,0,5,0,4,3,0,0,0,14,0,3,3,4,0,0,0,0,13,10,55,58,98,109,149,126,67,669,13,59,63,103,112,149,126,67,694,3137,4306,4001,2735,2008,1371,856,201,18625,179,272,209,150,67,62,64,29,1029,3331,4642,4273,2993,2187,1580,1044,301,20348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,15,10,27,13,4,11,94,5,9,13,18,27,13,4,11,104,3090,4720,4163,3030,2279,1900,1142,414,20735,162,273,196,133,88,91,104,76,1126,3257,5004,4368,3181,2392,2001,1250,498,21963,0,8,0,3,3,0,0,0,13,6,5,4,4,0,0,0,0,16,11,56,69,112,140,166,130,76,763,18,70,70,117,142,166,130,76,795,6226,9030,8160,5769,4288,3263,1996,621,39354,346,543,407,292,152,160,167,104,2160,6587,9651,8644,6174,4584,3591,2294,799,42311
POA3812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,8,3,0,24,0,0,3,8,0,8,3,0,26,158,118,129,172,181,122,33,10,920,9,7,14,22,11,15,0,3,79,172,123,148,198,187,143,37,21,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,126,140,180,172,120,39,13,924,15,13,10,11,18,9,3,9,87,150,135,151,195,189,128,43,19,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,8,3,0,28,0,0,3,7,0,8,3,0,27,295,240,263,353,355,241,74,23,1846,24,18,27,36,26,21,9,8,159,322,258,295,398,382,270,80,37,2032
POA3813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,14,0,0,4,0,0,4,0,0,9,65,55,42,62,81,40,17,4,360,7,8,9,4,10,0,0,0,34,70,59,51,69,89,43,20,4,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,46,37,70,74,39,21,5,366,4,8,0,5,10,0,5,0,40,77,53,39,75,87,40,22,9,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,11,0,0,4,0,0,4,0,0,11,133,95,79,136,156,80,37,12,725,13,13,11,9,20,4,5,5,69,146,111,94,142,176,84,46,15,809
POA3814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,7,9,5,39,0,0,7,4,7,7,9,5,43,141,118,141,150,148,117,70,11,900,17,9,9,9,14,10,7,3,91,157,132,162,170,171,135,89,18,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,3,136,162,133,146,169,134,70,12,958,13,8,5,6,15,15,10,9,81,145,166,140,161,177,147,81,19,1044,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,7,4,11,10,9,5,49,0,5,7,4,11,10,9,5,47,275,279,278,298,315,247,141,23,1855,26,21,18,20,30,28,18,8,177,307,302,302,327,353,284,173,36,2076
POA3815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,19,13,10,15,61,0,3,6,3,19,13,10,15,64,220,165,196,203,213,151,91,15,1258,16,12,14,18,13,4,8,5,90,240,178,221,219,235,173,109,33,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,11,3,0,0,0,9,0,0,0,12,200,189,210,241,224,164,109,45,1385,18,19,9,16,10,3,8,10,102,220,209,227,256,243,166,120,50,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,21,17,11,15,73,3,3,6,3,21,17,11,15,73,425,356,415,441,435,311,200,62,2638,37,33,27,31,27,16,17,13,197,458,389,446,479,481,339,233,87,2904
