POA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
POA3793,18,191,123,1094,7,1441,0,0,0,17,0,11,32,3,0,3,0,39,8,7,0,0,0,18,165,44,27,85,0,321,365,191,132,972,15,1669,12,0,4,0,0,10,14,8,0,8,0,31,54,15,21,93,0,188,10,4,0,10,0,24,6,0,0,0,0,13,9,0,0,0,0,15,49,32,22,306,0,412,45,9,8,59,0,119,3,0,0,0,0,3,7,5,0,3,0,14,3,0,0,4,0,10,7,0,4,11,0,18,5,0,0,0,0,5,10,12,5,4,0,37,24,5,0,8,0,37,8,0,3,3,0,9,0,0,0,0,0,0,72,47,31,255,6,408,6,7,5,5,0,15,6,0,0,0,0,6,4,0,0,4,0,12,3,4,3,0,0,8,4,4,0,0,0,7,7,9,0,13,0,26,100,30,31,43,0,204,3,3,0,16,135,167,831,355,244,2059,161,3651
POA3795,8,61,47,368,0,483,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,5,0,8,70,14,7,32,0,122,96,70,52,332,0,545,3,0,0,0,0,3,0,0,0,0,0,4,28,10,4,29,0,65,3,0,0,5,0,11,0,5,0,4,0,10,5,0,5,0,0,3,15,12,4,84,0,114,80,15,12,58,0,171,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,6,9,99,0,122,0,0,0,0,0,5,5,0,6,0,0,8,0,3,0,3,0,7,4,0,0,0,0,4,6,0,0,0,0,6,0,0,0,5,0,4,36,15,12,8,0,72,0,0,3,9,46,59,335,132,89,715,51,1323
POA3796,54,545,374,3275,24,4278,0,10,4,68,3,83,33,3,8,22,0,71,12,0,3,16,0,28,244,73,54,243,4,614,762,514,383,2801,24,4486,23,0,8,0,0,38,34,0,3,14,0,55,144,40,40,313,4,544,33,9,6,46,0,92,21,10,7,12,0,46,20,3,3,20,0,47,138,69,80,843,5,1132,113,70,17,225,6,426,0,0,0,0,0,0,9,3,8,10,0,28,5,0,0,9,0,11,28,13,4,32,0,77,21,8,0,7,0,32,28,15,14,16,0,77,44,4,6,27,0,76,15,0,4,11,0,29,5,0,5,0,0,12,174,116,68,776,3,1141,10,0,0,0,0,15,10,3,3,9,0,28,8,0,0,10,0,12,14,6,3,11,0,36,5,0,0,0,0,8,25,10,13,27,0,76,320,130,68,173,3,703,16,3,4,45,146,219,1832,966,659,6134,208,9799
POA3797,28,164,108,1276,44,1613,0,0,0,38,0,41,20,0,0,7,0,25,4,5,5,3,0,11,60,12,10,30,0,113,289,145,119,1058,28,1641,5,0,0,0,0,3,3,0,0,4,0,3,52,8,14,95,3,178,4,0,0,11,0,16,5,0,3,0,0,4,7,0,0,0,0,7,59,33,26,307,7,433,29,12,0,52,9,104,3,0,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,3,0,3,8,0,16,8,5,3,0,0,15,7,6,0,3,0,19,21,4,0,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,55,18,22,273,7,374,0,0,0,0,0,0,9,0,0,0,0,9,4,0,0,6,0,6,9,4,3,4,0,11,4,0,0,0,0,7,7,0,0,3,0,20,59,27,19,40,5,150,5,5,4,32,278,324,619,270,208,2322,353,3764
POA3799,37,275,174,1722,39,2248,0,3,0,61,5,65,33,3,0,10,0,43,11,6,0,10,0,24,107,21,14,59,6,195,533,276,206,1545,43,2600,19,0,7,5,0,28,14,4,4,10,0,30,84,29,13,158,5,296,22,12,4,27,3,60,22,3,0,8,0,33,15,9,0,0,0,20,109,53,27,507,17,709,41,19,9,74,0,141,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,10,0,0,13,0,26,20,0,0,3,0,25,18,8,9,3,0,38,34,7,4,22,0,70,5,0,0,4,0,9,0,0,0,0,0,4,103,81,50,439,3,672,6,0,0,0,0,3,3,0,5,6,0,8,5,0,0,8,0,19,0,0,0,0,0,6,4,0,0,0,0,4,5,4,4,10,0,35,203,61,31,72,4,372,6,0,0,49,567,619,1151,491,341,3304,658,5951
POA3802,580,507,401,2152,31,3669,6,4,7,87,0,113,2039,27,59,27,9,2162,365,31,5,39,6,442,192,38,26,77,0,336,1167,355,251,1827,33,3630,371,4,36,6,0,421,149,3,5,15,3,183,231,40,15,155,0,446,591,87,59,236,4,980,237,13,10,23,0,284,1375,39,23,6,5,1445,222,93,55,570,14,939,638,129,60,315,6,1145,117,0,0,0,0,124,219,30,16,16,0,287,91,11,3,12,0,116,86,15,12,56,0,162,101,17,3,6,0,127,74,22,18,14,0,126,431,21,22,28,5,508,150,3,10,9,0,172,152,8,0,5,0,157,234,73,53,465,4,822,629,27,29,16,3,705,101,11,4,12,0,138,156,5,4,12,0,172,787,33,24,31,0,878,394,8,13,9,3,434,30,3,0,21,0,58,7051,303,266,225,32,7876,296,7,4,39,1030,1381,16793,1197,896,4421,1155,24455
POA3803,340,174,168,848,19,1551,0,0,0,32,0,36,456,0,12,7,0,478,106,10,4,13,0,126,85,11,12,18,0,129,619,133,120,727,15,1612,262,0,16,5,0,285,59,5,4,5,0,70,87,16,5,69,0,179,77,20,4,34,4,135,83,0,3,13,0,99,582,8,7,0,0,604,74,17,13,236,3,338,173,27,13,61,4,281,15,0,0,0,0,15,67,24,3,3,0,106,22,3,0,9,0,31,21,7,3,16,0,44,60,3,0,4,0,67,39,9,0,0,0,52,107,4,0,6,0,132,71,5,0,3,0,79,171,4,0,0,0,175,104,30,20,192,4,354,292,7,11,15,3,324,33,4,0,0,0,41,84,0,3,3,0,84,275,18,7,3,0,305,99,0,9,0,0,106,9,0,0,9,0,13,4735,133,95,79,12,5063,202,11,4,22,607,856,8221,416,329,1698,688,11355
POA3804,153,277,196,1666,3,2294,0,0,5,38,0,44,378,5,11,15,0,411,103,13,5,27,0,157,115,48,28,66,0,257,445,200,155,1232,5,2047,34,4,4,8,0,47,28,0,0,5,0,30,102,30,15,125,0,273,105,13,14,90,0,221,43,14,0,8,0,67,303,14,11,5,0,330,80,34,23,376,0,513,373,86,34,324,0,816,19,0,0,0,0,19,49,6,11,6,0,72,32,11,5,9,0,49,33,9,11,14,0,67,11,3,0,6,0,21,24,11,10,5,0,48,84,0,5,9,0,102,65,7,5,16,0,87,4,0,0,0,0,4,88,50,24,306,3,468,87,11,3,14,0,114,41,3,4,0,0,53,17,0,0,0,0,22,118,5,3,0,3,134,37,0,0,4,0,36,12,0,0,9,0,22,1489,100,114,119,9,1832,81,0,4,23,352,459,3936,564,423,3162,380,8466
POA3805,1304,1843,1320,8836,99,13405,19,37,20,303,8,386,3009,38,62,62,22,3194,387,76,40,100,5,606,567,163,94,317,4,1139,3543,1366,957,6952,90,12904,897,26,116,21,0,1062,308,9,15,56,0,387,477,144,71,650,3,1344,446,115,64,241,5,869,308,39,25,68,0,443,3504,96,39,37,6,3685,637,260,168,1827,19,2909,979,307,135,858,8,2292,270,0,6,0,4,279,234,63,14,32,3,345,117,23,6,25,0,169,204,103,35,174,5,517,374,29,28,34,4,482,269,75,52,21,0,424,343,34,26,67,0,463,191,13,19,22,0,248,592,50,21,12,9,687,761,330,233,1881,20,3222,475,47,28,45,6,605,258,52,26,14,0,356,293,20,18,22,0,359,1414,60,28,32,5,1542,408,17,24,18,10,479,105,17,29,55,5,202,15874,657,463,640,65,17692,602,25,27,167,2207,3025,33727,3572,2441,16346,2516,58600
POA3806,725,1909,1382,9847,76,13932,14,18,7,203,4,251,2825,36,99,73,16,3050,271,61,29,117,3,488,640,168,110,439,3,1361,3754,1559,1131,8477,86,15013,581,32,59,13,0,687,193,30,15,81,0,321,503,170,107,845,5,1630,299,98,46,227,0,671,277,34,18,65,0,391,3581,92,43,39,0,3752,848,336,207,2600,24,4017,879,334,145,995,11,2363,285,0,4,0,0,288,134,32,8,19,0,197,60,11,0,26,0,102,164,46,33,136,3,379,138,20,31,10,0,205,221,93,41,40,0,402,362,32,55,94,4,543,196,15,13,48,0,265,181,25,12,7,0,225,978,359,252,2363,13,3970,228,39,25,54,7,343,368,64,52,17,0,493,193,8,9,20,5,237,1319,73,40,45,5,1480,168,7,8,8,0,192,120,38,32,100,0,288,7640,570,414,557,38,9220,279,23,12,151,1689,2164,24225,3614,2519,18996,1956,51308
