POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA3167,3,3,0,0,0,3,0,5,6,110,72,20,199,0,5,3,206,168,9,385
POA3168,5,3,0,0,0,3,8,0,7,124,128,24,275,11,9,19,295,263,8,567
POA3169,0,0,0,0,0,0,6,4,10,210,160,31,403,22,14,38,438,476,5,921
POA3170,0,5,0,0,0,5,6,3,7,239,164,35,438,8,14,21,460,318,7,788
POA3171,4,4,0,0,0,3,6,10,22,197,173,24,394,21,19,42,438,602,28,1068
POA3172,0,4,0,0,0,4,3,6,8,310,241,29,579,20,27,48,624,476,13,1118
POA3173,3,7,0,0,0,7,9,6,21,391,239,50,674,24,22,46,727,547,16,1288
POA3174,3,9,0,0,0,12,12,12,38,463,383,57,911,41,43,79,996,989,33,2010
POA3175,5,6,0,0,0,6,18,26,54,535,404,76,1014,71,78,143,1159,1292,57,2508
POA3177,0,0,0,0,0,0,5,10,17,124,90,24,244,10,15,32,265,363,16,646
POA3178,4,9,0,0,0,9,4,4,15,464,272,44,774,22,15,42,817,365,3,1183
POA3179,0,0,0,0,0,0,0,0,0,92,62,6,167,3,3,10,176,90,0,263
POA3180,0,0,0,0,0,0,0,4,9,114,82,15,215,6,3,6,215,117,3,340
POA3181,3,3,0,0,0,3,0,0,7,149,89,12,245,11,6,18,263,176,5,441
POA3182,0,0,0,0,0,0,0,0,0,196,110,23,326,8,11,20,349,156,5,511
POA3183,4,4,0,0,0,4,5,3,13,163,118,13,296,4,9,11,308,136,9,448
POA3184,0,0,0,0,0,0,0,0,3,192,125,26,339,11,8,19,362,122,4,483
POA3185,0,4,0,0,0,4,5,0,0,167,100,11,275,4,0,9,279,143,4,422
POA3186,0,3,0,0,0,3,0,3,6,298,196,27,520,11,7,20,541,240,8,776
POA3187,0,0,0,0,0,0,3,0,10,232,133,22,385,3,8,8,395,197,3,595
POA3188,0,0,0,0,0,0,4,4,9,221,154,20,392,13,5,23,417,249,8,673
POA3189,0,0,0,0,0,0,0,0,0,97,64,7,168,4,0,4,172,96,0,263
POA3190,0,0,0,0,0,4,3,5,13,196,111,17,325,14,5,17,347,163,7,515
POA3191,0,0,0,0,0,0,0,0,0,117,65,18,198,10,7,17,216,119,3,338
POA3192,0,0,0,0,0,0,3,3,12,368,264,30,657,7,15,24,680,354,11,1039
POA3193,0,0,0,0,0,0,5,3,8,200,135,28,359,11,9,18,379,205,3,587
POA3194,0,0,0,0,0,0,0,3,5,246,140,20,404,9,7,16,423,168,3,589
POA3195,8,7,0,0,0,7,8,3,20,522,357,52,927,19,16,36,964,444,7,1407
POA3196,0,4,0,0,0,4,4,5,10,432,316,40,786,14,24,31,815,398,4,1221
POA3197,5,8,0,0,0,8,0,8,15,213,142,27,387,8,14,22,404,188,13,597
POA3198,0,5,0,0,0,8,8,6,19,283,247,33,555,21,26,47,610,381,8,1002
POA3199,8,17,0,0,0,17,28,26,64,951,791,121,1868,49,46,96,1957,1156,39,3160
POA3200,0,0,0,0,0,4,4,7,14,94,71,20,186,11,12,21,207,245,12,457
POA3201,3,6,0,0,0,6,9,6,23,419,357,53,829,23,22,44,864,433,11,1313
POA3202,0,0,0,0,0,0,0,0,0,43,40,4,87,3,0,5,91,26,0,115
POA3204,3,5,0,0,0,5,4,3,21,528,313,48,895,22,19,37,933,418,16,1370
POA3205,0,0,0,0,0,0,0,3,6,120,73,14,200,13,13,25,230,152,3,386
POA3206,0,0,0,0,0,0,0,3,3,137,62,15,217,10,4,12,228,96,3,326
POA3207,0,0,0,0,0,0,6,0,5,244,130,13,394,6,9,16,410,248,4,660
