POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA3278,45,0,0,0,0,45,51,0,0,0,0,51,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,8,0,0,0,0,8,3,0,0,0,0,3,120,0,0,0,0,120
POA3279,44,0,0,0,0,44,26,0,0,0,0,26,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13,5,0,0,0,0,5,0,0,0,0,0,0,86,0,0,0,0,86
POA3280,4382,389,69,8,9,4857,3863,199,63,0,0,4133,1507,587,226,16,3,2332,369,124,73,0,0,567,48,31,42,0,0,128,523,129,55,0,4,713,44,16,18,5,0,91,16,5,8,0,0,24,2505,888,424,23,6,3856,113,71,43,0,0,236,137,29,14,0,4,189,11005,1587,622,38,19,13266
POA3281,216,0,0,3,0,219,326,0,0,0,0,326,21,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,9,0,0,0,0,9,0,0,0,0,0,0,44,0,0,0,0,46,12,0,0,0,0,12,5,0,0,0,0,5,605,0,0,3,0,608
POA3282,379,7,0,0,0,386,367,5,0,0,0,373,69,16,0,0,0,90,8,8,0,0,0,12,0,0,0,0,0,0,37,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,118,22,0,0,0,147,17,0,0,0,0,17,16,0,0,0,0,21,899,32,0,0,3,941
POA3283,230,0,0,0,0,228,199,0,0,0,0,199,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,13,0,0,0,0,13,0,0,0,0,0,0,49,0,0,0,0,49,14,0,0,0,0,14,17,0,0,0,0,17,510,0,0,0,0,508
POA3284,695,45,3,0,0,748,385,14,0,0,0,395,123,30,3,0,0,153,15,16,0,0,0,30,0,0,0,0,0,0,70,21,0,0,0,94,6,0,0,7,0,10,0,0,0,0,0,0,217,67,0,5,0,295,27,0,0,0,0,30,29,3,0,0,0,28,1354,125,4,8,4,1492
POA3285,223,0,0,0,0,223,157,0,0,0,0,157,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,7,0,0,0,0,7,0,0,0,0,0,0,40,0,0,0,0,40,37,0,0,0,0,37,6,0,0,0,0,11,464,0,0,0,0,468
POA3286,116,0,0,0,0,118,69,0,0,0,0,69,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,11,0,0,0,0,11,0,0,0,0,0,0,24,0,0,0,0,24,9,0,0,0,0,9,7,0,0,0,0,7,221,0,0,0,0,227
POA3287,58,0,0,0,0,64,47,0,0,0,0,47,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,23,21,0,0,0,0,21,0,0,0,0,0,0,149,0,0,0,0,150
POA3289,162,0,0,0,0,162,78,0,0,0,0,81,12,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,34,6,0,0,0,0,6,6,0,0,0,0,6,50,0,0,5,0,50,17,0,0,0,0,18,6,0,0,0,0,6,308,0,0,4,0,313
POA3292,54,0,0,0,0,54,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,13,6,0,0,0,0,6,0,0,0,0,0,0,74,0,0,0,0,76
POA3293,66,0,0,0,0,70,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,20,18,0,0,0,0,18,6,0,0,0,0,6,138,0,0,0,0,139
POA3294,196,0,0,0,0,200,79,0,0,0,0,77,17,0,0,0,0,17,0,4,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,30,16,0,0,0,0,16,3,0,0,0,0,3,76,11,0,0,0,83,21,0,0,0,0,23,8,0,0,0,0,8,373,8,0,0,0,390
POA3300,1767,47,13,4,0,1829,1347,16,3,0,0,1366,376,96,54,0,0,522,121,13,15,0,0,151,11,22,0,0,0,33,225,22,0,0,3,252,22,9,0,15,0,46,9,11,0,0,0,16,762,172,72,15,3,1025,61,17,0,0,3,84,65,6,0,0,0,77,4003,265,90,16,10,4387
POA3301,256,0,0,0,0,256,126,0,0,0,0,126,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34,4,0,0,0,0,4,0,0,0,0,0,0,44,0,0,0,0,44,35,0,0,0,0,35,11,0,0,0,0,11,471,0,0,0,0,469
POA3302,72,0,0,0,0,72,47,0,0,0,0,47,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,8,0,0,0,0,8,0,0,0,0,0,0,139,0,0,0,0,139
POA3303,47,0,0,0,0,49,36,0,0,0,0,36,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,14,12,0,0,0,0,12,5,0,0,0,0,5,113,0,0,0,0,116
POA3304,530,0,0,7,0,539,340,0,0,0,0,344,51,9,3,0,0,60,19,3,0,0,0,17,5,5,0,0,0,13,58,0,0,0,0,62,18,0,0,4,0,21,4,0,0,0,0,3,150,17,3,4,0,176,29,0,0,0,0,29,27,4,0,0,0,30,1078,25,3,4,5,1117
POA3305,2149,96,12,25,6,2286,1670,34,3,0,4,1708,443,136,26,6,0,610,135,76,3,0,0,214,12,6,0,0,0,18,270,37,3,3,0,320,21,12,3,12,0,49,4,4,0,0,0,11,890,264,35,23,0,1214,68,3,0,3,0,71,74,11,0,0,0,86,4853,409,55,56,7,5377
POA3309,24,0,0,0,0,24,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48
POA3310,82,0,0,0,0,84,33,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,130,6,0,0,0,128
POA3311,436,0,6,0,0,442,159,0,0,0,0,164,24,0,10,3,0,38,0,0,3,0,0,3,5,0,3,0,0,0,43,0,0,0,0,52,8,0,6,0,0,15,0,0,0,0,0,3,85,0,25,3,0,110,25,0,7,0,0,28,25,0,0,0,0,25,726,0,36,7,0,772
POA3312,222,0,0,0,0,222,104,0,0,0,0,104,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,7,0,0,0,0,7,0,0,0,0,0,0,36,0,0,0,0,36,30,0,0,0,0,30,3,0,0,0,0,3,392,0,0,0,0,392
POA3314,111,0,0,0,0,111,53,0,0,0,0,53,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,5,0,0,0,0,5,0,0,0,0,0,0,31,0,0,0,0,31,15,0,0,0,0,15,4,0,0,0,0,4,222,0,0,0,0,222
POA3315,395,6,0,4,0,401,154,3,0,0,0,158,16,0,0,0,0,18,7,7,0,0,0,11,4,0,0,0,0,8,39,0,0,0,0,43,11,0,0,0,0,15,0,0,0,0,0,3,75,16,0,3,0,96,46,0,0,0,0,46,12,0,0,0,0,12,688,23,0,4,0,714
POA3317,36,0,0,0,0,36,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,7,10,0,0,0,0,10,9,0,0,0,0,9,77,0,0,0,0,77
POA3318,265,0,6,0,0,274,114,0,0,0,0,117,22,0,0,0,0,26,0,5,6,0,0,6,0,3,0,0,0,4,44,0,3,0,0,47,7,0,3,0,0,12,0,0,0,0,0,0,75,11,14,0,0,98,31,0,0,0,0,33,14,0,0,0,0,10,498,11,20,0,0,534
POA3319,85,0,0,0,0,85,42,0,0,0,0,44,3,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,7,0,0,0,0,0,0,13,3,0,0,0,19,12,0,0,0,0,12,0,0,0,0,0,0,156,3,0,0,0,158
POA3321,199,0,0,0,0,199,327,0,0,0,0,327,9,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,31,0,3,0,0,33,11,0,0,0,0,11,6,0,0,0,0,6,570,0,3,0,0,573
POA3322,50,0,0,0,0,53,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,84,0,0,0,0,91
POA3323,23,0,0,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,41,0,0,0,0,41
POA3324,114,0,0,6,0,118,70,0,0,0,0,70,4,0,0,0,0,4,0,5,0,0,0,9,0,0,0,0,0,0,23,0,0,0,0,23,6,0,0,0,0,6,0,0,0,0,0,0,32,5,0,0,0,45,13,0,0,0,0,17,10,0,0,0,0,10,246,5,0,3,0,258
POA3325,106,0,0,0,0,108,44,0,0,0,0,44,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,27,15,0,0,0,0,15,11,0,0,0,0,11,192,0,0,0,0,200
POA3328,221,0,0,0,0,226,437,0,0,0,0,441,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,38,0,0,0,0,38,4,0,0,0,0,4,6,0,0,0,0,6,714,0,0,0,0,718
POA3329,47,0,0,0,0,51,42,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,7,0,0,0,0,7,0,0,0,0,0,0,107,0,0,0,0,106
POA3330,38,0,0,0,0,40,20,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,75,3,0,0,0,79
POA3331,682,18,3,0,0,705,1279,19,0,0,0,1296,140,35,0,0,0,176,0,0,0,0,0,0,4,0,0,0,0,4,44,5,0,0,0,49,9,0,0,0,0,15,0,0,0,0,0,0,204,40,0,0,0,244,26,0,0,0,0,26,13,0,0,0,0,13,2207,83,3,0,0,2294
POA3332,133,0,0,0,0,130,194,0,0,0,0,194,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,34,0,0,0,0,34,7,0,0,0,0,7,12,0,0,0,0,12,375,0,0,0,0,377
POA3333,118,4,0,0,0,119,142,0,0,0,0,140,18,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,6,0,0,0,0,6,0,0,0,0,0,0,40,0,0,0,0,42,12,0,0,0,0,12,5,0,0,0,0,5,311,3,0,5,0,315
POA3334,90,0,0,0,0,90,88,0,0,0,0,88,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,22,0,0,0,0,22,12,0,0,0,0,12,6,0,0,0,0,6,209,0,0,0,0,209
POA3335,224,3,9,35,0,268,1146,13,0,0,9,1169,420,11,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,52,12,0,0,59,0,75,9,0,0,3,0,7,485,17,0,67,0,563,22,0,3,0,0,26,45,0,0,8,0,49,1917,33,14,106,5,2077
POA3336,407,13,0,0,0,422,3554,82,0,0,9,3644,758,45,0,0,0,809,6,0,0,0,0,6,0,0,0,0,0,0,110,3,0,0,0,114,16,0,0,0,0,18,5,0,0,0,0,5,890,53,0,0,5,948,22,4,0,0,0,26,62,0,0,0,0,62,4940,149,0,0,11,5104
POA3337,3200,219,9,7,0,3431,5858,302,26,0,0,6182,2302,367,27,0,0,2701,123,61,0,0,0,188,41,12,0,0,0,52,522,53,9,4,0,584,62,4,0,5,0,69,19,5,0,0,0,24,3077,504,33,8,0,3622,100,4,3,0,0,112,215,20,0,0,0,229,12438,1051,72,8,3,13577
POA3338,1881,241,4,0,0,2127,5375,136,0,0,12,5529,2530,281,7,0,4,2829,65,58,0,0,0,126,25,40,0,0,0,65,369,36,0,0,0,405,61,44,0,0,0,105,15,6,0,0,0,23,3065,469,9,3,4,3552,71,23,0,0,0,103,179,32,0,0,0,209,10574,905,17,3,17,11514
POA3340,2428,178,10,23,0,2635,4194,124,0,6,3,4334,894,289,0,5,4,1190,135,25,36,0,0,194,15,50,4,0,0,68,272,54,13,3,0,344,26,5,10,9,0,48,8,8,0,0,0,11,1348,437,59,15,3,1862,175,13,0,0,0,190,108,8,3,0,0,125,8259,760,74,42,8,9148
POA3341,199,0,0,0,0,199,307,0,0,0,0,312,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,12,0,0,0,0,12,11,0,0,0,0,11,552,0,0,0,0,553
POA3342,525,21,0,6,0,547,650,13,0,0,0,664,125,18,0,6,0,147,14,10,0,0,0,26,0,0,0,0,0,4,53,4,0,0,0,58,7,0,0,5,0,16,0,0,0,0,0,0,204,31,0,10,0,250,26,0,0,0,0,23,12,0,0,0,0,16,1421,61,3,14,0,1507
POA3345,169,0,0,0,0,169,262,0,0,0,0,262,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,6,0,0,0,0,6,0,0,0,0,0,0,486,0,0,0,0,486
POA3350,7580,686,157,14,8,8449,7851,491,75,16,11,8437,4650,1295,448,9,10,6415,358,227,47,0,3,637,68,79,34,0,0,184,944,186,69,4,4,1205,73,19,9,6,3,109,27,6,0,0,0,35,6125,1817,608,18,24,8584,272,96,14,0,0,382,203,55,12,0,4,273,22027,3143,865,53,47,26129
POA3351,1314,0,0,7,0,1321,1498,0,0,3,0,1504,82,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,98,3,0,0,0,100,16,0,0,0,0,16,0,0,0,0,0,0,199,3,0,0,0,204,61,0,0,0,0,67,54,0,0,4,0,56,3130,7,4,18,0,3155
POA3352,2352,5,0,47,6,2416,3079,13,8,4,6,3101,330,11,20,0,0,358,8,0,0,0,0,8,0,0,0,0,0,0,225,0,0,7,0,229,38,0,0,18,0,53,3,0,0,0,0,8,603,8,20,21,0,658,97,0,0,4,3,99,74,0,0,3,0,80,6207,26,25,80,16,6351
POA3355,1745,187,28,0,0,1962,1110,59,13,0,0,1188,1014,292,110,0,4,1418,285,103,11,0,0,404,21,45,5,0,4,74,217,35,16,0,0,269,13,12,5,0,0,24,4,7,0,0,0,11,1561,486,154,0,6,2206,45,7,0,0,0,61,95,31,14,0,0,136,4554,778,204,0,3,5546
POA3356,1632,295,0,0,0,1931,1688,235,4,0,0,1929,994,465,0,0,3,1469,205,133,0,0,0,344,49,28,0,0,0,76,281,109,0,0,0,390,19,12,0,0,0,27,11,4,0,0,0,15,1561,750,4,0,7,2323,90,45,0,0,0,138,91,36,0,0,0,129,5063,1373,11,0,5,6450
POA3357,625,11,8,0,0,642,518,0,0,0,0,521,107,8,7,0,0,125,0,0,5,0,0,5,0,0,0,0,0,0,43,5,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,150,12,15,0,0,180,13,0,0,0,0,13,9,3,0,0,0,12,1321,27,21,0,0,1368
POA3358,190,0,0,0,0,198,678,0,0,0,3,684,247,4,0,0,3,254,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,30,3,0,0,0,0,3,0,0,0,0,0,0,282,4,0,0,4,288,10,0,0,0,0,10,7,0,0,0,0,7,1168,0,0,0,5,1179
POA3360,164,0,0,0,0,164,120,0,0,0,0,117,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,3,0,0,0,0,3,0,0,0,0,0,0,44,0,0,0,0,44,9,0,0,0,0,9,11,0,0,0,0,11,345,0,0,0,0,346
POA3361,143,0,0,0,0,144,85,0,0,0,0,87,7,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,34,0,0,0,0,36,12,0,0,0,0,12,14,0,0,0,0,14,283,0,0,0,0,290
POA3363,583,0,21,12,0,614,487,3,8,5,0,496,97,0,20,4,0,122,15,0,31,0,0,48,0,0,0,0,0,0,72,0,0,0,0,75,5,0,0,4,0,7,0,0,0,0,0,0,191,4,53,9,0,255,21,4,16,0,0,36,19,0,9,0,0,22,1294,10,89,26,0,1421
POA3364,443,0,0,4,0,446,315,0,0,0,0,317,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,51,3,0,0,0,0,3,0,0,0,0,0,0,65,0,0,0,0,66,20,0,0,0,0,22,18,0,0,0,0,18,857,3,0,3,0,864
POA3370,383,4,0,9,0,396,275,0,0,0,0,277,34,0,0,0,0,37,6,0,0,0,0,9,4,3,3,0,0,9,41,0,0,0,0,45,9,0,0,7,0,11,0,0,0,0,0,0,95,4,3,15,0,113,21,0,0,0,0,24,17,0,0,0,0,17,783,10,3,21,0,823
POA3371,226,3,0,8,0,233,159,0,0,0,0,161,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,36,7,0,0,0,0,9,13,0,0,0,0,10,433,0,0,13,0,451
POA3373,493,0,0,0,0,498,316,0,0,0,0,318,49,0,0,0,0,56,0,0,0,0,0,4,0,0,0,0,0,0,72,0,0,0,0,70,10,3,0,4,0,19,3,0,0,0,0,6,137,9,0,3,0,152,37,0,0,0,0,37,16,0,0,0,0,16,1000,14,3,5,0,1018
POA3374,87,0,0,0,0,87,60,0,0,0,0,60,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,17,0,0,0,0,17,7,0,0,0,0,7,3,0,0,0,0,3,182,0,0,0,0,182
POA3375,47,0,0,0,0,47,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,9,0,0,0,0,9,4,0,0,0,0,4,93,0,0,0,0,93
POA3377,1437,67,3,9,0,1520,1071,20,0,3,4,1097,407,107,3,6,4,524,65,36,0,0,0,104,3,6,0,0,0,8,170,18,0,4,0,192,37,5,0,7,0,43,3,3,0,0,0,5,685,172,3,8,9,879,49,20,0,0,0,69,63,14,0,6,0,78,3304,297,13,25,8,3650
POA3378,22,0,0,0,0,22,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,7,0,0,0,0,7,0,0,0,0,0,0,43,0,0,0,0,43
POA3379,177,0,0,0,0,178,50,0,0,0,0,50,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,20,7,0,0,0,0,8,0,0,0,0,0,0,35,0,0,0,0,32,36,0,0,0,0,38,12,0,0,0,0,12,307,4,0,6,0,313
POA3380,1105,18,18,8,0,1150,692,3,3,0,0,705,254,52,47,0,0,360,48,14,19,0,0,84,10,0,17,0,0,26,105,9,9,4,0,125,27,0,6,4,0,41,3,0,6,0,0,5,454,77,103,7,4,645,36,0,3,0,0,44,38,0,10,0,3,51,2330,99,137,18,9,2584
POA3381,229,0,0,6,0,231,152,0,0,0,0,152,31,0,0,0,0,30,3,0,0,0,0,3,5,0,0,0,0,3,26,0,0,0,0,30,8,0,0,4,0,15,0,0,0,0,0,0,68,8,0,8,0,81,20,0,0,0,0,20,10,0,0,0,0,7,471,8,0,12,0,490
POA3384,127,0,0,0,0,130,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19,9,0,0,0,0,9,3,0,0,0,0,3,218,0,0,0,0,222
POA3385,128,0,0,0,0,128,63,0,0,0,0,64,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,9,0,0,0,0,7,6,0,0,0,0,6,217,0,0,0,0,216
POA3387,71,0,0,0,0,71,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,17,0,0,0,0,17,3,0,0,0,0,3,116,0,0,0,0,116
POA3388,134,0,0,0,0,139,45,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,8,0,0,0,0,0,0,23,0,0,0,0,22,8,0,0,0,0,8,5,0,0,0,0,5,221,0,0,3,0,223
POA3390,205,0,0,3,0,203,108,0,0,6,0,111,28,3,0,0,0,31,0,0,0,0,0,0,0,6,0,0,0,3,33,0,0,0,0,31,3,0,0,0,0,3,0,0,0,0,0,0,64,5,4,0,0,73,0,0,0,0,0,0,10,0,0,0,0,10,391,5,4,6,0,408
POA3391,39,0,0,0,0,34,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,61,0,0,0,0,63
POA3392,149,0,0,0,0,147,50,0,0,0,0,50,8,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,28,11,0,0,0,0,11,6,0,0,0,0,6,238,3,0,5,0,241
POA3393,549,5,0,9,0,563,267,0,0,0,0,273,82,11,3,0,0,95,11,7,0,0,0,23,0,0,0,0,0,0,66,8,0,0,0,70,17,0,0,0,0,19,0,0,0,0,0,0,174,34,6,5,0,214,29,0,0,0,0,29,26,4,0,5,0,31,1045,38,8,13,0,1104
POA3395,89,0,0,0,0,92,24,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,21,11,0,0,0,0,10,0,0,0,0,0,0,140,4,0,5,0,148
POA3396,186,0,0,3,0,190,47,0,0,0,0,47,17,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,5,0,5,0,0,13,0,0,0,0,0,0,41,3,7,0,0,47,7,0,0,0,0,12,7,0,0,0,0,9,294,3,7,3,0,309
POA3400,2162,70,51,7,0,2288,1910,15,13,0,3,1942,930,125,179,4,0,1235,173,65,45,0,0,282,12,5,18,0,0,36,241,19,28,0,0,282,25,4,12,0,0,34,6,4,5,0,0,14,1383,220,281,4,0,1887,67,29,11,0,0,107,85,15,13,0,0,105,5611,345,366,6,6,6331
POA3401,775,0,0,11,4,785,608,0,0,0,0,609,34,0,0,0,0,34,4,0,0,0,0,4,0,0,0,0,0,0,60,0,0,0,0,60,14,0,0,6,0,9,0,0,0,0,0,0,107,0,0,6,0,108,50,0,0,0,0,53,25,0,0,0,0,25,1566,5,0,12,4,1581
POA3407,94,0,0,0,0,96,40,4,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,12,17,0,0,0,0,15,5,0,0,0,0,5,160,9,0,5,0,173
