POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA3218,1521,107,125,26,0,1786,1914,97,97,4,0,2110,909,275,557,8,5,1756,40,33,44,0,0,121,7,19,21,0,0,48,218,50,73,0,0,346,18,0,8,8,0,35,0,0,0,0,0,3,1200,385,701,18,7,2311,44,6,8,0,0,55,48,7,23,0,0,75,4725,602,961,52,4,6345
POA3219,2471,184,15,0,0,2660,2396,161,16,0,0,2575,1374,431,63,0,5,1872,305,186,29,0,0,518,42,86,5,0,0,146,387,100,9,0,4,504,23,37,0,0,0,59,13,15,0,0,0,29,2153,854,105,0,14,3122,99,24,3,0,0,124,124,27,3,0,0,159,7243,1246,141,5,14,8645
POA3220,1935,351,157,11,5,2460,1565,240,102,0,5,1914,799,643,369,10,7,1831,20,73,15,0,0,101,20,35,24,0,0,83,211,100,27,11,0,352,25,5,8,0,3,45,6,8,5,0,0,12,1080,869,446,21,10,2429,51,19,10,3,0,78,34,12,7,0,0,52,4675,1488,728,32,22,6934
POA3221,126,0,0,0,0,127,106,0,0,0,0,106,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20,4,0,0,0,0,4,6,0,0,0,0,6,259,0,0,0,0,261
POA3222,2806,121,25,0,0,2955,2607,19,0,0,0,2626,1000,85,0,4,0,1086,9,5,0,0,0,15,10,0,0,0,0,8,223,8,3,0,0,236,18,6,0,0,0,23,8,0,0,0,0,6,1262,104,0,4,0,1378,125,4,0,0,0,129,85,4,0,0,0,95,6880,270,37,4,0,7182
POA3223,2056,95,8,5,5,2174,901,22,5,3,8,935,556,110,10,0,0,676,0,0,0,0,0,0,0,6,0,0,0,10,130,23,6,0,0,154,7,4,0,3,0,15,3,0,0,0,0,4,704,147,8,4,3,862,65,10,0,0,0,72,81,8,0,0,0,94,3809,278,15,17,11,4135
POA3224,1996,113,0,50,0,2162,2196,69,0,0,0,2264,575,76,0,0,6,657,22,6,0,0,0,27,8,6,0,0,0,14,188,32,0,4,0,222,24,0,0,33,0,59,8,0,0,0,0,9,826,119,0,40,6,985,162,37,0,8,0,203,59,11,0,3,0,76,5238,351,4,96,7,5699
POA3225,1188,93,18,30,3,1329,486,12,3,4,0,506,164,22,8,0,0,198,0,9,0,0,0,9,0,0,0,0,0,0,60,14,7,7,0,84,6,0,0,4,0,11,4,0,0,0,0,0,240,45,18,8,0,308,54,45,0,0,0,100,28,4,0,0,0,32,2000,198,39,38,3,2273
POA3226,2550,133,3,11,0,2696,2365,87,3,0,0,2454,788,113,15,7,0,917,14,12,0,0,0,27,12,0,0,0,0,12,204,24,0,0,0,234,16,0,0,0,0,22,4,0,0,0,0,9,1044,153,15,9,0,1214,92,7,0,0,0,99,90,11,0,0,0,99,6136,393,20,15,3,6567
POA3227,874,45,17,0,0,938,630,35,4,0,0,667,136,21,13,5,0,171,15,8,0,0,0,21,4,0,0,0,0,4,65,5,6,0,0,77,5,0,0,0,0,9,0,0,0,0,0,0,225,40,22,5,0,286,30,4,0,0,0,32,24,3,0,0,0,27,1790,115,50,3,0,1959
