POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3141,9,10,0,572,19,0,0,15,0,17,0,6,0,12,46,112,0,0,0,0,0,0,0,0,0,0,8,10,284,55,15,295,67,247,12,49,11,89,51,1175
POA3142,5,37,4,672,19,5,0,14,5,16,0,3,3,7,44,126,3,0,0,0,0,3,0,0,0,3,4,15,269,57,6,260,45,253,3,69,10,107,52,1140
POA3143,4,4,5,504,3,0,0,15,0,3,0,0,0,0,17,49,0,0,0,0,0,0,0,0,0,0,0,0,214,30,7,229,52,166,8,41,5,36,20,804
POA3144,4,15,0,819,21,0,4,24,0,17,0,4,0,3,35,116,0,0,6,3,3,0,0,0,0,0,3,18,332,43,9,394,45,237,8,62,14,69,42,1258
POA3145,6,21,0,1723,33,3,0,42,9,10,0,5,3,9,53,172,0,0,6,0,0,4,0,0,0,5,5,11,840,125,26,961,139,499,24,108,15,155,65,2967
POA3146,7,19,0,2158,37,5,0,37,9,19,6,8,0,9,86,220,7,0,4,0,0,7,0,0,0,0,7,30,1120,170,23,1141,164,542,36,149,25,178,95,3636
POA3147,5,7,0,1040,19,0,3,16,0,12,0,8,0,4,40,103,0,0,0,8,0,0,0,0,0,0,4,13,598,90,17,665,102,311,20,111,10,139,45,2110
POA3148,9,6,0,311,5,0,0,9,4,5,0,0,5,4,33,67,0,0,0,0,0,0,0,0,0,0,8,15,277,39,11,294,76,179,12,69,19,95,44,1110
POA3149,5,31,0,1689,48,15,0,38,7,18,0,5,4,19,179,333,4,0,0,5,0,0,0,0,0,0,20,39,1507,267,34,1370,167,854,48,261,45,369,208,5139
POA3150,14,75,4,2611,78,26,6,64,7,48,0,26,9,36,264,575,6,0,4,12,5,3,0,0,0,4,24,56,2554,518,74,2140,225,1486,67,584,101,915,321,8990
POA3151,0,7,0,313,7,0,0,7,0,4,0,4,0,8,40,81,0,0,0,0,0,0,0,0,0,3,3,7,310,81,12,346,42,242,13,98,15,162,44,1355
POA3152,3,30,0,1229,40,3,5,38,6,27,0,8,8,27,98,262,8,3,0,3,4,0,0,3,3,4,5,29,1267,297,42,1482,163,875,52,274,66,452,108,5078
POA3153,3,8,0,332,18,3,6,24,3,10,0,4,3,11,50,138,0,0,0,0,0,0,0,0,0,5,8,14,537,125,18,838,130,431,42,125,29,192,68,2524
POA3154,0,0,0,120,10,0,5,7,0,5,0,0,0,3,14,42,0,0,0,0,0,0,0,0,0,0,0,6,132,31,10,229,29,92,13,27,4,29,13,610
POA3155,5,3,0,338,12,9,4,25,5,16,5,7,6,9,57,151,4,0,4,3,0,0,0,0,0,4,10,24,537,137,31,946,142,430,45,149,44,192,64,2720
POA3156,3,15,0,1155,35,14,10,66,10,19,10,19,5,27,121,327,5,0,3,4,4,7,0,0,0,3,8,32,1245,233,49,1859,244,798,88,247,55,343,142,5306
POA3158,0,0,0,209,10,0,0,20,4,8,0,9,0,3,16,64,0,0,6,0,0,0,0,0,0,0,5,11,206,53,7,363,60,156,24,43,8,56,17,986
POA3159,0,5,0,102,4,0,0,8,0,0,0,6,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,4,89,30,0,130,22,49,6,17,6,23,9,385
POA3160,5,0,0,310,17,4,0,21,3,7,0,4,0,4,20,78,0,0,0,0,0,0,0,0,0,0,4,4,258,100,17,466,69,175,17,50,11,67,20,1255
POA3161,0,15,0,953,18,0,5,32,8,17,5,8,4,6,31,128,8,0,6,3,3,3,0,0,5,0,8,30,405,101,17,628,86,302,29,91,18,86,48,1805
POA3162,4,17,0,1144,23,0,0,23,7,14,6,8,0,10,49,140,3,5,0,0,0,3,0,0,0,6,8,28,648,126,22,803,88,338,27,92,16,133,69,2352
POA3163,5,9,0,1471,28,3,0,35,3,12,0,8,4,6,79,184,0,0,0,5,0,3,0,0,0,0,4,23,1051,182,22,1093,196,591,49,161,47,179,90,3667
POA3165,4,9,4,1677,49,0,3,34,13,15,3,16,5,14,87,233,4,0,7,0,0,3,0,0,0,5,9,21,1326,222,31,1460,220,646,54,198,42,275,104,4575
POA3166,0,16,0,980,16,0,3,26,0,10,0,3,0,17,65,147,0,0,4,4,0,0,0,0,0,0,3,12,803,160,31,912,149,462,30,149,33,259,75,3059
POA3167,3,10,0,359,7,3,0,3,3,8,3,7,0,13,26,67,3,0,0,0,0,0,0,0,0,0,3,7,365,82,10,373,76,206,22,66,13,153,32,1390
POA3168,0,4,0,161,3,3,0,6,3,3,0,0,0,12,36,74,0,0,0,0,0,0,0,0,0,0,6,8,271,94,11,334,55,284,27,105,23,182,45,1426
POA3169,4,17,0,366,20,4,5,12,6,14,0,6,5,18,54,136,5,0,0,0,0,0,0,0,0,0,14,21,546,106,25,541,98,446,37,199,45,413,72,2529
POA3170,5,20,0,610,26,3,3,18,7,11,0,11,3,21,62,158,4,0,6,0,0,0,0,3,0,5,11,20,744,138,20,697,126,451,49,172,47,264,87,2796
POA3171,4,14,0,168,11,5,4,5,5,8,0,8,4,28,65,147,0,0,0,0,0,0,0,5,0,3,12,24,397,128,19,375,60,514,30,237,41,535,97,2441
POA3172,4,13,0,520,21,5,5,19,3,18,4,5,12,13,80,192,4,0,0,0,3,3,0,0,0,0,15,25,732,151,27,789,103,510,26,209,61,431,104,3137
POA3173,5,23,0,736,39,6,3,22,6,25,0,9,5,25,122,253,0,0,3,0,4,0,0,0,0,3,13,29,1314,217,32,985,137,839,62,266,62,506,153,4559
POA3174,0,19,0,262,19,5,7,12,4,24,4,15,4,28,123,246,4,0,4,0,0,4,0,0,0,11,28,49,773,248,36,840,134,1005,52,416,71,728,170,4473
POA3175,0,33,0,393,33,10,14,17,6,33,0,17,14,49,151,343,0,4,0,3,0,6,0,0,6,15,41,78,937,289,50,1027,158,1466,41,585,123,1136,242,6059
POA3177,0,0,0,53,5,0,0,3,4,10,0,6,3,13,35,79,0,0,0,0,0,0,0,0,0,3,9,15,145,54,9,165,23,352,7,158,36,248,51,1251
POA3178,6,23,0,1343,57,10,3,59,8,25,4,17,3,19,96,305,0,0,3,4,0,4,0,0,0,0,11,25,1460,241,51,1659,195,857,66,256,46,332,117,5286
POA3179,0,0,0,171,3,3,5,8,0,9,0,4,0,3,20,54,0,0,0,0,0,0,0,0,0,0,0,8,244,51,7,249,28,143,10,51,8,82,22,896
POA3180,0,5,0,178,6,3,0,6,0,7,0,3,0,5,16,51,0,0,0,0,0,0,0,0,0,0,0,5,264,47,10,310,37,189,5,56,12,89,20,1042
