POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3202,..,195,195,253,20,268,173,4,175,222,4,227,82,0,82,22,0,22,750,216,965
POA3204,..,2971,2971,3449,287,3739,2072,74,2141,2439,42,2476,819,19,838,155,6,161,8927,3401,12329
POA3205,..,2391,2391,1774,236,2013,540,63,607,394,15,415,100,3,104,22,0,22,2832,2712,5547
POA3206,..,1328,1328,1308,91,1401,583,26,605,597,5,600,177,0,178,35,0,35,2699,1450,4147
POA3207,..,2927,2927,2603,219,2822,908,74,981,808,18,824,221,6,230,45,3,52,4586,3242,7830
POA3211,..,64,64,120,14,133,63,0,63,83,0,89,31,0,31,34,0,34,328,76,406
POA3212,..,1337,1337,1984,115,2103,1092,24,1122,1170,5,1171,491,0,491,209,0,207,4951,1483,6427
POA3213,..,250,250,466,18,484,258,3,261,307,0,308,153,4,158,79,0,79,1261,277,1537
POA3214,..,3075,3075,2586,315,2901,1480,87,1564,964,28,989,422,11,432,344,4,351,5797,3517,9312
POA3215,..,2764,2764,2820,216,3036,1278,68,1346,1092,29,1121,428,12,441,161,4,164,5781,3086,8867
POA3216,..,6106,6106,6978,494,7475,3160,245,3407,3498,142,3643,1318,67,1380,442,43,480,15391,7093,22490
POA3217,..,1068,1068,2038,193,2230,1340,104,1447,1383,87,1468,513,9,521,189,10,196,5460,1478,6939
POA3218,..,2180,2180,1793,191,1981,873,65,938,831,31,862,298,5,304,71,3,76,3872,2474,6345
POA3219,..,3097,3097,2660,291,2951,1149,75,1229,843,24,874,348,5,349,135,4,144,5140,3502,8645
POA3220,..,2262,2262,2128,205,2334,864,96,955,872,43,917,355,14,367,98,3,100,4317,2619,6934
POA3221,..,36,36,90,0,94,39,0,39,39,0,46,31,0,31,13,0,13,222,35,261
POA3222,..,1710,1710,2724,130,2856,1050,10,1065,959,4,964,438,0,441,146,0,148,5325,1857,7182
POA3223,..,1282,1282,1891,83,1976,398,4,400,310,0,308,114,0,114,52,0,50,2760,1373,4135
POA3224,..,1375,1375,2022,87,2107,834,15,849,882,3,888,369,0,371,113,0,113,4220,1481,5699
POA3225,..,705,705,1021,16,1034,223,0,226,193,0,193,91,0,91,15,0,15,1549,730,2273
POA3226,..,1519,1519,2372,106,2482,854,21,872,1171,17,1187,413,0,413,100,0,100,4905,1666,6567
POA3227,..,438,438,762,20,782,220,7,227,322,0,319,159,0,159,36,0,36,1492,469,1959
POA3228,..,1603,1603,2675,155,2830,1195,81,1272,1690,43,1732,691,6,699,145,7,148,6393,1895,8292
POA3230,..,354,354,516,24,540,127,9,138,146,0,146,54,0,51,17,3,19,853,392,1245
POA3231,..,179,179,286,9,288,71,0,71,68,0,65,18,0,18,5,0,5,444,189,637
POA3232,..,175,175,190,15,203,53,7,59,41,0,40,14,0,14,6,0,6,303,203,502
POA3233,..,349,349,373,27,396,82,3,88,97,4,98,18,0,18,9,0,9,581,387,963
POA3234,..,40,40,31,5,34,9,0,9,5,0,5,5,0,5,0,0,0,52,38,90
POA3235,..,30,30,73,3,81,27,0,27,30,0,30,3,0,3,0,0,0,136,36,171
POA3236,..,24,24,42,0,47,10,0,10,11,0,11,0,0,0,0,0,0,67,26,96
POA3237,..,35,35,43,3,47,14,0,12,9,0,9,0,0,0,3,0,3,63,40,102
POA3238,..,40,40,45,0,46,7,0,7,11,0,11,5,0,5,0,0,0,67,37,108
POA3239,..,59,59,72,5,78,21,0,21,15,0,15,8,0,8,8,0,8,121,61,184
POA3240,..,98,98,218,9,229,127,4,132,160,0,160,73,0,73,21,0,21,598,109,711
POA3241,..,305,305,429,21,450,158,3,158,154,0,153,68,0,68,32,0,32,843,333,1169
POA3242,..,105,105,117,4,124,41,0,48,43,0,43,38,0,38,3,0,3,249,110,363
POA3243,..,31,31,65,4,70,15,0,15,16,0,16,10,0,10,0,0,0,112,38,146
POA3249,..,290,290,462,21,486,148,0,145,143,0,143,95,0,98,58,0,58,916,319,1231
POA3250,..,1758,1758,1569,134,1704,626,29,651,567,20,585,287,13,298,131,4,135,3169,1959,5127
POA3251,..,73,73,76,5,85,28,0,28,24,0,24,12,0,12,3,0,3,150,83,228
POA3254,..,30,30,37,0,41,22,0,22,14,0,14,16,0,16,5,0,5,86,31,121
POA3260,..,625,625,701,39,740,219,3,223,178,0,178,110,0,109,59,0,59,1264,678,1939
POA3264,..,296,296,341,28,359,103,3,107,86,0,84,50,0,50,20,0,20,595,334,926
