POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3461,..,564,564,737,66,797,225,0,229,185,0,184,78,0,79,29,0,29,1250,634,1884
POA3462,..,195,195,183,8,189,59,0,59,68,0,67,18,0,18,9,0,9,336,198,533
POA3463,..,407,407,446,35,481,126,10,132,78,0,78,31,0,31,19,0,19,705,442,1148
POA3464,..,131,131,141,5,150,69,0,69,63,0,63,33,0,33,15,0,15,314,138,449
POA3465,..,1625,1625,1524,105,1631,459,8,467,389,3,391,175,0,175,85,0,85,2630,1742,4368
POA3467,..,199,199,203,8,211,46,0,46,54,0,54,24,0,24,19,0,19,348,204,559
POA3468,..,40,40,53,3,56,6,0,6,10,0,10,4,0,4,0,0,0,78,44,125
POA3469,..,51,51,37,0,41,9,0,9,9,0,9,4,0,4,0,0,0,57,54,108
POA3472,..,268,268,216,26,239,72,0,72,53,0,52,19,0,19,7,0,7,369,295,661
POA3475,..,57,57,67,0,71,12,0,12,8,0,8,4,0,4,3,0,3,99,56,162
POA3477,..,82,82,132,8,144,29,0,29,46,0,46,15,0,15,7,0,7,223,99,322
POA3478,..,476,476,404,22,425,107,4,111,96,0,104,44,0,44,10,0,10,661,498,1160
POA3480,..,251,251,260,10,263,79,5,80,66,0,66,33,0,33,17,0,17,459,265,720
POA3482,..,22,22,22,0,21,11,0,9,6,0,6,3,0,3,0,0,0,44,26,68
POA3483,..,125,125,125,8,130,46,0,46,28,0,28,18,0,18,11,0,11,229,129,359
POA3485,..,51,51,50,3,55,10,0,10,7,0,7,0,0,0,5,0,5,76,53,127
POA3487,..,3,3,11,0,11,6,0,6,0,0,0,3,0,3,0,0,0,19,3,25
POA3488,..,10,10,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,26,10,37
POA3489,..,5,5,5,0,8,5,0,5,0,0,0,4,0,4,0,0,0,14,5,21
POA3490,..,192,192,206,12,218,51,0,51,36,0,36,29,0,29,5,0,5,326,203,528
POA3491,..,20,20,20,4,18,5,0,5,0,0,0,6,0,6,0,0,0,36,14,52
POA3494,..,78,78,76,5,82,34,6,40,23,10,27,6,0,8,8,0,8,150,96,252
POA3496,..,637,637,745,44,789,336,13,343,324,3,325,154,4,156,77,0,77,1632,697,2329
POA3498,..,453,453,704,27,739,303,4,307,310,3,316,160,6,156,77,0,79,1559,499,2058
POA3500,..,4131,4131,4229,340,4573,1781,95,1877,1540,32,1567,729,22,752,396,27,416,8670,4644,13319
POA3501,..,131,131,209,11,214,111,0,110,149,0,154,66,0,66,34,0,34,568,139,710
POA3505,..,434,434,611,25,641,251,3,258,237,6,238,127,0,127,64,0,64,1291,471,1764
POA3506,..,4,4,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,6,4,10
POA3507,..,22,22,19,0,23,6,0,6,5,0,5,3,0,3,5,0,5,36,26,64
POA3509,..,31,31,45,0,43,13,0,13,3,0,3,8,0,8,0,0,0,64,27,96
POA3512,..,49,49,51,0,56,10,0,10,18,0,18,5,0,5,3,0,3,93,56,146
POA3515,..,121,121,278,13,287,125,0,132,179,0,179,83,0,83,33,0,33,698,131,829
POA3516,..,68,68,104,7,111,29,0,33,36,0,36,22,0,22,10,0,10,197,74,270
POA3517,..,199,199,213,16,228,61,0,61,55,0,58,25,0,25,14,0,14,373,215,587
POA3518,..,205,205,196,18,212,48,0,51,43,0,43,17,0,17,9,0,9,321,228,547
POA3520,..,36,36,26,0,26,4,0,4,5,0,5,3,0,3,0,0,0,36,36,71
POA3521,..,51,51,85,0,93,35,0,35,47,0,47,23,0,23,11,0,11,202,49,258
POA3522,..,33,33,52,5,57,17,0,18,18,0,18,4,0,4,0,0,0,91,40,130
POA3523,..,590,590,662,55,717,180,0,184,105,0,105,47,0,47,32,0,32,1028,650,1676
POA3525,..,195,195,228,16,246,53,0,53,33,0,36,27,0,27,13,0,13,361,211,572
POA3527,..,118,118,131,8,141,38,0,38,25,0,25,9,0,9,3,0,3,204,122,329
POA3529,..,15,15,14,0,14,11,0,11,8,0,8,3,0,3,3,0,3,30,15,40
POA3530,..,26,26,19,0,23,7,0,7,4,0,4,0,0,0,0,0,0,29,28,55
POA3531,..,23,23,24,3,27,6,3,13,12,0,12,3,0,3,3,0,3,52,28,82
POA3533,..,112,112,118,7,124,31,3,35,26,0,28,15,0,15,4,0,4,194,119,322
POA3537,..,137,137,142,6,147,32,0,36,42,0,41,21,0,21,12,0,12,243,142,388
POA3540,..,51,51,44,3,45,4,0,4,11,0,11,6,0,6,0,0,0,63,55,119
POA3542,..,14,14,26,0,24,3,0,3,3,0,3,3,0,3,0,0,0,40,19,58
POA3544,..,37,37,30,3,33,11,0,11,10,0,10,9,0,9,6,0,6,58,36,94
POA3546,..,43,43,54,8,62,17,0,17,13,0,13,9,0,9,3,0,3,96,44,140
POA3549,..,257,257,307,41,350,140,19,156,134,21,154,120,11,123,93,14,108,794,363,1154
POA3550,..,6013,6013,5370,557,5924,2244,166,2407,1767,52,1816,720,15,729,333,7,344,10432,6806,17240
POA3551,..,1857,1857,3932,174,4105,1889,33,1918,2356,12,2373,1122,0,1124,481,0,482,9784,2075,11861
POA3555,..,2871,2871,2775,224,3005,1169,42,1218,931,12,939,377,5,382,175,0,173,5423,3159,8582
POA3556,..,1741,1741,1763,142,1904,765,15,781,662,8,667,291,0,295,179,0,176,3658,1903,5561
POA3557,..,64,64,102,9,111,62,0,60,40,0,40,19,0,19,7,0,7,229,74,306
POA3558,..,144,144,144,7,154,44,0,44,35,0,35,13,0,13,10,0,10,244,148,399
POA3559,..,60,60,87,3,90,25,0,25,28,0,28,13,0,13,3,0,3,153,60,218
POA3561,..,511,511,675,40,711,199,0,202,159,3,166,104,3,107,59,0,59,1191,559,1753
POA3562,..,14,14,35,4,44,7,0,7,16,0,16,0,0,0,3,0,3,67,18,90
POA3563,..,89,89,115,7,123,39,0,39,34,0,34,25,0,25,12,0,12,217,94,311
POA3564,..,1905,1905,2362,128,2487,853,28,886,791,15,808,391,0,391,152,3,156,4549,2079,6626
POA3565,..,14,14,14,0,14,4,0,4,3,0,3,0,0,0,6,0,6,35,14,43
POA3566,..,66,66,86,3,93,26,0,26,31,0,31,10,0,10,3,0,3,158,70,227
POA3567,..,68,68,117,5,120,28,0,33,29,0,29,12,0,12,5,0,5,196,74,265
POA3568,..,403,403,465,24,489,141,0,144,109,0,117,50,0,50,17,0,17,788,429,1217
POA3570,..,45,45,121,6,126,45,0,45,32,0,32,14,0,14,8,0,8,222,49,273
POA3571,..,25,25,41,3,41,20,0,20,12,0,12,12,0,12,6,0,6,88,27,111
POA3572,..,13,13,19,0,19,6,0,6,9,0,9,0,0,0,0,0,0,37,13,50
POA3573,..,40,40,47,3,47,16,0,16,18,0,18,6,0,6,3,0,3,83,41,127
POA3575,..,113,113,106,5,116,40,0,42,24,0,24,21,0,21,13,0,13,212,127,337
POA3576,..,4,4,11,0,14,5,0,5,3,0,3,0,0,0,0,0,0,20,9,30
POA3579,..,766,766,766,56,822,236,0,241,198,0,198,107,0,107,65,0,62,1378,826,2206
POA3580,..,129,129,206,7,209,45,0,46,28,0,28,21,0,21,14,0,14,314,139,449
POA3581,..,12,12,20,9,21,11,0,11,8,0,8,0,0,0,3,0,3,38,20,54
POA3583,..,9,9,19,4,18,15,0,15,4,0,10,7,0,7,0,0,0,42,14,59
POA3584,..,93,93,148,8,156,50,0,50,54,0,54,36,0,36,5,0,5,297,100,397
POA3585,..,1359,1359,1479,112,1588,594,26,624,509,7,521,266,0,265,107,0,107,2958,1507,4465
POA3586,..,57,57,91,5,93,39,3,46,46,0,48,23,0,23,13,0,13,209,66,270
POA3588,..,36,36,61,0,60,20,0,20,17,0,22,6,0,6,6,0,13,109,36,151
POA3589,..,22,22,45,6,49,15,0,15,17,0,14,12,0,12,4,0,4,88,28,116
POA3590,..,22,22,39,0,39,22,0,19,19,0,19,6,0,6,3,0,3,89,23,113
POA3591,..,8,8,27,0,31,11,0,11,8,0,8,4,0,4,0,0,0,52,10,61
POA3594,..,76,76,94,6,102,23,0,28,20,0,19,4,0,4,0,0,0,142,83,222
POA3595,..,80,80,73,10,81,20,3,28,25,0,25,15,0,15,11,0,11,145,98,240
POA3596,..,12,12,10,0,12,3,0,3,0,0,0,3,0,3,0,0,0,21,9,32
POA3597,..,51,51,35,22,58,21,0,25,17,0,18,9,0,9,5,0,5,92,76,168
POA3599,..,14,14,16,3,15,5,0,3,7,0,7,0,0,0,0,0,0,33,20,51
POA3607,..,16,16,18,0,19,8,0,8,3,0,3,3,0,3,0,0,0,42,16,55
POA3608,..,410,410,446,30,477,128,6,131,97,0,97,53,0,53,21,0,21,748,441,1186
POA3610,..,197,197,200,14,221,75,0,79,58,0,58,29,0,29,13,0,13,380,218,595
POA3612,..,286,286,278,21,294,71,5,75,65,0,65,28,0,28,11,0,11,458,307,762
POA3614,..,51,51,110,7,114,46,0,46,61,0,61,34,0,34,4,0,4,257,55,313
POA3616,..,594,594,753,42,789,283,3,284,282,0,286,123,0,123,47,0,47,1482,646,2131
POA3617,..,9,9,21,0,21,10,0,15,11,0,11,4,0,4,0,0,0,48,8,58
POA3618,..,73,73,94,13,104,36,3,37,21,4,27,10,0,10,4,0,4,178,88,262
POA3620,..,993,993,1146,50,1201,428,5,434,384,0,384,199,0,199,83,0,83,2240,1051,3288
POA3621,..,265,265,288,12,302,105,4,110,114,0,114,66,0,66,37,0,37,616,281,899
POA3622,..,29,29,59,3,67,27,0,27,26,0,26,11,0,11,16,0,16,138,35,176
POA3623,..,116,116,156,8,157,38,0,38,33,0,33,21,0,21,12,0,12,252,126,374
POA3624,..,68,68,72,9,79,26,0,23,26,0,26,15,0,15,3,0,3,140,74,217
POA3629,..,1222,1222,1178,79,1260,475,12,491,413,12,419,181,3,180,86,0,89,2338,1330,3669
POA3630,..,3778,3778,3552,314,3868,1651,109,1755,1413,33,1447,644,12,660,461,8,471,7722,4250,11969
POA3631,..,763,763,1507,70,1574,718,21,739,927,3,937,463,4,465,250,0,250,3867,862,4724
POA3633,..,51,51,66,0,62,27,0,25,41,0,41,26,0,26,3,0,3,161,50,214
POA3634,..,117,117,233,4,236,99,0,102,97,0,97,60,0,60,26,0,26,510,123,640
POA3635,..,63,63,76,3,79,37,0,37,16,0,16,10,0,10,4,0,4,146,68,215
POA3636,..,683,683,771,41,810,264,4,265,216,0,222,102,5,102,51,0,54,1402,732,2134
POA3637,..,31,31,70,3,77,33,0,33,34,0,34,18,0,18,10,0,10,168,34,200
POA3638,..,314,314,281,24,311,92,3,92,93,0,93,62,0,62,25,0,25,554,339,891
POA3639,..,75,75,70,8,81,28,4,33,18,0,22,4,0,4,0,0,0,123,81,209
POA3640,..,52,52,114,4,118,48,3,51,49,0,49,24,3,29,16,4,21,257,72,322
POA3641,..,127,127,157,10,164,46,0,49,59,0,59,37,0,37,22,0,22,317,139,455
POA3644,..,1167,1167,1362,90,1451,407,13,422,375,7,385,195,0,194,97,3,103,2443,1280,3720
POA3646,..,50,50,94,4,98,28,0,28,28,0,28,15,0,15,5,0,5,173,54,230
POA3647,..,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5
POA3649,..,45,45,66,6,67,16,0,16,22,0,22,13,0,13,11,0,8,119,53,171
POA3658,..,621,621,754,39,793,343,3,348,310,0,309,166,0,166,79,0,79,1649,669,2317
POA3659,..,61,61,118,0,121,44,4,50,34,0,34,14,0,14,4,0,4,224,64,289
POA3660,..,1013,1013,1070,74,1147,426,18,441,313,9,320,143,0,145,67,7,73,2014,1120,3137
POA3662,..,15,15,68,0,68,51,0,51,57,0,57,28,0,28,12,0,12,212,15,233
POA3663,..,6,6,32,0,38,8,0,8,10,0,10,3,0,3,0,0,0,53,9,63
POA3664,..,134,134,171,3,178,72,0,72,52,0,52,25,0,25,17,0,17,328,143,471
POA3665,..,41,41,60,3,70,16,0,16,16,0,16,10,0,10,3,0,3,108,44,154
POA3666,..,724,724,850,37,891,227,9,232,182,0,182,79,0,79,39,0,39,1376,761,2140
POA3669,..,212,212,239,18,254,69,0,66,50,0,50,19,0,19,7,0,7,384,232,609
POA3670,..,61,61,103,5,110,40,0,37,18,0,18,8,0,8,4,0,4,180,68,248
POA3672,..,1657,1657,1662,126,1783,492,10,499,396,5,402,179,0,178,77,0,77,2804,1795,4602
POA3673,..,169,169,318,10,328,75,0,75,82,0,82,38,0,38,10,0,10,531,174,709
POA3675,..,149,149,292,7,302,101,0,101,109,0,109,51,0,51,15,0,15,556,157,719
POA3677,..,2787,2787,2537,164,2700,957,31,983,876,7,883,405,4,408,150,3,145,4926,2989,7914
POA3678,..,499,499,980,33,1011,298,4,302,318,3,320,175,0,179,78,3,84,1844,543,2394
POA3682,..,50,50,85,4,91,21,0,23,40,0,40,18,0,18,5,0,5,175,52,229
POA3683,..,228,228,275,20,295,91,0,91,65,0,65,25,0,25,23,0,23,482,247,726
POA3685,..,354,354,443,17,464,151,4,154,136,0,136,68,0,68,19,0,19,813,369,1186
POA3687,..,117,117,173,8,183,58,0,58,48,0,48,28,0,28,0,0,0,307,125,431
POA3688,..,96,96,177,11,189,70,3,71,79,0,79,27,0,27,10,0,10,364,114,473
POA3690,..,4228,4228,4426,318,4743,1971,50,2026,1771,15,1784,730,8,734,339,0,339,9246,4614,13858
POA3691,..,680,680,1436,57,1494,645,12,658,756,0,758,386,0,386,133,0,133,3360,755,4113
POA3695,..,27,27,67,0,72,20,0,20,28,0,28,8,0,8,11,0,11,143,29,171
POA3697,..,65,65,95,4,97,20,0,20,28,0,28,14,0,14,5,0,5,159,68,223
POA3698,..,128,128,174,10,177,36,0,39,45,0,45,17,0,17,4,0,4,276,132,409
POA3699,..,173,173,148,10,163,34,3,41,34,0,34,14,0,18,6,0,6,243,192,433
POA3700,..,171,171,219,6,222,60,0,66,46,0,46,26,0,26,14,0,14,366,181,546
POA3701,..,112,112,184,9,190,40,0,40,44,0,44,20,0,20,6,0,6,297,118,413
POA3704,..,5,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
POA3705,..,26,26,40,6,41,4,0,4,4,0,4,7,0,7,0,0,0,61,31,88
POA3707,..,253,253,278,4,288,82,0,89,63,0,63,39,0,39,10,0,10,480,262,741
POA3708,..,6,6,16,0,16,6,0,6,5,0,5,0,0,0,0,0,0,19,6,25
POA3709,..,45,45,58,8,65,11,0,11,6,0,6,7,0,7,0,0,0,76,52,130
POA3711,..,67,67,98,4,103,27,0,27,25,0,25,10,0,10,3,0,3,155,71,233
POA3712,..,66,66,59,5,65,13,0,13,10,0,10,8,0,8,0,0,0,92,73,166
POA3713,..,208,208,166,17,178,36,0,36,26,5,26,15,0,13,5,0,5,242,222,466
POA3714,..,546,546,593,29,622,170,5,177,152,3,157,76,0,71,20,0,20,1016,578,1599
POA3715,..,35,35,73,3,76,13,0,13,11,0,11,12,0,12,0,0,0,110,42,148
POA3717,..,454,454,549,33,587,153,8,156,138,0,138,64,0,64,23,0,23,932,492,1427
POA3718,..,9,9,24,0,24,5,0,5,0,0,0,0,0,0,3,0,3,24,9,37
POA3719,..,44,44,86,0,85,23,0,23,10,0,10,10,0,10,0,0,0,127,41,174
POA3720,..,78,78,117,5,124,29,0,31,28,0,34,11,0,11,4,0,4,191,82,276
POA3722,..,675,675,864,34,897,235,11,240,264,5,259,145,0,145,45,0,49,1542,719,2266
POA3723,..,380,380,493,17,513,140,5,138,116,3,116,48,0,48,20,6,18,810,410,1218
POA3725,..,54,54,94,0,94,27,0,27,30,0,30,16,0,16,11,0,11,171,56,229
POA3726,..,45,45,58,0,65,20,0,20,20,0,20,3,0,3,8,0,8,113,48,159
POA3727,..,20,20,48,8,49,21,0,21,19,0,19,3,0,3,4,0,4,85,23,112
POA3728,..,80,80,109,3,112,30,0,30,34,0,31,14,0,14,9,0,9,197,85,278
POA3730,..,1099,1099,1557,82,1637,402,5,409,386,0,386,216,0,216,84,0,84,2655,1188,3839
POA3732,..,55,55,95,5,97,30,3,33,28,0,28,11,0,11,5,0,5,169,68,238
POA3733,..,35,35,35,0,43,11,0,13,7,0,7,0,0,0,0,0,0,61,39,99
POA3735,..,62,62,115,0,115,27,0,27,34,0,34,19,0,19,0,0,0,194,65,253
POA3737,..,549,549,712,30,737,212,3,219,183,0,183,109,0,109,23,0,23,1233,581,1818
POA3738,..,22,22,34,0,34,7,0,7,5,0,5,3,0,3,0,0,0,56,22,82
POA3739,..,24,24,41,0,41,3,0,3,10,0,10,7,0,7,0,0,0,61,24,86
POA3740,..,94,94,167,4,179,58,3,61,73,0,73,31,0,31,4,0,4,334,100,431
POA3741,..,401,401,519,32,556,144,3,144,143,5,152,47,0,52,16,3,22,870,447,1321
POA3744,..,39,39,65,4,71,24,0,24,26,0,26,13,0,13,4,0,4,135,47,182
POA3746,..,45,45,56,3,56,27,0,27,15,0,15,5,0,5,5,0,5,106,47,155
POA3747,..,578,578,780,35,811,217,4,221,244,0,244,103,0,105,22,0,22,1368,626,1995
POA3749,..,182,182,320,5,330,100,0,97,111,0,111,42,0,42,20,0,20,592,188,779
POA3750,..,875,875,1487,108,1596,1527,45,1571,1858,10,1874,849,4,854,487,0,489,6215,1045,7257
POA3751,..,9,9,19,5,20,0,0,0,8,0,8,3,0,3,4,0,4,39,13,46
POA3752,..,1264,1264,1945,122,2058,1558,19,1575,2036,12,2050,772,0,779,304,5,307,6616,1416,8033
POA3753,..,151,151,357,12,369,294,3,304,340,0,343,147,0,147,77,0,77,1223,174,1396
POA3754,..,2376,2376,4036,213,4249,3225,33,3262,4069,17,4083,1685,5,1688,630,3,632,13646,2639,16292
POA3755,..,10,10,33,0,32,7,0,7,14,0,14,7,0,7,3,0,3,70,13,81
POA3756,..,846,846,1493,88,1580,931,8,940,1046,0,1052,487,0,487,263,0,263,4227,941,5166
POA3757,..,672,672,1003,49,1051,519,9,522,578,0,580,290,0,290,128,0,127,2513,728,3241
POA3758,..,102,102,232,7,243,116,0,113,145,0,145,66,0,66,39,0,39,597,116,712
POA3759,..,47,47,124,10,128,69,0,69,73,0,73,27,0,23,12,0,12,298,53,351
POA3760,..,16,16,40,0,40,23,0,23,22,0,22,8,0,8,7,0,7,100,16,116
POA3761,..,57,57,141,5,146,74,0,74,70,0,70,35,0,39,19,0,19,327,66,398
POA3762,..,7,7,15,0,15,6,0,6,5,0,5,0,0,0,4,0,4,29,7,41
POA3763,..,144,144,202,15,217,92,5,91,98,0,98,37,0,37,20,0,20,448,164,608
POA3764,..,952,952,1248,62,1310,569,8,575,586,0,590,258,0,258,129,0,129,2796,1019,3812
POA3765,..,448,448,689,30,712,415,4,419,444,0,450,209,0,209,88,0,88,1841,479,2323
POA3766,..,101,101,144,7,154,85,0,85,91,0,94,23,0,23,7,0,7,350,115,468
POA3767,..,99,99,172,5,183,60,0,60,70,0,72,30,0,30,14,0,14,352,113,459
POA3770,..,169,169,380,13,392,183,0,181,223,0,221,91,0,91,38,0,38,915,189,1100
POA3775,..,264,264,512,20,534,237,8,242,254,0,254,105,0,105,33,0,33,1149,286,1430
POA3777,..,1060,1060,1453,69,1523,585,10,599,570,0,574,236,0,237,119,0,119,2966,1142,4105
POA3778,..,24,24,27,0,33,10,0,10,8,0,8,0,0,0,0,0,0,55,24,84
POA3779,..,64,64,105,3,110,15,0,15,19,0,19,9,0,9,0,0,0,152,72,224
POA3781,..,269,269,434,30,461,269,4,266,302,0,302,139,0,139,57,0,57,1196,300,1501
POA3782,..,467,467,893,43,941,446,0,448,559,0,561,229,0,229,80,0,80,2215,518,2733
POA3783,..,152,152,251,8,259,135,4,139,161,0,158,81,0,81,24,0,24,646,166,812
POA3785,..,0,0,10,0,10,0,0,0,0,0,0,3,0,3,0,0,0,19,0,24
POA3786,..,103,103,176,7,182,81,0,80,115,0,115,34,0,34,19,0,19,422,111,531
POA3787,..,59,59,141,6,147,69,0,69,66,0,69,15,0,15,3,0,3,295,60,354
POA3788,..,148,148,225,8,238,86,0,86,117,0,119,38,0,38,16,0,16,480,165,644
POA3789,..,19,19,37,6,41,21,0,21,14,0,14,5,0,5,6,0,6,81,22,106
POA3791,..,125,125,208,9,216,89,0,89,86,0,86,32,0,32,11,0,11,420,136,554
POA3792,..,53,53,140,5,145,72,0,72,70,0,70,21,0,21,13,0,13,314,63,370
POA3793,..,272,272,406,24,429,220,5,226,236,0,236,104,0,104,35,0,35,998,302,1301
POA3795,..,67,67,124,10,135,58,0,58,77,0,77,53,0,53,26,0,26,340,74,416
POA3796,..,612,612,1024,49,1072,576,9,587,688,3,688,292,0,292,125,0,125,2706,677,3378
POA3797,..,387,387,418,23,443,178,3,181,203,0,204,81,0,83,50,0,50,938,410,1349
POA3799,..,767,767,722,65,792,324,0,327,260,0,261,115,0,115,53,0,53,1475,838,2315
POA3802,..,1262,1262,2391,135,2529,1528,39,1567,1567,15,1581,661,11,667,410,3,416,6558,1457,8016
POA3803,..,685,685,948,71,1025,610,22,631,611,15,624,274,4,278,287,0,288,2724,806,3530
POA3804,..,189,189,669,24,691,399,0,400,552,0,556,303,4,308,208,0,208,2140,216,2358
POA3805,..,2633,2633,4467,266,4734,3454,54,3508,3876,31,3906,1790,10,1798,1346,0,1350,14930,2989,17929
POA3806,..,2939,2939,4622,222,4845,3093,41,3134,3907,17,3924,1444,8,1452,659,3,660,13717,3231,16948
POA3807,..,437,437,688,35,723,412,0,416,596,0,596,273,0,270,81,0,81,2046,470,2524
POA3808,..,102,102,293,4,298,125,3,122,239,0,242,121,0,121,44,0,44,822,109,925
POA3809,..,1079,1079,1809,107,1917,1348,28,1375,1426,5,1432,513,0,513,272,0,272,5375,1219,6593
POA3810,..,4056,4056,5189,412,5601,3235,72,3303,3422,22,3445,1527,15,1541,966,3,967,14336,4580,18914
POA3812,..,130,130,248,12,258,123,0,123,156,0,156,74,0,74,36,0,36,635,142,783
POA3813,..,62,62,94,0,95,53,0,53,53,0,56,24,0,24,15,0,21,242,65,311
POA3814,..,164,164,300,15,314,125,0,128,137,0,139,77,0,77,47,0,47,687,177,864
POA3815,..,228,228,411,13,424,145,0,145,234,0,234,109,0,109,64,0,64,966,245,1210
POA3816,..,290,290,348,24,366,170,0,170,188,0,188,82,0,82,34,0,34,817,308,1133
POA3818,..,1597,1597,2294,107,2402,936,11,953,849,6,849,420,0,421,227,0,227,4722,1721,6450
POA3820,..,2009,2009,2600,129,2726,1048,30,1076,1060,14,1070,478,6,494,185,0,189,5380,2180,7559
POA3821,..,194,194,384,12,401,153,0,153,160,0,160,99,0,99,47,0,47,843,209,1047
POA3822,..,52,52,120,9,129,56,0,56,43,0,43,32,0,32,22,0,22,272,61,330
POA3823,..,226,226,337,11,346,93,0,93,103,0,104,49,0,49,21,0,21,605,239,849
POA3824,..,554,554,726,41,761,294,5,292,274,0,272,123,0,123,60,0,58,1467,596,2067
POA3825,..,3219,3219,2696,199,2897,1109,13,1124,950,3,951,369,4,373,178,7,181,5295,3452,8743
POA3831,..,168,168,279,9,287,91,0,91,93,0,93,48,0,48,18,0,18,539,179,713
POA3832,..,32,32,39,0,42,17,0,17,12,0,12,0,0,0,0,0,0,73,35,112
POA3833,..,50,50,47,5,53,10,0,10,12,0,12,6,0,6,0,0,0,75,51,128
POA3835,..,43,43,70,0,69,25,0,25,26,0,26,10,0,10,0,0,0,137,46,185
POA3840,..,2334,2334,2253,165,2412,843,19,866,685,4,690,313,7,320,176,4,183,4279,2529,6805
POA3842,..,550,550,671,56,719,287,10,301,226,0,226,82,0,82,48,0,48,1309,615,1925
POA3844,..,3557,3557,3968,275,4242,1662,39,1693,1660,15,1674,668,7,668,255,3,257,8204,3888,12098
POA3847,..,229,229,319,25,341,122,0,123,98,0,98,35,0,35,28,0,28,601,258,857
POA3850,..,2019,2019,2018,131,2151,827,22,854,708,3,716,323,0,328,128,0,127,4012,2185,6200
POA3851,..,640,640,843,51,896,218,0,220,232,0,237,115,0,115,47,0,47,1461,689,2155
POA3852,..,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8
POA3854,..,86,86,181,6,191,81,0,81,90,0,90,39,0,39,19,0,19,411,97,509
POA3856,..,76,76,126,5,133,53,0,53,56,0,56,29,0,29,14,0,14,293,82,371
POA3857,..,17,17,60,0,57,22,0,21,17,0,17,8,0,8,5,0,5,110,24,129
POA3858,..,336,336,400,21,426,140,3,139,145,0,145,60,0,60,38,0,38,783,358,1142
POA3859,..,77,77,116,4,118,54,3,54,43,0,45,27,0,27,13,0,13,240,88,332
POA3860,..,858,858,1090,46,1138,323,9,324,330,0,329,186,0,187,70,0,70,1999,913,2912
POA3862,..,350,350,501,24,526,167,0,164,198,0,198,80,0,79,43,0,43,981,371,1350
POA3864,..,22,22,34,0,30,11,0,11,7,0,7,3,0,3,6,0,6,63,22,92
POA3865,..,48,48,75,3,82,23,0,27,19,0,22,10,0,10,9,0,8,138,53,188
POA3869,..,154,154,251,3,256,89,0,93,103,0,103,34,0,34,21,0,21,501,161,661
POA3870,..,158,158,188,7,195,64,0,65,44,0,44,36,0,36,16,0,16,346,169,511
POA3871,..,357,357,407,16,426,141,0,141,115,0,115,83,0,83,31,0,31,792,377,1159
POA3873,..,32,32,45,3,45,11,0,11,16,0,16,8,0,8,4,0,4,86,36,122
POA3874,..,89,89,109,9,119,33,0,33,22,0,22,5,0,5,3,0,3,167,94,264
POA3875,..,2327,2327,2814,157,2972,1004,35,1045,891,12,904,411,0,418,193,11,204,5323,2547,7867
POA3878,..,132,132,279,16,296,50,0,50,42,0,42,25,0,25,10,0,10,397,149,549
POA3880,..,686,686,903,41,941,169,5,176,104,0,104,45,0,45,14,0,14,1243,728,1970
POA3882,..,114,114,183,8,194,68,0,68,69,0,68,35,0,35,15,0,15,367,124,494
POA3885,..,209,209,275,13,293,102,0,103,76,0,76,38,0,38,17,0,17,516,222,740
POA3886,..,38,38,65,0,69,7,0,10,21,0,21,13,0,13,0,0,0,113,39,153
POA3887,..,36,36,38,8,41,18,4,17,6,0,8,0,0,0,0,0,0,62,44,104
POA3888,..,571,571,523,39,566,142,0,144,110,0,109,63,0,63,30,0,30,869,616,1486
POA3889,..,32,32,31,0,33,4,0,4,5,0,5,3,0,3,0,0,0,43,30,77
POA3890,..,59,59,57,3,61,10,0,10,11,0,11,0,0,0,0,0,0,81,62,145
POA3891,..,22,22,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,25,22,42
POA3892,..,194,194,195,4,197,48,0,52,33,0,33,21,0,21,0,0,0,298,205,499
POA3893,..,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
POA3895,..,30,30,31,0,34,9,0,9,0,0,0,0,0,0,0,0,0,54,38,87
POA3896,..,51,51,55,0,57,10,0,10,21,0,21,6,0,6,4,0,4,94,51,144
POA3898,..,87,87,105,4,108,26,0,29,27,0,30,6,0,6,0,0,0,164,97,252
POA3900,..,30,30,34,4,33,3,0,3,5,0,5,0,0,0,0,0,0,43,33,78
POA3902,..,46,46,84,6,86,18,0,18,18,0,18,7,0,7,5,0,5,124,46,172
POA3903,..,79,79,146,0,149,43,0,44,40,0,40,16,0,16,11,0,11,253,80,337
