POA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA3033,135,166,87,58,85,66,46,647,48,56,35,39,45,33,11,277,60,82,32,21,21,12,7,244,470,441,271,191,256,125,62,1814,5,0,0,0,0,0,0,6,724,741,424,310,417,239,132,2990,3,19,15,7,7,11,9,75,9,13,7,15,8,7,4,60,4,18,7,7,9,4,3,49,38,81,57,42,48,38,14,319,0,3,0,0,0,0,0,9,49,125,83,70,86,62,29,505,773,874,509,378,507,301,162,3491
POA3034,150,186,119,68,91,81,46,737,56,54,35,21,25,19,6,213,83,65,32,20,17,4,3,231,261,288,136,76,101,57,29,955,0,3,0,0,0,0,0,8,551,602,319,177,249,162,85,2148,16,24,21,6,20,12,15,121,6,16,6,0,11,4,3,48,0,12,8,7,8,0,0,37,28,29,22,26,37,22,10,161,0,0,5,0,0,0,0,7,51,76,57,43,75,42,27,375,608,681,383,219,319,201,112,2527
POA3036,12,22,18,13,30,19,16,129,14,29,22,12,18,12,3,126,25,24,17,12,8,12,3,104,191,177,121,91,126,74,43,819,0,7,0,0,0,0,0,6,236,264,178,122,185,117,64,1176,4,3,4,3,5,0,0,19,5,7,4,5,0,0,0,24,3,0,0,0,0,3,0,12,17,20,17,12,17,11,9,105,0,0,0,0,0,0,0,0,23,28,27,28,27,16,11,161,261,291,207,152,208,136,78,1335
POA3037,899,1136,704,489,687,484,323,4728,238,267,183,136,194,99,47,1166,215,210,137,103,107,69,29,870,1066,1214,830,599,769,379,165,5022,13,10,3,7,0,0,0,35,2428,2851,1858,1330,1757,1033,577,11828,82,171,116,88,121,93,74,737,35,48,36,30,47,27,12,223,22,35,41,28,45,9,9,191,124,222,168,108,160,74,40,904,5,12,7,0,0,0,0,35,258,486,371,258,371,211,139,2091,2688,3335,2227,1591,2125,1239,710,13920
POA3038,178,284,199,139,251,199,115,1362,115,131,67,53,93,64,47,566,99,109,49,45,76,56,24,456,554,511,298,248,380,257,131,2376,0,4,0,3,0,0,0,11,951,1034,607,488,799,567,321,4776,27,42,29,39,37,34,31,243,25,34,21,19,25,15,5,149,6,19,10,9,22,13,8,85,69,114,87,58,81,37,26,465,0,3,5,0,0,0,0,15,126,210,150,122,164,98,74,954,1074,1250,753,616,965,669,400,5723
POA3039,158,110,50,34,31,25,21,435,86,67,34,35,45,28,13,317,91,84,37,14,22,24,13,277,349,399,218,168,235,168,77,1607,0,0,0,0,3,0,0,4,681,659,345,253,337,251,121,2636,4,19,6,5,11,11,3,61,6,12,10,8,9,8,3,53,0,9,5,9,3,0,0,32,17,49,36,21,29,16,13,178,0,5,0,0,0,0,0,7,35,90,54,44,59,33,18,338,713,750,400,294,393,285,139,2973
POA3040,201,287,132,101,114,62,43,940,110,107,55,52,70,57,30,490,138,125,68,39,49,53,29,496,550,733,495,361,529,429,201,3301,3,7,4,0,0,0,0,10,1002,1257,752,553,764,601,307,5248,8,29,26,17,24,19,18,140,3,19,17,12,17,4,5,85,6,17,16,19,12,18,0,78,27,56,67,63,83,49,28,370,6,0,5,0,0,5,0,11,49,116,127,106,142,87,57,691,1048,1375,885,658,905,694,367,5936
POA3041,101,143,94,63,74,52,14,538,45,60,38,35,52,35,18,280,51,80,32,29,32,31,14,274,288,433,325,202,281,187,103,1811,0,3,0,0,0,0,0,3,492,715,487,324,435,312,139,2909,3,7,13,7,15,10,3,64,0,6,12,7,16,5,6,52,4,4,8,5,5,4,6,34,22,43,39,35,46,33,16,235,4,0,3,0,0,0,0,5,40,62,75,58,82,55,29,394,525,772,562,388,517,365,170,3306
POA3042,100,111,57,39,54,37,22,426,80,73,38,35,37,28,13,303,97,68,32,19,31,16,11,278,598,561,297,178,251,121,44,2053,0,0,0,0,0,0,0,7,883,825,430,268,374,205,93,3067,11,9,10,9,6,14,9,68,15,16,16,12,18,13,3,91,3,9,9,7,11,5,3,51,65,74,56,45,64,54,13,376,0,3,8,0,0,0,0,14,94,113,103,78,101,79,31,594,971,933,532,349,468,281,125,3662
POA3043,183,199,150,102,138,111,78,963,80,87,45,30,41,15,12,308,82,69,35,18,22,13,6,248,534,412,194,130,160,63,27,1521,7,4,0,0,0,0,0,12,884,771,425,287,361,206,116,3053,11,19,30,23,29,23,10,144,14,19,19,13,20,12,3,100,5,13,8,9,13,3,4,58,57,113,77,57,69,27,18,411,0,9,0,0,3,0,0,17,87,171,129,105,128,61,41,728,973,943,553,396,490,270,152,3777
