POA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA3158,34,29,20,16,15,11,6,127,37,47,30,24,28,16,11,187,42,55,30,15,15,9,3,171,255,266,154,99,119,61,26,973,3,0,3,0,0,0,0,5,368,392,233,157,180,92,37,1466,0,4,3,0,0,0,0,11,3,3,7,4,9,10,0,43,0,9,0,3,9,0,0,17,12,26,19,21,34,13,13,130,0,0,0,0,0,0,0,7,21,44,32,29,48,23,13,203,387,435,269,188,229,112,52,1669
POA3159,10,8,6,10,7,6,0,38,13,15,7,6,12,3,4,59,23,15,13,13,0,5,4,78,90,102,47,37,47,18,10,357,0,0,0,0,0,0,0,3,129,142,76,71,66,33,17,539,0,0,3,0,4,0,0,10,0,4,4,3,0,0,0,10,0,4,4,0,3,4,0,17,8,4,10,8,18,7,3,59,0,0,0,0,0,0,0,0,8,14,19,12,25,10,3,96,146,156,97,80,90,45,20,629
POA3160,22,40,25,21,34,11,0,165,57,60,34,29,28,20,4,241,55,68,28,22,19,21,3,216,314,331,205,130,145,78,33,1231,0,0,0,0,0,0,0,0,455,502,296,194,237,129,43,1855,0,4,4,3,5,0,0,20,6,4,13,3,15,0,0,49,0,7,0,6,6,0,3,27,13,36,49,33,50,16,15,209,0,0,0,0,0,0,0,4,25,48,66,45,77,22,24,307,477,551,362,238,314,151,67,2155
POA3161,182,193,84,59,69,56,48,685,133,129,69,41,55,40,21,486,139,116,84,52,70,38,29,520,330,321,219,148,220,138,91,1465,0,0,3,0,0,0,0,10,780,761,453,304,412,272,183,3160,12,14,9,18,14,10,11,98,11,14,12,13,13,9,4,83,9,10,8,0,6,6,3,47,12,28,25,28,31,28,10,174,4,0,0,0,0,0,0,5,51,78,56,62,71,54,30,399,830,841,510,358,482,322,216,3564
POA3162,224,258,140,100,144,95,98,1061,143,174,88,54,78,48,20,615,114,144,89,48,70,38,23,523,369,358,225,141,194,123,85,1493,0,3,0,0,0,0,0,9,846,940,556,346,489,295,230,3702,21,34,22,11,20,17,5,125,7,15,19,11,15,10,6,83,3,16,14,7,9,9,7,63,15,33,40,40,55,18,24,224,0,3,0,0,0,0,0,8,50,98,91,70,90,55,43,502,902,1039,643,414,579,354,270,4205
POA3163,629,629,237,132,155,86,80,1946,156,139,80,46,67,45,22,558,195,194,76,51,55,43,25,639,506,480,356,234,334,207,108,2227,3,0,0,0,0,0,0,6,1494,1443,748,464,612,380,231,5373,22,62,31,21,28,34,28,230,13,23,13,16,17,10,5,109,9,16,9,10,14,8,7,74,27,59,46,39,48,35,26,281,6,3,5,5,0,0,0,14,77,164,107,86,103,97,71,703,1574,1611,846,549,715,477,302,6082
POA3165,541,763,435,242,333,201,95,2611,187,186,125,81,97,52,32,749,200,193,110,54,78,49,15,701,635,748,451,326,416,238,104,2916,3,9,4,0,0,0,0,23,1571,1889,1123,696,928,541,251,6998,30,70,67,49,66,50,26,365,15,30,30,22,33,17,13,161,9,24,14,20,22,9,7,102,38,77,79,68,93,63,33,456,4,5,0,6,0,0,0,18,96,212,190,168,221,143,82,1099,1665,2102,1311,863,1148,677,324,8097
POA3166,474,449,181,92,117,83,61,1472,111,91,68,30,61,40,22,422,145,153,76,44,42,38,21,520,415,406,292,203,270,183,91,1861,0,3,0,0,0,0,0,5,1149,1104,613,371,494,349,196,4280,25,41,28,26,33,36,28,223,11,21,19,15,26,13,13,122,4,13,7,8,15,10,3,63,30,59,48,36,55,47,9,284,4,0,0,0,0,0,0,4,72,139,104,87,135,101,57,701,1227,1242,718,453,629,450,254,4977
POA3167,239,264,119,57,78,60,47,867,49,37,27,12,19,17,12,166,38,42,24,19,13,8,11,144,168,140,97,66,83,42,20,614,4,3,0,0,0,0,0,4,498,486,263,151,195,126,86,1797,6,25,10,7,11,21,12,97,5,5,7,3,3,4,0,29,0,6,3,7,6,3,4,32,16,14,26,19,21,6,5,109,0,3,6,0,0,0,0,9,25,54,53,34,53,29,20,273,526,543,314,186,247,157,105,2078
POA3168,508,377,156,82,128,85,56,1401,42,20,11,10,7,11,9,106,47,28,15,10,6,4,0,111,73,66,31,23,39,21,9,267,3,0,0,0,0,0,0,7,670,494,217,122,186,116,78,1891,36,58,33,23,36,46,19,257,3,11,9,10,6,3,3,50,4,12,10,4,5,7,0,44,13,18,11,4,13,10,6,76,4,0,0,0,0,0,0,12,65,93,65,40,60,71,38,434,740,594,278,161,248,187,111,2328
POA3169,596,535,241,163,243,194,130,2096,77,50,38,18,26,12,10,232,99,83,39,16,26,21,6,285,183,151,87,46,69,41,8,587,9,3,7,0,0,0,0,15,959,818,399,246,360,268,157,3209,48,86,68,48,66,49,28,395,16,15,7,4,8,8,5,56,12,9,13,0,7,3,0,52,34,37,21,22,43,5,6,175,7,0,0,0,0,0,0,13,122,152,111,73,121,69,40,689,1074,974,508,327,481,337,200,3895
POA3170,509,578,315,193,243,200,127,2168,63,76,38,25,27,13,3,252,104,114,45,27,28,12,8,342,277,309,200,124,164,86,32,1189,5,4,0,0,0,0,0,10,959,1077,597,369,464,315,180,3962,32,36,57,27,45,48,18,258,10,12,13,8,8,11,3,72,9,10,9,6,7,3,0,58,33,52,43,34,47,20,13,243,4,0,0,0,0,0,0,6,87,109,122,71,116,87,36,637,1044,1185,723,447,576,400,212,4594
POA3171,812,752,359,230,324,288,165,2929,33,28,5,4,8,8,5,87,66,48,14,9,15,8,0,152,60,44,11,15,20,4,3,157,9,5,5,5,0,0,0,21,985,876,393,259,361,305,174,3345,87,125,98,87,105,79,83,667,13,10,5,5,5,0,6,43,12,27,0,6,7,3,0,61,12,18,5,13,10,5,3,65,8,7,0,0,0,5,3,31,137,187,121,111,132,91,93,866,1116,1059,508,367,498,398,268,4213
POA3172,505,627,354,242,317,238,136,2424,70,69,55,43,47,17,8,304,95,104,46,28,43,19,7,331,241,285,235,147,181,95,55,1242,5,0,9,5,4,0,0,19,918,1090,689,463,587,364,209,4325,68,142,81,68,104,71,49,585,21,13,14,12,12,4,4,76,6,24,10,0,12,5,3,63,19,49,55,39,57,23,11,244,4,14,5,4,0,0,0,33,122,241,154,121,188,110,70,1008,1044,1331,848,587,772,477,277,5330
POA3173,1034,1234,692,481,593,491,300,4820,132,113,71,27,45,24,7,417,164,127,57,31,38,18,15,451,301,227,113,81,93,68,27,909,16,4,0,0,0,0,0,23,1651,1698,936,622,768,588,351,6620,80,159,120,97,141,96,59,754,15,32,23,20,3,3,9,112,19,26,11,13,13,9,6,93,44,59,38,19,36,8,5,202,3,12,9,0,6,0,3,25,165,285,199,146,199,121,80,1190,1817,1984,1131,775,971,708,428,7808
POA3174,1521,1316,640,434,533,375,235,5055,105,71,35,33,49,21,3,318,175,111,54,27,31,15,4,426,216,140,53,46,78,23,5,566,14,12,3,3,4,0,0,41,2029,1652,781,547,693,437,255,6400,178,238,141,123,187,148,86,1109,31,30,17,11,13,3,11,116,18,35,16,11,17,6,11,123,57,82,46,34,44,18,11,285,17,17,11,3,7,0,3,53,299,409,230,183,275,184,122,1688,2324,2059,1012,728,966,616,373,8086
POA3175,2132,1856,1072,705,836,554,329,7475,140,137,78,36,55,24,9,478,187,154,69,47,32,24,16,526,359,279,129,85,123,54,25,1050,27,24,10,12,3,0,0,70,2838,2439,1356,885,1047,654,376,9602,166,280,187,141,235,163,120,1299,60,67,39,22,38,11,6,242,34,50,15,20,30,7,0,161,97,121,63,40,59,41,9,437,30,42,18,8,7,0,3,110,391,563,324,227,378,226,135,2241,3228,3000,1684,1109,1426,879,514,11842
POA3177,591,415,258,155,201,106,64,1798,18,13,9,4,8,3,4,64,23,22,13,3,10,4,4,85,63,34,21,17,20,11,3,153,3,7,3,3,0,0,0,17,706,491,304,189,238,125,69,2122,38,61,51,44,48,25,8,278,11,14,5,12,5,0,0,50,6,10,10,0,0,0,0,29,36,50,33,24,27,10,0,185,7,15,9,8,0,0,0,45,106,153,106,81,94,34,15,584,813,642,409,268,332,158,86,2710
POA3178,555,683,357,216,349,317,219,2691,107,132,101,63,89,49,40,579,133,133,79,61,81,48,38,578,628,702,533,375,496,278,140,3154,8,4,3,0,0,0,0,14,1433,1649,1064,711,1024,697,437,7013,28,39,30,29,44,29,33,238,11,17,9,6,17,15,3,95,3,9,12,18,18,7,7,75,63,108,94,88,115,50,26,531,7,5,0,0,3,0,0,17,119,181,144,141,197,100,70,950,1552,1832,1213,852,1219,792,500,7965
POA3179,115,164,105,75,97,84,53,704,10,20,10,4,3,0,3,62,25,28,13,9,10,5,0,87,93,94,67,53,65,27,13,408,0,0,0,0,0,0,0,4,243,303,189,137,187,124,77,1265,7,10,11,3,17,9,3,58,7,0,3,3,4,0,4,19,0,0,0,0,6,0,0,18,18,33,22,17,35,10,0,135,0,0,0,0,0,0,0,0,31,50,36,29,58,26,9,232,273,349,225,166,242,150,88,1491
POA3180,164,198,92,61,99,57,44,718,21,17,9,15,12,9,0,83,38,35,17,10,20,6,0,131,127,124,78,48,75,46,26,521,6,0,3,5,3,0,0,11,354,379,206,132,203,121,74,1469,3,18,7,4,14,8,8,59,0,8,8,3,9,3,0,28,0,5,3,3,4,0,6,25,26,36,19,23,38,11,6,170,0,0,0,0,0,0,0,3,33,71,40,38,56,23,23,284,385,451,242,170,260,147,99,1749
POA3181,111,75,30,16,28,16,9,284,84,32,27,15,24,23,8,220,90,55,15,17,15,3,9,196,334,193,94,81,94,66,25,881,3,0,0,0,0,0,0,3,616,358,162,123,155,110,54,1581,6,13,11,0,11,6,0,51,5,8,6,9,12,8,5,51,6,6,7,13,5,4,0,38,15,21,31,22,29,27,11,152,0,6,0,0,0,0,0,4,42,52,47,39,56,44,27,306,660,417,211,164,209,153,75,1883
POA3182,181,129,65,27,33,12,8,450,86,51,27,19,16,18,8,220,93,61,30,8,18,17,9,229,197,159,100,78,104,53,24,704,0,0,0,0,0,0,0,0,547,396,218,137,173,90,41,1604,12,29,12,13,12,8,13,94,14,12,12,9,11,13,3,65,10,13,4,5,8,8,0,50,17,26,31,24,22,29,14,157,4,0,0,3,6,0,0,9,54,80,57,47,50,57,33,376,607,477,276,185,221,146,76,1977
POA3183,154,142,70,42,50,20,12,494,199,173,117,50,57,21,13,638,162,126,66,46,60,29,18,502,346,313,180,115,143,69,24,1193,16,8,3,0,3,0,0,26,877,764,436,258,308,142,73,2859,13,7,13,11,12,9,5,66,17,21,14,13,15,11,3,100,7,13,17,3,8,3,0,55,10,41,32,26,21,16,11,158,0,9,3,0,0,0,0,19,46,92,76,52,65,37,24,395,929,851,514,310,375,183,91,3249
POA3184,124,77,36,18,19,12,9,304,83,72,34,29,37,28,5,289,81,70,35,24,22,18,3,249,308,262,161,110,149,92,47,1118,0,0,0,0,0,0,0,3,586,483,264,190,229,147,68,1960,5,17,14,8,12,7,3,72,14,19,15,5,14,7,5,72,9,14,20,12,11,4,3,77,22,53,22,26,31,16,9,175,3,0,0,0,0,0,0,4,49,105,69,56,61,34,21,402,633,589,336,244,289,178,90,2358
POA3185,118,121,68,37,42,27,17,430,121,114,70,50,56,27,10,446,90,78,57,38,36,21,13,330,322,331,223,145,198,120,64,1400,0,9,3,4,0,0,0,24,651,656,423,264,335,194,113,2632,12,6,11,14,10,8,3,61,7,6,11,7,18,13,4,61,6,6,11,4,10,8,9,49,17,33,24,30,38,20,9,167,4,0,0,0,0,0,0,8,38,60,50,52,76,47,23,354,686,715,477,316,410,242,132,2981
POA3186,167,218,138,94,123,89,51,884,96,125,81,64,67,58,39,527,131,126,93,66,82,57,29,586,408,524,393,276,432,332,164,2521,4,3,5,0,0,0,0,18,803,999,718,501,706,530,279,4543,10,36,45,37,40,30,19,214,10,22,16,7,22,19,10,106,5,19,10,5,8,11,11,67,28,37,45,38,67,60,35,314,0,0,0,0,0,0,0,0,56,115,124,97,135,112,77,702,855,1113,834,598,843,643,356,5244
POA3187,177,259,167,121,127,88,59,1006,81,102,78,53,66,46,23,448,84,115,63,56,68,42,14,441,340,445,344,243,340,200,104,2014,3,0,0,0,0,0,0,8,686,916,657,468,611,373,203,3915,0,27,34,16,27,20,17,155,4,16,9,13,16,13,7,72,0,15,10,6,14,10,4,64,12,32,42,43,52,37,19,245,5,0,4,0,0,0,0,10,28,87,95,85,112,85,49,538,715,1008,750,555,715,458,253,4454
POA3188,217,232,151,83,100,93,51,934,105,114,82,44,82,48,20,494,107,139,96,73,79,54,23,572,359,410,314,226,328,251,130,2023,0,3,0,0,0,0,0,9,789,903,641,419,600,447,227,4024,10,29,28,28,26,17,3,140,5,13,17,16,29,11,8,98,3,20,22,13,16,9,13,90,27,41,34,28,58,37,24,251,4,0,0,6,4,0,0,7,47,102,98,84,127,74,48,580,839,1002,741,502,727,523,274,4605
POA3189,127,108,62,29,31,21,14,378,50,41,29,17,10,8,3,167,47,31,19,14,15,8,0,130,170,148,78,58,79,34,17,582,0,0,0,0,0,0,0,5,387,323,187,117,130,77,38,1257,4,9,8,5,10,8,5,38,3,4,5,7,9,8,0,37,0,3,6,3,3,0,5,19,13,19,13,15,19,16,9,102,0,0,0,0,0,0,0,0,20,34,36,26,32,30,16,198,406,363,224,141,165,107,55,1457
POA3190,168,147,83,59,80,50,18,605,104,91,45,37,33,22,13,341,80,86,43,22,28,5,10,269,332,306,156,98,131,77,45,1139,3,0,4,0,0,0,0,6,679,627,325,213,267,162,81,2360,3,20,16,7,16,13,10,95,9,10,5,0,13,5,3,45,3,7,16,11,8,4,3,53,25,53,29,22,46,31,7,215,3,0,4,0,0,0,0,13,44,95,67,47,84,55,27,419,725,722,391,261,354,217,109,2778
POA3191,92,105,83,53,66,38,19,456,50,83,31,35,36,31,17,279,45,80,48,28,26,22,18,270,206,241,198,144,192,134,70,1181,0,0,0,0,0,0,0,0,389,507,358,261,324,216,132,2186,10,8,8,6,7,10,0,55,3,13,3,3,6,10,3,45,3,0,4,4,3,7,6,34,3,22,19,8,34,36,15,141,0,0,0,0,0,0,0,7,25,52,39,21,52,63,28,279,411,557,398,287,372,280,160,2462
POA3192,348,391,193,105,134,71,40,1293,160,124,75,58,68,38,20,541,178,155,102,51,46,31,15,578,587,567,326,213,291,176,80,2252,8,9,0,0,0,0,0,14,1284,1250,701,432,544,317,153,4675,12,28,32,23,37,30,13,172,19,36,16,14,26,8,5,128,14,27,16,12,16,11,9,107,36,85,58,68,85,48,14,397,8,9,0,0,0,0,0,18,85,192,125,121,158,101,44,827,1368,1445,824,552,699,418,197,5502
POA3193,107,181,168,115,168,101,54,884,75,120,86,73,87,57,17,514,103,149,101,62,82,47,28,572,379,566,456,298,425,296,140,2559,0,0,0,0,5,0,0,8,663,1010,811,550,772,504,239,4545,0,9,18,11,29,11,14,112,8,15,17,12,22,14,7,94,5,10,8,3,12,6,0,51,16,43,50,33,61,39,17,258,4,0,0,0,0,0,0,5,30,83,96,69,127,74,42,518,696,1088,908,619,898,576,273,5057
POA3194,119,161,100,60,59,55,23,581,58,60,36,34,52,25,10,269,60,83,41,16,29,19,7,253,287,288,173,124,183,92,56,1202,0,0,0,0,0,0,0,0,524,597,345,227,318,192,100,2306,4,28,8,13,9,17,0,96,8,12,17,6,8,7,3,60,3,14,14,6,7,6,0,56,17,53,49,33,45,26,19,248,3,0,0,0,0,0,0,9,42,105,85,71,67,61,24,458,572,700,438,295,389,256,127,2770
POA3195,317,448,285,204,298,177,115,1847,192,243,173,88,140,68,19,918,232,241,140,109,123,66,35,942,954,1095,747,531,722,364,176,4585,0,9,3,6,4,0,0,21,1695,2031,1342,940,1283,674,345,8312,8,47,33,32,39,39,24,219,12,32,30,26,35,19,17,166,12,29,18,6,19,19,8,111,65,121,123,74,132,81,25,638,3,7,10,0,3,0,0,25,112,237,212,140,231,151,77,1148,1808,2266,1551,1079,1514,827,423,9465
POA3196,219,267,109,72,83,50,26,834,202,169,84,56,61,21,13,606,211,161,76,36,52,18,17,580,829,804,396,270,307,122,75,2805,3,0,0,0,0,0,0,3,1465,1397,667,436,502,221,128,4830,21,32,18,21,27,28,18,163,25,37,21,21,32,11,4,156,11,27,8,10,17,6,5,98,68,140,99,70,100,40,27,541,0,8,5,5,3,0,0,19,137,244,157,127,186,82,53,977,1599,1650,820,565,695,301,177,5802
POA3197,104,89,53,46,49,46,21,407,46,47,23,10,24,16,11,176,80,66,29,18,33,15,6,249,384,301,163,122,156,75,40,1238,8,5,0,0,0,0,0,12,613,505,265,203,270,148,76,2082,3,25,13,9,16,13,5,78,9,12,8,9,3,0,6,53,5,4,7,3,10,4,3,40,36,66,56,42,46,18,11,277,0,0,0,0,0,0,0,4,61,116,78,64,79,37,22,464,672,623,347,271,346,179,101,2538
POA3198,105,104,49,19,43,13,9,345,106,78,37,25,28,9,3,284,123,86,53,21,35,10,8,324,637,452,200,126,147,78,24,1666,3,4,0,0,0,0,0,7,974,729,339,182,248,108,44,2626,6,15,8,6,27,6,0,75,18,21,20,9,19,12,0,95,8,18,10,9,10,8,0,60,95,142,89,88,98,34,6,559,3,6,4,0,0,0,0,19,133,206,131,113,147,59,11,809,1111,934,464,298,398,163,62,3434
POA3199,292,371,251,156,232,126,59,1484,261,267,147,97,143,54,27,986,273,280,155,94,121,45,18,982,1616,1471,764,489,611,252,117,5319,8,14,0,3,0,0,0,25,2452,2401,1312,845,1095,473,226,8807,28,50,40,40,91,38,17,309,62,81,69,58,66,22,7,368,27,75,43,34,53,30,19,279,297,513,358,250,282,109,55,1861,16,19,17,7,5,4,0,74,429,741,525,391,499,200,99,2883,2879,3141,1839,1233,1594,677,316,11691
POA3200,34,31,24,13,6,3,0,110,20,5,10,3,3,0,0,43,27,24,13,3,4,3,3,78,135,93,44,30,28,6,0,334,0,0,3,0,0,0,0,3,215,154,89,47,46,15,5,574,9,11,8,3,13,3,0,43,9,8,11,15,14,8,0,66,11,10,3,0,4,5,0,34,71,110,56,26,36,7,5,316,4,3,0,0,0,0,0,12,106,141,81,50,67,20,9,470,316,301,172,93,118,36,13,1042
POA3201,266,287,148,92,134,67,43,1043,118,75,46,24,35,15,9,326,136,117,55,24,37,7,7,386,674,535,254,187,214,64,34,1961,4,3,4,0,3,0,0,19,1201,1015,517,334,421,151,92,3726,23,33,24,28,15,14,8,136,24,30,28,21,30,8,3,142,17,30,8,4,16,8,4,84,166,228,155,101,113,37,13,816,6,11,4,0,3,0,0,23,233,324,219,157,174,59,30,1199,1435,1339,736,490,595,212,122,4928
POA3202,36,71,55,22,41,33,11,266,22,18,15,12,10,3,0,81,10,13,13,12,11,5,0,58,53,67,44,36,40,18,3,270,0,0,0,0,0,0,0,0,124,172,131,77,94,62,22,681,0,9,0,3,6,5,4,24,0,0,0,5,4,0,3,17,0,0,0,0,3,0,0,5,4,18,8,7,4,3,6,47,0,0,0,0,0,0,0,0,6,27,13,9,22,11,9,89,134,192,138,94,115,72,24,775
POA3204,513,723,453,288,358,231,115,2673,134,171,119,96,109,78,34,747,216,224,134,91,112,70,43,891,539,645,436,337,480,300,164,2906,6,3,5,0,0,0,0,17,1410,1779,1152,801,1061,681,352,7238,17,79,91,82,116,78,37,504,20,24,20,13,32,24,9,148,16,28,22,17,25,16,9,131,37,50,87,59,84,67,37,425,0,0,3,5,0,0,0,9,95,183,222,184,258,185,91,1212,1503,1956,1370,987,1314,870,445,8446
POA3205,130,98,38,26,27,16,4,336,34,43,29,16,24,8,7,158,63,38,25,16,9,3,3,157,161,149,87,52,60,43,26,574,0,0,0,0,0,0,0,7,389,320,178,104,121,78,38,1224,33,37,17,19,17,5,10,139,7,13,8,0,4,5,0,39,3,16,8,3,7,4,0,43,18,25,18,23,31,14,9,130,0,3,0,0,0,0,0,7,62,91,45,44,60,35,20,355,455,411,224,150,177,114,60,1584
POA3206,71,108,62,40,40,26,8,358,55,47,32,23,37,16,10,217,77,76,40,28,35,16,4,275,260,244,163,101,147,92,43,1048,0,3,0,0,0,0,0,7,455,471,305,193,263,145,63,1900,0,7,9,5,10,4,0,36,5,8,4,4,12,10,4,53,0,4,7,6,6,3,0,41,13,25,28,15,33,25,15,156,0,0,0,0,0,0,0,3,21,50,47,30,61,42,18,284,479,529,348,226,322,194,85,2182
POA3207,181,178,54,51,51,37,20,571,80,94,45,35,40,22,11,333,110,118,41,27,33,15,9,354,349,272,164,92,142,72,43,1123,0,3,0,0,0,0,0,3,719,661,310,207,268,150,74,2386,22,36,30,18,26,17,7,157,11,14,11,15,13,12,3,80,7,22,15,4,7,3,0,60,25,55,47,40,44,29,12,244,9,4,5,0,0,0,0,15,70,130,105,75,94,56,22,558,786,797,412,277,361,208,94,2941
POA3211,7,13,8,3,7,6,3,47,0,9,7,0,4,0,0,22,0,0,3,3,3,0,0,17,28,50,30,17,27,12,9,174,0,0,0,0,0,0,0,0,38,76,44,30,42,16,14,266,0,4,0,0,0,0,0,3,0,0,5,0,0,0,0,8,0,0,0,0,3,0,0,9,7,10,4,6,0,3,0,28,0,0,0,0,0,0,0,0,8,13,10,9,0,3,0,51,49,91,58,38,46,21,17,315
POA3212,148,139,61,49,59,31,27,510,65,75,39,31,34,12,10,269,90,71,39,19,17,11,8,252,743,745,396,283,314,119,47,2649,4,5,6,0,0,0,0,8,1053,1031,526,388,433,170,88,3689,3,14,7,0,4,0,0,40,8,22,16,9,13,0,5,78,7,11,7,4,6,0,0,28,103,164,111,77,110,37,15,621,4,4,4,0,0,0,0,17,135,207,147,97,134,40,17,782,1185,1233,679,487,568,211,110,4469
POA3213,36,38,20,21,21,10,12,155,6,16,17,14,14,7,3,87,9,14,14,10,5,4,0,55,141,198,135,85,125,47,21,752,0,0,0,0,0,0,0,0,202,263,186,123,163,65,43,1050,0,4,4,5,0,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,16,28,18,15,24,8,4,107,0,0,0,0,0,0,0,0,18,37,23,17,28,8,7,140,224,299,217,146,191,72,48,1187
POA3214,274,240,145,110,155,83,27,1043,47,31,21,13,20,7,0,144,45,29,26,17,18,13,3,147,408,367,213,147,179,42,9,1366,9,7,3,4,3,0,0,24,796,676,404,290,370,144,45,2729,49,72,54,49,65,55,28,370,36,30,22,12,18,4,6,127,16,18,16,8,17,9,4,89,332,382,235,172,173,41,17,1346,23,26,11,14,5,0,0,82,449,537,336,250,276,106,52,2012,1247,1205,742,544,653,255,97,4740
POA3215,188,145,93,63,54,40,16,596,69,60,40,27,32,24,4,257,98,78,43,23,27,14,6,284,606,542,320,235,283,110,68,2154,5,0,0,0,0,0,0,15,966,828,505,345,389,185,93,3297,10,19,15,17,27,7,9,104,17,21,10,17,21,15,0,90,4,6,14,10,11,5,0,46,121,176,128,100,132,24,16,708,3,8,4,0,0,0,0,20,160,231,167,144,186,56,27,967,1125,1057,673,483,577,240,119,4271
POA3216,405,444,224,139,171,126,52,1552,232,240,154,72,119,65,39,921,226,239,135,84,117,51,23,877,2008,2030,1125,734,984,454,173,7510,6,11,6,3,0,4,0,27,2873,2963,1641,1036,1387,699,282,10885,22,31,24,15,31,18,8,152,24,51,41,37,48,22,5,222,10,33,29,21,23,15,5,132,188,399,254,225,318,103,57,1549,3,5,3,0,5,0,0,14,246,525,348,300,428,159,77,2078,3124,3487,1991,1331,1811,860,360,12960
POA3217,360,288,108,71,81,25,16,949,122,94,48,27,22,3,9,322,129,116,46,7,19,10,0,324,1258,835,379,205,205,65,26,2979,4,0,0,0,0,0,0,8,1876,1335,589,309,325,100,47,4586,12,16,8,7,7,3,3,52,15,33,19,14,9,7,6,98,10,9,11,3,8,0,3,51,114,217,114,78,104,48,16,689,4,7,5,0,0,0,0,11,155,276,157,102,137,57,30,909,2025,1615,743,416,460,153,75,5489
POA3218,88,59,27,16,24,9,3,225,75,61,31,17,18,6,9,211,79,63,21,17,26,8,5,220,685,604,299,185,213,91,46,2120,0,3,0,0,0,0,0,6,932,782,375,233,275,121,58,2777,3,17,8,6,7,0,4,52,4,13,16,8,15,8,0,53,6,4,3,4,9,3,3,32,48,81,64,46,52,31,9,334,5,0,0,0,0,0,0,6,65,115,95,66,83,41,21,480,991,895,467,299,358,160,78,3258
POA3219,86,67,28,15,22,9,3,231,40,51,18,22,27,12,7,172,60,44,29,13,23,5,0,183,536,448,280,188,224,98,35,1805,4,4,5,0,0,0,0,7,723,621,364,231,299,124,38,2402,8,14,13,6,11,9,0,59,17,24,20,13,10,5,0,83,6,11,7,9,5,0,4,47,135,223,143,97,124,44,20,790,10,12,5,5,4,3,0,47,180,288,186,135,154,65,29,1028,903,907,553,361,450,190,72,3433
