POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3113,1573,1281,572,922,1546,1278,899,407,79,8562
POA3114,673,674,212,332,708,586,381,210,62,3835
POA3115,628,608,278,363,634,671,438,176,43,3843
POA3116,2301,1421,1536,1629,1502,1362,1174,691,165,11779
POA3121,3027,3330,10056,5200,3581,2896,1998,1036,411,31534
POA3122,2748,3507,4984,3183,2598,2111,1741,1050,409,22322
POA3123,2202,1942,2922,2121,1886,1517,1183,745,319,14834
POA3124,3470,3096,2349,2488,3045,2757,2264,1492,1008,21965
POA3125,2016,3012,2765,1802,1713,1398,1060,838,545,15147
POA3126,1232,1152,603,795,1095,1083,923,570,323,7773
POA3127,2977,2648,1950,2210,2814,2452,2076,994,494,18608
POA3128,2825,3758,4879,3067,2762,2197,1665,1019,673,22841
POA3129,3056,2359,2479,2481,2520,2115,1580,913,435,17946
POA3130,5712,4169,3737,4592,4743,3897,2867,2079,1241,33044
POA3131,3927,2542,3038,3478,3115,2491,2085,1625,895,23191
POA3132,2975,1858,2374,2675,2308,1876,1484,909,326,16795
POA3133,4027,2802,2031,3069,3171,2602,2617,1864,758,22951
POA3134,6089,4173,4504,5004,4788,4082,3141,1964,863,34607
POA3135,3990,2283,2545,3153,2906,2329,1856,1160,476,20698
POA3136,8486,4976,6097,6632,5903,5477,4606,2886,1221,46296
POA3137,2636,1697,2071,1974,1783,1799,1343,920,346,14558
POA3138,4568,2794,3358,3351,2897,2520,2074,1141,346,23059
POA3139,2771,1751,1888,1701,1973,1945,1416,650,158,14257
POA3140,2975,2140,2302,2132,2405,2194,1708,1068,425,17348
POA3141,1761,2934,8542,4185,2443,2095,1692,1024,360,25028
POA3142,1396,1498,1870,1361,1530,1678,1746,1226,514,12817
POA3143,1192,1004,1938,1388,1186,901,905,647,218,9376
POA3144,1616,1333,1304,1232,1485,1311,1142,913,419,10763
POA3145,3707,3470,3558,2974,3235,2668,2088,1221,680,23594
POA3146,4518,3621,3208,3406,3891,3207,2323,1407,548,26131
POA3147,2782,1863,1756,2053,2205,1825,1299,835,489,15102
POA3148,1505,1120,2094,1561,1106,880,660,439,181,9552
POA3149,5992,4724,4286,4812,4847,4094,2997,2397,1186,35340
POA3150,10097,8168,6723,8253,8285,7282,6710,5209,2567,63298
POA3151,1461,1341,1592,1360,1367,1183,1015,996,372,10675
POA3152,5908,4030,3958,4851,4337,4440,4136,2140,1139,34940
POA3153,3693,2176,3345,3414,2614,2374,1903,1139,612,21276
POA3154,869,499,525,599,658,574,435,225,115,4500
POA3155,4033,2405,3750,3608,2978,2649,2356,1365,517,23660
POA3156,6701,4726,4772,5309,5521,5126,3675,1980,670,38484
POA3158,1317,779,744,962,1044,971,721,222,56,6818
POA3159,503,329,225,380,415,357,262,106,20,2593
POA3160,1674,1075,974,1359,1371,1238,926,343,73,9024
POA3161,2660,2158,3062,2235,1882,1650,1799,878,580,16903
POA3162,3127,1999,2236,2429,2439,2030,2078,1079,649,18075
POA3163,4731,3733,6918,5306,3949,3342,2593,1529,718,32810
POA3165,6154,3493,3090,4691,4718,3373,2387,1422,830,30159
POA3166,3821,3235,4401,3572,3379,2643,1773,1230,699,24753
POA3167,1632,1011,1471,1435,1235,1197,981,616,271,9851
POA3168,1931,5961,6618,2511,1454,1226,927,732,525,21880
POA3169,2989,2520,3982,2888,2344,2165,2020,1339,575,20820
POA3170,3516,2190,2704,2894,2599,2073,1965,1420,519,19889
POA3171,3214,2953,4535,2990,2524,2332,1821,1197,614,22174
POA3172,3937,2955,2795,3069,3098,3004,2424,1422,552,23261
POA3173,5896,3865,4260,4723,3843,3188,2507,1276,456,30018
POA3174,6521,4953,7405,5684,4524,4194,3401,2145,868,39693
POA3175,9682,6464,9625,7909,6032,5326,4447,2828,1233,53545
POA3177,2327,1437,2272,1790,1287,1156,889,522,200,11889
POA3178,5623,4575,3783,4175,5010,5126,3073,1661,554,33571
POA3179,1051,833,693,913,885,746,603,272,64,6066
POA3180,1276,919,934,1125,992,900,806,563,129,7645
POA3181,1526,2038,6275,3405,2090,1634,1217,909,555,19636
POA3182,1672,1864,6460,4273,3063,2619,1624,679,184,22438
POA3183,2756,1924,4506,3155,2145,1565,1159,535,225,17964
POA3184,1979,1244,3301,2841,2401,1779,1042,425,147,15153
POA3185,2289,1485,2322,1984,1827,1464,1158,606,288,13433
POA3186,3619,2719,1845,2442,3506,3338,2878,1957,958,23252
POA3187,3167,2063,1139,1916,2653,2123,1617,1221,854,16757
POA3188,3268,2323,1663,2338,3035,2686,1811,1071,394,18587
POA3189,1169,611,832,1061,876,695,530,358,161,6287
POA3190,2212,1189,1602,1884,1855,1323,1043,603,291,12007
POA3191,1731,1213,832,1297,1748,1580,1262,764,488,10926
POA3192,4348,2463,3028,3776,3402,2623,2063,1477,954,24129
POA3193,3456,2547,1135,1937,3352,3044,2581,1513,631,20207
POA3194,2075,1330,1710,1902,2010,1599,1299,889,403,13221
POA3195,6975,4619,3595,5080,6126,4844,3344,1920,863,37364
POA3196,4839,2385,3520,4212,3779,3231,2590,1596,718,26876
POA3197,1993,1193,1299,1558,1846,1736,1430,721,252,12032
POA3198,3032,1589,2352,2682,2445,2036,1682,1016,385,17215
POA3199,9767,6261,7461,7548,7493,6781,5745,3516,1559,56127
POA3200,1016,629,963,711,671,700,473,349,194,5711
POA3201,4218,2481,3684,3199,2883,2557,1703,835,423,21976
POA3202,576,344,271,382,528,317,246,120,43,2826
POA3204,6064,4354,4204,4746,5219,3868,2601,1412,665,33130
POA3205,1339,1013,2507,1999,1653,1323,903,531,278,11548
POA3206,1690,899,899,1355,1656,1426,1093,782,231,10043
POA3207,2428,1377,2713,3128,2905,2242,1671,924,240,17633
POA3211,265,191,97,167,218,220,137,52,16,1353
POA3212,3720,2161,3035,2892,2572,2032,1747,819,291,19272
POA3213,916,689,543,558,743,689,370,187,45,4753
POA3214,4301,3546,3861,2829,2974,2952,2343,1242,453,24500
POA3215,3508,2426,3335,2646,2679,2493,2442,1622,839,21994
POA3216,10325,8518,8409,7511,7154,6475,5857,3913,1953,60123
POA3217,5003,2530,4741,3436,1809,1366,1025,410,168,20499
POA3218,2757,1615,2530,2335,1897,1695,1240,626,239,14942
POA3219,2952,2429,3107,2350,2546,2701,2290,1384,561,20309
POA3220,2774,2219,2430,2114,2258,2279,1875,956,362,17270
POA3221,164,106,57,96,131,113,97,27,12,801
POA3222,3218,1876,1871,2120,2205,2575,2736,1456,522,18576
POA3223,1004,588,627,752,1108,1762,2250,1134,314,9536
POA3224,2617,1607,1768,1766,1854,1851,1893,1298,439,15101
POA3225,621,346,277,407,534,873,1275,771,298,5408
POA3226,3547,1609,1584,2416,2292,2333,2420,1097,424,17714
POA3227,1045,512,298,644,843,796,860,356,112,5459
POA3228,5309,2376,2397,3860,3438,2690,2537,1151,420,24181
POA3230,460,229,254,333,361,543,613,306,102,3208
POA3231,174,121,99,114,221,358,317,138,33,1571
POA3232,129,105,172,108,130,226,271,125,56,1327
POA3233,297,154,220,228,320,410,449,218,69,2363
POA3234,38,15,17,18,35,45,54,16,0,237
POA3235,94,43,39,67,77,99,69,22,6,515
POA3236,29,17,29,26,33,57,39,16,4,257
POA3237,28,23,23,32,56,67,36,10,0,276
POA3238,36,16,15,35,43,69,24,5,4,251
POA3239,73,44,47,45,81,90,89,17,0,491
POA3240,465,256,175,322,320,322,213,82,20,2169
POA3241,521,317,402,373,378,438,375,191,77,3072
POA3242,183,73,104,125,110,140,147,52,5,942
POA3243,60,36,36,48,62,52,85,23,6,392
POA3249,624,361,289,363,468,570,459,182,44,3368
POA3250,2176,1387,1657,1409,1489,1553,1536,1056,502,12756
POA3251,80,40,49,70,72,90,94,27,11,524
POA3254,86,41,53,44,36,55,22,14,0,358
POA3260,773,471,442,472,597,698,743,455,148,4801
POA3264,347,222,232,220,262,359,298,204,105,2254
POA3265,576,342,312,294,412,463,277,114,40,2827
POA3266,530,345,309,272,419,443,354,264,111,3047
POA3267,28,21,23,17,28,48,23,12,4,214
POA3268,422,310,259,294,328,407,296,168,66,2552
POA3269,131,63,85,79,92,96,91,27,14,676
POA3270,53,18,31,29,39,61,51,33,6,322
POA3271,29,25,18,16,29,33,28,8,3,188
POA3272,296,145,165,157,189,245,243,144,64,1641
POA3273,15,23,8,4,22,32,15,10,0,130
POA3274,49,31,18,28,25,35,42,15,3,256
POA3275,103,79,62,60,80,55,44,7,3,490
POA3276,65,60,39,45,54,80,54,12,4,437
POA3277,358,189,215,212,243,259,227,89,26,1820
POA3278,68,28,43,37,59,46,30,16,7,343
POA3279,71,57,31,26,57,30,23,12,0,300
POA3280,5752,3706,4326,3958,4113,4290,3832,2269,1049,33298
POA3281,425,206,153,259,288,248,199,74,14,1857
POA3282,492,245,274,283,313,369,318,155,43,2488
POA3283,269,149,133,155,205,238,205,58,6,1423
POA3284,678,282,285,431,432,532,686,368,166,3860
POA3285,229,132,84,150,198,198,183,68,9,1255
POA3286,85,51,40,55,63,91,95,36,13,532
POA3287,76,62,50,45,69,76,23,19,4,418
POA3289,142,77,57,83,105,149,125,47,30,804
POA3292,11,6,13,19,23,40,62,14,4,191
POA3293,57,35,24,38,51,57,51,21,3,336
POA3294,177,77,96,115,110,131,175,68,17,967
POA3300,1768,1157,1169,1066,1189,1388,1373,939,426,10479
POA3301,236,132,114,105,196,210,206,59,6,1267
POA3302,55,34,39,43,54,60,49,27,4,356
POA3303,41,27,35,34,59,34,27,14,7,282
POA3304,466,229,260,287,331,473,458,194,79,2786
POA3305,2082,1383,1291,1416,1808,2126,1932,937,374,13344
POA3309,27,15,0,11,20,11,16,14,0,122
POA3310,22,20,16,26,31,71,54,30,3,263
POA3311,189,143,136,110,170,321,299,226,110,1707
POA3312,186,82,92,95,146,171,165,75,8,1023
POA3314,108,50,47,72,71,82,94,30,10,569
POA3315,254,155,126,168,207,306,265,131,80,1686
POA3317,29,19,15,17,35,32,22,18,7,184
POA3318,182,77,114,119,150,209,214,110,65,1243
POA3319,56,28,33,32,56,92,67,30,3,410
POA3321,437,191,157,265,268,252,151,53,7,1780
POA3322,27,12,18,14,19,35,29,22,5,176
POA3323,12,10,12,5,12,15,12,5,6,91
POA3324,90,60,51,71,53,109,95,40,19,577
POA3325,75,28,40,41,47,97,78,43,11,456
POA3328,551,251,251,354,329,293,206,64,19,2308
POA3329,64,30,37,43,34,42,41,12,0,309
POA3330,32,26,32,28,32,22,22,8,3,208
POA3331,1745,801,881,1062,978,665,632,313,127,7202
POA3332,272,132,128,167,166,181,96,29,7,1181
POA3333,151,77,88,106,126,145,107,46,14,864
POA3334,75,66,45,57,90,95,80,30,4,544
POA3335,1490,642,1693,1088,513,406,276,79,8,6195
POA3336,5268,1837,3653,3947,1560,836,497,115,19,17737
POA3337,9486,5104,5925,6076,4958,4084,3370,1403,317,40724
POA3338,10198,4175,6658,6242,3697,2677,2249,872,293,37062
POA3340,5324,2862,3634,3580,3240,2788,2510,1229,448,25614
POA3341,312,188,142,202,285,262,160,77,12,1644
POA3342,735,353,431,523,525,587,439,254,93,3946
POA3345,282,132,127,199,211,220,150,59,11,1393
POA3350,12153,8281,8965,8546,8075,7719,6800,3809,1662,66022
POA3351,1807,1086,898,1106,1328,1374,1044,397,75,9106
POA3352,3966,2137,2048,2452,2754,2579,2032,786,165,18922
POA3355,2064,1639,1752,1246,1550,1586,1553,1137,530,13059
POA3356,2711,1943,2323,1753,1713,1781,1775,1090,517,15601
POA3357,822,365,228,461,581,532,536,209,58,3797
POA3358,902,433,806,485,336,243,159,74,13,3440
POA3360,136,61,87,72,129,117,131,62,12,803
POA3361,103,71,50,71,90,137,80,61,29,695
POA3363,596,288,314,377,477,535,548,314,145,3598
POA3364,398,190,189,265,331,361,379,127,35,2272
POA3370,262,154,149,197,274,342,316,158,54,1900
POA3371,115,110,55,72,159,262,226,62,27,1090
POA3373,360,240,187,236,348,373,425,200,77,2453
POA3374,55,34,24,44,70,70,86,39,3,425
POA3375,55,15,11,30,37,40,24,17,3,236
POA3377,1408,951,1260,1056,1206,1359,1291,744,321,9602
POA3378,41,17,12,19,16,17,14,0,0,140
POA3379,112,54,53,71,108,131,127,69,23,749
POA3380,958,640,782,588,714,916,882,518,221,6220
POA3381,217,112,189,136,181,250,221,79,16,1401
POA3384,92,61,43,49,92,119,82,50,12,608
POA3385,73,36,40,58,75,102,110,31,11,541
POA3387,45,24,30,37,40,52,39,19,3,289
POA3388,85,44,53,51,62,122,77,51,20,567
POA3390,185,97,76,89,118,142,138,82,27,957
POA3391,26,21,14,22,18,30,22,13,5,181
POA3392,69,46,37,48,74,116,88,61,42,584
POA3393,425,250,272,224,307,394,381,250,118,2614
POA3395,51,22,37,32,37,76,53,35,16,350
POA3396,92,48,63,66,60,117,130,73,49,694
POA3400,2763,1730,2097,1689,1595,1842,1674,1173,570,15134
POA3401,901,564,384,502,737,761,494,207,48,4596
POA3407,74,43,27,35,67,71,57,40,10,416
POA3409,142,72,102,104,130,206,122,60,43,987
POA3412,66,18,26,33,30,40,42,40,6,295
POA3413,26,16,18,15,37,37,16,25,8,196
POA3414,238,147,160,168,208,283,262,170,81,1719
POA3415,5,8,6,0,4,11,0,0,0,36
POA3418,463,298,370,265,339,415,319,264,138,2875
POA3419,144,82,75,91,107,136,148,71,38,891
POA3420,74,22,33,40,35,37,35,13,0,283
POA3423,59,33,36,33,55,108,88,33,24,476
POA3424,110,59,57,76,70,134,132,75,37,750
POA3427,1189,541,1326,931,571,561,381,142,20,5669
POA3428,95,82,74,77,111,82,97,48,10,668
POA3429,7423,4740,5516,5255,5325,4902,3579,1686,664,39093
POA3430,51,35,38,28,43,50,29,24,0,303
POA3431,851,538,393,539,687,649,483,219,33,4390
POA3432,27,22,5,19,42,37,33,8,0,185
POA3433,39,31,14,29,36,23,22,14,0,207
