POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3629,1620,1115,1192,1023,1208,1271,1171,678,250,9536
POA3630,6172,3903,4720,3783,3659,3628,3227,2129,928,32151
POA3631,3263,1686,1649,2009,1906,1803,1317,697,263,14605
POA3633,117,81,61,76,104,93,64,22,0,620
POA3634,389,220,161,232,281,288,221,80,19,1888
POA3635,81,63,70,47,79,94,72,38,5,552
POA3636,876,527,580,515,661,807,719,459,222,5375
POA3637,150,70,65,72,94,90,67,17,11,642
POA3638,363,269,212,213,250,343,304,174,83,2199
POA3639,49,36,39,36,60,115,97,41,6,479
POA3640,198,136,133,140,133,130,111,37,12,1025
POA3641,263,131,133,142,178,175,163,58,20,1266
POA3644,1554,882,1015,1005,1103,1242,1422,868,315,9390
POA3646,104,57,41,62,95,105,88,38,13,601
POA3647,0,32,7,3,7,0,0,0,0,51
POA3649,79,54,57,42,61,86,55,31,15,478
POA3658,1159,700,800,739,882,906,655,321,89,6251
POA3659,110,85,60,67,113,143,109,47,17,748
POA3660,1156,917,879,789,993,1210,1090,568,233,7842
POA3662,272,289,267,187,75,16,0,0,0,1108
POA3663,21,17,15,16,19,39,33,15,0,183
POA3664,187,103,87,134,155,181,179,89,26,1139
POA3665,64,37,21,36,66,60,74,34,5,397
POA3666,696,422,418,497,557,843,976,506,228,5142
POA3669,197,92,90,122,177,287,299,154,66,1475
POA3670,81,47,52,55,79,135,110,25,6,596
POA3672,1507,1045,1114,987,1209,1602,1673,1148,524,10822
POA3673,256,159,134,174,250,389,316,135,16,1818
POA3675,346,177,138,240,271,328,310,103,24,1936
POA3677,3312,2086,2233,2155,2283,2382,2307,1674,783,19214
POA3678,1197,629,457,697,999,1094,944,447,94,6568
POA3682,137,63,56,71,115,96,79,29,4,645
POA3683,250,175,137,152,283,311,261,152,26,1748
POA3685,474,266,284,295,367,465,461,239,90,2935
POA3687,170,93,94,113,153,147,182,84,22,1061
POA3688,257,141,156,165,188,220,137,55,10,1334
POA3690,6721,4241,4620,4291,4323,4301,3872,2025,666,35051
POA3691,2871,1569,1655,1692,1509,1509,1197,544,229,12771
POA3695,84,46,38,57,80,78,83,24,3,488
POA3697,89,47,38,59,75,124,102,35,13,568
POA3698,154,72,81,124,138,153,178,93,29,1012
POA3699,166,173,175,150,139,152,171,77,38,1242
POA3700,228,129,134,121,173,215,197,116,90,1403
POA3701,174,78,72,123,125,214,207,91,17,1101
POA3704,0,0,4,0,3,11,9,0,0,26
POA3705,23,23,22,18,42,58,46,16,3,254
