POA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA3122,62,27,47,0,0,137,7,8,11,0,0,22,9,4,11,0,0,27,3,0,20,0,0,26,7,0,26,0,0,38,31,21,153,0,0,209,24,15,263,0,0,312,54,44,317,0,0,414,53,32,120,0,0,207,78,71,102,0,0,252,387,176,57,0,0,619,87,32,46,0,0,160,801,436,1180,0,0,2422
POA3123,52,21,18,0,0,97,3,0,5,0,0,14,5,5,7,0,0,13,12,6,20,0,0,34,10,11,19,0,0,41,45,20,97,0,0,160,26,16,143,0,0,184,58,32,171,0,0,261,33,28,87,0,0,149,83,45,64,0,0,192,341,140,41,0,0,518,51,24,26,0,0,106,720,346,691,0,0,1767
POA3124,154,28,7,0,0,196,27,5,5,0,0,45,15,7,0,0,0,24,22,7,4,0,0,35,26,10,14,0,0,49,64,26,20,0,0,117,56,24,32,0,0,117,134,61,62,0,0,257,91,51,33,0,0,182,208,77,20,0,0,308,690,106,17,4,0,813,126,23,19,0,0,172,1619,434,245,5,3,2308
POA3125,83,15,6,0,0,110,32,0,0,0,0,35,9,0,0,0,0,9,20,5,0,0,0,26,20,9,0,0,0,31,61,23,24,0,0,109,66,29,22,0,0,123,106,61,38,0,0,202,112,70,9,0,0,196,204,75,6,0,0,285,201,45,7,0,0,258,70,22,5,0,0,97,992,358,127,0,0,1478
POA3126,49,14,0,0,0,61,8,0,0,0,0,9,6,0,0,0,0,5,5,6,3,0,0,6,12,0,0,0,0,11,28,8,7,0,0,43,23,8,3,0,0,33,54,12,3,0,0,67,32,17,6,0,0,59,73,27,10,0,0,110,294,49,11,0,0,351,65,11,0,0,0,80,630,154,51,5,0,838
POA3127,148,33,3,0,0,182,19,7,0,0,0,30,20,0,4,0,0,30,13,9,5,0,0,27,39,13,8,0,0,59,78,41,22,0,0,138,82,31,27,0,0,143,153,77,52,0,0,285,115,76,26,0,0,217,257,64,17,0,0,337,609,77,15,0,0,708,116,34,17,0,0,169,1648,450,193,3,0,2305
POA3128,77,28,28,0,0,141,24,9,6,0,0,43,13,8,3,0,0,22,27,17,10,0,0,45,20,16,14,0,0,57,71,39,99,0,0,211,78,53,130,0,0,260,152,111,118,0,0,383,118,58,30,0,0,202,194,75,32,0,0,295,282,45,14,0,0,346,99,39,36,0,0,169,1160,479,529,0,0,2170
POA3129,103,42,0,0,0,147,21,18,0,0,0,39,26,10,0,0,0,33,29,15,3,0,0,53,38,17,0,0,0,53,95,49,10,0,0,159,100,58,11,0,0,163,185,112,12,0,0,317,145,71,7,0,0,226,257,104,7,0,0,364,335,77,5,0,0,416,84,28,5,0,0,117,1409,606,67,0,0,2086
POA3130,233,38,7,0,0,282,43,17,0,0,0,67,46,5,7,0,0,53,77,14,4,0,0,96,103,19,9,0,0,131,269,53,73,0,0,396,265,61,76,0,0,402,491,105,52,0,0,645,367,106,19,0,0,494,638,106,18,0,0,768,604,51,9,0,0,662,215,30,10,0,0,258,3358,608,280,0,0,4250
POA3131,147,35,0,0,0,191,34,8,0,0,0,42,40,13,0,0,0,48,52,10,4,0,0,64,59,21,11,0,0,89,192,57,20,0,0,263,235,75,23,0,0,330,392,123,13,0,0,530,303,105,0,0,0,409,395,71,4,0,0,464,269,30,6,0,0,300,138,39,4,0,0,180,2257,583,72,0,0,2918
