POA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA3152,260,18,5,0,0,280,65,10,4,0,0,77,65,11,3,0,0,80,93,8,0,0,0,103,112,6,3,0,0,128,338,37,19,0,0,396,384,56,17,0,0,466,743,118,15,0,0,871,551,70,4,0,0,618,674,48,0,0,0,729,366,32,0,0,0,401,240,26,3,0,0,271,3902,444,76,0,0,4416
POA3153,112,31,11,0,0,150,40,10,0,0,0,47,49,4,4,0,0,56,63,18,8,0,0,88,75,31,7,0,0,118,296,106,35,0,0,436,397,145,55,0,0,600,612,170,37,0,0,821,354,74,16,0,0,445,199,42,0,0,0,249,88,24,0,0,0,110,126,31,9,0,0,162,2420,696,175,0,0,3288
POA3154,38,0,0,0,0,38,11,0,0,0,0,11,14,0,0,0,0,14,30,0,0,0,0,30,27,0,0,0,0,28,72,0,0,0,0,75,129,4,0,0,0,129,214,3,0,0,0,217,123,0,0,0,0,124,58,7,0,0,0,61,29,0,0,0,0,29,41,0,0,0,0,44,782,19,0,0,0,794
POA3155,124,36,0,0,0,165,48,8,0,0,0,61,43,13,0,0,0,59,68,28,0,0,0,98,123,28,5,0,0,158,357,89,22,0,0,467,419,182,28,0,0,626,724,260,21,0,0,1005,416,83,0,0,0,496,207,42,0,0,0,247,99,23,0,0,0,122,162,37,8,0,0,209,2795,826,88,0,5,3715
POA3156,283,14,5,0,0,301,87,4,0,0,0,94,81,5,0,0,0,90,145,7,6,0,0,153,210,17,0,0,0,228,673,46,16,0,0,738,794,76,20,0,0,893,1372,86,20,4,0,1483,845,54,3,0,0,901,628,19,0,0,0,649,351,10,0,0,0,360,314,13,0,0,0,328,5781,348,76,8,0,6209
POA3158,61,0,0,0,0,61,32,0,0,0,0,32,26,0,0,0,0,26,35,0,0,0,0,35,46,0,0,0,0,46,156,0,0,0,0,158,180,0,0,0,0,178,305,0,3,0,0,307,190,0,0,0,0,188,126,0,0,0,0,126,50,0,0,0,0,50,81,0,0,0,0,86,1285,3,3,0,0,1290
POA3159,23,0,0,0,0,23,7,0,0,0,0,7,14,0,0,0,0,14,9,0,0,0,0,9,16,0,0,0,0,16,57,0,0,0,0,57,64,0,0,0,0,64,110,0,0,0,0,112,76,0,0,0,0,76,42,0,0,0,0,42,31,0,0,0,0,31,38,0,0,0,0,38,495,0,0,0,0,498
POA3160,95,0,0,0,0,95,31,0,0,0,0,31,22,0,0,0,0,22,57,0,0,0,0,58,62,0,0,0,0,61,247,3,0,0,0,245,269,3,0,0,0,275,423,0,0,0,0,422,233,0,0,0,0,234,149,0,0,0,0,149,85,0,0,0,0,85,82,0,0,0,0,80,1754,9,0,0,0,1769
POA3161,80,22,24,0,0,123,15,10,4,0,0,30,5,9,4,0,0,17,12,11,6,0,0,28,9,10,3,0,0,20,41,26,54,0,0,118,24,35,103,0,0,153,67,53,152,0,0,269,48,55,55,0,0,161,74,81,50,0,0,210,315,104,28,0,0,453,104,47,30,0,0,170,796,456,504,0,0,1752
POA3162,89,48,4,0,0,134,19,7,4,0,0,28,10,9,4,0,0,30,19,11,6,0,0,37,25,7,11,0,0,37,61,43,32,0,0,139,64,41,38,0,0,141,143,89,70,0,0,303,96,87,23,0,0,209,198,162,18,0,0,383,429,131,14,0,0,577,115,59,12,0,0,182,1266,692,242,5,0,2210
POA3163,107,62,35,0,0,210,20,19,14,0,0,54,21,19,17,0,0,55,34,27,23,0,0,84,52,33,57,0,0,142,140,98,227,0,0,467,117,116,290,3,0,527,219,237,370,3,0,831,151,193,115,7,0,464,277,211,64,0,0,558,405,139,36,0,0,577,106,65,65,0,0,237,1651,1226,1313,13,0,4203
POA3165,168,28,22,0,0,218,53,8,3,0,0,60,39,3,4,0,0,51,68,10,14,0,0,84,73,18,14,0,0,103,206,46,77,0,0,326,193,30,100,0,0,321,410,103,166,0,0,684,333,89,77,0,0,493,592,143,97,0,0,840,580,134,61,0,0,773,195,45,40,0,0,282,2909,652,678,3,0,4251
POA3166,134,24,11,0,0,168,25,7,3,0,0,34,37,3,4,0,0,40,53,11,3,0,0,63,58,13,16,0,0,85,163,55,59,0,0,280,170,61,95,0,0,321,322,129,105,0,0,558,275,89,32,0,0,398,361,97,28,0,0,483,297,36,7,0,0,343,141,29,19,0,0,188,2030,548,384,0,4,2968
POA3167,70,5,5,0,0,74,16,0,0,0,0,16,16,0,0,0,0,16,27,3,0,0,0,25,25,5,0,0,0,37,75,6,10,0,0,97,106,7,22,0,0,139,194,28,14,0,0,236,153,28,8,0,0,183,207,31,3,0,0,240,117,6,0,0,0,122,80,3,0,0,0,82,1086,130,62,0,0,1280
POA3168,28,27,10,0,0,70,11,6,3,0,0,19,12,4,0,0,0,19,13,13,7,0,0,38,20,14,10,0,0,40,40,40,72,0,0,152,41,76,75,0,0,190,103,129,66,0,0,305,88,93,20,0,0,194,68,46,14,0,0,127,50,20,4,0,0,73,44,39,12,0,0,91,511,502,299,0,0,1315
POA3169,89,21,3,0,0,117,26,6,0,0,0,28,22,6,3,0,0,36,43,16,7,0,0,63,47,14,8,0,0,65,129,44,36,0,0,205,168,90,51,0,0,307,274,148,16,0,0,440,198,81,4,0,0,281,196,40,0,0,0,239,86,20,3,0,0,109,96,34,4,0,0,143,1380,518,136,0,0,2036
POA3170,121,21,0,0,0,144,39,0,0,0,0,38,21,6,0,0,0,27,48,3,0,0,0,50,82,18,0,0,0,94,182,39,0,0,0,222,209,48,0,0,0,257,349,120,5,0,0,472,285,94,0,0,0,382,376,56,0,0,0,430,194,34,0,0,0,227,162,19,0,0,0,181,2064,449,9,0,0,2521
POA3171,122,14,4,0,0,144,30,4,3,0,0,35,25,9,0,0,0,37,37,8,0,0,0,49,57,13,11,0,0,83,148,48,17,0,0,213,132,74,8,0,0,214,250,107,7,0,0,373,121,49,5,0,0,177,115,24,0,0,0,140,63,3,4,0,0,75,88,24,7,0,0,119,1195,386,69,0,0,1650
POA3172,198,24,0,0,0,218,49,13,5,0,0,60,44,5,0,0,0,52,70,15,4,0,0,85,81,12,0,0,0,95,267,32,5,0,0,307,329,54,8,0,0,389,481,75,14,0,0,576,281,41,0,0,0,323,286,16,0,0,0,304,154,12,4,0,0,175,185,19,3,0,0,206,2415,319,46,0,0,2783
POA3173,209,12,0,0,0,219,49,9,0,0,0,58,49,5,0,0,0,53,84,11,0,0,0,93,122,14,0,0,0,136,322,21,3,0,0,353,392,61,14,0,0,463,796,90,16,0,0,900,597,68,3,0,0,675,626,27,0,0,0,662,320,14,5,0,0,331,290,15,0,0,0,311,3858,354,39,0,3,4252
POA3174,212,24,28,0,0,261,64,6,15,0,0,81,52,0,8,0,0,63,92,13,29,0,0,130,130,29,48,0,0,202,427,86,120,0,0,637,520,127,130,0,0,777,699,169,104,0,0,963,318,36,19,0,0,376,164,19,16,0,0,197,114,9,8,0,0,131,239,35,34,0,0,308,3016,540,563,0,7,4129
POA3175,206,35,13,0,0,254,74,26,6,0,0,102,65,18,8,0,0,90,130,34,21,0,0,184,140,54,53,0,0,245,430,237,113,0,0,789,565,271,43,3,0,879,873,200,20,0,0,1089,367,40,6,0,0,414,234,40,3,0,0,276,127,29,9,0,0,170,280,75,22,0,0,378,3497,1057,317,8,0,4880
POA3177,48,3,0,0,0,55,24,0,0,0,0,25,29,4,0,0,0,30,54,15,0,0,0,65,48,12,0,0,0,61,191,55,0,0,0,246,242,80,0,0,0,323,213,43,0,0,0,256,33,8,0,0,0,42,33,3,0,0,0,36,21,8,0,0,0,29,73,16,0,0,0,93,1012,246,4,0,0,1260
POA3178,274,4,0,0,0,279,88,4,0,0,0,93,75,4,0,0,0,79,148,3,3,0,0,148,167,9,5,0,0,176,491,15,8,0,0,519,574,35,14,0,0,624,1012,33,3,0,0,1055,744,17,0,0,0,772,714,15,0,0,0,730,302,5,0,0,0,307,348,10,0,0,0,356,4941,154,37,0,0,5133
POA3179,47,5,0,0,0,45,16,0,0,0,0,16,10,0,0,0,0,10,29,0,0,0,0,29,43,0,0,0,0,43,78,0,0,0,0,73,98,3,0,0,0,103,179,9,0,0,0,190,110,4,0,0,0,117,106,3,0,0,0,109,53,4,0,0,0,52,52,4,0,0,0,53,808,28,3,0,0,841
POA3180,39,8,0,0,0,43,13,5,0,0,0,23,11,6,0,0,0,10,22,3,0,0,0,26,29,8,0,0,0,33,94,20,0,0,0,115,137,23,0,0,0,161,175,60,0,0,0,230,151,29,0,0,0,180,104,15,0,0,0,117,45,3,0,0,0,51,59,5,0,0,0,65,869,190,0,0,0,1060
POA3181,33,37,55,0,0,123,9,7,4,0,0,20,3,3,11,0,0,24,3,3,23,0,0,34,3,11,27,0,0,41,24,23,175,0,0,227,22,39,227,0,0,285,37,65,306,0,0,418,28,49,159,0,0,236,83,122,113,3,0,316,177,204,57,0,0,442,31,47,56,0,0,136,462,622,1215,7,4,2302
POA3182,11,30,65,0,0,106,4,7,14,0,0,23,4,0,19,0,0,24,3,3,43,0,0,46,6,13,69,4,0,88,11,22,236,17,0,285,11,29,418,21,3,484,21,43,504,32,0,601,14,30,217,4,4,270,42,69,149,13,0,271,98,153,99,9,0,357,19,26,106,8,0,156,226,435,1936,107,6,2707
POA3183,33,22,40,0,0,92,3,3,15,0,0,24,0,6,24,0,0,27,10,3,22,0,0,35,4,7,36,0,0,45,27,30,163,0,0,221,22,30,261,0,0,312,64,62,343,0,0,463,48,47,176,0,0,274,87,94,100,0,0,273,175,127,52,0,0,358,54,30,58,0,0,138,543,458,1282,3,0,2282
POA3184,18,18,45,0,0,76,9,4,20,0,0,31,3,7,11,0,0,22,0,5,22,0,0,22,3,7,31,0,0,38,16,23,127,0,0,168,7,17,178,0,0,197,37,44,275,0,0,350,23,28,171,0,0,224,36,53,146,0,0,228,195,127,77,0,0,402,43,19,73,0,0,135,391,341,1166,0,0,1897
POA3185,61,26,22,5,0,102,8,4,6,0,0,19,16,3,5,0,0,18,10,6,9,0,0,25,12,0,20,0,0,29,50,18,58,6,0,132,35,38,89,4,0,165,80,34,126,0,0,237,60,50,63,0,0,170,108,46,31,0,0,184,315,57,24,0,0,398,60,16,27,0,0,101,801,301,475,9,0,1589
POA3186,145,28,15,0,0,193,22,10,10,0,0,35,16,7,9,0,0,35,20,9,5,0,0,25,32,15,0,0,0,45,69,27,31,0,0,130,50,15,44,0,0,108,128,46,78,0,0,248,85,37,40,0,0,163,186,78,42,0,0,305,839,142,43,0,0,1019,152,32,29,0,0,208,1736,435,348,0,0,2522
POA3187,93,21,4,0,0,115,17,5,0,0,0,32,14,5,8,0,0,26,22,11,3,0,0,31,34,5,0,0,0,45,71,25,5,0,0,99,64,22,4,0,0,90,134,54,0,0,0,194,115,52,0,0,0,167,228,77,0,0,0,307,643,143,4,0,0,784,134,32,0,0,0,169,1567,453,31,4,0,2054
POA3188,92,30,5,0,0,128,17,4,0,0,0,26,19,7,0,0,0,28,7,7,3,0,0,19,31,8,6,0,0,48,79,26,23,3,0,134,94,32,41,3,0,173,176,67,62,3,0,311,138,69,36,0,0,245,299,99,34,3,0,436,575,105,22,3,0,696,124,27,15,0,0,170,1651,477,254,16,3,2405
POA3189,48,3,5,0,0,56,13,7,4,0,0,16,12,0,0,0,0,12,20,0,0,0,0,20,12,0,0,0,0,16,50,9,11,0,0,64,67,9,20,0,0,100,128,15,19,0,0,164,100,11,12,0,0,123,163,13,0,0,0,181,110,8,0,0,0,120,48,10,3,0,0,58,768,77,79,6,0,927
POA3190,58,18,7,0,0,84,14,4,3,0,0,28,14,6,0,0,0,30,11,8,3,0,0,28,21,11,7,0,0,38,75,32,38,0,0,149,91,65,80,4,0,238,167,120,84,0,0,370,135,87,30,3,4,258,233,84,16,0,0,322,259,39,7,0,0,305,57,28,8,0,0,90,1128,502,290,17,7,1942
POA3191,45,13,13,0,0,69,11,5,4,0,0,18,3,3,4,0,0,8,15,9,10,0,0,31,16,4,13,0,0,28,36,18,34,0,0,93,33,26,54,0,0,114,86,44,93,0,0,221,44,29,27,0,0,96,145,48,19,0,0,213,311,66,8,0,0,388,69,11,19,0,0,94,806,280,284,0,0,1379
POA3192,110,25,17,0,0,150,33,4,4,0,0,42,18,14,0,0,0,34,52,20,19,0,0,94,77,22,11,3,0,123,155,49,95,3,0,303,185,85,120,0,0,385,366,181,161,4,0,712,337,110,49,0,0,500,460,108,35,0,0,605,338,48,10,0,0,399,135,47,27,0,0,200,2265,714,555,9,0,3543
POA3193,134,22,4,0,0,161,20,4,3,0,0,31,24,9,7,0,0,40,32,17,10,0,0,52,41,4,3,0,0,55,122,41,10,0,0,167,100,21,7,5,0,138,218,57,18,4,0,291,157,57,18,0,0,236,333,77,10,0,0,417,708,100,14,0,0,814,148,31,5,0,0,183,2036,425,97,10,0,2576
POA3194,40,32,12,0,0,81,15,14,0,0,0,35,14,4,3,0,0,20,17,25,10,0,0,48,23,17,6,0,0,41,85,71,51,3,0,210,97,87,45,0,0,232,155,135,62,4,0,354,124,106,14,0,0,250,195,107,16,0,0,314,170,47,9,0,0,222,60,39,16,0,0,107,990,673,233,13,0,1913
POA3195,195,69,13,0,0,281,71,25,4,0,0,100,41,20,8,0,0,69,68,23,6,0,0,104,119,52,25,0,0,194,309,107,59,0,0,473,385,172,88,0,0,650,681,276,120,0,0,1069,485,213,60,0,0,763,701,196,36,0,0,940,585,129,25,0,0,733,243,60,31,0,0,338,3880,1349,473,3,3,5707
POA3196,99,39,28,0,0,170,30,18,8,0,0,57,21,16,14,0,0,53,61,24,14,0,0,107,89,44,25,0,0,156,229,93,109,0,0,443,257,137,154,0,0,544,470,276,247,0,0,1001,372,155,119,6,0,645,390,110,77,0,0,573,207,57,31,0,0,301,139,69,55,0,0,265,2382,1039,880,6,0,4308
POA3197,55,32,8,0,0,100,14,12,0,0,0,29,14,9,7,0,0,25,31,15,4,0,0,56,33,15,3,0,0,56,110,52,16,0,0,176,123,79,42,5,0,248,204,140,41,0,0,389,178,80,20,0,0,275,173,57,14,0,0,244,144,34,0,0,0,184,92,31,10,0,0,137,1173,557,174,5,0,1914
POA3198,92,19,0,0,0,110,47,5,0,0,0,50,29,14,0,0,0,46,74,15,6,0,0,90,81,26,7,0,0,108,213,64,10,0,0,288,327,95,6,0,0,429,525,90,7,0,0,626,273,45,0,0,0,319,182,17,3,0,0,203,83,14,0,0,0,96,149,28,3,0,0,182,2077,424,43,0,0,2544
POA3199,315,50,8,0,0,372,139,19,0,0,0,164,111,14,0,0,0,125,214,45,10,0,0,259,248,49,8,0,0,317,769,188,43,0,0,1002,1013,201,34,0,0,1249,1671,154,13,0,0,1839,859,56,3,0,0,922,668,28,5,0,0,699,360,18,3,0,0,380,441,35,4,0,0,478,6799,858,143,0,5,7807
POA3200,24,0,0,0,0,22,22,0,0,0,0,22,11,0,0,0,0,13,38,0,0,0,0,38,42,4,0,0,0,42,119,4,0,0,0,119,134,3,0,0,0,138,107,0,0,0,0,107,19,3,0,0,0,22,16,0,0,0,0,17,5,0,0,0,0,5,33,0,0,0,0,37,568,19,0,0,0,586
POA3201,111,15,0,0,0,127,47,6,0,0,0,54,54,15,0,0,0,70,105,10,0,0,0,113,160,30,0,0,0,186,541,131,3,0,0,670,684,162,0,0,0,843,980,122,0,0,0,1106,304,21,0,0,0,325,133,13,0,0,0,142,67,4,0,0,0,69,206,30,0,0,0,240,3389,553,7,0,0,3956
POA3202,19,0,0,0,0,19,5,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,10,8,0,0,0,0,8,35,3,0,0,0,41,41,4,4,0,0,50,63,8,5,0,0,69,60,5,0,0,0,66,70,0,0,0,0,72,35,3,0,0,0,38,23,0,0,0,0,24,365,23,18,0,0,404
POA3204,167,45,19,0,0,234,29,10,15,0,0,50,35,12,10,0,0,53,45,10,9,0,0,64,68,25,12,0,0,104,154,59,75,3,0,293,155,72,154,0,0,383,318,168,231,0,0,716,244,116,90,0,0,454,460,192,47,0,0,700,698,195,29,0,0,916,183,56,31,0,0,270,2552,951,727,9,4,4239
POA3205,9,31,30,0,0,66,0,3,9,0,0,20,0,8,8,0,0,13,0,7,12,0,0,14,0,16,16,0,0,31,5,32,78,0,0,115,0,25,127,0,0,157,5,62,172,0,0,242,7,53,59,0,0,120,11,87,62,0,0,165,46,189,36,4,0,274,8,33,33,0,0,78,101,545,641,5,4,1297
POA3206,26,49,14,0,0,86,3,12,3,0,0,17,0,7,0,0,0,6,5,9,4,0,0,16,0,3,5,0,0,8,6,30,15,0,0,53,8,23,7,0,0,42,19,56,20,0,0,100,9,41,11,0,0,63,29,78,15,0,0,123,104,299,19,3,0,421,14,49,9,0,0,76,214,664,116,3,0,1006
POA3207,11,59,32,0,0,107,0,9,16,0,0,27,0,9,8,0,0,22,0,16,18,0,0,41,0,20,32,0,0,57,0,40,80,0,0,132,5,48,141,0,0,195,13,112,256,0,0,382,10,75,136,0,0,222,23,173,143,0,0,339,71,361,128,0,0,561,16,70,65,0,0,151,154,1008,1065,0,0,2231
POA3211,10,0,0,0,0,10,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,12,0,0,0,0,12,13,0,0,0,0,13,37,0,0,0,0,38,16,0,0,0,0,16,17,0,0,0,0,17,21,0,0,0,0,21,10,0,0,0,0,15,158,0,0,0,0,164
POA3212,102,11,0,0,0,112,39,0,0,0,0,42,34,0,0,0,0,36,62,5,0,0,0,67,112,8,0,0,0,122,387,25,0,0,0,411,603,26,0,0,0,629,814,25,0,0,0,837,246,0,0,0,0,256,149,7,0,0,0,154,86,0,0,0,0,85,168,4,0,0,0,174,2805,109,6,3,0,2923
POA3213,32,0,0,0,0,38,8,0,0,0,0,8,12,0,0,0,0,12,29,4,0,0,0,29,29,3,0,0,0,38,81,10,5,0,0,89,121,0,0,0,0,120,155,3,0,0,0,161,90,0,0,0,0,90,75,0,0,0,0,78,46,0,0,0,0,46,55,0,0,0,0,55,733,22,11,0,0,770
POA3214,92,6,0,0,0,95,83,0,0,0,0,86,79,0,0,0,0,84,125,9,0,0,0,140,220,13,0,0,0,232,644,33,3,0,0,682,468,15,0,0,0,490,203,9,0,0,0,209,36,5,0,0,0,45,31,0,0,0,0,31,20,0,0,0,0,17,140,3,3,0,0,144,2135,96,16,0,0,2253
POA3215,124,11,4,0,0,135,41,6,0,0,0,52,47,3,5,0,0,49,90,7,0,0,0,100,117,11,0,0,0,136,399,39,21,0,0,456,487,54,15,0,0,550,567,33,8,0,0,605,201,7,0,0,0,208,118,7,0,0,0,126,61,6,0,0,0,62,131,13,5,0,0,147,2382,188,53,0,0,2619
POA3216,352,14,7,0,0,366,152,16,5,0,0,165,113,17,0,0,0,131,234,21,0,3,0,253,293,36,0,0,0,330,1092,112,10,0,3,1211,1349,119,7,0,4,1484,1885,71,3,0,0,1958,731,20,0,0,4,755,563,5,0,0,0,569,304,8,0,0,0,312,386,20,0,0,0,409,7447,450,32,6,10,7939
POA3217,74,0,0,0,0,74,21,0,0,0,0,21,30,0,0,0,0,33,54,5,0,0,0,56,95,5,0,0,0,100,399,17,0,0,0,423,910,37,0,0,0,951,1267,37,0,0,0,1305,347,8,0,0,0,347,175,3,0,0,0,179,85,0,0,0,0,92,165,7,0,0,0,175,3627,115,0,0,7,3751
POA3218,79,3,0,0,0,83,33,0,4,0,0,43,27,3,5,0,0,40,45,3,12,0,0,65,58,14,15,0,0,82,211,19,27,0,0,261,284,27,21,0,0,325,505,19,14,0,0,539,268,9,4,0,0,281,185,6,0,0,0,193,96,3,0,0,0,101,106,3,5,0,0,109,1914,97,97,4,0,2110
POA3219,130,11,0,0,0,137,88,4,0,0,0,92,50,4,0,0,0,56,130,11,6,0,0,150,155,23,0,0,0,176,515,55,10,0,0,572,560,31,0,0,0,590,398,11,0,0,0,408,110,3,0,0,0,112,88,4,0,0,0,89,46,3,0,0,0,56,126,3,0,0,0,134,2396,161,16,0,0,2575
POA3220,84,19,3,0,0,104,28,5,0,0,0,28,25,0,0,0,0,31,56,14,0,0,0,67,50,16,6,0,0,69,152,35,23,0,0,205,158,41,12,0,0,211,311,41,32,0,0,383,187,26,6,0,0,216,209,15,13,0,0,243,222,16,0,0,0,238,91,17,5,0,0,110,1565,240,102,0,5,1914
POA3221,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,15,0,0,0,0,15,8,0,0,0,0,8,12,0,0,0,0,12,4,0,0,0,0,4,22,0,0,0,0,22,14,0,0,0,0,14,106,0,0,0,0,106
POA3222,128,3,0,0,0,126,73,0,0,0,0,73,54,0,0,0,0,55,90,0,0,0,0,87,116,3,0,0,0,119,397,3,0,0,0,405,547,0,0,0,0,551,594,3,0,0,0,596,210,0,0,0,0,210,133,0,0,0,0,134,118,0,0,0,0,118,147,0,0,0,0,146,2607,19,0,0,0,2626
POA3223,49,0,0,0,0,48,26,0,0,0,0,30,13,0,0,0,0,16,42,3,0,0,0,42,45,0,0,0,0,44,147,5,0,0,0,154,150,9,0,0,0,160,197,0,0,0,0,200,71,0,0,0,0,77,64,0,0,0,0,65,39,0,0,0,0,39,59,9,0,0,0,65,901,22,5,3,8,935
POA3224,103,0,0,0,0,103,51,6,0,0,0,56,27,0,0,0,0,32,121,6,0,0,0,126,98,0,0,0,0,100,354,20,0,0,0,376,497,15,0,0,0,517,524,6,0,0,0,531,141,0,0,0,0,145,91,0,0,0,0,89,53,0,0,0,0,53,125,3,0,0,0,136,2196,69,0,0,0,2264
POA3225,21,3,0,0,0,28,15,0,0,0,0,15,8,0,0,0,0,10,19,0,0,0,0,19,15,0,0,0,0,19,56,0,0,0,0,56,47,0,0,0,0,54,102,0,0,0,0,101,64,5,0,0,0,72,71,0,0,0,0,71,36,0,0,0,0,37,32,0,0,0,0,32,486,12,3,4,0,506
POA3226,86,6,0,0,0,90,47,4,0,0,0,58,37,0,0,0,0,36,55,5,0,0,0,57,80,6,0,0,0,84,249,8,0,0,0,258,351,13,0,0,0,364,627,16,0,0,0,640,336,7,0,0,0,342,246,4,0,0,0,255,140,5,0,0,0,145,115,8,0,0,0,126,2365,87,3,0,0,2454
POA3227,29,7,0,0,0,34,8,0,0,0,0,8,8,0,0,0,0,8,17,0,0,0,0,23,22,0,0,0,0,22,61,13,0,0,0,77,54,6,0,0,0,58,105,9,0,0,0,112,78,0,0,0,0,78,112,4,0,0,0,110,103,5,0,0,0,105,34,3,0,0,0,34,630,35,4,0,0,667
POA3228,137,7,0,0,0,139,77,0,0,0,0,72,29,0,0,0,0,32,54,3,0,0,0,59,91,3,0,0,0,95,291,5,0,0,0,298,386,23,0,0,0,413,727,33,0,0,0,760,551,17,0,0,0,566,461,17,0,0,0,481,289,3,0,0,0,299,222,3,0,0,0,232,3312,124,7,0,0,3449
POA3230,5,5,0,0,0,7,4,0,0,0,0,4,4,0,0,0,0,4,8,0,0,0,0,8,14,0,0,0,0,13,30,0,0,0,0,30,43,0,0,0,0,43,58,0,0,0,0,57,47,0,0,0,0,45,37,5,0,0,0,36,30,3,0,0,0,33,27,0,0,0,0,25,310,10,0,0,0,323
POA3231,12,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,15,0,0,0,0,16,28,0,0,0,0,28,20,0,0,0,0,23,16,0,0,0,0,14,35,0,0,0,0,35,22,0,0,0,0,22,16,0,0,0,0,16,169,5,0,0,0,172
POA3232,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,4,10,0,0,0,0,8,12,0,0,0,0,12,15,0,0,0,0,17,5,0,0,0,0,11,12,0,0,0,0,12,10,0,0,0,0,9,10,0,0,0,0,10,84,5,0,0,0,88
POA3233,16,0,0,0,0,24,3,0,0,0,0,9,8,0,0,0,0,8,7,0,0,0,0,10,9,0,0,0,0,6,27,0,0,0,0,29,28,0,0,0,0,30,41,0,0,0,0,41,24,0,0,0,0,22,17,0,0,0,0,17,10,0,0,0,0,10,5,0,0,0,0,14,193,10,3,5,3,215
POA3234,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,20,0,0,0,0,22
POA3235,11,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,7,9,0,0,0,0,9,17,0,0,0,0,17,4,0,0,0,0,4,4,0,0,0,0,4,8,0,0,0,0,8,4,0,0,0,0,4,69,0,0,0,0,69
POA3236,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,4,0,0,0,0,4,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,29
