POA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3202,..,4,7,6,5,6,4,0,0,20,..,0,15,5,19,32,20,20,9,110,0,3,5,0,6,0,0,0,0,13,270,167,138,201,269,150,103,47,20,1372,..,0,76,284,374,187,132,57,13,1117,..,4,42,37,37,17,8,0,0,150,..,5,9,22,42,30,10,4,4,117,558,..,..,..,..,..,..,..,..,558,..,213,..,..,..,..,..,..,..,213,..,90,58,11,6,3,3,0,0,172,..,6,14,4,0,10,6,7,0,52,..,8,5,0,6,0,0,0,0,15,..,3,20,6,12,9,5,3,0,51,..,6,28,12,36,43,32,17,11,193,3,3,9,0,5,0,3,0,0,22,563,335,255,371,518,299,203,91,30,2674
POA3204,..,119,140,34,24,38,26,17,0,400,..,43,220,187,187,294,366,294,198,1785,25,33,33,20,20,21,19,11,6,181,2822,1968,2005,2433,2688,1912,1318,746,326,16219,..,24,1138,3048,3391,2385,1513,672,160,12340,..,162,1033,568,452,263,112,22,7,2626,..,5,50,254,529,298,104,75,52,1366,5818,..,..,..,..,..,..,..,..,5818,..,2632,..,..,..,..,..,..,..,2632,..,750,640,155,115,63,19,0,0,1738,..,104,103,46,46,73,93,75,31,577,..,76,103,31,23,18,3,0,0,258,..,302,475,81,62,77,45,22,5,1065,..,103,420,356,396,509,543,408,237,2975,58,60,61,39,37,40,32,16,12,351,5874,4216,4023,4582,5057,3722,2460,1303,504,31744
POA3205,..,83,162,27,11,8,6,6,0,302,..,59,273,261,192,186,180,110,46,1307,7,26,35,21,15,6,11,11,5,136,571,490,1204,965,756,593,443,240,89,5364,..,14,392,779,662,513,360,192,65,2975,..,94,790,384,228,138,82,18,0,1744,..,6,24,85,124,90,33,13,13,383,1235,..,..,..,..,..,..,..,..,1235,..,354,..,..,..,..,..,..,..,354,..,107,105,27,27,18,8,0,0,280,..,57,63,14,21,15,22,13,8,213,..,7,35,4,0,0,3,0,0,60,..,167,387,82,36,30,13,6,0,723,..,121,515,489,374,381,284,172,56,2394,23,29,58,33,35,25,20,13,5,244,1259,946,2373,1888,1509,1215,819,435,150,10600
POA3206,..,22,46,21,10,6,8,7,3,128,..,13,63,79,117,136,150,156,63,766,11,13,11,14,12,12,15,6,3,109,810,435,461,680,847,665,517,386,119,4918,..,0,187,719,931,772,557,397,78,3642,..,21,279,259,215,132,74,26,0,1003,..,0,5,52,129,72,25,27,20,327,1586,..,..,..,..,..,..,..,..,1586,..,594,..,..,..,..,..,..,..,594,..,127,109,29,44,28,5,0,0,344,..,23,18,11,12,19,9,17,12,118,..,11,16,10,4,0,4,0,0,40,..,43,109,36,16,21,15,10,7,263,..,25,112,143,187,245,290,229,95,1323,20,20,21,25,26,33,20,7,7,180,1603,865,856,1291,1564,1318,990,716,218,9424
POA3207,..,66,164,35,16,17,19,4,4,325,..,25,201,356,318,312,287,185,65,1738,14,21,31,27,18,24,9,8,0,154,1146,631,1307,1532,1404,1059,817,449,120,8471,..,9,464,1320,1266,992,784,425,74,5322,..,77,891,588,416,246,100,41,8,2357,..,4,26,133,246,128,59,50,22,662,2280,..,..,..,..,..,..,..,..,2280,..,661,..,..,..,..,..,..,..,661,..,242,199,71,78,42,0,0,0,623,..,64,49,12,27,17,27,22,9,232,..,17,49,19,4,0,5,0,0,95,..,128,375,91,47,36,43,9,5,729,..,44,385,601,577,527,437,262,93,2928,21,37,57,56,33,37,29,12,7,288,2296,1274,2490,2880,2695,2025,1475,828,216,16179
POA3211,..,0,5,0,0,7,4,0,0,10,..,5,0,0,3,6,7,0,0,25,0,0,5,0,3,0,0,0,0,11,117,83,44,75,95,100,59,19,6,592,..,0,27,96,122,137,89,26,3,504,..,6,12,23,25,21,4,3,0,81,..,0,0,14,14,7,6,3,4,43,231,..,..,..,..,..,..,..,..,231,..,82,..,..,..,..,..,..,..,82,..,69,38,8,6,4,0,0,0,118,..,9,0,0,0,0,5,3,0,22,..,3,3,0,0,0,3,0,0,16,..,0,8,5,4,9,3,0,0,30,..,0,0,0,13,16,20,9,3,64,3,4,0,0,3,6,6,0,0,24,237,170,90,151,182,200,125,47,15,1215
POA3212,..,14,36,14,15,17,10,5,0,122,..,12,73,74,65,122,196,146,69,751,13,29,20,9,8,10,17,6,3,108,1780,951,1291,1281,1207,918,840,394,121,8780,..,14,944,1523,1469,1206,1059,418,64,6696,..,107,693,393,277,159,68,13,0,1720,..,14,111,186,245,125,40,25,11,770,3581,..,..,..,..,..,..,..,..,3581,..,887,..,..,..,..,..,..,..,887,..,713,359,93,52,24,3,0,0,1249,..,74,64,21,29,54,54,36,21,348,..,50,61,19,25,3,6,4,0,163,..,44,108,46,36,41,26,7,0,310,..,29,138,147,182,244,293,211,95,1335,27,60,42,24,20,23,22,10,3,231,3609,1988,2518,2453,2322,1882,1575,729,208,17286
POA3213,..,9,5,0,0,7,7,0,0,26,..,0,16,16,12,21,21,16,9,111,0,8,5,0,0,4,6,0,0,24,431,331,252,284,361,319,178,85,21,2251,..,8,162,370,509,462,263,114,21,1890,..,24,115,70,75,62,16,3,0,372,..,3,13,36,57,25,11,6,3,155,881,..,..,..,..,..,..,..,..,881,..,312,..,..,..,..,..,..,..,312,..,241,142,29,12,4,0,0,0,428,..,16,4,5,4,10,6,12,7,66,..,20,12,0,6,0,3,0,0,41,..,24,19,3,3,10,8,0,0,72,..,4,38,27,32,61,35,33,14,243,6,13,10,0,13,7,3,0,0,61,880,663,515,532,717,647,351,177,46,4527
POA3214,..,77,87,29,50,60,31,7,3,341,..,50,147,126,182,339,344,264,104,1541,27,56,31,17,20,24,20,9,4,212,1855,1448,1700,1310,1409,1443,1162,618,211,11153,..,78,880,932,972,1210,1091,503,100,5758,..,257,636,326,336,196,89,21,3,1867,..,72,352,423,491,277,154,91,55,1913,3736,..,..,..,..,..,..,..,..,3736,..,1007,..,..,..,..,..,..,..,1007,..,942,597,244,170,75,16,0,0,2043,..,206,140,68,88,138,112,63,22,843,..,94,138,45,36,14,8,0,0,335,..,179,350,151,118,132,67,27,4,1030,..,93,313,313,479,685,618,407,170,3073,49,92,90,43,49,44,36,14,11,427,3787,3019,3492,2543,2731,2769,2195,1135,361,22026
POA3215,..,102,125,18,18,22,19,8,0,308,..,26,152,114,162,268,351,324,191,1596,19,32,31,25,20,19,17,8,8,174,1696,1145,1589,1322,1302,1255,1224,778,328,10644,..,24,852,1304,1341,1351,1381,758,193,7205,..,241,862,433,276,153,84,37,3,2086,..,23,128,229,304,170,95,85,57,1077,3334,..,..,..,..,..,..,..,..,3334,..,933,..,..,..,..,..,..,..,933,..,619,440,167,126,75,19,0,0,1447,..,83,92,27,34,50,60,41,25,411,..,56,98,17,13,10,0,0,0,199,..,214,333,61,48,46,39,18,4,766,..,64,303,256,376,508,551,445,270,2769,34,54,73,48,35,21,32,17,11,333,3375,2314,3179,2531,2551,2388,2259,1394,555,20555
