POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3751,16,0,0,0,0,0,0,16
POA3752,3649,181,88,26,0,0,10,3960
POA3753,658,48,40,9,0,4,5,762
POA3754,7099,501,299,65,7,8,16,7986
POA3755,25,0,3,0,0,0,0,32
POA3756,1932,164,113,22,8,0,7,2242
POA3757,1095,92,47,7,4,0,0,1243
POA3758,288,24,8,7,0,0,0,327
POA3759,136,6,4,0,0,0,0,143
POA3760,53,0,0,0,0,0,0,57
POA3761,132,17,7,0,0,0,0,157
POA3762,13,0,0,0,0,0,0,12
POA3763,159,20,16,3,0,0,4,199
POA3764,1067,102,59,6,5,0,6,1242
POA3765,884,83,26,3,0,0,9,1004
POA3766,160,11,8,0,0,0,0,181
POA3767,142,7,4,0,0,0,0,153
POA3770,384,29,30,3,0,0,0,443
POA3775,485,52,18,0,0,0,0,550
POA3777,1001,113,57,7,0,0,8,1192
POA3778,16,0,0,0,0,0,0,21
POA3779,28,3,0,0,0,0,0,29
POA3781,550,63,31,0,0,0,0,646
POA3782,981,84,36,7,0,0,8,1119
POA3783,297,30,16,0,0,0,0,345
POA3785,5,0,0,0,0,0,0,5
POA3786,203,6,8,7,0,0,0,220
POA3787,112,6,0,0,0,0,0,129
POA3788,192,16,4,0,0,0,0,217
POA3789,30,8,0,0,0,0,0,39
POA3791,163,13,3,0,0,0,0,179
POA3792,136,7,4,0,0,0,0,148
POA3793,418,41,21,0,0,0,5,481
POA3795,162,10,8,3,0,0,0,183
POA3796,1250,109,57,11,0,0,3,1439
POA3797,360,27,19,7,0,0,0,417
POA3799,440,46,31,9,0,0,0,534
POA3802,3201,155,84,40,6,0,8,3489
POA3803,1315,70,34,21,0,0,5,1446
POA3804,1222,69,24,15,0,0,6,1330
POA3805,7834,478,258,96,11,10,22,8712
POA3806,7036,471,231,54,4,0,21,7816
POA3807,1075,72,28,8,0,4,5,1198
POA3808,452,32,15,0,0,0,0,498
POA3809,2647,171,100,16,5,0,8,2941
POA3810,6139,522,358,74,11,6,38,7145
POA3812,286,27,16,0,0,0,0,326
POA3813,107,7,7,0,0,0,3,118
POA3814,303,22,9,0,0,0,0,335
POA3815,426,29,18,0,0,0,0,482
POA3816,298,35,26,6,0,0,0,366
POA3818,1626,170,108,11,3,4,15,1941
POA3820,1871,195,106,26,4,0,10,2204
POA3821,356,25,18,0,0,0,0,399
POA3822,113,8,6,0,0,0,0,131
POA3823,182,11,17,0,0,0,0,211
POA3824,485,55,35,8,0,0,5,586
POA3825,1512,200,134,14,3,0,15,1885
