POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3286,45,4,3,0,0,0,0,55
POA3287,47,5,3,4,0,0,0,55
POA3289,72,0,4,0,0,0,0,78
POA3292,9,0,0,0,0,0,0,9
POA3293,28,3,0,0,0,0,0,32
POA3294,93,8,0,0,0,0,0,101
POA3300,887,61,38,7,0,0,12,1007
POA3301,152,3,5,0,0,0,0,162
POA3302,40,6,0,0,0,0,0,44
POA3303,26,3,0,0,0,0,0,35
POA3304,193,17,20,5,0,0,6,242
POA3305,1072,119,56,8,4,0,8,1260
POA3309,8,0,0,0,0,0,0,11
POA3310,16,0,3,0,0,0,0,18
POA3311,100,5,6,0,0,0,0,116
POA3312,90,4,0,0,0,0,0,99
POA3314,49,0,4,0,0,0,0,54
POA3315,130,11,3,0,0,0,0,146
POA3317,16,0,0,0,0,0,0,17
POA3318,81,5,3,0,0,0,0,92
POA3319,30,3,0,0,0,0,0,37
POA3321,252,19,4,0,0,0,0,279
POA3322,14,0,0,0,0,0,0,14
POA3323,11,0,0,0,0,0,0,4
POA3324,51,3,0,0,0,0,0,57
POA3325,35,0,0,0,0,0,0,44
POA3328,315,29,22,3,0,0,0,368
POA3329,38,5,5,0,0,0,0,42
POA3330,25,0,0,0,0,0,0,20
POA3331,954,73,39,6,0,0,8,1079
POA3332,141,6,9,4,0,0,0,159
POA3333,82,7,8,0,3,0,0,105
POA3334,37,9,0,0,0,0,3,54
POA3335,777,48,28,9,0,0,4,867
POA3336,2847,146,89,47,8,3,5,3142
POA3337,4107,383,241,74,14,3,28,4860
POA3338,4352,318,221,68,5,0,23,4987
POA3340,2783,261,159,21,3,3,14,3245
POA3341,202,14,10,0,0,0,0,234
POA3342,393,38,21,4,0,0,0,460
POA3345,147,16,4,0,0,0,0,168
POA3350,6003,546,261,48,5,0,31,6894
POA3351,1017,76,66,12,4,0,9,1172
POA3352,2146,142,108,25,5,0,12,2446
POA3355,808,90,68,8,5,0,5,984
POA3356,1054,123,88,21,3,3,10,1300
POA3357,443,21,9,0,0,0,0,475
POA3358,387,42,33,9,0,0,0,471
POA3360,57,3,6,0,0,0,0,71
POA3361,48,5,6,0,0,0,0,54
POA3363,283,24,23,0,6,0,0,333
POA3364,214,16,11,0,0,0,5,241
POA3370,126,17,13,0,0,0,0,160
POA3371,53,11,4,0,0,0,0,77
POA3373,169,20,16,3,0,0,3,208
POA3374,34,12,0,0,0,0,0,43
POA3375,21,0,0,0,0,0,0,25
POA3377,637,76,42,10,0,0,4,769
POA3378,22,0,0,0,0,0,0,22
POA3379,69,0,0,0,0,0,0,72
POA3380,447,34,32,4,0,0,0,516
POA3381,107,9,0,0,0,0,4,119
POA3384,43,5,6,0,0,0,0,62
POA3385,45,6,4,0,0,0,0,50
POA3387,30,0,0,0,0,0,0,37
POA3388,44,0,4,0,0,0,0,50
POA3390,87,3,3,0,0,0,0,94
POA3391,14,0,5,0,0,0,0,19
POA3392,40,7,0,0,0,0,0,44
POA3393,177,9,13,0,0,0,4,199
POA3395,32,0,0,0,0,0,0,36
POA3396,46,0,0,0,0,0,0,51
POA3400,1223,135,91,15,0,3,12,1470
POA3401,548,31,16,3,0,0,0,605
POA3407,41,5,0,0,0,0,0,49
POA3409,84,8,3,0,0,0,0,97
POA3412,20,0,0,0,0,0,0,27
POA3413,17,0,0,0,0,0,0,21
POA3414,113,11,11,0,0,0,0,139
POA3415,6,0,0,0,0,0,0,9
POA3418,273,20,3,9,0,0,0,300
POA3419,79,4,0,0,0,0,0,85
POA3420,28,0,0,0,0,0,0,32
POA3423,26,6,0,0,0,0,0,31
POA3424,57,6,3,0,0,0,0,64
POA3427,670,41,28,11,0,0,0,753
POA3428,82,13,0,0,0,0,0,95
POA3429,4537,383,216,27,7,0,27,5195
POA3430,30,6,0,0,0,0,0,35
POA3431,566,29,19,0,0,0,3,626
POA3432,22,0,0,0,0,0,0,26
POA3433,30,0,0,0,0,0,0,28
POA3434,741,52,29,5,0,0,4,837
POA3435,358,31,9,0,6,0,3,406
POA3437,1560,92,37,3,0,0,0,1696
POA3438,334,14,11,0,0,0,0,362
POA3440,264,12,8,0,0,0,0,282
POA3441,177,11,5,5,0,0,0,188
POA3442,1002,65,28,8,0,0,0,1109
POA3444,972,65,37,9,3,0,0,1081
POA3446,123,3,3,0,0,0,4,134
POA3447,45,3,0,0,0,0,0,51
POA3448,87,7,7,0,0,0,0,102
POA3450,491,39,18,3,0,0,4,557
POA3451,534,41,21,7,0,0,0,607
POA3453,175,9,4,0,0,0,0,196
POA3458,167,15,7,5,0,0,0,190
POA3460,156,12,9,0,0,0,0,174
POA3461,369,29,15,3,0,0,3,418
POA3462,107,3,3,0,0,0,0,116
POA3463,189,23,5,0,0,0,0,215
POA3464,121,12,10,0,0,0,5,139
POA3465,638,72,49,8,3,0,5,766
POA3467,99,9,3,0,0,0,0,112
POA3468,20,0,0,0,0,0,0,26
POA3469,21,0,0,0,0,0,0,17
POA3472,75,16,8,0,0,0,4,99
POA3475,21,0,3,0,0,0,0,25
POA3477,79,0,4,0,0,0,0,80
POA3478,166,12,9,0,0,0,0,196
POA3480,149,12,4,0,0,0,0,163
POA3482,11,0,0,0,0,0,0,19
POA3483,86,5,4,0,0,0,0,96
POA3485,20,0,0,0,0,0,0,20
POA3487,9,0,0,0,0,0,0,9
POA3488,5,0,0,0,0,0,0,9
POA3489,3,0,0,0,0,0,0,3
POA3490,89,4,3,0,0,0,0,98
POA3491,14,0,0,0,0,0,0,19
POA3494,53,8,3,3,0,0,0,64
POA3496,554,67,49,12,0,4,9,690
POA3498,606,52,27,10,3,0,7,700
POA3500,2653,266,173,38,7,3,29,3173
POA3501,286,18,5,0,0,0,3,318
POA3505,468,39,20,3,0,0,0,541
POA3506,4,0,0,0,0,0,0,4
POA3507,7,0,0,0,0,0,0,10
POA3509,19,0,0,0,0,0,0,19
POA3512,32,0,4,0,0,0,0,35
POA3515,332,21,18,6,0,0,4,375
POA3516,74,4,0,4,0,0,0,86
POA3517,110,13,0,0,0,0,4,131
POA3518,78,10,6,0,0,0,0,95
POA3520,6,0,4,0,0,0,0,8
