POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3185,1174,853,385,144,8369
POA3186,2744,2155,1314,578,14168
POA3187,1707,1166,738,517,9492
POA3188,2128,1260,622,164,10793
POA3189,463,286,169,55,3480
POA3190,935,588,299,131,6857
POA3191,1259,924,512,262,6575
POA3192,1786,1159,646,398,13188
POA3193,2427,1826,980,336,11618
POA3194,1091,800,476,197,7620
POA3195,3305,1998,936,381,20009
POA3196,2097,1396,713,303,14562
POA3197,1084,805,315,100,6303
POA3198,1202,891,479,160,8939
POA3199,4408,3281,1807,772,29386
POA3200,366,210,136,53,2554
POA3201,1284,776,352,190,10346
POA3202,211,156,66,11,1474
POA3204,2975,1715,755,283,19236
POA3205,987,612,327,177,7874
POA3206,1150,796,439,111,6071
POA3207,1654,1096,507,89,11238
POA3211,138,66,27,3,643
POA3212,1156,840,343,92,8828
POA3213,402,191,81,17,2235
POA3214,1262,890,431,139,9593
POA3215,1442,1171,582,297,10918
POA3216,4357,3516,2059,844,32782
POA3217,895,583,201,46,10957
POA3218,1143,728,291,79,8442
POA3219,1509,1090,543,206,10169
POA3220,1698,1291,560,158,10222
POA3221,95,67,18,4,445
POA3222,1681,1586,763,213,9517
POA3223,1167,1308,582,174,5320
POA3224,1129,992,690,235,7632
POA3225,694,950,534,167,3498
POA3226,1698,1605,644,260,9888
POA3227,633,627,253,59,3232
POA3228,2046,1730,716,251,13663
POA3230,412,487,217,56,2061
POA3231,297,253,100,24,1100
POA3232,172,201,81,40,855
POA3233,267,313,120,35,1388
POA3234,33,37,4,0,138
POA3235,84,48,10,0,313
POA3236,49,24,7,0,152
POA3237,50,24,6,0,171
POA3238,53,16,3,0,154
POA3239,56,52,9,0,255
POA3240,222,126,51,9,1122
POA3241,278,216,88,52,1619
POA3242,104,87,18,5,496
POA3243,35,57,14,4,237
POA3249,352,254,82,15,1615
POA3250,801,726,395,154,5386
POA3251,46,45,10,0,251
POA3254,39,9,3,0,165
POA3260,383,349,182,63,2183
POA3264,211,138,70,32,1006
POA3265,267,125,40,13,1306
POA3266,237,134,87,40,1275
POA3267,29,14,4,0,96
