POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA3240,12,7,20,348,518,287,215,253,79,1703
POA3241,20,30,77,470,739,365,287,440,250,2555
POA3242,0,0,5,155,244,115,88,110,45,758
POA3243,3,0,6,62,101,66,44,34,38,338
POA3249,18,6,44,536,722,429,378,501,178,2743
POA3250,274,57,502,1961,2572,1276,1017,3131,624,10580
POA3251,4,0,11,75,120,58,59,98,28,453
POA3254,0,0,0,52,69,47,29,41,32,269
POA3260,81,16,148,718,1094,582,426,888,324,4029
POA3264,48,20,105,365,435,250,215,511,132,1905
POA3265,13,8,40,453,529,335,250,467,213,2252
POA3266,52,13,111,491,597,338,301,593,186,2518
POA3267,5,0,4,34,46,24,12,45,12,181
POA3268,31,13,66,455,535,290,255,429,158,2128
POA3269,4,5,14,115,146,75,68,107,42,549
POA3270,8,0,6,59,76,41,29,47,15,264
POA3271,0,0,3,31,29,13,15,36,25,159
POA3272,32,12,64,260,310,202,152,290,123,1341
POA3273,0,0,0,25,23,5,21,29,7,117
POA3274,4,0,3,34,47,26,42,31,20,203
POA3275,0,3,3,86,102,55,32,82,23,380
POA3276,0,0,4,74,101,46,46,68,27,363
POA3277,5,0,26,280,437,210,158,272,102,1461
POA3278,0,0,7,51,82,36,31,53,20,276
POA3279,0,0,0,64,60,28,23,40,19,234
POA3280,474,180,1049,5458,7795,3478,2287,6731,1802,27543
POA3281,11,0,14,314,408,234,186,244,55,1434
POA3282,12,8,43,374,570,336,241,334,131,1995
POA3283,3,0,6,207,327,195,159,184,86,1159
POA3284,74,26,166,567,907,568,350,550,247,3184
POA3285,4,0,9,189,304,186,128,144,81,1032
POA3286,3,6,13,102,121,71,47,75,24,445
POA3287,0,0,4,81,94,52,40,60,22,340
POA3289,22,0,30,121,174,74,109,156,36,664
POA3292,4,0,4,26,50,27,24,28,25,176
POA3293,3,0,3,41,95,33,33,53,24,274
POA3294,7,3,17,142,240,127,89,126,54,791
POA3300,218,48,426,1604,2397,1154,885,2141,527,8705
POA3301,0,0,6,209,298,167,138,156,65,1033
POA3302,0,0,4,70,79,46,40,46,17,306
POA3303,3,5,7,52,72,33,34,28,17,237
POA3304,34,19,79,373,548,308,272,574,253,2318
POA3305,217,36,374,1959,2978,1575,1154,2830,762,11258
POA3309,0,0,0,24,21,19,15,19,11,97
POA3310,0,0,3,39,52,39,38,47,15,246
POA3311,60,15,110,229,346,187,168,460,129,1521
POA3312,0,3,8,161,212,118,117,147,82,834
POA3314,3,0,10,94,129,74,72,62,30,463
POA3315,52,7,80,274,338,206,162,334,127,1438
POA3317,0,0,7,23,52,18,17,21,26,159
POA3318,33,8,65,178,270,144,106,252,112,1054
POA3319,0,0,3,60,99,42,36,56,60,351
POA3321,4,0,7,270,415,228,164,203,59,1351
POA3322,0,0,5,32,31,19,28,33,5,150
POA3323,0,0,6,19,19,7,11,22,5,76
POA3324,6,7,19,102,101,64,64,114,43,483
POA3325,8,3,11,63,83,68,47,86,35,383
POA3328,9,6,19,332,490,298,243,287,111,1755
POA3329,0,0,0,45,68,36,34,41,11,238
POA3330,4,0,3,39,46,25,15,31,16,171
POA3331,85,9,127,1074,1562,769,636,1180,242,5461
POA3332,9,0,7,189,266,137,97,159,63,909
POA3333,5,0,14,134,213,127,71,118,54,711
POA3334,5,0,4,99,121,51,56,80,63,472
POA3335,4,0,8,740,1065,457,431,1654,363,4706
POA3336,9,3,19,2149,2879,1326,1204,4275,636,12472
POA3337,192,26,317,5413,6971,3192,3039,10259,2367,31239
POA3338,182,31,293,4357,6001,2749,2553,9162,2051,26864
POA3340,275,41,448,4028,5592,2470,1931,5180,1083,20286
POA3341,6,0,12,285,382,200,150,230,81,1328
POA3342,43,15,93,593,871,453,333,774,174,3208
POA3345,11,0,11,203,339,178,136,184,63,1108
POA3350,833,254,1662,11067,16103,6977,4587,12192,2946,53869
POA3351,34,5,75,1380,2031,1019,854,1554,455,7297
POA3352,63,21,165,2930,4279,2121,1662,2843,1113,14954
POA3355,221,116,530,1983,2743,1269,995,3087,915,10995
POA3356,252,78,517,2398,3179,1403,1119,3806,981,12892
POA3357,21,6,58,584,933,557,322,447,125,2970
POA3358,8,0,13,537,737,311,257,607,95,2543
POA3360,6,5,12,114,174,89,88,161,50,668
POA3361,23,6,29,108,127,69,81,140,64,589
POA3363,59,37,145,505,781,406,349,657,302,3005
POA3364,8,9,35,353,532,274,235,317,172,1877
POA3370,30,6,54,257,449,236,221,367,107,1641
POA3371,12,5,27,156,198,155,117,203,149,977
POA3373,37,16,77,363,529,299,232,486,187,2091
POA3374,0,0,3,57,116,51,36,71,39,372
POA3375,3,0,3,35,45,27,26,40,4,189
POA3377,168,34,321,1308,1931,896,747,2051,1247,8187
POA3378,0,0,0,24,32,13,10,15,9,101
POA3379,8,7,23,121,159,72,87,133,67,635
POA3380,74,77,221,886,1281,650,540,1386,522,5264
POA3381,3,3,16,189,324,196,140,175,168,1186
POA3384,3,0,12,86,123,64,85,108,47,517
POA3385,4,0,11,65,107,75,64,101,48,471
POA3387,0,0,3,40,66,33,43,51,21,243
POA3388,9,0,20,71,128,66,68,108,41,479
POA3390,3,0,27,149,186,102,98,173,62,772
POA3391,0,0,5,23,39,14,22,33,14,147
POA3392,22,3,42,78,113,71,60,149,50,521
POA3393,39,44,118,338,557,287,245,528,224,2184
POA3395,9,3,16,45,73,44,49,70,19,304
POA3396,29,0,49,105,132,81,73,172,36,595
POA3400,282,58,570,2355,3309,1512,1127,3309,756,12374
POA3401,13,0,48,782,1035,573,451,624,230,3694
POA3407,4,3,10,72,91,46,45,67,21,347
POA3409,35,0,43,171,228,114,84,190,61,847
POA3412,7,0,6,38,66,24,41,52,10,237
POA3413,4,0,8,42,46,19,21,27,10,167
POA3414,33,17,81,230,373,229,171,372,106,1478
POA3415,0,0,0,4,11,7,5,11,0,37
POA3418,78,16,138,454,564,292,281,649,175,2410
POA3419,17,0,38,139,198,111,94,169,44,749
POA3420,0,0,0,48,53,17,32,39,17,210
POA3423,3,11,24,58,104,55,76,82,42,415
POA3424,9,18,37,112,160,78,91,128,59,633
POA3427,11,5,20,878,1254,504,403,1150,294,4486
POA3428,0,0,10,108,137,79,73,136,37,567
POA3429,355,50,664,6703,9078,4024,2969,7446,1446,31668
POA3430,0,0,0,51,58,29,26,61,33,249
POA3431,14,0,33,746,1051,589,392,603,160,3540
POA3432,0,0,0,37,43,27,12,22,15,159
POA3433,0,0,0,35,35,41,21,27,19,170
POA3434,20,8,58,1020,1411,710,565,929,266,4902
POA3435,9,3,28,508,725,405,331,469,179,2614
POA3437,53,65,184,1934,2801,1428,999,1457,447,9062
POA3438,49,0,67,413,581,347,197,367,72,1985
POA3440,7,0,19,301,486,317,199,232,82,1617
POA3441,3,3,11,235,368,215,164,125,79,1172
POA3442,92,15,167,1280,2220,1159,773,1093,395,6926
POA3444,174,39,316,1507,2435,1321,933,1619,591,8406
POA3446,9,0,15,172,288,159,105,125,63,910
POA3447,0,0,3,77,153,80,54,60,45,469
POA3448,3,3,17,149,265,135,113,102,59,822
POA3450,87,188,411,1044,1883,1031,667,861,1154,6628
POA3451,36,7,95,829,1506,826,574,777,306,4813
POA3453,15,4,26,264,463,285,194,237,116,1554
POA3458,10,23,56,322,624,348,225,291,193,2013
POA3460,57,23,124,430,755,379,220,473,231,2485
POA3461,29,11,68,683,1267,660,448,642,311,4004
POA3462,8,4,17,164,316,173,146,153,94,1054
POA3463,39,3,70,392,693,395,286,388,173,2324
POA3464,6,0,14,164,281,142,118,193,68,965
POA3465,248,51,431,1329,1986,1209,911,2470,703,8607
POA3467,36,7,49,177,258,154,132,312,119,1143
POA3468,9,0,7,29,70,34,44,46,17,243
POA3469,5,0,15,42,49,33,29,46,49,237
POA3472,16,7,41,205,286,191,167,343,106,1295
POA3475,4,0,9,23,87,37,48,91,38,327
POA3477,4,0,5,105,156,111,97,147,75,689
POA3478,55,30,127,361,540,271,267,605,191,2242
POA3480,50,17,92,249,396,204,185,349,134,1524
POA3482,0,4,3,27,27,15,20,36,48,178
POA3483,16,5,31,140,205,86,82,161,68,735
POA3485,4,11,17,43,57,37,33,56,38,260
POA3487,0,0,0,11,17,11,3,22,8,68
POA3488,0,0,0,16,18,12,9,15,8,80
POA3489,0,0,0,6,12,11,4,8,0,42
POA3490,51,8,81,190,243,137,147,273,130,1126
POA3491,4,0,4,21,27,18,14,27,11,120
POA3494,0,0,3,86,131,51,51,154,66,536
POA3496,90,18,155,905,1229,679,574,1377,503,5265
POA3498,54,14,102,878,1259,635,468,1125,449,4819
POA3500,533,136,1002,4900,6727,3083,2382,8770,2437,28305
POA3501,17,6,30,335,453,235,195,339,90,1648
POA3505,81,19,132,653,1041,540,409,948,427,4021
POA3506,5,0,5,3,4,3,5,8,0,30
POA3507,0,0,3,17,27,19,9,30,40,145
POA3509,4,5,4,31,53,32,23,34,27,189
POA3512,6,0,10,53,69,52,48,57,23,294
POA3515,5,5,14,397,601,277,199,316,84,1876
POA3516,4,0,16,124,152,86,72,126,52,618
POA3517,44,20,87,186,286,160,144,338,143,1276
POA3518,17,7,37,188,241,118,157,290,172,1165
POA3520,0,4,3,19,26,14,20,43,25,140
POA3521,10,4,15,97,174,82,85,124,54,618
POA3522,0,0,10,38,78,33,42,70,29,290
POA3523,70,29,138,474,833,491,396,858,452,3492
POA3525,20,17,68,187,287,169,138,238,156,1178
POA3527,9,15,42,94,169,79,78,152,65,646
POA3529,0,0,0,20,21,17,11,14,6,91
POA3530,0,0,0,21,28,17,15,23,13,107
POA3531,0,0,8,25,41,29,22,33,8,159
POA3533,16,4,34,110,149,70,73,173,59,627
POA3537,38,34,89,145,219,108,95,181,174,919
POA3540,6,0,9,53,44,31,28,54,36,248
POA3542,0,0,4,23,8,15,32,30,13,115
POA3544,0,0,8,48,50,19,35,30,28,206
POA3546,10,0,12,45,82,58,29,63,13,286
POA3549,36,23,77,555,530,245,214,1205,509,3264
POA3550,754,140,1416,7126,10127,4314,2855,8573,2116,35116
POA3551,136,36,330,5667,8213,4123,2974,4928,1409,27308
POA3555,355,216,840,3223,4488,2045,1611,4791,1350,17502
POA3556,158,47,317,2121,2946,1348,1095,3128,802,11444
POA3557,5,6,8,125,178,109,85,121,64,677
POA3558,12,10,31,152,172,96,113,179,107,821
POA3559,0,0,11,80,105,59,64,83,71,475
POA3561,101,21,175,639,932,476,443,975,304,3768
POA3562,0,0,0,46,54,22,23,35,24,207
POA3563,8,9,26,117,168,89,90,153,81,697
POA3564,247,126,546,2626,3825,1775,1338,3569,1048,14183
POA3565,3,0,3,31,23,17,8,17,3,106
POA3566,5,0,8,84,122,58,56,103,50,472
POA3567,4,0,10,105,138,77,56,127,42,558
POA3568,73,17,135,375,643,397,280,622,199,2519
POA3570,3,0,11,95,166,99,79,144,118,694
POA3571,4,0,12,44,64,47,28,54,20,253
POA3572,0,0,0,32,30,16,14,16,10,111
POA3573,0,0,0,44,68,34,38,58,33,273
POA3575,11,3,24,126,148,89,65,188,67,683
POA3576,0,0,0,13,14,13,9,3,0,48
POA3579,116,33,243,742,1168,589,523,1090,415,4537
POA3580,8,4,14,139,239,136,90,240,99,943
POA3581,0,0,0,26,34,12,18,31,9,132
POA3583,0,0,3,22,36,10,22,35,14,138
POA3584,6,3,17,156,244,129,99,185,108,920
POA3585,203,58,424,1672,2326,1075,849,2689,686,9290
POA3586,0,0,6,127,165,90,73,130,50,640
POA3588,5,7,11,52,85,25,36,95,31,332
POA3589,0,0,3,67,59,24,22,70,41,289
POA3590,0,0,0,34,68,32,25,70,40,270
POA3591,0,0,0,31,38,24,10,31,11,140
POA3594,5,0,10,99,101,58,40,112,48,463
POA3595,15,0,19,71,111,78,56,159,76,553
POA3596,0,0,6,13,19,11,13,23,13,91
POA3597,5,0,7,99,77,27,35,120,25,383
POA3599,0,0,6,18,16,13,17,37,31,136
POA3607,0,0,3,23,37,15,10,27,24,138
POA3608,51,28,99,425,613,332,246,582,210,2409
POA3610,10,4,28,218,301,157,138,295,281,1394
POA3612,37,7,61,242,330,215,199,401,196,1586
POA3614,0,0,0,135,219,113,71,115,55,716
POA3616,67,21,143,753,1217,584,500,1167,380,4607
POA3617,0,0,0,31,43,9,9,25,14,138
POA3618,4,5,17,95,141,73,68,149,58,581
POA3620,141,62,334,1220,1803,884,667,1793,537,6900
POA3621,56,10,80,362,497,257,180,495,135,1932
POA3622,0,0,3,86,95,64,66,80,31,421
POA3623,8,4,20,126,202,126,75,168,48,748
POA3624,0,7,11,72,108,55,54,116,52,461
POA3629,127,44,250,1382,1787,829,686,2301,927,7911
POA3630,497,102,928,4484,6035,2624,2115,8424,2293,25981
