POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA3804,89,47,189,1525,1746,879,694,1769,376,6987
POA3805,342,47,572,9194,11056,4821,3952,15068,2344,46432
POA3806,522,104,1003,8712,11315,4995,3563,10314,1758,40653
POA3807,33,13,92,1424,1786,818,559,1350,246,6181
POA3808,20,3,42,523,723,416,256,433,164,2512
POA3809,35,0,45,3002,4260,1560,1306,3998,644,14770
POA3810,418,135,799,8344,10886,4702,3789,12125,2466,42311
POA3812,10,8,37,421,584,284,209,363,174,2032
POA3813,3,5,15,186,223,115,95,118,69,809
POA3814,15,12,36,419,628,262,233,366,175,2076
POA3815,45,16,87,629,792,393,319,565,207,2904
POA3816,18,4,32,489,683,311,266,524,248,2527
POA3818,245,34,415,2668,3829,1863,1447,3256,775,13832
POA3820,317,52,576,3256,4687,2167,1606,3759,914,16383
POA3821,9,5,31,504,720,402,293,406,215,2537
POA3822,3,0,11,170,181,135,94,159,64,803
POA3823,17,5,38,325,520,251,217,354,93,1755
POA3824,50,49,150,804,1220,616,529,941,297,4403
POA3825,348,52,619,2914,4255,2152,1885,4995,1424,17625
POA3831,26,11,52,308,429,261,223,276,162,1661
POA3832,0,0,0,40,62,25,38,34,4,213
POA3833,0,0,6,38,71,49,40,60,48,303
POA3835,6,0,10,78,105,49,38,94,32,392
POA3840,246,84,497,2190,3222,1623,1448,4250,1485,14219
POA3842,32,7,47,679,1006,510,437,1008,351,3993
POA3844,378,153,765,4620,7003,3279,2474,6275,1779,25436
POA3847,12,3,24,333,453,246,218,415,212,1887
POA3850,256,72,466,2261,3402,1694,1259,3162,859,12637
POA3851,34,5,59,786,1241,665,532,1015,1178,5405
POA3852,0,0,0,78,44,6,3,69,3,204
POA3854,4,7,9,238,352,169,173,176,83,1196
POA3856,5,0,3,160,233,143,106,145,71,857
POA3857,0,0,3,54,82,54,36,61,42,331
POA3858,40,9,82,442,657,334,300,561,301,2596
POA3859,3,0,17,130,193,115,78,171,74,761
POA3860,78,21,166,1090,1625,835,726,1341,444,6063
POA3862,28,3,54,513,773,435,344,596,215,2879
POA3864,0,0,0,36,53,37,21,34,25,204
POA3865,4,0,10,75,104,57,40,118,47,447
POA3869,7,0,22,261,441,235,162,256,79,1431
POA3870,11,0,21,183,294,181,171,177,113,1117
POA3871,47,12,85,410,727,402,298,451,207,2501
POA3873,0,0,0,23,63,45,39,60,28,255
POA3874,6,4,10,101,132,89,65,118,47,552
POA3875,229,157,630,2909,4373,2355,1848,3711,1384,16577
POA3878,19,6,46,190,337,209,133,252,40,1171
POA3880,120,14,218,579,1081,627,456,917,190,3846
POA3882,8,5,24,201,304,173,133,226,51,1089
POA3885,15,7,36,248,437,263,213,254,139,1556
POA3886,0,4,7,44,87,70,36,67,35,339
POA3887,0,0,0,40,57,35,34,52,31,242
POA3888,63,17,119,451,733,441,398,624,340,2993
POA3889,3,0,5,16,31,22,23,46,27,162
POA3890,0,4,3,21,83,37,38,56,49,289
POA3891,4,0,0,13,25,19,9,9,20,101
POA3892,16,3,47,174,292,188,132,160,98,1044
POA3893,0,0,0,5,7,7,4,0,0,21
POA3895,6,0,4,38,48,23,32,24,14,175
POA3896,0,0,0,54,91,38,43,44,22,291
POA3898,4,8,19,105,169,95,59,96,113,635
POA3900,0,0,7,19,30,16,21,37,38,154
POA3902,0,0,3,61,82,60,40,84,49,372
POA3903,6,3,19,109,174,97,108,145,71,708
POA3904,5,3,31,260,496,311,200,295,105,1673
POA3909,156,47,291,1096,1783,978,886,1923,790,7456
POA3910,200,30,357,4116,5562,2381,1656,4413,764,18894
POA3911,26,4,53,619,846,356,269,696,137,2934
POA3912,141,76,359,2681,3639,1693,1162,2912,653,12747
POA3913,37,7,64,581,832,453,277,624,108,2872
POA3915,177,34,309,1529,2166,1016,769,2595,688,8771
POA3916,35,0,52,166,298,157,95,143,57,911
POA3918,31,3,59,662,1038,513,365,830,141,3546
POA3919,3,5,30,605,707,331,259,614,174,2686
POA3920,0,0,0,196,133,52,36,562,40,1015
POA3921,0,0,4,19,30,28,20,18,13,120
POA3922,142,88,339,1418,2499,1237,991,1764,685,8600
POA3923,5,0,16,112,236,120,77,133,70,756
POA3925,47,20,95,658,1119,582,369,635,430,3795
POA3926,39,6,100,524,880,527,360,362,173,2817
POA3927,18,0,36,267,543,303,147,188,122,1571
POA3928,0,4,10,71,111,71,48,67,36,407
POA3929,11,8,32,187,295,173,115,144,123,1027
POA3930,232,44,531,3163,4501,2493,1563,2613,545,14888
POA3931,563,305,1341,4299,6302,2981,1790,5166,1353,21895
POA3933,10,0,25,166,258,139,83,186,33,862
POA3934,275,69,618,3365,4866,2496,1556,3069,675,16033
POA3936,217,78,451,2221,3240,1573,1042,2606,880,11569
POA3937,7,12,33,297,468,215,164,190,119,1448
POA3938,40,14,90,556,867,437,313,545,192,2917
POA3939,311,107,636,2491,3621,1863,1285,3129,1164,13555
POA3940,333,120,665,742,1024,561,393,1400,473,4589
POA3941,205,63,395,2051,3133,1633,1171,2449,1007,11445
POA3942,26,15,83,425,765,388,258,414,216,2463
POA3943,29,13,68,327,575,266,164,318,190,1844
POA3944,9,6,38,112,238,126,92,125,65,759
POA3945,4,0,8,168,224,141,134,153,74,898
POA3946,0,0,9,55,72,31,40,36,21,257
POA3950,108,22,197,820,1059,671,506,949,255,4255
POA3951,0,0,9,166,244,156,109,110,66,850
POA3953,111,33,249,1267,1781,1028,807,1343,456,6675
POA3954,0,6,7,86,87,55,47,39,12,321
POA3956,31,9,60,437,751,393,349,435,207,2563
POA3957,5,0,4,52,61,52,31,38,14,242
POA3958,0,0,4,44,67,26,23,39,28,237
POA3959,10,5,16,185,310,187,127,150,81,1044
POA3960,71,11,136,368,671,386,276,475,213,2388
POA3962,9,9,26,125,242,125,89,149,88,818
POA3964,4,0,3,22,44,35,9,24,3,146
POA3965,0,0,8,27,43,27,35,43,34,204
POA3966,3,0,9,88,125,58,51,94,35,453
POA3967,0,0,5,20,21,17,20,17,8,97
POA3971,59,30,143,542,888,507,475,847,355,3615
POA3975,139,9,163,2376,3066,1401,1099,4873,641,13458
POA3976,122,15,190,3371,3895,1668,1586,8445,1525,20488
POA3977,656,131,1144,16607,21502,9194,7483,28739,4878,88410
POA3978,59,12,100,5365,7573,3295,2747,10488,1447,30926
POA3979,0,0,0,48,92,45,32,46,31,298
POA3980,15,0,43,587,764,364,285,658,205,2860
POA3981,66,24,126,809,1180,489,418,1110,267,4274
POA3984,55,25,122,1057,1612,860,639,1463,500,6133
POA3987,3,0,10,244,349,197,147,257,114,1310
POA3988,5,0,10,175,267,112,137,137,56,890
POA3990,0,0,0,17,33,16,17,12,11,110
POA3991,0,0,0,48,78,57,35,96,38,351
POA3992,4,0,16,221,292,138,124,204,84,1049
POA3995,203,64,423,1682,2616,1407,1075,2414,723,9908
POA3996,125,37,247,978,1778,1024,591,953,292,5613
