POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA3551,117,2445,5357,2233,1602,11756,105,11861
POA3555,531,3412,3044,1008,454,8441,145,8582
POA3556,328,1947,1954,761,461,5453,112,5561
POA3557,0,63,128,58,55,298,3,306
POA3558,14,137,137,62,42,392,8,399
POA3559,0,45,76,45,38,205,3,218
POA3561,65,534,632,285,200,1717,39,1753
POA3562,4,10,38,23,11,90,0,90
POA3563,10,77,116,60,45,311,3,311
POA3564,379,2184,2446,928,556,6493,133,6626
POA3565,0,11,19,13,8,44,0,43
POA3566,6,60,83,40,33,222,7,227
POA3567,10,76,80,55,37,262,9,265
POA3568,52,400,458,163,124,1199,24,1217
POA3570,6,38,104,72,57,267,4,273
POA3571,3,17,39,19,32,107,0,111
POA3572,0,8,9,15,14,43,3,50
POA3573,0,36,36,19,29,125,0,127
POA3575,19,101,93,72,40,320,12,337
POA3576,0,4,10,8,3,28,0,30
POA3579,119,728,746,327,212,2135,67,2206
POA3580,13,132,176,76,40,444,10,449
POA3581,0,5,23,7,11,48,10,54
POA3583,0,9,16,20,9,55,0,59
POA3584,7,90,175,82,39,394,9,397
POA3585,319,1514,1703,550,276,4371,94,4465
POA3586,5,37,106,64,59,266,4,270
POA3588,0,31,58,30,17,142,7,151
POA3589,0,22,45,21,20,109,3,116
POA3590,4,18,42,21,20,111,0,113
POA3591,0,5,28,6,14,62,0,61
POA3594,14,69,83,37,17,219,6,222
POA3595,14,76,94,17,24,231,12,240
POA3596,0,5,7,8,9,32,0,32
POA3597,12,39,58,35,18,160,4,168
POA3599,0,14,13,7,8,51,0,51
POA3607,0,7,21,14,12,55,0,55
POA3608,54,416,414,176,104,1162,25,1186
POA3610,25,160,217,97,83,581,17,595
POA3612,26,249,240,130,94,734,28,762
POA3614,3,49,130,83,48,305,3,313
POA3616,77,622,812,339,235,2085,42,2131
POA3617,0,10,20,18,8,58,0,58
POA3618,9,77,106,45,22,258,6,262
POA3620,173,1049,1183,471,337,3219,67,3288
POA3621,31,253,340,159,100,884,22,899
POA3622,4,21,65,47,36,170,0,176
POA3623,6,122,131,58,46,369,10,374
POA3624,9,61,84,40,23,211,0,217
POA3629,229,1357,1231,496,274,3580,84,3669
POA3630,800,4681,4198,1347,688,11710,262,11969
POA3631,64,939,2045,956,649,4653,70,4724
POA3633,0,19,73,44,47,194,19,214
POA3634,9,101,225,171,123,621,17,640
