POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3775,0,6,0,47,3,0,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,0,0,0,6,5,16,80,21,4,73,9,46,3,33,4,190,19,482
POA3777,0,9,0,82,0,0,0,0,0,0,0,0,0,3,29,35,3,0,0,4,0,0,0,0,0,14,8,26,199,84,6,190,27,96,17,130,24,495,44,1307
POA3778,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,10,0,7,0,0,0,0,0,27
POA3779,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,3,11,4,0,10,4,10,0,14,4,42,12,109
POA3781,0,0,0,33,0,0,0,0,0,0,0,0,0,0,12,19,4,0,0,0,0,0,0,0,0,0,9,10,108,17,3,75,13,43,11,24,10,92,26,408
POA3782,0,7,0,90,0,0,0,3,0,0,0,0,0,0,13,22,0,0,0,0,0,0,0,0,0,4,0,8,185,47,9,135,12,94,9,64,11,323,13,907
POA3783,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,3,3,4,52,13,0,31,8,29,0,20,3,75,15,250
POA3785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,10
POA3786,0,0,0,28,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0,26,8,22,0,16,0,54,13,178
POA3787,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,23,4,20,0,20,4,32,0,126
POA3788,0,0,0,23,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,4,32,14,0,30,8,26,3,29,0,62,9,205
POA3789,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,0,9,0,0,0,19,0,40
POA3791,0,4,0,21,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,37,15,0,34,3,18,4,21,5,64,5,198
POA3792,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,16,15,0,19,6,10,0,16,4,42,9,139
POA3793,0,0,0,25,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,4,0,4,49,22,0,54,13,39,0,31,8,140,11,369
POA3795,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,6,0,21,3,7,3,20,0,55,3,149
POA3796,0,0,0,61,7,0,0,0,0,0,0,0,0,0,20,27,0,0,0,0,0,0,0,0,0,0,5,13,241,44,13,131,21,75,17,76,15,321,29,970
POA3797,0,0,0,19,0,0,0,0,0,0,0,0,0,0,11,21,0,0,0,0,0,0,0,0,0,4,3,4,53,13,0,63,9,33,8,37,7,151,20,388
POA3799,0,0,0,25,0,0,0,0,0,0,0,0,0,5,22,26,0,0,0,4,0,0,0,0,0,3,7,15,92,52,6,86,8,68,8,66,6,191,33,616
POA3802,0,5,0,99,7,0,0,0,5,5,0,3,0,4,47,72,0,0,0,0,0,0,0,0,0,18,11,35,407,94,8,258,36,246,20,173,28,884,70,2223
POA3803,0,0,0,14,0,0,0,0,0,0,0,0,0,4,23,26,0,0,0,0,0,0,0,0,0,6,8,13,150,32,0,105,16,107,9,70,7,335,45,883
POA3804,0,12,0,89,0,0,0,0,0,0,0,0,0,0,21,30,0,0,0,0,0,0,0,0,0,9,0,18,129,41,4,94,5,89,4,77,16,311,20,787
