POA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA3000,191,22,64,87,360,55,5,9,27,94,60,0,26,18,101,56,7,18,17,92,76,7,31,30,138,109,19,34,38,197,177,35,26,60,302,273,27,31,59,393,396,42,54,69,556,489,71,52,85,701,312,53,37,59,466,368,64,35,49,514,735,156,54,72,1015,499,87,18,39,644,339,84,24,21,459,240,52,7,9,298,634,215,29,27,911,199,61,27,7,290,34,0,9,4,41,5243,993,580,767,7582
POA3002,5,0,7,0,10,4,0,0,0,4,0,0,3,0,3,0,0,0,0,6,7,0,5,0,8,4,0,4,0,11,11,0,3,0,14,19,4,0,0,22,25,0,6,3,38,41,0,6,5,57,19,3,0,0,23,41,6,6,7,55,85,4,3,0,93,60,16,3,0,84,68,20,6,0,91,70,13,5,5,93,356,131,18,5,513,36,27,3,0,68,8,0,5,0,9,858,232,84,32,1199
POA3003,20,8,14,0,40,0,0,5,0,9,9,0,3,3,23,0,0,0,0,0,12,6,5,0,25,13,5,7,3,27,25,12,9,3,51,39,10,10,11,64,61,19,16,4,96,94,9,12,10,129,76,15,13,3,105,85,15,8,0,107,178,55,13,10,257,128,39,6,0,174,107,42,8,4,160,80,35,0,4,126,216,151,12,6,385,34,18,10,0,63,0,5,0,0,3,1189,433,155,72,1848
POA3004,35,7,21,0,64,8,0,6,4,9,5,5,7,4,16,3,0,0,0,7,19,3,5,0,27,11,3,17,3,33,39,7,10,4,61,35,9,15,0,70,64,10,18,4,92,99,26,21,7,157,70,11,17,11,108,107,19,10,9,147,267,60,44,17,385,241,45,11,13,316,182,56,15,3,254,104,48,3,3,162,477,223,21,9,735,69,32,17,3,121,20,3,0,0,25,1844,572,276,90,2785
POA3006,49,15,31,12,109,22,4,13,0,38,8,3,11,0,25,14,12,10,0,33,30,4,20,0,49,21,11,26,9,71,54,11,26,12,96,85,21,25,7,140,180,27,43,30,275,275,45,38,27,387,193,37,39,21,291,209,40,30,16,302,563,142,56,42,802,414,70,19,25,533,341,85,28,15,469,251,58,7,10,331,758,309,36,23,1125,120,67,24,0,211,23,6,3,3,27,3615,962,479,251,5311
POA3008,63,10,27,18,115,6,4,6,0,19,13,0,5,0,31,10,0,8,0,22,19,3,11,8,44,20,13,15,9,54,58,6,19,3,84,89,5,21,0,113,120,35,26,9,182,152,46,30,14,240,124,49,14,10,199,174,56,16,17,256,362,145,23,15,546,259,81,12,18,363,262,86,9,4,361,147,82,3,4,238,566,266,23,11,864,82,50,6,0,144,10,0,0,5,17,2535,939,286,139,3899
POA3011,33,5,15,6,53,14,0,9,0,19,17,4,5,4,31,8,5,21,0,38,39,17,40,8,99,24,17,37,5,91,115,27,54,16,216,88,47,85,24,241,102,69,71,22,257,159,104,68,27,358,135,57,53,9,248,118,81,53,15,267,342,181,104,19,654,301,179,28,19,532,259,200,26,15,497,194,152,15,7,371,485,568,39,13,1102,74,75,43,6,201,13,4,9,0,32,2518,1800,763,217,5297
POA3012,47,7,23,3,88,21,3,6,0,35,11,6,17,0,42,9,0,28,3,50,42,13,42,3,98,37,28,47,4,114,167,48,64,6,282,91,62,98,21,269,105,84,118,15,328,150,158,107,26,441,105,137,82,8,340,120,142,80,17,353,305,325,141,32,797,315,336,54,16,724,246,395,46,10,698,221,259,16,3,496,463,848,39,9,1358,82,130,69,9,281,44,13,14,4,77,2588,3002,1083,195,6868
POA3013,32,4,5,4,51,8,0,0,0,15,4,0,3,0,14,5,0,10,0,9,18,4,11,0,37,13,11,26,0,46,82,7,29,4,126,53,18,46,8,119,49,38,45,4,136,69,46,47,8,175,60,52,46,3,157,67,56,44,4,169,190,138,72,17,416,171,173,31,13,386,165,200,17,0,383,145,184,5,3,339,420,987,45,9,1459,49,93,47,3,188,14,8,4,0,20,1617,2016,522,87,4245
POA3015,41,0,13,0,55,16,0,0,0,14,7,0,5,0,24,9,4,5,0,18,30,3,22,0,55,17,7,24,4,57,95,22,38,6,161,61,19,41,9,123,74,49,71,9,200,84,69,65,12,224,60,52,53,4,167,60,79,51,6,201,158,227,87,7,478,160,226,44,13,438,167,292,48,3,504,160,260,14,3,445,460,1187,38,10,1693,51,139,53,0,243,14,10,8,0,34,1716,2649,680,89,5133
POA3016,20,7,9,0,43,11,0,10,0,22,9,3,4,0,15,6,4,8,0,15,33,0,12,0,49,31,3,21,4,60,100,9,26,3,144,76,12,39,9,135,100,21,25,11,158,131,45,44,7,233,72,37,52,6,162,70,40,36,0,146,177,136,83,9,391,165,147,33,6,342,120,200,33,5,356,74,160,7,0,245,362,1232,57,0,1649,56,117,46,3,220,19,14,10,0,39,1621,2188,566,57,4430
POA3018,39,0,12,0,54,14,0,4,0,23,17,0,6,5,27,3,5,6,0,20,46,0,19,0,64,20,10,31,0,57,125,10,32,0,170,113,23,42,9,192,90,35,50,9,191,138,47,56,4,246,66,62,48,3,175,73,55,34,5,175,160,183,83,7,433,129,172,35,3,335,142,194,24,5,361,88,149,5,4,248,237,570,24,0,829,49,87,53,0,190,26,5,7,3,42,1578,1613,567,63,3814
POA3019,31,12,20,4,67,4,3,9,0,16,9,7,15,4,34,3,0,26,0,33,27,3,31,3,68,19,21,37,0,81,89,35,46,5,185,51,43,69,10,176,43,68,65,13,188,56,86,62,9,211,33,70,33,4,140,36,64,30,7,134,85,129,38,16,271,70,113,20,6,213,53,70,21,5,141,37,49,3,0,91,66,94,9,0,173,22,65,34,3,124,15,14,13,3,37,735,960,589,95,2380
POA3020,167,62,87,10,326,44,16,18,5,81,23,34,59,9,120,27,27,97,3,155,153,55,124,8,333,74,76,171,10,336,532,137,178,21,873,287,235,239,36,793,231,324,234,37,825,343,434,280,38,1091,166,351,180,28,732,159,364,146,22,687,331,710,239,44,1321,249,519,106,20,893,171,400,71,14,655,124,255,27,4,418,207,504,55,10,776,123,284,122,15,548,73,43,53,4,181,3499,4822,2482,335,11142
POA3021,231,66,170,12,483,47,18,43,0,108,46,37,96,9,194,40,43,146,6,237,229,113,177,16,536,110,145,245,7,507,834,261,274,32,1403,417,395,397,44,1248,341,542,362,40,1280,391,588,326,55,1352,213,489,223,30,949,219,474,168,32,892,377,837,220,53,1483,189,569,139,21,923,120,366,84,19,585,67,211,55,10,334,95,339,51,11,494,140,373,177,19,710,120,62,87,8,273,4209,5942,3430,425,14007
POA3022,7,3,3,0,16,5,0,0,0,4,6,0,5,0,7,0,0,10,0,9,7,3,6,0,20,4,5,12,0,23,24,10,13,3,47,14,14,16,0,47,18,18,18,3,55,25,18,25,3,71,14,27,11,0,50,21,22,14,0,57,27,53,10,3,98,25,38,8,0,73,20,17,4,0,41,14,17,0,0,27,13,31,0,0,50,7,22,12,0,39,4,6,4,0,14,248,307,168,28,748
POA3023,236,75,100,8,410,37,13,22,0,71,39,32,65,4,132,25,32,90,4,152,130,77,109,9,321,110,113,163,5,388,541,230,223,15,1001,306,318,279,20,921,262,461,284,22,1028,318,659,317,36,1324,209,632,198,21,1061,198,651,202,23,1086,511,1470,289,34,2310,338,1203,154,20,1718,258,949,88,21,1318,165,663,49,10,886,225,1497,87,13,1823,157,564,152,11,879,70,114,53,9,241,4134,9738,2926,284,17074
POA3024,79,30,39,0,153,16,5,7,0,22,11,8,17,0,37,10,8,40,0,60,32,17,63,3,123,42,35,137,0,225,151,88,143,6,388,111,141,215,12,483,134,232,172,6,551,156,369,182,16,726,132,378,110,17,631,139,378,92,10,614,384,1013,135,13,1535,221,660,53,19,948,210,490,28,11,739,97,339,15,0,453,177,627,10,3,821,97,277,98,5,477,29,52,28,3,109,2239,5153,1591,123,9101
POA3025,28,12,19,0,59,21,4,3,0,26,5,4,10,0,14,4,3,9,0,24,46,15,30,0,92,22,15,35,0,77,165,39,46,7,251,76,35,62,6,178,59,55,61,9,187,62,83,55,12,213,40,82,49,3,173,44,87,43,7,187,107,174,63,8,346,107,170,34,3,314,108,169,17,6,297,72,113,15,3,207,145,353,18,7,521,39,91,41,5,175,28,8,5,0,48,1170,1527,617,77,3385
POA3026,19,9,16,0,42,0,0,0,0,3,3,0,6,0,13,0,0,13,0,20,13,5,17,0,35,7,15,21,0,39,34,30,25,0,92,17,30,34,6,81,24,77,35,3,136,28,99,25,4,151,22,88,31,0,139,22,99,18,5,140,78,216,30,4,322,41,201,15,0,256,22,175,10,0,209,26,107,7,0,141,39,190,14,0,244,18,77,23,0,121,8,12,3,0,22,419,1422,336,20,2196
POA3027,41,9,4,0,53,10,0,6,0,14,3,3,4,0,12,3,3,7,0,13,4,5,6,0,19,8,12,15,0,31,21,18,23,0,62,31,37,16,0,87,29,43,15,3,93,33,67,29,9,139,39,71,19,4,128,30,86,19,9,146,85,199,32,11,328,79,164,9,11,262,61,179,16,4,255,47,122,5,3,173,110,389,15,3,517,20,72,21,0,111,9,8,6,0,16,664,1484,258,45,2458
POA3028,84,24,26,0,137,16,4,3,0,26,22,18,28,0,61,21,7,26,3,62,70,23,52,4,144,60,31,92,0,184,335,72,107,8,526,181,87,172,17,458,194,147,177,18,533,221,223,141,14,599,122,218,114,16,469,134,251,112,14,504,332,525,146,28,1026,241,478,75,9,795,169,380,30,0,589,110,250,15,4,377,159,498,36,5,696,78,190,79,11,357,66,41,25,4,129,2611,3458,1449,152,7677
POA3029,459,104,146,10,714,72,18,34,5,126,60,42,76,0,186,55,42,107,3,208,168,126,165,13,470,147,233,289,17,680,634,399,352,26,1414,494,701,384,48,1619,566,1154,487,44,2251,670,1637,415,80,2799,511,1528,315,56,2411,539,1547,260,45,2392,1228,3535,427,96,5288,824,2515,189,45,3572,497,1882,131,32,2545,339,1111,44,22,1519,480,2131,100,20,2729,283,1044,226,17,1569,133,176,84,13,408,8161,19923,4242,583,32901
POA3030,402,103,142,9,652,63,17,45,3,133,57,26,69,0,162,43,40,103,12,196,193,93,197,13,499,150,128,307,11,599,643,299,429,21,1387,447,411,483,28,1358,578,703,503,42,1826,653,990,457,76,2182,462,967,386,45,1862,497,1050,293,31,1865,1246,2808,493,80,4629,960,2062,219,41,3273,668,2109,134,26,2937,445,1264,56,18,1776,787,3654,130,21,4583,297,967,282,11,1558,142,140,88,10,386,8728,17828,4815,491,31863
POA3031,26,0,17,0,52,7,4,5,0,19,5,5,23,3,35,5,4,34,0,45,33,15,43,8,97,14,3,51,4,79,84,16,61,13,170,46,39,62,13,163,74,35,65,21,199,112,37,39,11,201,86,54,40,6,183,111,40,45,5,200,234,113,68,15,430,195,122,18,18,350,197,154,20,8,373,173,125,9,3,314,482,639,43,8,1168,65,70,42,8,181,14,14,13,0,36,1959,1474,701,138,4270
POA3032,48,13,31,8,89,17,5,9,0,35,14,4,33,6,60,8,4,27,0,45,53,18,55,3,129,51,26,62,7,148,186,35,68,8,297,128,51,81,14,276,156,100,91,24,368,216,130,80,14,443,149,109,64,18,345,141,134,78,11,368,417,326,105,37,886,338,298,46,15,693,288,336,48,9,687,220,266,12,8,507,596,1323,76,14,2003,87,173,64,3,335,32,27,17,0,85,3140,3387,1060,212,7797
POA3033,53,5,12,0,76,20,4,3,0,27,9,3,9,0,23,3,5,20,0,29,53,7,20,0,81,33,9,26,3,71,266,13,36,4,317,118,32,54,9,217,134,59,68,3,268,107,75,69,11,259,58,98,54,4,211,64,80,48,3,200,145,284,71,3,502,108,245,60,3,420,86,249,37,3,372,62,191,15,3,272,117,566,27,0,710,42,106,44,4,195,33,31,5,0,75,1515,2071,680,59,4320
POA3034,68,9,9,0,79,23,5,6,0,31,7,8,3,0,21,10,0,10,0,27,53,0,19,3,75,26,15,19,8,66,228,23,36,3,285,114,33,67,9,224,84,68,60,4,219,90,90,64,6,253,48,72,42,7,166,35,69,40,9,148,112,207,51,4,369,87,182,27,6,299,61,175,19,4,257,47,139,9,0,194,92,401,27,4,529,29,86,37,0,153,31,11,7,0,41,1260,1577,553,63,3456
POA3036,20,4,6,0,27,10,0,0,0,11,3,0,3,0,10,4,0,3,0,13,22,5,6,0,30,8,0,14,0,26,68,4,15,0,84,51,10,18,0,84,57,24,22,0,99,72,35,21,0,125,17,29,22,7,72,29,21,13,0,67,59,85,28,0,171,48,92,17,0,156,33,92,16,0,137,30,98,5,3,133,60,286,16,0,368,21,50,17,0,91,15,12,4,0,28,640,852,225,7,1732
POA3037,148,50,46,0,244,49,7,11,0,74,25,20,31,0,77,23,20,43,3,91,108,43,77,0,236,68,58,146,6,280,478,118,159,6,762,244,201,181,24,642,235,318,214,15,777,269,470,236,14,993,158,435,175,15,789,189,499,121,14,829,433,1180,276,30,1922,321,1069,119,15,1524,210,916,92,9,1231,128,663,40,8,828,180,1368,75,5,1630,98,499,129,11,744,60,106,35,4,196,3426,8040,2212,170,13854
POA3038,123,24,22,0,173,33,4,5,0,38,33,12,20,0,61,20,0,24,0,47,123,10,31,0,165,67,27,54,3,146,418,45,74,4,540,234,73,96,12,414,209,145,104,4,464,226,168,119,6,522,106,200,88,4,400,112,206,74,6,405,252,500,137,4,898,201,496,82,4,781,131,459,58,5,657,78,305,31,0,417,157,925,50,0,1133,67,249,72,10,400,57,30,14,3,104,2639,3899,1150,74,7759
POA3039,32,4,16,6,48,13,0,7,0,22,11,0,7,0,18,3,0,12,0,13,37,0,9,4,47,15,3,18,3,32,89,11,24,4,124,64,18,34,8,129,94,21,48,10,179,108,41,42,12,204,69,43,29,11,156,108,42,32,8,189,243,148,53,16,468,210,152,24,18,402,162,161,30,3,349,127,139,9,4,278,368,881,26,5,1290,58,81,34,0,174,17,11,6,0,36,1826,1767,462,106,4165
POA3040,56,9,17,4,86,14,0,6,0,33,10,4,8,0,26,4,0,9,0,18,41,13,16,0,76,26,15,33,0,73,144,14,41,7,204,105,26,60,4,194,128,61,68,6,275,190,89,79,15,368,130,105,62,8,305,124,97,56,11,283,323,272,122,19,731,255,320,70,10,660,222,332,45,8,616,166,251,23,7,449,444,1679,69,13,2204,75,166,58,0,308,36,33,9,0,74,2494,3497,864,118,6972
POA3041,20,10,5,0,33,5,0,0,0,7,6,0,3,3,14,4,3,3,0,7,25,0,10,0,41,25,3,13,3,42,88,4,23,3,118,73,16,41,0,130,98,44,28,9,172,98,47,48,5,195,66,40,49,0,156,65,68,40,4,175,131,151,58,7,354,110,187,30,6,330,77,240,18,0,345,55,160,13,5,231,152,793,35,0,979,36,103,34,0,171,18,12,4,0,42,1156,1890,455,52,3549
POA3042,38,0,18,0,57,13,3,5,0,21,15,3,7,0,24,8,5,7,0,22,47,13,17,0,75,20,12,25,3,64,221,20,45,5,294,116,33,69,12,225,124,56,99,19,299,118,70,69,13,273,63,83,79,11,233,70,110,58,7,238,156,253,123,20,553,148,275,46,6,478,124,263,20,8,417,76,233,16,0,332,189,590,39,0,822,59,102,49,0,207,40,24,16,3,83,1649,2153,806,111,4719
POA3043,48,13,20,0,79,25,3,3,0,31,8,0,15,0,26,8,11,17,0,37,69,8,34,0,110,38,14,38,3,99,278,61,53,6,397,169,72,105,6,348,140,102,101,12,349,135,146,108,15,403,84,143,83,0,310,93,130,74,11,308,178,333,101,11,628,152,278,54,11,495,110,228,41,0,387,71,156,18,5,246,96,335,21,7,447,64,128,47,0,240,39,19,5,4,74,1799,2188,943,91,5020
POA3044,67,14,21,3,109,19,4,0,0,25,3,5,14,0,24,11,6,22,0,37,58,8,35,0,100,32,25,60,0,116,207,36,52,9,308,113,64,80,11,265,139,100,117,19,368,186,138,98,10,438,124,163,95,8,390,130,176,83,14,401,330,467,146,26,966,309,397,67,9,783,262,516,41,12,832,198,345,26,8,577,376,1148,40,6,1569,84,164,78,3,327,48,28,12,6,94,2697,3790,1084,152,7727
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,66,45,33,6,151,24,4,5,0,37,8,20,11,0,45,19,15,40,7,71,76,32,74,5,189,60,54,85,0,201,356,112,108,14,585,197,124,154,19,501,228,241,175,25,670,249,262,155,34,699,165,242,120,20,552,192,301,95,13,601,445,569,165,29,1218,382,461,85,21,947,314,434,50,13,810,205,280,20,12,514,329,714,34,11,1093,120,206,87,5,421,68,53,32,8,150,3515,4155,1548,248,9461
POA3047,43,43,49,4,138,15,12,11,0,36,8,24,36,0,70,12,10,59,0,82,60,70,69,0,199,40,85,100,4,224,222,152,110,10,487,116,202,156,26,499,74,258,155,17,507,130,269,120,14,527,67,167,63,16,309,69,178,56,12,318,124,274,67,14,488,66,169,37,8,280,44,100,12,7,164,19,56,3,0,81,14,107,12,3,139,42,122,58,10,232,36,52,41,3,128,1213,2349,1202,148,4914
POA3048,47,46,42,3,136,13,6,11,0,20,11,15,34,3,66,8,18,47,0,72,38,39,67,0,150,37,62,74,3,181,221,133,99,0,447,117,161,120,21,416,80,218,117,12,429,97,247,111,15,458,38,205,70,10,326,44,162,53,7,274,77,296,84,9,459,48,177,48,3,275,19,130,26,0,181,9,67,12,3,95,11,96,12,0,121,33,149,49,9,246,25,43,27,9,104,979,2281,1098,97,4458
POA3049,26,17,10,0,48,9,0,3,0,14,7,3,9,0,18,3,6,5,0,14,25,4,20,0,50,16,11,25,0,50,100,26,47,0,170,69,32,58,5,162,49,27,48,3,130,82,73,45,10,208,47,78,38,0,160,44,76,35,0,160,112,173,56,0,345,106,177,29,4,312,66,157,21,3,240,36,99,7,0,143,53,235,21,0,315,27,77,25,4,128,16,16,3,0,37,889,1278,509,31,2706
POA3051,27,4,15,8,53,5,0,3,4,15,12,0,21,0,36,3,0,21,0,23,14,4,29,0,58,13,12,39,0,69,61,15,33,12,121,45,23,33,7,105,73,33,47,11,168,87,37,53,10,184,72,38,35,10,156,73,41,30,7,152,185,85,68,13,343,182,86,18,6,292,150,88,10,7,254,110,80,4,5,201,351,333,30,8,718,45,53,32,0,127,13,4,11,4,27,1527,935,530,124,3115
POA3052,9,4,3,4,17,0,4,0,0,7,0,0,4,3,9,4,0,0,0,6,0,3,0,0,11,0,0,5,5,17,12,4,7,5,32,19,11,11,4,36,19,6,12,3,40,45,11,7,3,70,34,13,8,0,55,32,12,5,3,54,73,23,20,3,123,76,32,4,6,111,53,18,3,0,75,33,17,5,0,57,117,115,12,0,254,22,26,7,0,51,0,6,0,0,9,558,307,123,38,1032
POA3053,55,4,14,19,99,11,3,3,4,26,11,0,21,11,39,11,0,12,4,32,26,8,20,11,63,31,12,24,11,81,48,11,22,18,101,54,14,38,17,120,87,24,22,28,155,123,21,32,18,191,64,20,19,10,119,88,18,18,9,134,206,56,24,16,297,152,35,9,11,212,122,43,7,11,190,93,15,4,3,114,251,159,13,4,424,51,29,21,3,102,5,3,11,0,25,1495,481,350,208,2533
POA3054,3,4,5,0,6,6,0,4,0,4,0,0,7,0,5,3,0,9,0,15,16,0,14,0,29,3,0,12,3,18,25,4,11,5,46,28,3,16,6,54,35,9,16,4,71,57,8,18,9,98,37,13,17,12,80,61,14,20,0,96,125,44,28,0,194,122,45,10,0,178,97,54,9,3,160,80,36,5,8,129,295,346,19,4,663,29,40,16,0,87,7,4,0,0,13,1031,632,228,61,1951
POA3055,24,10,10,8,42,4,0,3,4,12,6,0,4,0,14,3,3,15,0,24,28,9,5,5,41,11,10,18,3,46,94,12,33,0,137,56,23,50,6,133,65,30,42,13,158,122,56,41,5,224,76,55,33,5,179,94,43,35,4,178,224,147,56,10,436,192,130,30,3,354,144,139,16,10,306,116,97,12,8,233,238,527,21,12,799,44,62,18,0,130,14,12,6,0,37,1564,1367,460,107,3495
POA3056,29,12,6,6,48,4,4,0,0,9,6,3,11,0,20,6,0,12,0,21,47,4,19,3,75,34,9,28,5,73,161,19,35,7,226,86,21,63,13,188,117,44,68,17,245,187,55,62,10,315,129,47,47,11,236,137,55,51,17,257,395,165,98,31,689,362,172,22,26,582,373,210,20,13,614,284,155,11,0,455,626,788,27,10,1460,97,85,48,3,234,16,8,7,0,33,3085,1860,653,182,5780
POA3057,11,0,9,0,22,0,0,4,0,9,0,0,0,4,6,7,0,10,0,13,18,0,7,3,30,7,3,17,0,32,71,7,18,5,106,38,16,21,5,83,46,13,42,8,112,84,20,31,6,140,78,23,28,9,139,80,22,30,6,138,234,105,79,11,426,227,87,14,11,342,214,99,15,5,339,190,91,5,6,285,376,353,25,9,762,46,29,24,4,95,9,3,0,0,15,1744,897,371,99,3108
POA3058,82,16,27,6,131,30,3,9,0,41,13,8,19,0,42,7,3,24,0,35,74,19,37,9,140,44,21,71,3,142,309,51,84,15,466,152,63,139,22,374,178,118,146,14,452,218,151,109,23,507,136,163,124,18,440,190,182,75,10,455,403,457,159,30,1047,373,461,78,16,929,283,492,51,12,841,209,359,24,8,595,506,1305,48,16,1879,116,181,75,5,374,39,40,16,0,93,3364,4090,1322,210,8990
POA3059,50,25,14,0,100,22,3,4,0,33,13,18,8,0,36,10,6,19,0,41,36,14,19,0,69,30,31,36,0,98,157,57,51,0,264,117,72,50,5,246,96,151,75,4,320,119,191,68,3,384,79,199,54,0,333,75,203,35,3,313,202,501,99,10,814,172,425,43,5,646,133,379,40,4,551,82,301,18,0,399,136,719,24,8,883,52,210,41,0,305,30,35,7,0,80,1610,3552,712,53,5923
POA3060,35,18,12,0,69,10,3,7,0,20,8,8,9,0,23,3,12,17,0,29,36,15,30,0,81,29,44,38,4,110,186,71,52,0,310,82,91,56,11,245,61,129,77,6,276,69,167,51,6,294,44,136,44,7,227,54,112,23,6,199,104,271,63,6,440,90,156,40,8,292,45,141,17,6,207,51,89,10,0,149,67,188,13,3,266,39,93,42,3,175,13,18,12,3,44,1027,1756,603,74,3459
POA3061,14,12,4,0,31,5,8,0,3,7,3,0,4,0,9,0,7,11,0,21,19,19,11,0,45,14,16,14,0,38,103,31,23,0,155,26,46,38,0,119,36,56,25,5,118,30,80,26,0,135,11,52,12,0,81,7,50,11,0,69,35,65,19,0,124,8,43,9,0,71,9,23,8,0,34,3,11,4,0,18,0,33,0,0,39,5,48,16,0,69,8,8,8,0,24,337,605,246,25,1209
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,0,0,6,9,0,0,0,8,5,4,0,0,6,4,6,0,0,7,0,5,3,0,5,3,17,3,0,25,8,14,0,0,22,9,7,0,0,17,0,7,0,0,7,0,22,0,0,25,3,3,0,0,11,3,0,0,0,6,48,80,20,5,152
POA3064,347,182,133,6,663,43,36,25,10,105,42,73,76,3,194,38,70,98,0,208,127,260,194,4,585,138,344,291,7,783,604,606,393,15,1620,373,825,449,35,1688,390,1278,468,40,2173,489,1646,428,50,2618,374,1452,318,31,2179,448,1464,233,24,2167,1090,2944,366,65,4463,665,2011,250,38,2964,389,1481,98,23,1991,237,854,67,15,1173,312,1486,106,8,1912,210,973,218,16,1426,113,219,71,7,407,6443,18193,4285,386,29309
POA3065,12,0,11,4,20,3,0,4,0,8,5,3,12,0,19,0,3,17,3,27,15,6,37,4,60,11,10,28,0,42,33,17,25,3,76,21,20,37,14,96,39,22,38,7,101,46,23,17,7,91,42,16,7,5,68,43,16,28,3,78,118,32,21,8,175,126,38,4,5,177,126,39,6,7,178,132,22,3,0,158,486,238,19,12,762,34,38,28,0,103,3,8,11,0,23,1292,548,364,76,2273
POA3066,6,0,11,0,22,0,0,4,0,6,3,3,21,0,28,0,0,25,0,31,9,9,34,4,51,13,6,24,3,50,41,14,31,5,93,20,17,40,7,83,32,15,24,0,71,48,11,19,3,78,35,11,6,9,58,51,14,8,0,73,158,29,12,7,216,157,34,4,14,210,168,32,6,3,212,146,31,6,4,176,388,125,12,5,528,50,28,16,0,94,0,9,5,5,19,1319,406,315,68,2109
