POA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA3430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,6,3,0,0,0,8,0,0,0,0,0,0,3,0,0,5,3,5,0,0,3,4,3,0,0,3,0,0,0,0,0,0,0,0,0,4,3,16,0,0,19,0,4,0,0,9,0,0,0,0,4,27,35,16,0,76
POA3431,7,0,5,0,11,4,0,0,0,4,0,0,0,0,0,4,0,3,0,9,12,0,5,0,18,4,0,10,0,20,37,4,8,0,48,40,13,9,0,58,53,17,6,0,73,36,23,14,0,76,33,24,17,0,83,26,34,12,0,67,60,75,23,0,163,47,81,0,0,131,31,93,5,0,126,14,69,0,4,87,57,146,3,3,213,13,41,13,0,71,9,3,3,0,13,483,626,151,10,1273
POA3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,4,0,0,4,0,0,0,0,5,0,3,0,0,4,0,4,3,0,9,4,4,0,0,7,0,0,0,0,0,22,26,6,0,52
POA3433,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,6,0,4,0,0,7,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,4,0,3,0,4,0,0,0,0,6,4,4,0,0,6,0,0,0,0,0,4,10,0,0,8,0,0,0,0,0,0,0,0,0,0,24,28,11,0,59
POA3434,6,4,0,0,12,5,0,6,0,9,3,0,4,0,10,3,0,10,0,12,15,0,11,0,29,18,3,13,0,31,53,4,21,0,85,48,5,30,0,84,38,25,24,4,94,68,36,17,0,125,38,31,14,0,95,43,50,7,0,98,81,137,23,0,243,71,125,7,0,206,68,118,5,0,185,38,72,0,0,114,68,147,7,0,224,25,61,12,0,97,11,0,0,0,12,698,837,212,10,1754
POA3435,6,0,0,0,6,3,0,0,0,3,4,0,3,0,8,3,0,7,0,6,8,0,7,0,20,3,3,11,0,23,37,0,13,0,56,23,3,6,4,32,28,10,14,3,57,40,25,6,0,78,15,23,9,0,51,25,31,3,0,61,43,80,10,0,135,35,45,0,0,86,26,48,11,0,76,13,27,3,0,44,27,72,9,0,111,17,41,15,0,66,8,0,4,0,14,383,406,128,11,929
POA3437,15,7,5,0,25,21,0,0,0,23,10,0,0,0,8,4,0,9,0,16,29,0,11,0,38,16,7,26,0,50,85,7,10,0,107,65,10,34,0,114,92,29,31,0,159,106,39,32,0,179,74,40,34,0,151,67,82,22,0,169,123,185,46,3,360,105,202,20,6,326,101,205,15,0,325,59,173,6,0,241,148,562,12,4,723,47,136,41,0,215,20,12,4,0,37,1187,1696,368,14,3271
POA3438,4,0,0,0,5,5,0,0,0,6,6,0,0,0,6,0,0,0,0,0,4,0,6,0,13,0,3,0,0,3,15,3,3,0,25,11,3,5,0,25,21,8,10,0,37,25,6,6,0,40,13,13,11,0,33,18,19,3,0,42,23,52,6,0,81,21,46,0,0,69,12,48,6,0,62,5,36,0,0,43,33,106,3,4,151,9,25,8,0,34,6,0,0,0,7,224,362,71,6,674
POA3440,7,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,6,0,4,0,8,4,0,0,0,5,8,0,3,0,16,19,0,4,0,23,16,3,4,0,24,17,3,7,0,28,9,18,4,0,29,16,8,0,0,28,11,33,8,0,56,24,27,8,0,56,12,27,4,0,48,11,28,0,0,38,51,108,5,0,155,11,23,3,0,34,0,0,0,0,0,233,282,60,6,576
POA3441,4,6,0,0,8,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,12,0,0,0,17,11,0,6,0,15,14,3,0,0,15,26,4,0,0,31,9,0,4,0,11,8,7,0,0,19,16,13,3,0,28,8,24,3,0,34,15,19,0,0,32,16,18,0,0,31,44,77,3,0,125,7,23,8,0,34,3,5,0,0,5,206,188,26,0,423
