POA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
POA3000,0,0,0,45,3,0,0,0,0,45,6,29,1769,2116,213,130,57,19,3,4341,0,0,0,9,4,4,0,3,0,18,0,0,4,7,0,0,3,0,0,20,0,0,41,80,20,27,20,4,3,196,0,0,8,11,5,0,0,0,0,29,0,0,8,38,5,3,0,0,0,53,0,0,6,25,3,5,4,7,0,47,0,0,3,8,3,6,8,0,0,24,0,3,134,221,21,28,9,4,0,417,26,49,376,995,21,14,6,0,0,1487,0,4,619,358,17,17,11,0,0,1029,4,4,3,59,3,4,0,0,0,77,0,0,0,7,0,0,0,0,0,6,0,0,0,20,5,4,0,0,0,35,0,0,15,53,4,0,4,3,0,78,0,0,49,189,17,7,6,0,0,264,0,0,101,442,29,10,0,0,0,593,0,0,0,3,5,0,0,0,0,6,0,9,528,825,65,54,29,6,3,1519
POA3002,0,0,0,4,0,0,0,0,0,4,0,0,7,33,11,6,0,0,0,57,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,32,13,19,20,10,5,96,0,0,0,4,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,10,0,0,0,3,0,0,0,5,0,13,0,0,0,0,0,3,3,0,0,10,0,0,0,3,3,0,0,0,0,15,0,0,0,3,0,3,6,0,0,10,0,0,0,3,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,7,0,0,0,12,0,4,0,0,0,21,0,0,0,3,0,5,7,3,4,18,0,0,0,7,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,8,4,0,0,35
POA3003,0,0,0,12,0,0,0,0,0,16,0,3,122,299,45,22,7,10,0,509,0,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,8,0,0,10,31,10,5,7,4,0,68,0,0,0,9,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,14,0,0,0,8,0,4,0,0,0,14,0,3,8,41,9,8,0,0,0,60,7,12,41,176,4,3,0,0,0,246,0,0,17,23,0,0,0,0,0,38,0,0,0,16,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,13,0,0,3,4,0,24,0,0,8,30,4,3,0,0,0,48,0,0,12,76,4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,11,102,5,4,7,0,0,141
POA3004,0,0,0,16,0,0,0,0,0,16,3,21,57,261,61,49,17,10,0,471,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,3,0,3,0,17,0,3,12,79,16,38,27,12,4,189,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,3,0,0,31,0,0,3,14,4,0,11,3,3,39,0,0,0,0,3,0,3,0,6,8,0,0,9,32,7,3,9,0,0,60,4,7,11,146,10,9,4,5,0,199,0,0,9,40,11,4,5,4,0,75,0,0,4,46,6,0,4,0,0,59,0,0,0,0,0,0,0,0,0,4,0,0,4,99,0,0,0,0,0,111,0,0,0,21,3,3,3,7,0,39,0,4,0,22,7,4,0,0,4,49,0,0,3,37,7,0,0,0,0,50,0,0,0,3,0,0,0,0,0,9,0,3,15,104,14,16,13,4,0,164
POA3006,0,0,0,36,5,0,0,0,0,47,0,12,240,774,103,83,35,10,4,1250,0,0,0,8,0,3,0,0,0,13,0,0,0,10,0,0,0,0,0,11,0,6,27,144,28,29,26,12,3,275,0,0,0,14,0,0,0,0,0,20,0,0,9,37,4,0,0,3,0,56,0,0,5,26,4,0,0,0,0,45,0,0,3,8,0,3,8,0,0,25,0,4,32,92,9,10,15,0,0,167,13,41,148,700,22,24,9,0,0,954,0,6,84,216,25,11,9,3,0,345,3,4,9,104,10,5,3,0,0,136,0,0,0,9,4,0,0,0,0,17,0,0,7,49,3,0,0,0,0,64,0,0,4,43,0,13,10,0,4,74,0,0,17,91,26,6,3,0,0,141,0,0,16,219,17,6,0,0,0,263,0,0,3,0,3,0,0,0,0,8,0,0,65,280,24,25,24,4,0,427
POA3008,0,0,0,12,3,3,0,0,0,20,0,7,259,678,77,88,13,7,4,1136,0,0,0,3,0,6,0,0,0,6,0,0,0,5,0,3,3,0,0,14,0,0,8,34,16,20,20,9,0,119,0,0,0,13,4,0,0,0,0,17,0,3,0,19,3,0,0,0,0,29,0,0,0,19,3,3,5,0,0,31,0,0,0,4,5,0,6,0,0,16,0,3,18,80,14,10,3,0,0,125,44,44,39,799,18,17,0,4,0,961,0,0,13,57,3,0,8,0,0,88,0,0,6,62,4,0,0,0,0,72,0,0,0,3,0,0,0,0,0,8,0,0,0,8,0,6,5,0,0,15,0,0,0,25,3,0,10,5,0,47,0,4,3,60,10,0,0,0,0,81,0,0,15,136,10,3,0,0,0,167,0,0,0,5,0,0,0,0,0,3,0,5,37,137,12,9,14,0,0,206
POA3011,0,0,0,7,3,0,4,0,0,15,0,0,14,95,33,36,26,14,14,229,0,0,0,6,5,12,9,10,0,39,0,0,0,3,0,4,0,6,0,11,0,9,9,119,40,33,14,5,5,241,0,0,3,9,3,0,0,0,0,18,0,0,0,8,0,0,0,0,0,14,0,0,6,13,10,4,0,10,0,49,0,0,0,0,7,7,20,44,18,97,0,0,3,35,3,8,0,0,0,56,0,17,45,208,8,4,3,3,3,310,0,3,7,44,4,4,3,4,0,70,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,5,0,0,0,12,0,0,0,18,9,4,0,0,0,33,0,0,0,14,0,5,13,23,28,82,0,0,4,33,16,0,0,0,0,51,0,0,5,25,4,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,14,85,21,10,7,0,0,140
POA3012,0,0,0,14,4,3,5,0,0,31,0,3,13,105,31,39,25,10,0,233,0,0,0,3,8,8,25,18,6,65,0,3,4,7,0,4,8,3,0,21,3,7,12,122,37,26,20,12,8,250,0,0,0,12,5,0,0,0,0,20,0,0,0,10,5,3,0,0,0,19,0,0,0,18,6,4,17,6,7,55,0,0,3,6,4,14,28,48,22,120,0,0,3,43,6,4,0,0,0,54,0,21,28,233,16,6,7,7,4,322,0,0,6,57,5,5,0,0,0,74,0,0,0,13,3,0,0,0,0,22,0,0,0,3,0,0,0,0,0,9,0,7,3,19,4,3,3,3,0,38,0,0,0,17,0,16,40,56,52,180,0,0,6,23,7,0,0,0,0,35,0,0,0,24,0,0,0,0,0,27,0,0,0,4,8,10,4,4,0,23,3,7,8,96,9,8,4,0,0,135
POA3013,0,0,0,6,0,5,0,3,0,13,0,0,0,29,10,9,3,0,0,52,0,0,0,9,0,4,7,5,3,24,0,0,0,0,0,3,0,0,0,9,0,8,10,94,62,39,22,11,4,251,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,12,0,0,0,18,9,8,4,0,0,32,0,0,3,8,7,15,36,72,27,169,0,0,0,16,5,0,0,0,0,15,0,3,0,31,9,3,4,0,0,46,0,0,0,12,3,0,0,0,0,19,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,6,4,0,0,45,0,0,0,10,7,8,13,41,17,90,0,0,0,12,6,0,0,0,0,24,0,0,0,8,0,0,0,0,0,10,0,0,0,3,5,6,6,6,0,17,0,0,4,24,8,10,0,0,0,41
POA3015,0,0,0,7,0,0,0,0,0,10,0,0,3,38,11,11,10,3,0,75,0,0,0,0,3,0,5,8,0,22,0,0,0,0,0,0,0,0,0,9,0,19,10,106,52,64,33,19,4,303,0,0,0,5,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,10,0,0,6,17,9,5,0,7,3,48,0,0,0,0,4,14,29,36,22,112,0,0,0,10,5,0,0,0,0,17,0,6,4,72,5,7,9,7,0,119,0,0,4,16,4,0,0,0,0,25,0,0,0,11,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,4,0,5,4,30,16,6,0,3,0,66,0,0,0,11,9,9,19,25,28,101,0,0,0,5,5,4,0,0,0,21,0,0,0,5,0,0,0,0,0,8,0,0,5,16,21,22,21,8,5,86,0,5,0,48,11,4,3,0,0,75
POA3016,0,0,4,3,6,8,4,0,0,17,0,0,3,20,7,9,6,0,0,49,0,0,0,5,0,14,19,11,5,54,0,0,3,0,3,3,9,0,0,20,0,24,18,81,78,99,70,35,8,418,0,0,0,5,5,3,0,3,0,13,0,0,3,5,7,0,0,0,0,18,0,0,0,10,11,3,14,6,3,49,0,0,0,0,0,11,16,20,9,58,0,0,0,6,0,0,5,0,0,8,0,0,0,25,8,3,3,6,0,47,0,0,3,3,7,0,0,0,0,13,0,0,0,7,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,6,4,0,0,29,0,0,0,6,0,11,21,21,11,70,0,0,0,3,8,0,0,0,0,12,0,0,0,3,0,0,0,0,0,6,0,0,0,5,7,5,5,0,0,24,0,0,0,8,7,7,3,0,0,32
POA3018,0,0,0,0,0,3,0,0,0,0,0,5,0,38,17,15,10,7,0,82,0,0,0,12,4,10,10,8,0,44,0,0,0,0,0,4,3,0,0,10,4,13,9,72,44,49,66,46,13,321,0,0,0,4,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,20,0,0,0,15,8,6,21,17,8,75,0,0,0,0,3,6,14,5,0,31,0,0,0,8,0,0,0,0,0,16,0,0,6,46,14,6,5,4,0,82,0,0,0,9,3,3,3,0,0,20,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,24,7,3,9,7,0,53,0,0,0,7,3,9,24,22,11,74,0,0,0,16,5,3,0,0,0,30,0,0,0,4,0,0,0,0,0,4,0,0,0,0,5,5,0,0,0,8,0,0,0,14,0,3,4,3,0,25
POA3019,0,0,0,0,0,0,3,0,0,13,0,0,5,58,34,26,20,7,6,146,0,0,0,0,0,0,4,4,5,20,0,0,0,0,0,5,0,3,0,7,0,0,0,14,5,8,9,4,5,33,0,0,3,6,0,3,3,0,0,14,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,0,0,5,0,0,0,26,0,0,3,0,0,31,8,16,24,130,9,4,7,3,0,188,0,0,7,22,0,0,5,0,0,35,0,0,0,3,0,0,0,0,0,4,0,0,3,6,0,0,0,0,0,7,0,0,0,6,0,0,3,0,0,10,0,0,0,3,0,0,4,3,0,8,0,0,0,11,0,0,0,0,0,11,0,0,0,14,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,5,7,0,34,5,0,3,0,0,55
POA3020,0,0,3,12,24,7,20,8,3,72,0,4,20,160,72,65,22,12,5,363,0,0,0,6,9,21,39,49,19,137,0,3,9,7,0,3,12,10,9,53,0,5,5,34,24,49,26,32,17,190,0,0,8,23,12,9,7,0,0,69,0,0,0,5,0,0,5,0,0,12,0,0,0,11,5,5,32,21,8,83,0,0,7,11,6,21,87,140,51,325,0,0,4,54,6,7,4,0,0,74,9,30,91,343,24,33,23,14,3,571,0,0,8,48,3,7,3,0,0,74,0,11,3,34,6,0,0,0,0,51,0,0,6,16,0,4,4,0,0,22,0,0,0,15,0,0,8,5,3,23,0,0,0,13,3,25,81,130,84,334,0,0,5,16,3,0,0,0,0,27,6,0,0,19,3,0,0,0,0,27,0,0,0,14,10,8,6,0,0,41,5,37,8,91,12,14,9,0,0,186
POA3021,0,0,0,6,12,25,23,21,3,92,0,9,23,86,56,55,34,10,7,285,0,0,0,22,19,67,108,115,42,373,0,3,11,11,5,18,28,22,10,121,0,10,0,11,13,32,37,31,4,129,0,6,4,24,17,10,10,4,0,71,0,0,5,9,0,4,4,5,0,20,0,0,6,10,3,13,70,40,19,160,0,0,3,3,9,30,83,122,59,317,0,0,7,36,0,10,4,0,0,54,17,33,181,664,48,39,47,18,3,1046,0,0,0,26,10,4,6,0,0,44,0,0,3,11,0,4,0,0,0,23,0,82,37,115,25,15,16,4,0,300,0,0,0,8,0,0,0,6,0,16,0,0,0,4,6,44,62,55,35,209,0,6,8,8,0,0,0,0,0,27,0,3,4,13,5,0,0,0,0,19,4,3,6,25,21,28,20,8,0,112,3,47,3,56,11,13,8,0,0,137
POA3022,0,0,0,0,0,0,0,0,0,4,0,3,0,12,5,4,5,4,0,25,0,0,0,0,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,4,0,3,0,17,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,21,0,0,0,0,0,0,0,5,12,25,0,0,0,4,0,0,0,0,0,4,0,3,7,38,0,3,0,0,0,52,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,6,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,7,0,4,0,0,0,0,0,0,0,9
POA3023,0,0,3,39,44,39,45,10,3,188,0,4,23,219,95,72,45,17,3,479,0,0,0,32,24,50,53,31,9,204,0,21,33,70,25,20,37,11,4,227,0,16,26,46,49,53,41,37,11,280,0,6,7,50,55,25,18,9,0,169,0,0,0,9,0,0,7,0,0,9,0,0,9,7,4,0,14,25,9,77,0,10,3,11,5,22,33,23,10,114,0,0,0,59,15,13,8,0,0,104,15,95,146,978,203,111,82,29,6,1662,0,5,7,69,23,12,12,0,0,133,0,8,11,46,11,6,0,3,0,77,5,113,90,191,41,36,34,8,0,521,0,3,0,7,3,4,4,5,5,28,0,0,5,9,9,51,98,64,28,271,0,0,3,25,9,0,0,0,0,36,0,7,3,30,12,3,6,0,0,60,0,3,0,20,20,18,4,0,0,74,0,34,8,117,32,27,13,7,0,237
POA3024,0,0,0,4,5,5,3,0,0,16,0,5,4,65,16,20,12,3,0,127,0,0,0,4,3,8,8,3,0,23,0,0,15,3,0,6,0,0,4,26,4,17,14,46,51,78,53,25,6,289,0,3,7,36,10,15,11,0,0,84,0,0,4,6,0,0,0,0,0,11,0,0,3,6,3,3,9,6,3,31,0,0,0,3,0,5,0,5,0,15,0,0,0,17,0,0,6,0,0,29,52,304,124,2185,102,91,51,10,3,2917,0,0,8,35,13,0,0,5,0,61,0,0,0,14,0,3,0,0,0,29,0,0,0,3,6,0,0,0,0,17,0,0,0,10,0,4,8,0,0,20,0,0,0,4,3,7,6,7,0,39,0,0,0,6,7,0,0,0,0,17,0,0,3,24,7,0,0,0,0,30,0,0,0,7,4,4,0,0,0,16,0,5,6,51,17,11,14,0,0,101
POA3025,0,0,0,4,0,0,0,0,0,4,0,0,0,25,4,10,5,4,0,48,0,0,0,4,3,3,10,28,9,59,0,0,0,0,0,0,5,5,0,10,0,10,0,35,13,21,5,16,12,112,0,0,0,8,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,10,0,0,0,7,0,0,4,12,3,29,0,0,5,0,8,17,46,87,50,212,0,0,0,10,0,0,0,0,0,11,0,0,3,56,5,4,6,5,0,81,0,0,6,34,0,0,0,0,0,45,0,0,4,5,4,0,0,0,0,11,0,0,0,5,0,0,0,0,0,10,0,0,0,21,5,0,0,0,3,23,0,0,0,8,0,19,66,105,62,267,0,0,0,0,5,0,0,0,0,7,0,0,0,8,0,0,0,0,0,11,5,6,19,84,56,29,31,4,0,227,0,0,0,27,3,5,4,0,0,44
POA3026,0,0,0,6,5,10,5,3,0,28,0,0,5,22,5,8,5,0,0,52,0,0,0,6,0,0,3,0,0,8,0,4,10,4,0,0,0,0,0,13,0,3,3,0,0,0,4,0,0,15,0,0,5,13,5,6,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,12,0,0,0,17,0,0,4,0,0,24,3,11,25,148,26,10,11,0,0,225,0,0,4,16,12,0,3,0,0,37,0,0,0,6,0,0,0,0,0,6,0,10,4,12,4,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,6,0,0,16,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,40
POA3027,0,0,0,0,0,0,0,0,0,4,0,6,33,189,36,62,31,0,0,348,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,11,0,3,8,19,10,0,6,0,0,50,0,0,0,8,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,9,27,87,647,60,34,26,4,0,896,0,0,5,78,14,7,5,0,0,110,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,5,0,0,0,0,8,0,4,0,12,7,5,0,0,0,26,0,0,0,4,0,0,0,0,0,10,0,0,5,70,13,6,6,0,0,101
POA3028,0,0,0,9,10,7,11,8,0,35,4,11,5,114,48,41,25,6,3,261,0,0,0,4,6,32,35,23,7,101,0,0,0,3,6,10,11,7,4,37,4,10,4,62,42,78,78,38,27,337,0,0,0,11,5,8,0,3,0,33,0,0,0,3,0,0,0,0,0,10,0,0,0,10,4,5,19,11,5,56,0,0,0,6,3,33,35,44,16,146,0,0,0,14,0,5,0,0,0,21,17,62,84,480,40,48,17,12,3,748,0,5,3,34,15,0,9,0,0,64,0,5,0,23,5,3,5,0,0,36,0,4,3,7,0,0,0,0,0,23,0,0,0,15,4,7,6,0,0,44,0,0,0,16,10,31,48,22,23,150,0,5,0,19,7,0,0,0,0,34,0,0,5,10,0,0,0,0,0,16,0,0,0,38,21,25,16,4,0,104,0,6,0,42,13,10,11,0,0,89
POA3029,0,0,4,36,27,34,26,13,0,137,0,25,56,544,149,159,95,13,10,1045,0,0,0,17,17,25,23,13,0,96,4,8,29,16,9,8,10,0,0,94,0,37,48,99,82,152,132,94,22,673,0,8,18,187,67,56,18,8,0,366,0,0,0,11,6,0,5,0,0,22,0,0,8,19,5,17,31,17,8,108,0,4,4,13,11,19,38,13,11,118,0,0,3,55,16,30,6,0,0,116,157,821,1081,9519,600,482,312,53,10,13035,0,4,7,174,60,17,13,6,0,287,0,5,18,60,10,3,3,0,0,93,0,3,14,33,16,12,8,5,0,92,0,0,0,13,4,14,3,4,4,46,0,3,9,15,13,63,77,65,26,262,0,4,0,29,10,3,3,0,0,57,0,3,0,65,10,10,6,5,0,104,4,15,45,180,69,47,14,0,0,382,3,53,54,177,52,57,30,11,0,422
POA3030,0,0,5,20,19,14,21,6,0,80,24,107,131,1455,326,310,207,29,9,2592,0,0,0,22,20,30,28,18,9,121,0,15,23,42,11,15,7,3,3,119,9,99,109,253,239,222,173,144,62,1312,0,3,16,82,49,38,26,9,0,228,0,0,0,23,4,6,3,0,0,34,4,7,7,36,30,15,39,21,13,162,0,4,8,16,19,29,28,33,15,158,5,20,12,90,34,27,17,4,0,206,67,690,382,4498,388,240,191,43,14,6510,0,18,27,375,66,29,41,7,0,565,0,11,21,134,24,10,6,0,0,218,0,4,11,32,18,8,3,0,0,82,0,10,10,42,15,8,16,5,4,120,0,7,9,43,33,79,130,117,84,507,0,4,9,68,30,4,3,0,0,121,5,17,27,175,63,13,8,3,0,315,0,6,7,36,26,14,11,0,0,107,13,74,83,402,113,86,75,12,8,860
POA3031,0,0,0,12,0,0,5,0,0,19,0,4,12,98,20,41,28,34,26,256,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,5,11,0,0,18,0,4,16,102,36,37,22,13,3,224,0,0,0,7,0,6,0,0,0,12,0,0,0,12,0,0,0,0,0,19,0,0,0,21,3,6,9,3,3,42,0,0,0,3,4,5,5,9,3,27,0,0,0,28,4,3,7,0,0,49,0,4,10,83,11,3,9,0,0,120,0,0,3,24,5,0,0,7,0,46,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,3,24,0,0,0,0,0,34,0,0,0,15,5,4,15,14,12,71,0,0,5,26,7,5,0,0,0,38,0,0,0,14,3,4,0,0,0,22,0,0,0,0,0,3,0,0,0,9,0,0,0,78,17,6,18,7,0,125
POA3032,0,5,0,15,4,9,6,7,0,51,0,0,30,188,82,64,47,29,20,456,0,0,0,7,4,11,9,9,0,53,0,4,4,15,0,3,3,7,0,34,0,14,13,74,51,50,27,13,4,247,0,0,0,8,5,4,5,0,0,24,0,3,0,9,3,0,0,0,0,24,0,0,6,22,6,4,10,9,0,56,0,0,0,4,4,19,22,45,16,113,0,0,3,57,11,8,9,0,0,91,6,16,31,213,16,14,13,4,0,297,0,0,7,51,12,0,9,0,0,77,0,5,5,42,10,0,0,0,0,62,0,0,0,7,0,3,0,0,0,8,0,0,0,17,14,6,0,4,0,48,0,0,0,20,10,40,59,74,55,262,0,0,0,25,10,10,0,0,0,53,0,0,6,50,6,6,0,0,0,69,0,0,0,0,3,0,0,0,0,12,0,3,13,131,18,10,24,3,0,214
POA3033,0,0,0,0,10,0,7,5,0,28,0,0,3,45,22,20,15,3,4,106,0,0,0,3,0,12,16,21,9,66,0,0,0,13,7,11,15,11,5,67,0,0,3,17,13,17,16,24,4,94,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,11,12,4,30,0,4,4,0,3,10,35,67,14,149,0,0,0,9,10,9,0,0,0,22,0,11,3,77,13,24,10,3,4,151,0,0,0,9,0,0,0,0,0,7,0,0,0,16,6,4,0,5,0,32,0,0,0,6,0,0,0,0,0,18,0,4,6,5,3,0,4,0,0,24,0,0,0,5,11,53,153,147,79,455,0,0,0,6,6,6,0,0,0,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,11,17,5,0,33,0,0,3,20,6,5,7,0,0,44
POA3034,0,0,0,5,9,5,13,9,0,35,0,0,0,40,29,20,9,4,3,116,0,0,0,3,7,10,34,39,17,112,0,0,0,13,3,7,7,10,3,48,0,3,0,7,8,16,9,18,3,72,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,11,10,7,22,0,0,0,5,4,15,41,62,18,158,0,0,0,8,6,5,3,0,0,32,0,6,8,37,11,8,12,3,0,82,0,0,0,6,7,3,4,0,0,20,0,7,7,21,6,4,3,4,0,46,0,0,0,3,4,0,0,0,0,14,0,0,0,8,0,0,0,0,0,11,0,0,0,9,9,43,188,214,127,590,0,0,0,5,4,3,0,0,0,16,0,0,0,7,0,0,0,4,0,13,0,0,0,0,7,13,6,0,0,30,0,0,5,18,0,3,8,0,0,34
POA3036,0,0,0,0,0,0,0,3,0,6,0,0,0,4,8,3,0,0,0,20,0,0,0,0,3,13,11,6,0,36,0,0,0,0,0,4,3,0,0,4,0,0,0,3,9,8,10,13,14,60,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,5,17,7,5,30,0,0,0,0,5,4,8,10,5,28,0,0,0,0,0,0,3,0,0,6,0,0,0,11,4,8,8,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,19,40,22,15,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,15,0,0,0,3,0,0,3,0,0,10
