POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3925,581,1156,3,29,36,157,14,72,259,1016,315,1270,11,50,51,161,71,216,133,426,452,1699,0,7,17,46,0,3,59,147,74,206,4,14,13,31,54,122,75,161,155,368,17,37,1201,3258
POA3926,494,983,4,24,39,163,15,63,205,822,261,1067,18,59,42,149,65,202,123,407,381,1474,0,0,4,19,4,9,35,101,43,132,4,14,19,36,40,89,63,135,107,264,7,20,992,2742
POA3927,269,524,0,6,24,126,4,16,101,415,135,557,11,36,16,60,35,120,61,214,195,770,0,0,0,4,6,9,12,40,14,47,3,15,11,15,25,47,32,75,52,127,4,9,518,1424
POA3928,71,146,0,0,3,11,0,6,19,76,23,92,6,26,7,19,8,25,20,65,42,157,0,0,0,0,0,0,3,3,3,3,0,4,0,0,4,16,9,22,11,26,5,4,129,339
POA3929,202,398,0,7,4,29,0,8,29,127,36,171,0,11,10,39,25,72,38,121,77,291,0,0,0,0,0,0,3,16,12,23,0,3,4,14,8,13,9,28,23,49,0,9,300,747
POA3930,1973,3960,35,162,331,1509,39,179,1397,5656,1802,7505,200,849,343,1192,420,1345,966,3385,2765,10891,9,22,48,145,6,28,167,421,228,613,16,67,80,190,171,376,272,634,503,1247,21,37,5259,16135
POA3931,3214,6409,34,167,263,1183,59,256,1381,5319,1731,6926,158,664,248,859,490,1562,899,3087,2628,10016,9,47,102,299,34,125,360,909,503,1382,53,182,138,295,470,1015,664,1486,1166,2864,82,157,7088,19453
POA3933,129,253,10,43,17,76,0,0,44,168,63,288,14,51,20,73,38,111,72,231,132,517,0,0,0,0,0,0,12,23,12,23,5,13,0,0,23,40,23,54,34,79,0,4,298,851
POA3934,2249,4485,37,194,329,1473,55,241,1344,5391,1762,7301,164,687,293,1037,417,1339,877,3063,2638,10359,14,52,72,223,15,56,216,538,314,873,36,114,71,162,225,487,337,764,655,1635,41,82,5574,16566
POA3936,1962,3922,20,132,109,504,31,128,628,2395,792,3153,67,268,107,366,238,777,419,1412,1210,4569,5,11,38,118,22,59,191,457,248,652,27,97,80,181,221,478,329,752,581,1404,41,89,3798,9984
