POA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA3184,1904,1171,3144,2724,2313,1668,979,393,131,14428,0,0,0,0,0,0,0,0,0,10,0,0,3,0,3,0,0,3,0,12,14,30,67,49,25,32,9,4,0,228,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,30,71,51,32,29,14,9,0,252,14,36,71,50,27,32,13,7,3,259,1920,1203,3212,2771,2339,1701,988,407,133,14685
POA3185,2248,1428,2250,1932,1781,1389,1094,583,273,12972,0,0,0,0,0,3,0,0,0,10,0,4,0,0,0,0,0,0,0,7,22,20,43,25,21,28,15,10,4,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,46,22,27,27,19,14,7,206,22,24,46,22,25,28,20,13,4,215,2267,1449,2292,1959,1803,1418,1119,597,281,13184
POA3186,3494,2582,1744,2348,3364,3154,2663,1835,910,22107,3,0,0,0,0,4,3,0,3,21,0,7,5,0,6,3,0,3,0,30,76,83,66,67,60,92,62,61,37,599,0,0,0,0,0,8,3,8,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,89,78,76,61,104,77,73,36,664,81,90,77,71,63,107,78,74,34,682,3575,2679,1820,2422,3429,3259,2737,1914,952,22791
POA3187,3111,2002,1099,1885,2604,2065,1554,1177,816,16310,0,7,0,0,0,3,3,3,5,16,0,0,4,0,0,3,3,0,0,16,43,35,36,41,34,21,18,15,10,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,39,41,43,33,29,23,15,10,278,45,47,41,43,33,30,29,16,13,298,3157,2043,1142,1930,2635,2092,1578,1197,828,16608
POA3188,3192,2236,1591,2284,2954,2549,1710,1015,376,17906,4,5,0,3,3,0,0,5,0,18,0,4,0,0,0,0,0,0,0,9,42,37,61,26,45,33,28,25,3,301,0,0,0,0,7,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,44,56,34,51,42,32,23,3,328,48,50,60,38,57,39,30,23,9,349,3237,2289,1644,2318,3008,2592,1740,1042,385,18252
POA3189,1162,600,812,1033,852,670,513,341,155,6143,0,0,0,0,0,0,5,0,0,5,0,0,3,0,0,0,0,0,0,3,11,12,19,17,21,22,26,28,51,204,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,25,17,23,20,29,26,51,219,11,18,25,17,23,24,31,32,51,226,1168,619,834,1055,873,694,546,369,206,6367
POA3190,2157,1141,1566,1839,1817,1277,1016,578,275,11675,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,9,19,47,25,19,30,17,11,13,8,170,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,46,28,19,25,18,18,11,6,188,19,46,28,19,25,21,20,11,6,193,2182,1187,1592,1857,1843,1301,1035,590,282,11863
POA3191,1697,1180,804,1245,1701,1508,1192,735,475,10533,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,0,0,10,32,15,23,28,24,31,15,15,4,176,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,29,32,31,33,17,12,4,201,32,19,29,32,31,33,17,12,4,206,1727,1196,832,1275,1727,1541,1212,751,477,10739
POA3192,4295,2400,2949,3706,3322,2552,1978,1409,920,23521,3,0,7,0,3,0,6,0,4,21,0,4,0,0,0,0,0,0,0,3,39,52,64,37,40,50,27,10,11,329,0,0,0,0,0,8,0,0,0,15,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,54,69,38,39,61,33,13,14,358,44,55,71,42,43,58,40,9,19,381,4336,2452,3023,3751,3363,2612,2010,1428,936,23907
POA3193,3384,2454,1065,1884,3257,2924,2437,1434,604,19440,0,4,0,0,3,0,3,0,3,18,0,0,6,0,0,0,0,0,0,6,53,56,50,34,36,26,24,15,7,303,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,53,56,56,31,37,37,33,17,7,333,58,63,56,32,41,38,37,18,10,347,3443,2513,1121,1919,3301,2961,2477,1456,612,19792
POA3194,2040,1297,1667,1861,1955,1564,1245,862,389,12872,0,0,0,0,0,0,4,5,0,16,0,0,0,0,0,5,0,0,0,9,25,23,43,30,20,23,13,7,4,190,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,43,31,22,25,18,7,4,205,24,23,42,33,22,25,19,11,12,219,2071,1322,1708,1894,1982,1582,1265,872,402,13093
POA3195,6843,4495,3483,4978,6015,4718,3170,1842,828,36371,0,0,0,0,0,0,7,10,6,23,0,0,0,0,0,0,0,0,0,9,74,86,82,72,68,59,35,25,16,519,0,0,0,0,0,3,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,90,82,72,70,70,43,29,19,546,72,90,85,72,76,73,54,35,26,570,6915,4581,3569,5046,6084,4784,3222,1878,850,36937
POA3196,4750,2330,3402,4127,3702,3098,2458,1513,680,26071,0,0,0,4,0,5,0,6,4,21,3,0,0,3,0,5,0,0,0,12,45,75,69,42,44,36,20,19,5,354,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,75,74,49,45,46,28,22,6,389,48,75,74,50,45,52,29,30,9,409,4804,2408,3476,4179,3743,3151,2487,1542,689,26481
POA3197,1957,1153,1268,1538,1805,1668,1332,678,241,11637,4,0,0,0,0,0,3,0,0,13,0,0,0,5,0,0,0,0,0,4,31,38,30,21,19,23,13,13,0,185,0,0,0,0,0,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,30,22,15,27,18,8,0,201,31,36,30,26,21,25,16,8,3,209,1996,1184,1305,1561,1832,1694,1352,690,242,11857
POA3198,2964,1522,2276,2621,2385,1982,1597,977,352,16681,3,3,4,0,0,4,0,4,4,26,0,0,0,0,0,4,0,0,0,4,63,49,48,45,38,32,19,8,0,307,0,0,0,0,0,3,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,50,52,47,41,39,22,13,0,328,64,49,51,50,39,44,25,17,5,351,3031,1572,2328,2669,2426,2028,1623,998,359,17029
POA3199,9546,6008,7269,7354,7322,6536,5490,3362,1488,54373,0,3,3,4,8,14,13,4,4,55,0,0,0,0,0,0,7,5,0,18,181,211,233,172,147,136,172,126,107,1494,0,6,8,0,5,10,3,0,0,27,5,0,0,0,3,0,6,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,190,221,243,178,156,147,197,129,107,1571,188,226,246,183,161,163,205,134,112,1622,9733,6233,7516,7535,7480,6698,5699,3499,1601,55993
POA3200,985,607,948,682,643,677,456,334,191,5523,0,0,0,3,0,0,3,3,0,17,0,0,0,0,0,0,0,0,0,0,18,27,24,11,9,14,6,7,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,24,11,9,18,6,7,3,115,19,29,24,16,10,23,12,6,3,137,1003,633,970,697,655,700,464,339,196,5662
POA3201,4150,2409,3596,3144,2830,2491,1634,817,417,21478,0,5,4,0,3,7,0,3,0,21,0,0,0,0,0,0,0,0,0,0,43,62,63,38,34,19,26,25,5,324,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,62,71,36,35,25,33,27,5,339,43,65,73,40,36,30,34,28,12,357,4198,2476,3666,3181,2867,2522,1668,844,425,21837
POA3202,571,336,261,380,522,308,238,118,43,2779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,13,20,24,51,68,43,247,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,11,13,20,27,51,68,43,252,6,13,11,13,20,29,51,68,43,249,579,345,275,391,545,336,286,186,84,3028
POA3204,5960,4248,4102,4662,5129,3753,2494,1370,635,32353,5,3,7,3,0,3,6,0,3,15,0,3,0,0,4,0,0,0,0,11,55,54,75,63,41,47,39,18,17,421,0,0,0,0,0,0,5,0,0,14,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,4,0,5,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,55,67,81,65,49,54,54,23,16,461,54,67,83,66,54,60,56,27,23,479,6009,4311,4182,4728,5185,3816,2546,1397,657,32829
POA3205,1282,956,2408,1934,1556,1250,847,499,269,10997,0,0,0,3,0,0,0,0,0,8,0,0,7,0,0,4,0,0,0,10,22,60,70,50,57,44,40,7,4,357,0,0,0,0,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,63,81,55,60,54,46,6,4,395,22,63,81,61,59,57,48,8,4,409,1308,1027,2488,1992,1619,1309,897,511,270,11406
POA3206,1617,864,868,1302,1574,1318,993,731,225,9488,4,0,0,0,0,0,0,4,0,9,3,0,0,6,4,4,0,0,0,16,28,18,27,32,31,33,12,8,3,199,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,29,38,29,49,17,12,3,233,29,26,29,38,35,49,20,14,5,249,1652,882,897,1341,1609,1366,1014,744,230,9733
POA3207,2369,1318,2619,2992,2798,2107,1539,853,224,16817,5,0,0,10,4,5,0,3,3,29,0,0,0,0,5,3,4,0,0,21,45,40,65,66,57,42,43,12,7,377,0,0,0,0,3,4,6,4,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,42,71,76,73,51,60,20,10,433,54,42,71,77,74,55,62,25,10,459,2424,1354,2687,3070,2871,2162,1596,874,236,17278
POA3211,258,185,89,164,208,215,127,44,10,1309,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,9,5,10,3,3,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,3,4,0,0,0,0,35,5,8,3,3,9,0,3,0,0,36,265,203,93,169,215,216,127,44,15,1345
POA3212,3681,2074,2969,2851,2524,1958,1607,775,276,18715,0,0,0,0,0,8,6,3,0,16,0,0,0,0,4,0,0,0,0,9,39,54,46,26,26,20,19,10,4,241,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,55,46,27,28,23,21,11,4,255,41,55,46,27,28,31,24,17,4,265,3724,2130,3013,2877,2553,1982,1629,786,282,18980
POA3213,914,665,524,553,731,659,356,180,49,4631,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,4,15,8,4,5,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,11,3,5,15,0,0,0,58,6,15,11,3,3,13,0,0,0,62,918,680,535,558,737,677,362,181,49,4693
POA3214,4215,3396,3723,2746,2889,2854,2256,1197,431,23698,6,10,8,5,14,18,13,7,3,89,0,30,3,0,0,0,0,0,0,32,83,188,108,73,70,42,33,18,0,624,0,6,0,6,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,234,110,79,69,45,33,25,0,681,90,242,123,83,85,57,42,30,9,770,4306,3644,3842,2827,2975,2912,2299,1227,436,24470
POA3215,3452,2340,3195,2576,2614,2421,2342,1559,817,21306,0,8,5,3,6,6,3,4,3,45,5,0,0,3,0,4,0,0,0,12,37,60,74,44,52,55,58,41,39,455,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,61,78,44,59,60,63,38,39,486,43,66,82,49,62,61,64,44,44,523,3499,2412,3274,2625,2674,2483,2413,1603,857,21828
POA3216,10143,8077,8148,7300,6993,6194,5477,3745,1891,57963,9,13,4,8,4,3,9,12,9,75,0,22,6,5,4,8,0,0,0,50,117,361,208,105,144,122,74,68,41,1236,3,8,4,3,4,4,7,0,0,28,0,5,0,3,0,0,4,0,0,13,0,3,0,0,0,0,0,0,0,7,0,3,0,0,0,0,4,0,0,7,0,3,0,0,3,0,0,0,0,9,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,123,408,217,121,156,134,85,68,41,1359,131,419,226,131,158,139,100,79,50,1429,10274,8503,8374,7434,7145,6332,5577,3821,1941,59400
POA3217,4945,2438,4626,3352,1767,1318,958,389,166,19966,0,0,3,0,0,4,4,0,0,11,0,0,0,0,0,0,5,0,0,5,40,75,79,31,22,27,20,14,15,332,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,78,82,34,28,32,20,14,15,347,48,78,78,34,28,37,28,15,14,361,4989,2515,4707,3390,1791,1350,989,408,181,20321
POA3218,2722,1546,2455,2276,1857,1634,1184,599,225,14496,0,0,3,0,0,0,3,5,0,12,0,0,0,0,0,0,0,0,0,4,25,37,49,34,28,30,9,7,8,230,0,0,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,56,42,31,37,16,7,8,254,28,41,58,42,31,41,19,8,7,269,2749,1584,2510,2312,1885,1668,1195,610,236,14762
POA3219,2880,2354,2972,2260,2479,2599,2175,1324,530,19581,8,0,7,9,3,7,10,5,0,51,0,0,3,0,0,4,0,0,0,7,53,80,92,65,56,45,30,17,10,439,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,81,95,67,61,50,34,18,10,466,61,84,102,77,65,55,42,19,10,527,2944,2440,3071,2332,2550,2654,2221,1349,538,20107
POA3220,2691,2058,2294,2044,2203,2165,1745,910,335,16450,4,0,0,3,0,0,0,0,0,16,8,8,6,3,5,3,0,0,0,34,97,196,181,118,118,140,130,117,64,1165,0,0,8,8,10,5,5,0,0,32,0,0,0,3,0,3,0,0,0,15,9,0,0,9,0,3,0,0,0,18,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,208,198,136,141,155,136,122,64,1272,106,208,198,137,145,157,139,123,64,1289,2801,2265,2494,2182,2349,2327,1885,1035,401,17739
POA3221,164,100,53,96,131,105,101,24,12,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,4,6,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,6,0,4,0,27,0,8,0,4,4,6,0,4,0,29,167,105,56,101,131,115,104,26,12,813
POA3222,3168,1795,1801,2056,2145,2486,2528,1390,499,17871,0,0,0,3,0,0,5,3,5,24,3,0,0,0,4,3,7,0,0,9,46,60,35,33,31,35,28,22,13,307,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,66,37,33,30,43,32,26,14,327,46,66,39,31,39,40,40,28,18,354,3215,1858,1843,2087,2185,2531,2567,1419,517,18223
POA3223,982,561,587,727,1053,1617,2074,1033,289,8925,0,0,0,0,0,0,4,8,0,12,0,0,0,0,0,0,0,0,0,0,40,44,26,35,60,95,74,36,7,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,44,34,35,64,97,80,36,7,436,39,44,34,40,64,101,87,40,7,451,1023,609,614,765,1120,1718,2160,1072,300,9380
POA3224,2580,1549,1734,1728,1786,1771,1738,1209,427,14513,0,0,0,0,4,0,3,5,3,18,0,0,0,0,0,0,0,0,0,3,30,39,39,34,16,21,19,10,8,213,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,39,33,16,19,19,10,8,226,32,40,39,33,19,22,22,12,12,238,2612,1596,1772,1762,1807,1791,1764,1218,433,14758
