POA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA3036,940,712,545,630,804,814,716,461,220,5836,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,7,11,17,14,11,4,4,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,10,17,14,9,9,4,3,87,18,9,10,20,14,13,9,5,3,92,952,715,555,650,815,824,726,465,220,5931
POA3037,10181,7465,6477,7391,7828,5734,3456,1545,561,50643,0,0,3,0,3,3,3,3,0,21,0,4,3,0,0,3,0,0,0,12,102,79,105,65,68,45,37,29,15,545,3,3,0,0,0,0,0,0,0,8,0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,88,110,65,72,47,45,29,15,577,106,91,110,64,76,53,47,35,17,596,10287,7552,6589,7459,7905,5792,3509,1579,582,51244
POA3038,3811,3560,3061,2741,3704,4393,3114,1407,439,26226,0,0,0,0,5,3,3,4,0,16,0,0,0,4,0,0,5,0,0,14,60,48,93,59,47,30,23,22,14,386,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,52,88,63,47,31,26,20,14,409,67,52,88,62,50,32,32,24,16,424,3876,3607,3155,2806,3749,4426,3142,1427,459,26645
POA3039,2194,1764,3027,2368,2077,1825,1282,708,402,15654,4,3,0,0,3,5,3,3,0,24,4,0,3,9,0,7,0,0,0,18,23,45,56,29,38,29,27,13,6,270,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,55,65,36,41,38,32,13,6,307,29,57,65,36,44,47,34,16,5,330,2224,1823,3093,2403,2124,1864,1318,722,411,15981
POA3040,4041,3585,3716,3524,3878,3264,2218,1136,606,25969,0,0,0,4,0,4,4,0,0,15,3,7,9,0,0,0,3,0,0,23,51,57,74,38,62,52,34,11,9,391,0,0,3,3,4,3,0,0,0,20,0,3,0,0,0,0,0,0,0,12,0,0,4,0,4,0,0,4,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,54,71,88,46,73,63,43,18,9,466,54,71,88,48,73,68,46,19,10,476,4093,3658,3805,3570,3948,3332,2263,1150,620,26443
POA3041,2306,1715,1409,1750,1956,1553,1193,582,277,12749,5,0,3,0,0,0,0,3,0,5,0,0,3,3,3,0,0,0,0,10,23,31,26,24,22,26,18,10,5,183,0,0,4,8,18,7,3,6,0,39,0,0,0,0,0,0,0,0,0,5,0,0,0,3,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,35,48,49,29,25,6,5,255,24,32,39,48,46,29,25,13,5,264,2328,1745,1453,1798,2008,1584,1219,597,286,13014
POA3042,2834,1677,2241,2424,2265,1846,1552,1061,473,16381,3,0,0,0,0,0,10,3,5,25,0,5,0,0,0,0,0,0,0,6,27,26,43,30,36,37,21,10,6,230,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,45,35,39,44,23,10,6,250,33,27,46,38,39,44,28,16,7,276,2870,1708,2284,2456,2304,1892,1583,1077,481,16658
POA3043,2944,1827,2501,2392,2159,1970,2000,1324,364,17495,0,0,0,7,0,0,4,0,3,18,0,3,4,0,0,0,0,6,0,13,30,48,59,43,38,27,23,7,9,281,4,8,9,13,3,0,8,3,0,42,0,9,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,63,78,66,41,35,36,13,9,372,35,63,78,66,41,33,40,16,12,387,2978,1892,2581,2460,2207,2004,2036,1339,375,17882
POA3044,5031,3064,4713,4609,3819,2884,1779,1180,938,28009,0,0,0,10,0,4,0,3,6,27,3,0,0,0,0,4,3,0,0,12,40,45,66,47,42,48,26,32,23,371,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,72,51,50,59,33,28,23,403,46,46,73,58,53,65,37,34,28,430,5070,3105,4784,4663,3871,2942,1810,1216,967,28436
POA3045,10,16,8,8,12,11,4,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,22,30,41,26,21,11,0,0,182,0,0,0,9,0,0,0,0,0,13,0,4,9,7,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,9,0,0,7,4,3,4,5,0,0,25,0,0,5,5,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,32,63,68,36,32,19,9,0,276,16,32,63,68,36,32,19,9,0,276,26,42,71,79,47,42,24,8,0,335
