POA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3945,0,0,4,0,3,3,14,10,0,29,0,0,0,0,0,0,0,0,0,0,0,0,8,7,23,19,10,5,0,68,9,18,109,110,158,208,172,72,8,875
POA3946,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,17,3,6,37,26,37,71,45,13,9,251
POA3950,3,4,5,14,15,24,55,85,78,278,0,0,0,0,5,4,3,4,0,18,13,8,33,28,36,59,45,55,19,289,124,212,534,501,655,735,708,407,197,4085
POA3951,0,0,0,0,0,4,10,3,0,16,0,0,0,0,0,0,0,0,0,0,5,0,4,9,9,3,13,9,0,60,29,46,70,81,172,171,179,48,9,808
POA3953,4,0,10,7,7,35,84,108,76,328,0,3,0,0,0,10,3,7,3,35,26,15,44,61,52,67,79,73,35,450,178,316,720,910,979,1120,1185,709,249,6350
POA3954,0,0,0,0,0,0,0,9,6,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,6,17,7,21,17,29,60,85,50,24,7,306
POA3956,0,0,4,0,0,13,27,28,11,89,0,6,0,0,0,0,0,8,0,6,7,8,13,33,26,45,42,28,14,208,54,92,243,322,381,552,547,227,60,2478
POA3957,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,6,11,32,31,33,42,39,22,4,226
POA3958,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,5,4,6,5,0,5,0,29,10,14,16,30,42,43,39,19,4,224
POA3959,0,0,0,0,3,0,8,17,5,33,0,0,0,0,0,0,0,0,0,0,10,4,0,4,20,12,13,11,3,82,28,47,64,111,163,215,241,110,16,997
POA3960,0,0,0,0,3,7,37,45,30,123,0,0,0,0,0,0,0,0,0,4,10,14,23,24,31,40,56,31,12,236,55,83,167,212,320,463,557,315,136,2312
POA3962,0,0,0,0,0,3,16,18,4,46,0,0,0,0,0,0,0,0,0,3,0,3,9,20,6,12,14,11,3,76,15,40,73,90,110,161,196,89,23,800
POA3964,0,0,0,0,0,6,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,10,15,17,15,47,23,8,3,143
POA3965,0,0,0,0,0,4,5,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,7,4,0,32,0,4,12,15,20,45,60,29,8,208
