POA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3052,0,0,0,0,6,6,11,15,50,78,0,0,3,9,0,3,0,6,0,19,88,66,94,64,33,30,24,25,11,440,1107,1529,1696,760,446,400,342,245,155,6682
POA3053,3,5,15,16,31,34,31,43,32,210,0,6,31,17,21,40,25,15,8,175,41,229,342,129,92,56,47,56,47,1040,870,3883,5409,1732,960,809,676,447,217,15017
POA3054,0,0,4,9,3,7,12,27,51,117,0,0,0,4,0,4,0,3,10,19,8,22,63,52,43,30,32,32,16,299,101,842,2148,1112,858,809,732,391,141,7130
POA3055,6,0,5,11,17,40,92,200,112,491,0,4,13,8,13,20,37,53,30,173,9,43,143,95,44,47,57,49,33,527,220,1243,3734,2507,1743,1325,927,580,289,12556
POA3056,0,3,11,18,27,67,168,348,226,860,0,5,15,14,15,34,66,101,72,319,21,74,268,122,78,75,79,78,43,841,276,2324,7280,4432,2786,2086,1422,922,440,21964
POA3057,0,0,3,5,8,19,54,146,94,335,0,0,0,6,4,13,29,39,20,106,13,33,178,111,61,48,34,32,12,517,120,1074,4445,2654,1405,931,597,372,173,11766
POA3058,8,6,13,29,58,150,387,713,486,1845,3,5,18,14,55,65,139,186,134,632,41,93,288,203,171,143,148,135,124,1357,553,2279,6385,5856,4850,3473,2377,1623,963,28348
POA3059,5,7,33,65,110,139,275,221,60,907,0,0,14,31,45,56,62,59,19,295,38,31,115,117,87,89,83,30,4,594,547,1482,3131,3052,2849,2569,1551,568,120,15864
POA3060,0,6,29,37,41,97,215,387,275,1097,0,3,12,25,34,58,54,104,103,403,57,64,180,162,80,81,82,72,55,836,308,975,2365,2128,1501,1264,903,800,534,10781
POA3061,0,3,20,43,49,80,132,156,47,537,0,0,13,22,34,47,79,62,27,283,14,26,57,55,45,48,51,33,3,342,105,308,694,629,586,520,479,363,112,3806
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
POA3063,0,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,3,3,8,3,6,7,3,8,13,3,0,0,40,18,40,40,53,102,92,55,32,7,439
POA3064,63,125,509,813,798,841,903,488,139,4677,13,80,283,404,451,666,469,293,121,2788,372,426,1250,1059,649,456,292,148,97,4742,2861,7942,20971,19875,12242,9187,4887,1844,538,80348
POA3065,0,5,18,28,28,43,55,45,17,240,0,3,6,16,13,33,23,20,17,137,21,69,215,153,101,105,66,37,19,797,139,714,3068,1839,1189,1108,693,324,132,9211
POA3066,0,3,17,21,36,30,35,49,14,211,0,5,17,14,25,24,15,15,8,116,28,62,182,109,83,56,33,20,6,567,103,634,3348,1752,1028,661,394,189,67,8165
POA3067,0,0,5,9,10,25,25,47,26,149,0,3,5,7,8,8,9,11,18,64,10,39,172,105,63,47,34,24,13,504,77,667,3281,1785,888,692,508,249,97,8241
POA3068,0,0,11,13,24,30,80,170,124,442,0,0,5,4,3,16,28,27,41,123,12,58,169,96,90,84,97,73,39,716,208,1148,4583,3101,2371,1946,1658,922,385,16314
POA3070,0,0,11,10,26,54,172,394,211,875,0,0,3,10,11,18,65,121,108,334,23,49,164,165,120,102,90,76,39,829,343,1319,5164,4021,3829,2627,1682,1111,528,20625
POA3071,3,3,13,8,31,59,192,334,199,836,0,4,10,18,15,30,46,92,58,256,25,43,125,93,85,60,71,114,148,767,287,1030,3850,3370,2685,1856,1234,845,495,15653
POA3072,10,10,24,38,82,161,413,633,334,1711,7,12,23,24,39,81,133,146,82,547,48,80,301,256,188,144,148,103,93,1359,549,2021,6678,5929,4736,3403,2292,1484,737,27830
POA3073,6,22,73,106,143,310,831,1271,779,3542,3,19,47,57,73,115,195,330,196,1043,104,180,579,419,347,330,343,350,323,2974,810,3124,9455,8011,6417,5158,3999,3074,1751,41799
POA3074,5,11,31,117,134,247,709,770,273,2298,0,10,45,60,71,148,179,211,120,842,52,74,196,161,126,117,139,104,42,999,414,1334,3213,2674,2209,2212,2259,1600,543,16459
POA3075,11,9,52,88,154,233,631,692,317,2185,0,10,29,62,78,115,156,220,144,811,75,92,252,192,193,123,118,121,49,1223,506,1549,3490,3350,2748,2302,2114,1529,630,18213
POA3076,7,19,66,97,133,276,455,332,131,1500,3,13,43,51,75,110,124,79,29,524,85,126,336,288,186,187,187,291,295,1985,725,2190,5230,5380,4059,3566,2460,1170,567,25339
POA3078,0,0,8,14,11,21,70,128,99,351,0,0,0,3,4,6,13,28,25,83,15,37,102,74,55,83,43,34,9,444,174,766,2149,1926,1743,1519,987,477,211,9955
POA3079,3,3,3,13,12,21,80,139,125,393,0,0,6,9,4,19,14,19,16,89,20,20,75,93,75,64,79,54,26,510,326,1097,2216,2317,2371,2290,1759,903,463,13748
POA3081,3,7,25,28,46,96,132,131,94,562,6,7,22,34,34,56,49,28,17,245,31,74,173,134,126,98,91,48,22,800,242,988,2885,2122,1596,1625,1068,487,245,11257
POA3082,7,6,23,46,79,170,473,401,179,1383,0,11,29,37,35,54,107,100,48,420,54,93,176,150,132,156,144,102,71,1078,631,2002,4159,3661,3742,4454,2947,1215,417,23222
POA3083,8,12,42,44,68,134,342,533,265,1443,0,16,34,31,81,80,79,99,52,473,97,236,308,167,142,142,134,131,140,1501,854,3058,5213,3901,4027,3452,2724,1954,812,25992
POA3084,4,4,10,16,17,40,111,303,277,779,4,0,15,8,10,15,18,34,51,156,33,35,101,105,83,117,124,103,67,766,467,1409,3020,3862,3729,3176,2579,1862,956,21058
POA3085,3,0,5,5,16,25,78,146,146,413,0,0,6,3,9,9,18,11,9,58,24,38,63,53,35,36,43,49,25,364,290,828,1767,2032,1999,1467,1290,768,453,10901
POA3087,0,0,8,12,14,30,80,147,73,361,0,0,7,10,11,13,22,11,6,85,11,9,42,31,22,30,40,39,17,247,169,445,1292,1399,1191,1012,887,580,201,7169
POA3088,8,4,10,16,24,54,177,299,201,786,0,0,6,19,20,31,23,25,15,141,26,30,79,91,83,78,120,117,82,704,507,1274,2905,4050,3717,3266,3031,1691,670,21113
POA3089,5,4,3,6,5,11,42,71,37,184,0,0,4,0,0,4,0,0,0,21,14,15,29,32,54,29,50,27,10,265,348,827,1401,1618,1905,1729,1067,445,125,9466
POA3090,0,0,0,0,0,6,14,18,21,55,0,0,0,0,3,0,0,0,4,7,0,0,9,10,8,11,13,16,17,87,74,202,180,264,464,380,209,117,107,1996
POA3091,0,0,0,0,0,7,17,20,7,45,0,0,0,0,0,0,0,4,0,5,5,0,9,12,3,14,13,10,6,65,46,136,114,141,281,265,174,99,21,1282
POA3093,0,0,0,0,0,4,20,38,47,113,0,0,0,3,6,4,0,5,7,26,5,7,11,17,13,21,8,19,12,117,80,200,378,483,584,513,466,303,150,3152
POA3094,0,0,4,0,6,13,27,52,30,144,4,4,3,3,4,11,0,0,4,40,7,5,22,33,32,32,35,30,7,210,149,392,921,1400,1297,1118,1078,570,148,7073
POA3095,6,4,13,9,12,31,88,122,74,351,0,0,3,6,7,3,8,0,9,41,44,24,48,86,107,100,120,93,59,681,637,1583,2281,3491,4432,4172,3297,1354,366,21621
POA3096,0,0,0,0,0,5,9,13,14,40,0,0,0,0,0,0,0,0,0,3,0,0,5,0,7,5,0,0,4,32,44,144,221,195,270,296,166,108,57,1499
POA3097,0,0,0,0,0,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,10,8,6,9,14,9,8,10,0,74,52,92,115,161,249,240,183,80,13,1189
POA3099,0,0,0,0,8,10,20,23,7,72,0,0,0,4,0,0,0,0,0,5,0,4,6,24,16,33,23,18,6,133,112,300,444,574,735,800,602,247,46,3853
POA3101,5,7,6,13,24,29,79,111,100,371,0,7,16,14,20,34,37,24,22,182,39,44,107,84,135,136,107,112,110,885,482,1752,3169,2827,3435,3155,2468,1488,786,19563
POA3102,0,0,0,3,5,8,19,62,41,144,0,0,3,0,3,3,7,15,13,43,6,12,24,22,18,16,28,32,4,165,150,438,664,817,978,891,618,383,163,5101
POA3103,5,0,0,10,19,24,58,111,85,297,0,0,6,10,16,14,14,27,16,101,22,35,47,59,72,44,63,59,56,447,338,1051,1532,1909,2173,1948,1642,1132,624,12354
POA3104,3,5,3,9,26,41,76,176,125,459,0,5,0,19,21,23,18,25,26,142,35,35,52,53,94,70,53,61,47,495,593,1458,1834,2292,3378,2913,1905,1209,622,16202
POA3105,0,3,8,9,7,38,148,369,230,812,0,0,10,0,18,12,32,55,35,162,10,15,36,37,45,49,60,59,42,350,223,656,1235,1325,1531,1448,1099,1077,512,9108
POA3106,0,3,0,8,14,49,149,243,188,647,0,4,7,5,3,26,28,31,23,131,17,22,60,76,52,75,101,130,115,655,329,935,1571,2010,2112,2449,2114,1447,696,13655
POA3107,4,0,11,7,5,40,128,261,191,649,0,3,5,6,7,11,39,57,32,167,17,20,51,48,56,51,57,87,72,462,257,685,1358,1797,2045,1622,1398,1424,613,11206
POA3108,0,4,12,30,37,61,211,416,245,1019,0,3,33,19,20,66,54,69,68,326,33,44,148,149,122,97,115,115,79,910,414,1622,3892,3491,2928,2853,2440,2078,993,20709
POA3109,0,3,14,18,54,103,285,384,271,1129,0,5,26,37,33,56,72,102,56,377,36,41,103,132,134,109,148,158,72,931,536,1700,3366,4588,3853,3702,3111,2375,989,24209
POA3111,4,0,5,4,9,37,75,125,130,405,0,0,0,4,6,18,10,24,34,92,15,24,44,49,48,45,54,101,110,485,272,727,1059,1522,1816,1650,1357,1044,584,10028
POA3113,0,0,0,0,4,11,30,42,19,106,0,0,3,0,3,7,0,0,0,11,17,5,12,22,53,31,39,20,3,213,240,532,572,922,1547,1276,899,407,79,6479
POA3114,0,0,0,4,0,7,10,25,9,52,0,0,0,0,0,6,0,0,0,12,8,9,0,3,18,10,5,16,0,82,111,295,212,332,708,586,381,210,62,2898
POA3115,0,0,3,5,0,0,9,15,3,41,0,0,0,0,4,0,0,0,0,9,6,8,0,9,15,26,10,9,6,92,99,297,278,363,634,671,438,176,43,2995
POA3116,3,0,17,7,23,27,76,107,47,309,0,0,9,11,12,8,16,19,7,79,18,20,52,47,58,40,45,65,15,355,263,688,1536,1629,1502,1361,1174,691,163,9004
POA3121,0,0,25,24,62,111,172,222,141,758,0,3,12,31,44,75,84,87,65,394,42,120,478,254,198,195,150,97,44,1586,353,2440,10056,5193,3577,2893,1998,1032,412,27957
POA3122,0,0,8,11,11,8,42,59,53,196,0,0,7,10,10,7,8,13,15,73,45,82,227,126,93,98,86,81,50,884,560,2171,4982,3181,2600,2111,1739,1050,407,18801
POA3123,3,0,4,3,4,13,32,54,46,163,0,4,5,6,11,12,9,7,12,60,18,36,106,70,66,49,66,77,52,541,236,1184,2913,2121,1888,1510,1179,745,319,12088
POA3124,3,0,10,8,8,9,55,123,140,350,0,0,10,3,15,9,12,14,24,80,37,36,77,92,90,77,90,86,102,676,474,1550,2349,2486,3045,2755,2266,1492,1008,17415
POA3125,6,5,7,14,17,21,73,152,79,380,0,3,17,17,8,8,16,31,13,111,32,167,220,94,66,68,74,54,99,864,496,1986,2756,1795,1713,1391,1052,838,542,12575
POA3126,0,3,0,0,3,5,21,21,36,96,0,0,0,0,6,4,0,3,4,18,12,12,26,26,27,19,41,35,47,244,174,527,603,792,1095,1083,921,570,323,6080
POA3127,0,3,0,3,8,14,35,66,69,202,0,0,4,6,4,13,9,5,9,54,23,37,78,64,63,69,81,68,29,502,417,1271,1944,2206,2814,2447,2073,991,494,14660
POA3128,5,13,33,45,71,51,140,105,90,544,0,21,67,44,42,34,38,24,29,299,53,199,385,174,125,99,130,128,215,1513,439,2523,4872,3061,2754,2196,1662,1020,675,19206
POA3129,0,12,15,22,54,49,105,138,116,510,0,3,23,23,19,30,34,29,24,188,19,49,119,90,70,68,60,50,30,557,337,1216,2470,2474,2516,2115,1576,913,435,14067
POA3130,3,5,17,32,51,71,128,266,206,793,0,4,24,27,36,30,56,49,54,282,44,69,153,99,143,97,108,155,171,1034,647,2090,3734,4585,4742,3895,2867,2078,1246,25881
POA3131,0,4,19,39,45,99,143,250,171,767,0,5,22,22,31,65,53,40,31,269,30,57,139,142,124,101,150,177,167,1077,427,1319,3032,3473,3112,2482,2079,1620,895,18446
POA3132,4,12,7,18,30,51,71,119,77,381,0,0,17,14,21,48,30,16,10,147,19,18,63,62,49,51,45,47,27,384,294,986,2374,2675,2306,1876,1487,908,328,13230
POA3133,5,4,4,6,27,55,131,233,126,597,0,0,11,14,31,43,36,36,24,203,20,39,69,72,64,63,94,151,193,764,474,1310,2036,3068,3169,2602,2616,1861,758,17891
POA3134,8,12,75,80,48,86,173,267,229,971,0,9,52,42,39,54,48,33,20,300,47,53,135,176,144,113,123,123,75,988,661,2030,4496,5007,4784,4084,3140,1964,862,27021
POA3135,0,14,43,38,48,46,75,118,77,460,0,3,38,24,19,29,29,13,10,174,18,26,87,108,82,84,96,101,65,677,368,1096,2541,3150,2904,2328,1860,1162,476,15873
POA3136,13,20,100,116,109,119,225,351,253,1300,5,12,54,54,55,48,39,23,19,314,64,67,232,187,171,167,188,229,191,1501,849,2549,6091,6632,5900,5474,4606,2888,1221,36222
POA3137,0,6,29,46,58,42,88,125,78,473,0,0,22,17,23,20,22,10,3,113,14,19,66,47,37,59,62,65,63,426,310,874,2067,1969,1786,1802,1343,920,346,11414
POA3138,6,15,44,77,49,57,115,167,90,632,0,15,47,55,59,22,31,14,8,245,47,47,105,94,87,72,80,90,54,683,473,1441,3353,3351,2896,2519,2074,1141,346,17599
POA3139,3,3,25,23,42,55,79,108,42,374,0,0,8,5,6,6,0,16,12,48,46,28,55,59,89,85,60,50,16,491,379,836,1888,1701,1976,1949,1416,650,158,10947
POA3140,3,7,10,24,41,50,95,174,128,534,0,3,3,16,13,11,7,11,9,68,24,28,90,71,88,85,78,71,29,566,392,1063,2298,2128,2405,2194,1708,1067,425,13680
POA3141,0,0,16,7,16,30,37,60,46,223,0,7,12,11,18,14,13,15,16,110,67,137,552,300,192,152,127,91,39,1652,356,2184,8542,4183,2442,2095,1694,1024,360,22874
POA3142,3,0,0,6,4,3,12,20,28,77,0,0,0,0,0,3,0,0,0,15,43,47,96,79,88,95,120,99,78,740,218,864,1870,1361,1530,1677,1746,1230,514,11004
POA3143,0,0,5,0,3,5,17,49,29,112,0,0,3,0,0,0,0,12,5,28,11,39,60,58,59,19,41,57,31,375,111,661,1938,1388,1186,901,905,647,218,7952
POA3144,0,0,9,5,0,4,22,72,43,155,0,0,0,6,0,5,9,15,11,42,22,8,50,46,56,48,46,59,44,372,226,652,1304,1232,1487,1311,1142,913,420,8686
POA3145,0,5,9,9,20,20,84,171,108,423,0,4,23,15,14,25,6,31,23,137,22,55,187,104,61,90,98,95,81,788,501,1996,3557,2974,3235,2660,2088,1210,676,18902
POA3146,5,5,8,13,11,12,62,137,86,326,0,0,3,4,7,10,15,23,16,87,32,52,118,100,95,77,81,79,46,681,540,1844,3207,3406,3887,3206,2323,1407,548,20376
POA3147,5,0,7,12,15,43,81,110,89,369,0,3,7,13,16,18,28,21,5,114,6,34,86,69,54,53,75,63,66,509,289,893,1754,2053,2201,1818,1299,835,489,11642
POA3148,0,3,6,7,10,25,82,124,68,342,0,4,18,11,14,26,19,29,15,137,13,41,148,76,51,29,34,19,10,414,162,724,2094,1557,1106,883,664,439,181,7802
POA3149,10,4,21,16,46,70,200,366,224,952,0,3,25,14,26,37,60,61,45,270,55,105,205,155,154,138,95,145,114,1158,788,2437,4285,4807,4847,4088,2987,2390,1185,27823
POA3150,0,13,40,63,114,184,463,620,444,1939,11,11,45,62,59,93,127,107,98,620,112,162,317,316,251,257,294,464,538,2707,1309,4180,6714,8247,8272,7272,6695,5203,2567,50456
POA3151,0,0,9,9,14,41,122,229,109,537,0,0,17,18,16,19,32,32,16,161,10,28,63,52,45,30,44,49,22,344,191,825,1592,1360,1361,1183,1012,996,372,8884
POA3152,3,9,20,23,52,107,210,276,206,905,3,3,13,32,17,64,64,43,48,287,52,57,122,126,118,113,150,198,236,1171,738,2042,3958,4845,4335,4434,4124,2134,1139,27751
POA3153,11,10,22,38,52,88,126,174,96,619,0,3,21,24,33,35,38,13,9,176,32,51,139,161,126,104,101,141,242,1099,369,1176,3346,3415,2614,2374,1901,1139,608,16953
POA3154,0,0,3,0,14,6,25,29,21,106,0,0,5,0,0,3,0,0,0,11,3,8,20,11,23,14,19,37,37,178,92,221,525,599,658,574,435,225,115,3444
POA3155,6,9,23,38,57,75,140,184,133,673,0,0,10,21,19,21,26,25,12,135,46,60,176,152,112,107,135,118,50,962,422,1287,3747,3606,2978,2647,2357,1371,518,18930
POA3156,10,6,26,49,66,118,228,324,170,993,5,0,15,22,19,39,39,29,15,177,66,74,177,165,160,166,168,156,86,1214,938,2293,4772,5303,5515,5121,3672,1980,670,30268
POA3158,0,0,3,5,4,7,26,23,6,80,0,0,4,0,0,0,0,0,0,7,4,10,28,27,25,33,24,13,4,169,162,358,744,962,1044,971,721,220,56,5238
POA3159,5,0,0,0,4,5,7,6,4,31,0,0,0,0,0,0,0,0,0,4,12,16,15,20,28,13,3,7,3,114,73,145,225,380,415,357,262,106,20,1975
POA3160,0,0,10,4,16,17,35,48,13,142,0,0,5,0,0,4,0,0,0,18,18,13,39,36,41,31,44,19,11,252,212,485,974,1359,1371,1238,926,343,73,6974
POA3161,0,4,11,3,4,9,33,55,80,209,0,0,10,4,0,9,0,12,8,52,16,63,160,99,65,41,107,86,95,740,244,1328,3056,2235,1882,1644,1797,879,581,13646
POA3162,3,0,4,3,8,13,75,89,108,305,0,3,0,13,6,7,12,22,22,84,24,37,130,81,80,66,100,104,133,755,298,1018,2240,2429,2438,2031,2076,1076,643,14247
POA3163,5,0,14,25,34,70,139,258,177,720,0,11,39,15,8,13,23,47,26,185,30,100,302,153,123,90,139,141,123,1206,447,2433,6919,5303,3951,3341,2585,1523,718,27206
POA3165,4,0,4,9,23,48,170,341,250,854,0,5,13,10,8,15,31,55,28,164,50,49,102,140,116,109,112,100,86,866,611,1549,3085,4686,4717,3365,2381,1422,830,22659
POA3166,0,5,6,10,29,79,253,485,318,1185,0,5,14,10,8,29,81,114,56,326,30,102,216,145,103,87,83,59,44,880,456,2045,4401,3569,3377,2643,1771,1232,699,20194
POA3167,3,4,4,7,19,51,145,232,88,559,0,0,5,5,11,22,51,52,22,170,7,23,73,49,38,46,37,38,24,348,160,562,1469,1432,1235,1197,984,613,267,7922
POA3168,0,5,31,17,30,49,116,218,163,631,0,21,40,19,25,31,43,56,28,261,71,361,616,191,96,79,83,101,150,1748,1013,4628,6608,2505,1452,1228,916,733,524,19613
POA3169,7,6,21,33,55,151,394,482,188,1349,0,9,33,38,57,127,150,145,81,642,43,117,202,126,92,92,119,140,125,1061,397,1561,3978,2882,2340,2159,2009,1339,575,17240
POA3170,4,3,10,18,31,81,252,358,157,919,0,0,16,18,20,37,68,87,44,289,18,46,109,94,103,74,70,93,44,655,378,1133,2708,2886,2594,2075,1963,1418,519,15683
POA3171,4,21,124,139,214,317,297,320,201,1630,7,42,160,174,226,281,249,172,103,1421,60,103,356,164,138,130,112,94,90,1252,450,1853,4521,2987,2507,2325,1819,1191,612,18264
POA3172,6,8,50,115,175,256,281,282,140,1313,0,27,74,87,120,260,175,93,56,903,32,63,131,132,89,114,107,105,66,838,499,1505,2790,3063,3093,2997,2423,1422,552,18348
POA3173,6,3,46,114,195,330,338,278,131,1449,0,16,59,103,168,250,181,104,57,940,46,58,148,157,98,103,113,99,56,879,722,1969,4261,4712,3835,3185,2503,1276,456,22919
POA3174,22,29,120,238,273,407,487,574,304,2453,13,43,175,194,231,320,228,152,81,1438,93,167,506,312,259,270,244,194,82,2125,786,2939,7389,5669,4511,4186,3395,2145,868,31881
POA3175,25,62,327,486,414,457,637,752,351,3514,11,59,472,562,491,346,244,207,124,2515,193,290,903,726,487,458,404,336,169,3961,1134,3586,9586,7881,6018,5312,4429,2827,1229,42009
POA3177,8,19,94,162,100,116,133,95,55,793,0,23,167,194,124,82,43,21,17,672,58,76,221,154,122,108,124,106,50,1006,273,768,2257,1783,1282,1150,890,518,200,9136
POA3178,6,0,22,20,38,117,219,273,126,826,0,5,11,21,21,45,58,55,26,241,36,56,120,109,80,104,125,99,46,776,778,2345,3782,4173,5004,5115,3067,1660,554,26480
POA3179,3,0,7,9,15,26,50,30,11,151,0,0,0,0,10,13,11,9,6,43,12,9,30,45,27,23,28,19,11,192,153,405,693,916,879,745,603,272,64,4731
POA3180,0,0,3,6,20,22,41,63,26,181,0,0,6,12,8,10,7,8,4,52,7,13,31,33,23,24,33,45,13,213,157,454,930,1127,989,898,806,561,129,6055
POA3181,0,3,7,9,22,35,66,189,122,452,0,0,7,10,4,11,7,47,34,124,30,78,279,164,124,120,127,170,220,1324,205,1566,6271,3401,2088,1630,1217,905,555,17844
POA3182,3,8,5,14,31,25,58,67,32,238,3,5,17,10,4,10,10,19,4,78,26,111,485,336,279,259,176,114,34,1820,224,1356,6460,4274,3063,2620,1623,677,184,20475
POA3183,8,0,13,21,12,16,32,65,37,208,0,3,7,15,3,3,11,16,11,84,25,76,264,186,107,84,84,46,25,903,237,1214,4506,3155,2141,1562,1153,534,225,14729
POA3184,3,0,0,6,7,8,25,37,37,130,0,0,5,5,4,9,6,8,3,37,14,38,204,214,141,104,61,39,25,836,162,721,3300,2841,2401,1779,1042,424,147,12815
POA3185,0,0,4,3,8,13,34,49,56,176,0,4,5,3,3,3,4,16,7,46,24,29,90,82,42,38,48,34,31,418,233,764,2321,1984,1825,1467,1156,606,288,10644
POA3186,0,3,6,8,3,22,32,93,79,235,0,0,0,3,6,7,7,10,13,51,42,29,71,89,121,106,133,140,149,885,477,1190,1842,2442,3506,3334,2875,1953,952,18573
POA3187,0,0,4,9,4,14,44,93,106,280,0,6,4,13,9,8,11,13,7,69,32,22,50,56,88,54,72,112,167,647,385,839,1139,1916,2653,2115,1617,1224,853,12740
POA3188,0,0,4,17,18,27,68,116,93,349,0,5,3,4,13,16,18,19,5,78,28,23,78,94,100,100,103,87,24,645,419,1050,1663,2338,3035,2684,1809,1066,394,14460
POA3189,0,0,7,6,6,8,47,54,42,173,0,0,6,3,11,12,10,11,5,66,5,6,42,44,33,31,26,40,18,249,116,299,828,1061,873,695,530,356,163,4918
POA3190,3,4,3,5,13,25,67,98,62,289,0,4,0,3,5,4,19,21,11,72,22,20,65,77,66,32,53,55,51,436,213,566,1602,1884,1855,1321,1040,603,291,9381
POA3191,4,0,5,0,7,11,19,31,48,129,0,0,0,0,0,0,3,5,10,13,18,10,38,63,58,53,66,81,100,484,240,513,831,1297,1748,1580,1262,764,488,8730
POA3192,3,0,4,15,30,54,155,289,217,764,0,3,12,17,19,17,37,41,38,173,30,44,134,132,119,87,112,109,117,876,441,1194,3026,3776,3396,2618,2055,1473,954,18942
POA3193,0,0,3,5,9,13,45,73,64,204,0,0,9,0,6,0,12,6,0,29,30,6,34,65,93,74,87,85,50,520,444,1033,1135,1937,3352,3048,2581,1512,631,15676
POA3194,0,0,7,9,11,26,48,124,83,311,0,0,8,8,6,8,10,19,11,75,5,3,74,57,48,50,64,63,58,426,211,639,1710,1907,2010,1601,1298,889,403,10668
POA3195,8,4,12,22,47,90,165,247,202,796,3,0,5,21,26,34,36,31,21,180,48,40,114,141,150,134,153,159,122,1054,801,2051,3590,5078,6124,4839,3341,1918,864,28605
POA3196,9,8,15,28,29,62,120,237,172,690,6,3,11,14,10,12,24,22,10,107,47,46,164,173,137,150,155,164,111,1137,450,1150,3517,4215,3778,3225,2590,1596,718,21231
POA3197,3,3,7,9,11,27,87,104,63,325,0,0,4,3,7,17,18,11,8,69,22,12,54,50,40,41,53,65,25,364,221,556,1299,1562,1840,1732,1430,722,252,9618
POA3198,12,12,15,31,39,62,111,137,74,494,3,3,9,0,0,9,10,4,4,60,40,44,134,172,176,118,93,109,65,963,309,802,2352,2680,2442,2036,1679,1016,378,13706
POA3199,20,22,64,92,117,176,309,439,279,1514,4,13,29,26,20,28,22,30,20,199,169,191,527,462,459,409,373,408,371,3377,1266,3103,7460,7544,7490,6780,5740,3516,1559,44461
POA3200,4,9,25,27,29,53,61,70,58,348,0,0,0,4,0,4,6,4,3,24,47,42,101,92,99,84,44,57,21,587,140,345,964,711,670,699,469,349,194,4536
POA3201,10,12,30,40,83,99,165,177,106,718,9,3,14,15,19,25,21,17,14,123,53,56,173,132,133,101,119,112,112,993,482,1307,3682,3195,2884,2552,1708,829,423,17056
POA3202,0,0,4,3,0,11,17,16,17,56,0,0,0,0,0,0,4,4,0,9,3,8,19,10,11,13,37,26,11,135,64,134,271,382,528,317,245,121,43,2102
POA3204,7,8,9,11,22,40,131,233,143,595,4,5,28,21,24,39,31,28,26,208,48,78,182,146,149,111,118,122,83,1033,721,2087,4199,4737,5219,3863,2599,1411,659,25502
POA3205,0,0,13,12,12,21,37,61,38,199,0,0,11,3,10,8,14,8,26,84,24,30,124,113,110,97,67,85,95,742,149,630,2507,2001,1653,1323,901,531,278,9973
POA3206,0,4,5,6,4,11,48,150,57,284,0,0,0,0,0,0,4,22,17,47,9,10,31,51,47,50,56,49,29,329,152,364,899,1355,1652,1426,1093,782,231,7966
POA3207,4,0,17,13,21,46,95,151,75,414,0,0,7,5,3,11,26,35,8,95,33,60,210,202,175,158,135,85,32,1087,249,697,2713,3126,2904,2242,1669,923,240,14760
POA3211,0,0,0,3,4,4,21,13,3,51,0,0,0,0,0,0,0,0,0,8,12,6,8,12,32,30,10,8,4,117,51,97,97,167,218,220,137,52,16,1046
POA3212,11,5,21,34,39,73,157,141,90,574,0,0,5,10,13,10,10,14,5,68,34,51,164,140,107,72,83,77,43,773,456,1056,3035,2892,2572,2030,1745,819,291,14897
POA3213,3,6,12,3,19,21,40,53,15,165,0,0,5,5,4,3,6,3,0,24,10,19,24,25,31,41,17,12,5,190,124,352,537,558,746,689,370,187,45,3615
POA3214,33,50,120,152,179,261,422,339,179,1740,7,14,74,131,125,96,67,60,29,603,152,150,402,319,305,262,243,193,85,2115,740,1740,3855,2822,2968,2949,2339,1242,453,19105
POA3215,5,6,35,55,64,104,334,473,308,1385,0,4,21,14,25,29,46,67,52,254,45,64,152,123,130,91,137,184,156,1080,436,1319,3335,2644,2677,2493,2447,1622,839,17803
POA3216,24,15,42,50,83,125,276,506,423,1554,0,9,28,29,31,34,23,17,26,201,122,263,383,235,234,215,299,365,322,2441,1611,4773,8409,7508,7151,6470,5858,3913,1953,47645
