POA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
POA3038,3,0,0,4,0,0,0,49,0,0,0,0,11,12,5,5,14,0,7,0,0,0,0,61,0,0,0,0,6,4,3,9,0,0,0,0,0,0,0,24,10,183,389,61,17,13,9,27,0,3,0,0,0,0,17,722,0,0,0,0,6,0,4,0,0,3,3,0,0,0,0,16,0,0,0,0,4,5,0,4,0,0,0,0,0,0,0,12,0,0,26,90,51,21,21,14,4,0,4,0,0,0,15,243,0,0,3,14,37,14,11,15,0,0,0,0,0,0,0,100,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,9,0,16,5,7,0,0,3,0,0,0,0,0,0,0,0,24,0,3,3,25,26,40,79,26,12,13,14,0,3,0,3,241,0,4,237,319,78,25,25,8,0,0,8,0,0,0,19,719,0,0,0,3,21,9,9,20,0,0,9,11,3,0,0,91
POA3039,5,0,10,9,0,0,0,50,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,19,0,3,3,4,12,3,23,11,0,4,3,0,0,6,0,63,15,226,227,27,11,7,5,27,4,4,4,4,0,0,20,582,0,0,0,0,0,13,13,5,0,0,0,0,0,0,0,41,0,0,0,0,4,5,13,21,9,6,0,5,7,0,0,63,0,0,6,15,0,0,0,0,0,0,0,0,0,0,3,30,0,0,7,11,14,14,40,21,4,9,6,0,0,0,6,136,0,0,0,0,0,0,6,17,6,30,47,37,6,0,0,157,0,12,6,0,0,0,0,7,7,0,0,0,0,0,0,29,0,0,7,21,29,34,84,65,20,9,10,10,0,0,6,299,0,0,13,9,7,7,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,18
POA3040,6,3,3,0,0,0,0,61,0,0,0,0,0,19,14,9,0,7,0,0,0,0,4,45,6,10,9,3,14,6,17,5,0,0,3,0,0,0,0,88,13,275,244,34,7,10,13,27,8,3,0,6,0,0,12,646,0,0,0,3,5,3,19,6,5,11,5,0,3,0,0,55,0,0,0,0,3,7,16,10,8,0,5,0,0,0,0,53,0,3,29,24,9,10,6,3,0,0,0,0,0,0,0,94,0,0,4,17,38,14,45,8,10,5,4,0,3,0,3,156,0,0,0,0,0,3,31,36,30,35,54,63,15,0,5,270,0,13,0,6,5,0,3,0,0,0,0,0,0,0,0,31,0,4,15,32,41,50,65,60,9,11,13,6,7,3,4,321,0,0,4,9,4,0,4,4,0,0,0,0,0,0,0,27,0,0,3,0,0,6,12,5,0,5,0,13,0,0,0,47
POA3041,0,3,0,0,0,0,0,29,0,0,0,0,3,16,11,7,0,0,0,0,0,0,0,36,0,4,6,5,12,5,8,6,0,0,0,0,0,0,0,49,11,138,103,23,4,4,14,3,4,4,0,0,0,0,4,310,0,0,0,0,0,8,5,0,0,6,0,0,0,0,0,23,0,0,0,0,3,7,8,6,0,0,0,0,0,0,0,25,0,0,9,9,9,4,4,0,0,0,0,0,0,0,0,40,0,0,4,16,8,5,17,11,8,0,4,3,0,0,0,76,0,0,0,0,0,0,16,7,0,6,15,8,0,0,5,52,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,12,15,13,37,26,5,0,12,3,0,0,0,136,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,6,8,0,3,0,0,0,0,0,25
POA3042,0,0,0,0,0,0,0,46,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,13,0,3,4,3,9,6,7,17,3,0,0,0,0,0,0,58,23,360,394,50,13,9,7,37,0,8,0,0,0,0,19,911,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,18,0,5,15,14,8,7,7,0,0,0,0,0,0,0,0,52,0,0,0,4,14,10,9,11,4,3,0,4,0,0,3,60,0,0,0,0,0,0,7,5,0,0,3,3,0,0,0,21,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,25,0,0,9,18,24,26,26,22,3,0,4,4,0,0,4,148,0,0,17,9,7,3,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,4,12,0,0,9,0,0,0,3,34
POA3043,3,0,0,0,0,0,0,81,0,0,5,3,9,55,41,32,15,12,9,4,0,0,6,188,0,4,9,4,5,6,5,12,0,0,3,0,0,0,5,43,16,176,217,36,16,11,0,9,3,0,0,9,0,0,18,517,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,44,94,45,47,51,13,4,0,0,0,0,0,13,319,0,0,0,0,18,6,14,15,0,0,0,0,0,0,0,65,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,18,6,0,3,0,0,0,0,0,0,0,0,0,0,28,0,0,8,14,38,34,53,40,0,8,0,5,0,3,6,217,0,0,7,10,3,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,0,14,16,9,9,16,10,0,0,0,86
POA3044,3,0,5,6,0,0,0,112,0,0,0,0,4,24,17,11,0,0,3,0,0,0,0,66,0,7,3,9,7,0,16,17,0,3,3,0,0,0,5,81,32,486,453,80,23,10,23,57,6,9,7,0,0,0,30,1211,0,0,0,5,0,12,17,9,5,0,4,0,0,0,0,56,0,0,0,0,0,7,24,7,3,0,0,3,0,0,0,53,0,3,25,80,49,41,30,13,0,4,0,4,0,0,15,261,0,0,0,15,20,23,49,23,19,6,0,3,0,0,3,159,0,0,0,0,0,6,48,30,21,41,37,52,8,0,3,241,0,3,3,0,4,0,4,0,3,0,0,0,0,0,0,28,0,0,3,15,55,46,105,80,14,13,14,5,5,10,11,382,0,0,15,6,6,8,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,6,54,59,24,25,10,15,12,0,0,213
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,18,4,3,4,0,0,7,202,0,0,0,3,7,66,56,37,16,7,6,5,3,0,5,209,0,0,9,9,8,3,20,21,0,0,0,0,0,0,0,77,40,459,437,63,25,8,25,48,6,0,0,0,3,0,87,1208,0,3,0,0,5,9,23,3,0,0,0,0,0,0,0,47,0,0,0,0,0,5,35,25,4,4,0,0,0,0,4,76,0,0,57,203,106,145,157,86,11,15,18,16,3,4,34,851,0,0,4,6,20,14,70,26,6,14,11,9,0,0,0,185,0,0,0,0,0,11,279,247,145,285,421,459,134,5,46,2033,0,10,0,0,0,4,3,0,0,0,0,0,0,0,0,26,0,0,6,27,56,59,130,107,10,18,6,8,9,3,13,450,0,0,5,10,7,7,3,3,4,0,0,0,0,0,3,44,0,0,0,0,7,30,152,316,82,75,106,90,48,12,20,937
POA3047,3,0,0,3,0,0,25,176,0,0,0,8,21,188,204,209,79,77,36,96,30,3,28,974,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,17,4,41,65,13,0,0,0,3,0,0,0,0,0,0,8,140,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,18,150,130,113,221,138,39,24,25,20,8,5,45,937,0,0,0,0,0,5,8,9,4,3,7,3,0,0,5,49,0,0,0,0,0,0,145,140,36,109,145,152,41,8,4,793,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,24,50,59,57,9,12,3,4,0,0,21,244,0,0,4,9,5,10,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,19,113,220,75,76,114,110,34,0,37,799
