POA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,5,3,5,0,0,14,0,0,0,5,8,9,3,3,0,38,15,66,97,94,102,92,55,32,7,563
POA3064,33,283,236,1318,238,57,27,11,0,2189,0,0,4,8,3,5,4,0,0,25,5,85,227,911,369,334,133,16,3,2081,0,0,0,28,20,28,24,5,0,113,0,49,84,233,189,157,67,13,0,798,0,0,4,17,15,28,34,16,10,116,0,34,45,85,43,38,17,0,0,260,0,16,10,60,23,29,10,5,0,157,9,117,271,1114,501,416,123,51,14,2618,0,0,7,28,3,5,0,0,0,38,0,12,24,172,34,21,4,0,0,269,9,73,131,817,741,637,217,87,18,2740,7,44,29,49,12,8,8,0,0,149,0,13,22,176,99,66,29,10,4,412,0,0,0,5,4,0,0,3,0,17,0,5,33,84,48,5,0,0,0,179,71,599,737,2205,1017,811,426,168,60,6089,429,907,677,1990,586,366,219,85,42,5301,10644,18891,15210,40923,12262,9204,4897,1849,539,114413
POA3065,0,3,0,8,0,0,0,0,0,9,0,0,0,0,8,6,0,0,0,9,0,0,4,16,8,4,0,0,0,32,0,0,0,4,3,8,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,9,3,0,0,59,0,0,3,16,0,4,4,0,0,27,0,0,3,32,8,6,4,0,0,44,0,0,0,14,3,3,0,0,0,23,0,0,0,15,4,0,0,0,0,16,0,0,5,13,3,0,4,0,0,31,0,0,0,0,0,6,4,0,3,19,3,3,6,99,16,12,6,4,0,159,0,12,33,73,67,70,51,19,6,340,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,15,0,20,61,336,92,47,46,18,12,638,45,77,93,359,98,106,58,31,12,883,453,616,994,4914,1197,1108,697,324,135,10431
POA3066,0,0,0,6,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,9,0,3,0,42,7,0,4,0,0,57,0,0,0,7,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,10,6,4,0,65,0,0,0,43,7,0,0,4,0,53,0,0,0,38,3,0,0,0,0,49,0,0,0,28,0,0,0,0,0,28,0,0,3,15,0,3,0,0,0,24,0,0,0,23,8,4,0,0,0,44,0,0,0,16,13,12,4,8,0,55,0,7,3,110,9,3,0,0,0,136,0,4,17,66,67,54,46,16,16,284,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,14,56,77,374,90,39,24,15,0,681,34,62,78,277,82,49,25,15,3,627,380,522,847,5100,1030,661,394,189,67,9179
POA3067,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,9,85,7,5,0,0,0,113,0,0,0,5,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,12,6,3,0,47,0,4,8,38,4,3,4,0,0,59,0,0,0,48,3,6,4,0,0,61,0,0,3,31,3,0,0,0,0,39,0,0,0,21,0,0,0,0,0,27,3,0,5,40,9,0,3,0,0,58,0,0,0,7,0,0,3,0,0,10,0,0,14,81,5,0,5,0,0,108,0,4,31,96,55,74,63,17,8,353,0,0,0,6,0,0,3,0,0,10,0,0,0,9,0,0,0,0,0,12,9,3,15,267,30,19,14,7,4,365,9,25,47,267,58,41,28,18,9,494,340,397,859,5063,888,692,508,249,97,9096
POA3068,0,0,3,7,0,0,0,0,0,14,0,0,0,3,5,0,4,0,0,10,0,0,0,17,11,4,6,0,0,47,0,0,0,6,5,0,8,5,0,26,0,4,0,6,0,0,0,0,0,10,0,0,3,46,11,11,22,14,3,105,0,0,3,34,6,0,4,0,0,49,0,0,4,62,12,4,4,0,0,90,0,0,0,23,5,0,5,0,0,43,0,4,0,12,4,3,0,0,0,24,0,0,6,16,4,3,0,0,0,36,0,0,3,15,9,6,0,0,0,39,7,22,13,146,32,18,9,10,0,263,0,10,3,33,21,25,33,11,0,136,0,0,0,7,3,0,0,5,0,26,0,0,0,0,0,4,0,0,0,9,0,14,31,253,76,68,45,47,21,566,22,46,71,253,87,75,83,44,21,698,891,1720,1796,7685,2373,1946,1658,922,385,19382
POA3070,0,0,0,10,3,0,0,0,0,19,0,0,0,6,5,3,0,0,0,19,0,0,5,46,10,7,11,0,0,77,0,0,0,23,5,0,8,4,0,38,0,0,0,0,0,0,0,0,0,0,0,5,0,57,29,22,10,4,0,133,0,10,4,38,6,0,0,0,0,64,0,4,7,59,17,11,4,0,0,106,0,0,7,41,8,13,3,3,0,84,0,0,0,18,3,4,0,0,0,28,0,5,4,28,10,4,3,0,0,55,0,0,0,16,13,5,5,5,0,48,12,17,15,140,42,17,14,5,3,258,0,0,11,45,29,43,25,16,3,176,0,0,0,11,7,4,0,0,0,21,0,0,0,10,0,4,0,0,0,18,3,16,21,284,97,52,53,43,24,602,28,63,71,313,115,82,73,60,22,837,1153,2636,2521,9193,3830,2629,1682,1111,528,25276
POA3071,3,0,0,12,4,0,0,0,0,16,0,0,0,4,0,0,0,0,0,4,0,3,9,37,9,8,0,0,0,68,0,0,0,16,6,4,7,0,5,34,0,0,0,0,0,0,0,0,0,4,0,3,5,33,8,13,5,4,0,71,0,3,0,25,4,3,3,3,0,45,0,0,8,38,8,5,4,0,0,62,0,0,3,24,3,4,6,0,0,46,0,0,0,13,0,0,0,0,0,14,0,10,7,24,11,0,0,0,0,50,0,0,0,5,6,3,0,0,0,20,4,5,12,87,20,9,3,0,0,149,0,0,10,39,36,49,26,13,8,183,0,0,0,12,3,0,0,0,0,17,0,0,0,5,5,0,0,0,0,13,6,13,20,232,68,59,52,28,16,491,13,43,68,208,73,49,48,35,10,546,976,1828,1860,7219,2685,1856,1233,852,495,19005
POA3072,0,9,9,56,4,10,0,0,0,93,0,5,0,5,3,3,0,0,0,20,0,17,18,141,41,36,29,13,0,295,0,0,0,12,6,8,3,3,4,32,0,0,0,0,6,8,0,0,0,7,0,0,4,41,25,18,11,7,0,101,0,3,6,52,15,8,9,5,0,90,0,3,5,67,12,3,9,0,0,94,0,0,6,76,13,10,16,11,6,143,0,0,3,28,5,0,4,0,0,38,0,8,9,63,11,7,0,0,0,100,0,0,0,22,13,15,9,9,3,71,0,17,12,97,24,10,5,3,0,164,3,15,44,200,163,174,110,33,9,747,0,0,0,5,6,6,0,0,0,21,0,0,0,16,0,0,0,0,0,24,9,49,56,542,159,127,117,76,32,1169,58,102,114,483,192,131,107,77,37,1296,1789,3276,3444,12617,4742,3410,2294,1484,740,33790
POA3073,3,16,28,149,7,5,0,0,0,224,0,3,0,13,10,3,0,0,0,33,9,29,32,253,59,74,48,8,5,507,0,0,0,18,6,3,10,9,3,51,0,0,0,7,11,11,4,4,0,35,0,0,0,28,12,23,17,19,3,106,0,5,5,36,11,3,3,0,0,70,0,0,6,49,18,7,7,5,0,92,0,9,25,158,24,24,15,3,3,262,0,3,5,51,3,9,0,0,0,65,0,6,14,105,25,5,5,0,0,166,0,0,4,42,26,35,20,11,5,150,5,10,13,92,14,13,8,0,0,148,0,18,80,327,210,224,100,41,12,999,0,0,0,5,9,6,10,0,0,22,0,4,0,26,3,4,3,0,0,43,46,149,138,932,230,234,201,124,54,2105,113,214,249,860,327,293,294,225,223,2809,3105,4857,5233,17482,6424,5178,4003,3075,1753,51096
