POA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3136,18709,20481,39192,249,274,523,22,21,45,2019,2193,4210,15,22,35,3,10,13,5,8,14,9,4,11,8,5,11,0,0,0,0,0,0,2070,2265,4338,91,97,191,31,24,54,2441,2658,5104,665,773,1440,21816,23915,45731
POA3137,5968,6394,12364,74,100,181,5,4,7,602,703,1303,8,5,15,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,622,714,1336,14,22,33,19,9,27,727,845,1574,194,207,400,6892,7445,14336
POA3138,9767,9951,19722,214,229,440,12,9,22,866,894,1762,16,9,29,3,6,6,5,0,5,8,5,8,3,6,7,0,0,0,0,0,0,906,927,1827,26,29,51,18,8,24,1152,1193,2346,348,341,687,11268,11482,22753
POA3139,6192,6223,12416,118,121,244,4,3,8,396,404,800,3,3,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,408,417,827,18,6,31,11,13,21,561,558,1123,296,240,538,7051,7023,14075
POA3140,7156,7639,14799,119,138,258,8,0,15,691,715,1401,5,7,18,4,7,11,6,5,11,0,0,0,4,0,4,0,0,0,0,0,0,719,739,1458,28,19,44,14,4,18,875,908,1782,289,281,574,8325,8832,17154
POA3141,7456,8087,15546,479,545,1019,165,159,323,2421,2792,5210,93,114,208,41,41,81,45,59,102,17,21,39,11,13,22,32,18,50,0,0,0,2829,3214,6042,234,270,501,29,38,73,3566,4065,7633,778,895,1678,11800,13056,24858
POA3142,4560,5239,9799,144,183,327,53,63,111,649,779,1425,22,26,50,4,5,9,12,14,18,0,3,6,0,8,10,3,10,8,0,0,0,739,899,1633,76,68,151,9,6,14,967,1154,2124,370,430,797,5894,6823,12723
POA3143,3153,3748,6898,121,145,269,20,41,59,658,786,1444,14,17,33,3,11,17,10,11,21,0,6,3,0,0,0,4,5,9,0,0,0,704,877,1584,58,73,130,10,5,10,894,1103,1994,177,210,389,4221,5064,9281
POA3144,4050,4634,8687,146,139,282,19,22,45,542,616,1158,15,16,28,0,0,0,3,0,6,6,3,10,0,0,4,3,0,3,0,0,0,590,655,1251,38,32,69,10,9,19,782,841,1625,181,182,369,5014,5662,10675
POA3145,8960,9440,18404,279,319,599,26,44,71,1588,1618,3207,16,29,43,16,11,27,12,11,19,12,6,18,3,3,3,5,6,15,0,0,0,1680,1731,3405,98,73,169,24,19,38,2075,2141,4217,364,395,767,11405,11979,23387
