POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA3433,91,88,170,39,15,53,20,31,43,0,7,8,0,0,7,62,45,109,20,29,48,3.2,4.1,3.6,68.9,58.3,63.8,66.7,56,61.5,5,4,10,0,5,5,5,16,22,7,7,19,26,8,34,0,0,4,0,4,4,25,9,38,94,77,172,10,13,19,73,61,135,28,25,49
POA3434,2452,2449,4902,1266,630,1896,286,699,982,103,138,242,53,45,95,1705,1512,3219,621,826,1441,3.1,2.9,3,69.5,61.8,65.6,67.3,60,63.7,57,87,138,39,103,141,221,392,615,213,296,510,833,362,1194,14,35,51,30,63,89,881,453,1336,2562,2509,5068,329,371,695,1654,1630,3289,1063,1086,2147
POA3435,1293,1325,2614,586,331,915,175,364,531,59,71,128,30,19,47,839,776,1621,369,470,839,3.6,2.1,2.8,65.2,59,62,62.8,57.8,60.3,33,57,87,25,52,82,125,239,364,111,175,285,387,149,536,5,14,24,11,20,31,409,177,595,1293,1351,2647,153,179,330,874,904,1776,509,552,1061
POA3437,4415,4647,9062,2246,1234,3479,577,1453,2027,183,223,401,102,92,194,3101,2997,6101,1125,1404,2530,3.3,3,3.2,70.3,64.6,67.4,68,62.6,65.2,188,251,437,120,256,376,601,950,1551,481,578,1063,1237,459,1688,34,55,88,82,92,170,1349,607,1950,4881,4944,9825,627,642,1266,3276,3298,6575,1908,1980,3893
POA3438,943,1041,1985,465,239,706,114,329,442,44,37,80,21,28,42,638,627,1270,259,375,635,3.3,3.8,3.5,67.9,60.6,64.1,65.7,58.3,61.8,53,56,107,33,53,91,134,192,330,96,149,242,252,94,341,4,10,11,12,17,29,266,118,383,1075,1128,2201,91,107,198,795,811,1606,311,351,662
POA3440,814,800,1617,354,190,545,139,244,378,31,50,84,12,18,27,539,502,1041,236,266,506,2.2,3.2,2.7,65.9,62.3,64.1,64.4,60.3,62.4,63,86,145,24,61,85,150,198,346,84,91,167,193,55,251,5,7,12,5,20,27,207,80,293,893,856,1749,100,95,193,646,631,1278,294,288,585
POA3441,606,568,1172,276,135,413,99,132,223,31,35,71,11,6,18,410,313,724,161,216,374,1.9,2.2,2.1,67.5,55.2,61.6,66.2,54,60.3,62,76,138,18,37,54,155,131,284,60,75,130,89,30,124,4,8,12,10,8,20,103,54,154,661,562,1225,56,49,113,452,398,849,234,197,425
POA3442,3317,3606,6926,1438,788,2224,473,1038,1507,149,175,320,70,73,145,2131,2069,4202,1004,1366,2368,3.4,3.4,3.4,64.2,57.3,60.6,62.1,55.3,58.6,287,331,615,108,231,340,640,811,1454,301,425,728,672,292,967,19,37,50,47,65,107,732,389,1117,3448,3637,7084,477,531,1007,2305,2475,4776,1425,1520,2943
POA3444,4083,4324,8406,1648,950,2591,616,1175,1795,153,220,374,88,71,166,2509,2417,4919,1319,1630,2948,3.6,2.9,3.3,61.4,55.9,58.5,59.1,54.2,56.6,192,285,481,109,218,326,623,785,1413,371,483,852,867,433,1300,40,60,100,53,74,127,959,565,1521,4061,4221,8285,513,541,1060,2742,2864,5610,1642,1715,3352
POA3446,458,449,910,190,88,275,80,152,229,12,16,28,16,8,24,293,267,559,133,154,291,4.8,3.4,4.1,64,58.8,61.4,60.9,56.8,58.9,35,42,81,13,29,41,63,104,165,32,46,73,126,56,183,0,4,3,5,7,9,135,66,201,468,468,941,46,39,90,294,317,614,186,171,356
POA3447,245,220,469,78,46,122,42,55,98,15,10,32,3,6,10,143,123,260,84,80,164,2.9,3.3,3.1,56.9,54.5,55.8,55.3,52.7,54.1,12,16,27,11,11,19,32,45,81,22,36,52,62,20,82,3,0,0,3,7,14,69,28,99,212,214,432,24,21,47,153,150,305,77,80,165
POA3448,415,405,822,144,86,229,73,120,194,23,21,48,9,8,22,254,244,491,134,132,271,5.2,4.1,4.7,60.5,59.5,60,57.3,57,57.2,24,28,51,10,25,40,55,71,124,40,55,98,94,48,144,4,9,11,5,7,22,107,64,173,403,405,807,44,40,82,297,286,587,120,140,260
POA3450,3274,3358,6628,786,503,1287,506,858,1363,72,112,183,62,49,111,1428,1520,2945,1603,1496,3101,4.5,3.2,3.8,43.7,45.3,44.5,41.7,43.8,42.8,248,332,581,110,225,337,489,690,1181,259,374,633,448,220,664,19,34,53,33,40,79,499,297,797,2568,2949,5517,393,445,834,1727,2033,3761,1091,1258,2354
POA3451,2340,2476,4813,821,457,1280,415,796,1208,86,105,194,51,48,99,1378,1409,2780,834,929,1764,3.7,3.4,3.6,58.9,56.7,57.8,56.7,54.8,55.7,136,218,355,64,165,223,336,462,797,224,280,500,575,283,861,24,22,46,30,43,71,634,343,981,2346,2406,4754,307,345,652,1526,1552,3081,1011,1087,2096
POA3453,786,767,1554,300,147,446,131,239,372,41,48,85,8,19,26,478,451,927,249,262,512,1.5,3.8,2.6,60.7,58.9,59.8,59.8,56.7,58.2,35,41,82,24,45,63,93,150,245,73,86,157,204,77,286,7,16,23,19,8,24,227,109,335,761,772,1531,92,69,167,583,569,1153,253,253,500
POA3458,1000,1011,2013,358,176,539,157,262,418,47,59,101,11,14,22,568,511,1081,340,395,740,1.8,2.7,2.2,57,50.7,53.8,56,49.3,52.6,85,86,171,34,53,86,175,216,395,93,127,224,212,107,320,4,10,10,18,21,33,234,136,367,939,899,1841,138,141,275,614,589,1206,413,413,828
POA3460,1130,1352,2485,347,216,561,211,333,543,31,36,75,31,18,50,622,601,1231,409,632,1040,5.3,2.8,4.1,55.3,44.7,49.5,52.4,43.4,47.5,88,88,175,26,71,105,162,286,445,140,137,278,199,112,312,8,14,27,20,22,44,228,150,381,987,1201,2191,177,179,360,613,786,1396,505,567,1069
POA3461,2013,1994,4004,653,363,1015,370,551,923,85,98,188,46,40,88,1152,1051,2205,711,793,1503,4.2,3.7,4,57.4,52.7,55.1,55,50.7,52.9,120,156,274,58,120,174,305,393,698,184,251,441,446,196,637,19,19,28,26,35,57,482,245,731,1936,1853,3790,179,230,415,1379,1329,2704,696,713,1409
POA3462,543,513,1054,147,86,240,99,139,239,27,21,48,12,4,18,284,256,539,212,218,433,4.2,1.6,3,52.7,49.3,51,50.5,48.5,49.5,18,37,58,21,30,54,66,87,151,44,70,111,132,53,187,3,5,7,10,6,13,142,66,207,521,470,990,63,62,129,381,329,708,189,182,369
POA3463,1140,1183,2324,345,189,530,162,269,434,49,43,96,27,25,51,581,527,1112,491,594,1088,4.5,5.3,4.9,51.1,44.7,47.8,48.9,42.3,45.5,62,75,145,31,64,94,142,203,339,86,146,238,319,113,443,17,11,32,17,19,40,358,148,505,1064,1034,2098,131,162,294,760,707,1467,411,458,869
