POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3155,6685,17280,1489,2823,845,1836,2333,4667,139,216,150,213,12,20,0,0,13,16,319,474,0,0,0,0,0,0,10,13,10,13,4,20,9347,22448,544,..,9898,22448
POA3156,12559,34489,614,1011,416,974,1033,1989,84,133,91,144,26,44,0,0,20,35,226,364,0,0,0,0,0,0,26,44,26,44,8,17,13853,36895,602,..,14457,36895
POA3158,2374,6520,6,15,6,12,9,20,24,51,0,0,0,0,0,0,0,0,24,51,0,0,0,0,0,0,0,0,0,0,0,0,2413,6588,115,..,2524,6588
POA3159,845,2428,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,2434,54,..,907,2434
POA3160,3143,8585,19,33,30,37,51,71,8,8,0,0,0,0,0,0,7,9,15,17,4,0,0,4,0,0,3,7,7,9,3,9,3218,8691,153,..,3369,8691
POA3161,2449,7293,821,1909,814,1903,1640,3809,1199,2093,643,1098,579,1000,246,408,0,0,2669,4596,0,0,0,0,0,0,7,16,7,16,7,13,6773,15734,1046,..,7815,15734
POA3162,3366,9803,1368,3016,891,2294,2258,5310,730,1197,224,380,127,223,0,0,6,15,1095,1811,0,0,0,0,0,0,16,39,17,37,3,8,6741,16971,586,..,7336,16971
POA3163,4677,13218,2994,6155,1116,2818,4113,8973,3106,5081,858,1561,1262,2206,24,42,5,16,5248,8902,0,0,0,0,0,0,66,136,66,136,11,16,14112,31245,1805,..,15914,31245
POA3165,7471,21173,681,1500,841,2614,1526,4116,1425,3264,119,195,228,393,0,0,12,17,1786,3873,0,0,0,0,0,0,19,36,19,36,5,12,10802,29214,751,..,11558,29214
POA3166,5793,16066,1013,2092,924,2417,1941,4511,659,1327,182,301,779,1340,0,0,0,6,1621,2974,0,0,0,0,0,0,5,12,5,12,9,22,9378,23576,1057,..,10432,23576
POA3167,2995,8210,187,399,175,452,362,857,97,185,9,19,110,202,0,0,0,7,224,407,0,0,0,0,0,0,0,0,0,0,0,3,3579,9472,238,..,3813,9472
POA3168,2640,7260,1281,3137,1421,4147,2703,7283,543,1029,383,696,478,782,383,710,4,3,1794,3219,0,0,0,0,0,0,0,8,3,9,16,25,7150,17797,1452,..,8606,17797
POA3169,4936,13914,1179,2807,696,1995,1875,4803,239,541,160,319,144,264,0,3,0,5,542,1131,0,0,0,0,0,0,0,0,0,0,9,9,7364,19865,691,..,8054,19865
POA3170,5693,16050,526,1332,601,1642,1127,2973,9,18,0,0,0,0,0,0,9,11,19,26,0,0,0,0,0,0,4,13,4,13,8,10,6856,19073,373,..,7228,19073
POA3171,4972,15948,957,2410,486,1429,1441,3837,504,908,42,103,89,168,0,0,9,15,644,1193,20,24,72,80,0,0,4,17,101,117,10,15,7165,21117,608,..,7773,21117
POA3172,6346,19689,885,1727,204,584,1093,2308,94,270,16,33,0,0,0,0,11,30,125,333,46,53,14,19,0,0,3,3,60,72,3,5,7627,22409,297,..,7927,22409
POA3173,8144,26890,379,728,483,1316,858,2042,95,214,0,0,0,0,0,0,6,17,97,232,0,0,0,0,0,0,0,5,0,5,0,4,9102,29176,400,..,9510,29176
POA3174,9537,27859,953,1989,845,2249,1792,4234,2161,4645,118,215,48,101,0,0,7,16,2332,4986,0,7,0,0,0,0,4,8,3,13,21,40,13683,37129,1093,..,14778,37129
POA3175,10943,33047,3151,7075,1523,4516,4675,11588,1549,3174,271,499,298,527,0,0,5,11,2126,4202,44,56,16,26,0,0,16,41,79,123,31,75,17855,49038,1541,..,19392,49038
POA3177,3169,9042,680,1393,168,482,849,1876,10,15,5,8,0,0,0,0,0,0,11,19,0,0,0,0,0,0,4,3,9,5,11,32,4045,10978,318,..,4368,10978
POA3178,10469,31114,535,789,283,619,822,1407,12,28,51,78,28,42,0,0,4,8,97,156,0,0,0,0,0,0,4,14,4,14,4,0,11398,32692,471,..,11863,32692
POA3179,1998,5698,17,38,44,115,65,153,4,6,0,0,0,0,0,0,11,28,9,33,0,0,0,0,0,0,0,0,0,0,5,0,2074,5885,83,..,2158,5885
POA3180,2252,6142,360,691,221,577,579,1271,0,0,0,0,0,0,0,0,8,7,8,7,0,0,0,0,0,0,0,4,0,4,5,14,2838,7436,139,..,2979,7436
POA3181,1592,3786,1501,3197,832,1859,2337,5053,951,1638,2119,3233,2279,3301,508,721,0,0,5856,8896,0,0,0,0,0,0,33,62,33,62,17,37,9829,17832,2094,..,11926,17832
POA3182,686,1762,727,1680,693,1581,1417,3252,2028,3142,3886,5923,1919,2925,1351,2058,16,26,9194,14069,0,0,0,0,0,0,463,726,459,728,21,39,11779,19851,3206,..,14989,19851
POA3183,1463,4423,779,1945,535,1527,1314,3472,1980,3513,2881,4731,264,433,0,0,0,0,5123,8677,0,0,0,0,0,0,26,34,26,34,3,4,7932,16615,1447,..,9384,16615
POA3184,1035,3058,587,1448,402,927,987,2370,1979,3357,2914,4533,340,549,0,0,0,6,5239,8446,0,0,0,0,0,0,0,0,0,0,7,7,7264,13885,1368,..,8628,13885
POA3185,2037,6024,641,1372,424,1021,1063,2392,1380,2353,605,999,411,697,113,165,11,15,2512,4223,0,0,0,0,0,0,45,78,45,78,4,13,5662,12728,760,..,6421,12728
POA3186,5133,14369,928,1766,1088,2399,2011,4162,506,887,560,954,638,986,74,112,4,10,1777,2945,0,0,0,0,0,0,57,99,57,99,7,24,8981,21598,1238,..,10217,21598
POA3187,4078,11811,659,1378,772,1933,1432,3312,349,436,45,73,73,86,0,0,0,0,477,593,0,0,0,0,0,0,17,25,17,25,6,17,6009,15757,556,..,6564,15757
POA3188,4247,12336,952,1775,634,1519,1582,3295,628,1066,180,319,313,462,0,0,6,13,1127,1863,0,0,0,0,0,0,51,86,51,86,7,13,7016,17590,763,..,7776,17590
POA3189,1852,4974,112,215,100,245,209,466,128,210,0,0,134,201,91,161,0,0,345,570,0,0,0,0,0,0,5,7,5,7,3,5,2415,6020,286,..,2703,6020
POA3190,2573,7076,862,1656,518,1215,1381,2868,102,180,235,414,487,787,0,0,5,6,834,1389,0,0,0,0,0,0,41,74,41,74,4,8,4828,11423,441,..,5269,11423
POA3191,2133,6152,580,1099,378,942,956,2040,201,334,311,475,456,699,167,279,0,0,1145,1785,0,0,0,0,0,0,24,46,19,44,6,15,4266,10040,479,..,4742,10040
POA3192,5572,15403,1330,2450,821,1981,2154,4428,1150,2075,149,241,258,415,190,314,0,0,1747,3052,0,0,0,0,0,0,37,59,37,59,6,14,9517,22953,717,..,10233,22953
POA3193,5304,15031,828,1472,791,1940,1617,3415,341,587,94,179,8,16,0,0,3,8,450,790,0,0,0,0,0,0,72,139,72,139,0,0,7444,19380,569,..,8011,19380
POA3194,2482,6881,1367,2414,730,1735,2099,4150,671,986,127,212,163,265,72,99,0,6,1028,1571,0,0,0,0,0,0,33,50,33,50,3,0,5638,12654,557,..,6196,12654
POA3195,8238,24773,2212,4359,1461,3706,3675,8067,1575,2619,191,308,3,0,0,0,3,13,1765,2947,0,0,0,0,0,0,40,65,39,66,9,17,13726,35864,855,..,14583,35864
POA3196,5170,14165,1657,3073,1233,2873,2893,5950,2472,4685,159,229,59,91,0,0,4,4,2692,5006,0,0,136,165,0,0,9,14,144,182,8,21,10917,25326,811,..,11731,25326
POA3197,2655,7344,620,1171,892,1963,1516,3130,462,718,111,183,120,182,0,0,0,3,698,1089,0,0,0,0,0,0,4,14,4,14,6,8,4877,11583,472,..,5346,11583
POA3198,5295,13069,1190,1806,479,972,1666,2781,80,105,97,144,0,0,0,0,3,7,182,254,0,0,38,43,0,0,3,6,43,59,8,16,7191,16169,598,..,7785,16169
POA3199,17014,43665,2959,4578,933,1826,3892,6407,825,1218,68,115,116,177,24,31,8,19,1040,1556,7,8,27,31,0,0,20,43,45,84,22,42,22026,51751,1617,..,23644,51751
POA3200,1998,4695,96,115,47,124,143,239,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,5,3,11,2148,4949,218,..,2366,4949
POA3201,6563,17544,1162,2157,474,975,1630,3127,0,6,18,24,0,0,0,0,16,40,34,69,17,20,47,59,0,0,5,10,69,92,3,12,8307,20840,384,..,8690,20840
POA3202,788,2369,74,118,29,72,102,191,5,10,0,0,68,113,0,0,0,0,69,124,0,0,0,0,0,0,0,0,0,0,5,5,965,2684,44,..,1014,2684
POA3204,6923,20232,1381,2956,1309,3659,2683,6615,1450,2586,575,1065,619,1127,0,0,6,23,2654,4805,0,0,0,0,0,0,47,106,51,108,21,42,12329,31803,1105,..,13438,31803
POA3205,259,688,899,1940,1069,2455,1967,4393,204,298,107,172,838,1382,2100,3490,4,11,3250,5343,0,0,0,0,0,0,50,94,50,94,19,29,5547,10540,1328,..,6883,10540
POA3206,719,1829,1678,3926,835,2179,2510,6099,190,328,324,537,195,289,170,226,17,42,902,1434,0,0,0,0,0,6,14,33,13,36,3,10,4147,9411,796,..,4943,9411
POA3207,467,1237,1434,3288,1999,4988,3434,8275,173,312,688,1188,1886,3110,1163,1987,6,6,3912,6608,0,0,3,6,0,0,9,26,17,31,9,13,7830,16160,1324,..,9153,16160
POA3211,400,1212,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,406,1217,33,..,435,1217
POA3212,5768,16056,571,1078,31,54,597,1134,52,69,0,0,0,0,0,0,0,0,56,70,0,4,0,0,0,3,0,0,5,5,10,19,6427,17291,328,..,6755,17291
POA3213,1446,4364,38,59,0,4,38,67,42,70,0,0,0,0,0,0,3,3,43,76,0,0,0,0,0,0,0,0,0,0,3,11,1537,4517,80,..,1615,4517
POA3214,8255,20316,779,1160,110,227,884,1386,101,174,0,0,0,0,0,0,4,3,101,176,0,0,0,0,0,0,61,162,61,162,6,5,9312,22052,727,..,10042,22052
POA3215,7452,18106,837,1349,252,515,1089,1863,284,487,0,0,0,0,0,0,0,6,286,493,0,0,22,25,0,0,6,16,29,43,12,22,8867,20529,596,..,9468,20529
POA3216,18984,49891,2759,4289,409,784,3171,5075,95,156,13,21,0,0,0,0,6,8,119,186,10,10,162,228,0,0,4,14,179,248,37,70,22490,55474,1397,..,23884,55474
POA3217,6673,18757,188,542,49,101,233,642,0,0,0,0,0,0,0,0,0,0,0,0,18,23,4,12,0,0,0,7,29,42,11,20,6939,19465,429,..,7363,19465
POA3218,4725,11821,426,663,169,354,602,1017,905,1324,52,67,0,0,0,0,0,3,961,1394,20,26,18,22,0,0,14,29,52,79,4,12,6345,14322,544,..,6882,14322
POA3219,7243,16644,1133,1692,108,201,1246,1886,141,235,0,0,0,0,0,0,0,3,141,234,0,3,0,0,0,0,5,11,5,9,14,14,8645,18794,566,..,9209,18794
POA3220,4675,11971,938,1454,557,1177,1488,2633,192,298,96,155,300,453,134,229,0,0,728,1138,0,0,3,10,0,0,27,57,32,61,22,36,6934,15847,932,..,7868,15847
POA3221,259,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,781,23,..,280,781
POA3222,6880,17048,228,327,35,67,270,392,32,45,0,0,0,0,0,0,4,8,37,47,0,0,0,0,0,0,4,0,4,0,0,3,7182,17498,619,..,7795,17498
POA3223,3809,8066,183,255,102,206,278,454,13,28,3,8,0,0,0,0,0,0,15,37,10,17,0,3,3,3,0,0,17,29,11,22,4135,8609,3042,..,7177,8609
POA3224,5238,13444,341,512,9,19,351,526,0,0,0,0,0,3,0,0,3,5,4,5,5,5,88,105,0,3,3,11,96,129,7,11,5699,14112,302,..,5998,14112
POA3225,2000,4377,163,253,35,63,198,317,33,45,0,0,0,0,0,0,0,4,39,49,0,0,34,49,0,0,5,11,38,59,3,3,2273,4806,1601,..,3876,4806
POA3226,6136,15691,214,388,175,359,393,747,17,24,3,11,0,0,0,0,0,0,20,31,0,0,13,17,0,0,0,0,15,21,3,4,6567,16496,1749,..,8317,16496
POA3227,1790,4613,65,126,48,104,115,226,50,82,0,0,0,0,0,0,0,0,50,82,0,0,0,0,0,0,3,9,3,9,0,0,1959,4928,675,..,2634,4928
POA3228,7627,20977,277,477,304,653,588,1129,16,20,30,46,8,4,0,0,0,4,48,71,8,9,8,21,0,0,0,0,17,28,12,30,8292,22236,2212,..,10503,22236
POA3230,1156,2606,38,64,36,88,81,154,6,14,0,0,0,0,0,0,0,0,6,14,7,11,0,5,0,0,0,0,8,23,6,7,1245,2799,1557,..,2804,2799
POA3231,620,1365,3,0,5,10,8,9,8,7,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,4,6,4,6,0,0,637,1391,1109,..,1740,1391
POA3232,429,928,6,9,38,73,35,82,12,14,3,10,3,9,0,0,0,0,27,33,0,0,4,8,0,0,4,13,7,18,0,7,502,1068,1093,..,1594,1068
POA3233,826,1734,52,84,36,68,88,155,29,43,0,4,0,0,0,0,0,0,32,45,9,11,9,7,0,0,5,17,17,37,7,16,963,1980,1345,..,2308,1980
POA3234,85,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,4,5,0,4,90,198,383,..,475,198
POA3235,172,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,407,65,..,234,407
POA3236,93,198,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,196,50,..,142,196
POA3237,102,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,211,61,..,163,211
POA3238,103,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,108,222,73,..,180,222
POA3239,179,412,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,4,10,0,0,184,426,56,..,241,426
POA3240,708,2083,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,711,2092,54,..,767,2092
POA3241,1115,2751,43,55,0,0,44,60,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,0,0,0,6,12,0,4,1169,2819,128,..,1301,2819
POA3242,363,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,873,70,..,433,873
POA3243,146,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,353,52,..,196,353
POA3249,1225,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,4,5,4,1231,3140,203,..,1430,3140
POA3250,4516,10933,534,707,11,14,549,721,0,0,0,0,0,0,0,0,4,8,0,12,11,12,23,25,12,19,11,28,56,82,8,14,5127,11764,463,..,5593,11764
POA3251,227,502,4,8,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,500,40,..,268,500
POA3254,118,299,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,306,7,..,126,306
POA3260,1835,4233,86,111,10,15,94,125,5,8,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,4,3,3,4,6,1939,4375,293,..,2230,4375
POA3264,842,1948,64,95,0,0,64,95,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,6,14,7,7,0,5,926,2067,118,..,1046,2067
POA3265,977,2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,2601,120,..,1094,2601
POA3266,1099,2666,53,73,0,0,56,76,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,12,5,20,5,4,1161,2765,145,..,1311,2765
POA3267,75,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,196,5,..,80,196
POA3268,941,2311,11,17,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,956,2335,164,..,1118,2335
POA3269,237,591,0,3,3,9,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,243,608,151,..,395,608
POA3270,132,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,291,209,..,351,291
POA3271,70,149,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,158,14,..,85,158
POA3272,647,1445,9,11,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,664,1465,101,..,766,1465
POA3273,45,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,127,4,..,56,127
POA3274,92,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,4,3,10,0,0,96,228,20,..,120,228
POA3275,147,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,440,6,..,157,440
POA3276,165,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,166,410,17,..,186,410
POA3277,582,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,75,0,0,22,51,69,131,0,0,654,1663,73,..,727,1663
POA3278,120,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,323,7,..,128,323
POA3279,86,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,264,12,..,103,264
POA3280,11005,27155,1245,1904,339,633,1587,2537,564,801,54,73,0,0,0,0,0,4,622,874,5,12,22,36,0,0,4,13,38,61,19,41,13266,30677,1179,..,14446,30677
POA3281,605,1788,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,608,1797,42,..,661,1797
POA3282,899,2297,35,51,0,0,32,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,941,2358,72,..,1014,2358
POA3283,510,1335,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,508,1342,67,..,583,1342
POA3284,1354,3199,102,170,26,44,125,210,4,12,0,0,0,0,0,0,0,0,4,12,5,6,5,4,0,0,0,0,8,8,4,6,1492,3427,734,..,2228,3427
POA3285,464,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,1151,96,..,564,1151
POA3286,221,493,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,227,495,50,..,278,495
POA3287,149,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,5,0,0,150,393,35,..,191,393
POA3289,308,731,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,0,313,738,80,..,395,738
POA3292,74,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,143,164,..,244,143
POA3293,138,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,311,58,..,196,311
POA3294,373,862,8,10,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,11,0,0,390,889,83,..,475,889
POA3300,4003,9112,260,354,6,12,265,363,90,108,0,0,0,0,0,0,4,0,90,111,8,11,4,10,0,0,3,10,16,36,10,15,4387,9642,496,..,4883,9642
POA3301,471,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1190,67,..,546,1190
POA3302,139,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,331,35,..,179,331
POA3303,113,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,258,24,..,139,258
POA3304,1078,2393,25,30,0,0,25,30,3,6,0,0,0,0,0,0,0,0,3,6,0,4,4,5,0,0,0,0,4,8,5,7,1117,2446,150,..,1268,2446
POA3305,4853,11344,367,538,37,58,409,592,45,68,6,7,0,0,0,0,0,12,55,78,32,40,17,27,0,4,13,15,56,88,7,16,5377,12127,762,..,6139,12127
POA3309,48,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,116,10,..,58,116
POA3310,130,231,0,5,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,242,21,..,154,242
POA3311,726,1459,0,0,0,0,0,0,36,49,0,0,0,0,0,0,0,0,36,49,0,0,0,0,0,0,3,9,7,8,0,9,772,1517,140,..,912,1517
POA3312,392,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,931,109,..,502,931
POA3314,222,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,533,45,..,266,533
POA3315,688,1464,17,33,0,0,23,35,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,4,9,0,0,714,1496,125,..,846,1496
POA3317,77,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,174,26,..,104,174
POA3318,498,1061,11,16,0,0,11,16,20,24,0,0,0,0,0,0,0,0,20,24,0,0,0,3,0,0,0,0,0,3,0,0,534,1104,137,..,668,1104
POA3319,156,329,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,339,43,..,202,339
POA3321,570,1695,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,573,1693,39,..,607,1693
POA3322,84,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,174,16,..,102,174
POA3323,41,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,86,17,..,54,86
POA3324,246,517,5,9,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,3,258,537,53,..,312,537
POA3325,192,406,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,414,58,..,259,414
POA3328,714,2181,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,718,2190,11,..,732,2190
POA3329,107,290,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,106,298,23,..,129,298
POA3330,75,192,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,188,22,..,100,188
POA3331,2207,6624,83,160,0,0,83,160,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,0,7,0,0,2294,6790,105,..,2399,6790
POA3332,375,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,1085,27,..,401,1085
POA3333,311,797,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,0,0,315,805,37,..,352,805
POA3334,209,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,484,46,..,257,484
POA3335,1917,5621,20,61,16,28,33,92,14,23,0,0,0,0,0,0,0,0,14,23,47,56,54,59,0,0,0,0,106,120,5,25,2077,5871,152,..,2225,5871
POA3336,4940,16815,97,282,45,122,149,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,5104,17250,146,..,5248,17250
POA3337,12438,35729,877,1713,175,413,1051,2126,58,120,0,0,0,0,0,0,14,35,72,158,0,0,0,0,3,4,6,19,8,20,3,19,13577,38057,799,..,14377,38057
POA3338,10574,33078,821,1441,84,182,905,1630,5,8,0,0,0,0,0,0,7,9,17,20,0,0,0,0,0,0,3,22,3,22,17,54,11514,34794,666,..,12178,34794
POA3340,8259,22729,643,1016,119,249,760,1262,40,46,0,0,21,26,0,0,15,25,74,96,10,25,21,32,0,3,6,10,42,78,8,19,9148,24180,595,..,9742,24180
POA3341,552,1518,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,1519,56,..,610,1519
POA3342,1421,3567,59,97,3,0,61,97,0,0,0,0,0,0,0,0,3,6,3,6,7,14,3,11,0,0,3,14,14,29,0,3,1507,3705,180,..,1683,3705
POA3345,486,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,1288,69,..,555,1288
POA3350,22027,54414,2668,4403,480,903,3143,5306,782,1135,70,98,3,5,0,0,6,15,865,1256,7,9,0,0,0,6,43,91,53,99,47,108,26129,61186,2294,..,28425,61186
