POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3046,8140,22120,1361,2777,3108,7621,4466,10397,787,1575,99,197,11,14,0,0,10,44,911,1832,0,0,0,0,0,0,20,30,20,30,14,26,13545,34408,1344,..,14884,34408
POA3047,4855,15093,259,509,603,1656,865,2162,730,1962,0,0,63,173,0,0,4,3,791,2137,0,0,0,0,0,0,3,6,3,6,20,49,6533,19445,672,..,7205,19445
POA3048,4442,14547,616,1648,175,549,787,2196,40,112,0,0,0,0,0,0,4,15,47,123,0,0,0,0,0,0,0,0,0,0,7,18,5283,16886,360,..,5644,16886
POA3049,2941,8119,219,415,348,776,569,1191,10,21,0,0,0,0,0,0,9,19,20,32,0,0,0,0,0,0,3,7,5,0,0,0,3535,9353,173,..,3704,9353
POA3051,272,687,634,1434,1107,2730,1741,4160,451,898,952,1725,1469,2546,1551,2925,3,5,4430,8101,0,0,0,0,0,0,39,64,39,64,8,11,6486,13036,1587,..,8072,13036
POA3052,48,150,143,357,628,1692,775,2055,145,266,237,396,440,730,502,894,0,0,1320,2286,0,0,0,0,0,0,4,10,4,10,5,13,2148,4509,566,..,2715,4509
POA3053,93,188,442,888,740,1958,1186,2842,199,379,634,1073,1356,2250,3396,5858,0,0,5583,9560,0,0,0,0,0,0,38,85,38,85,16,22,6915,12694,2911,..,9831,12694
POA3054,279,738,1760,4050,590,1491,2352,5539,190,337,469,752,127,211,0,0,4,5,788,1303,0,0,0,0,0,0,44,115,45,116,5,14,3461,7713,535,..,3994,7713
POA3055,2513,6826,556,1128,776,1734,1334,2858,1746,2726,287,441,603,949,90,128,5,12,2730,4264,0,0,0,0,0,0,31,74,31,74,9,15,6612,14040,1023,..,7631,14040
POA3056,3892,10076,1757,3605,1472,3262,3235,6870,930,1533,749,1234,1855,2911,245,374,10,22,3782,6072,0,0,0,0,0,0,138,320,138,320,13,21,11056,23358,1599,..,12656,23358
POA3057,1439,3714,659,1311,987,2319,1640,3633,367,566,179,312,1961,3120,706,1080,0,5,3216,5076,0,0,0,0,0,0,41,94,41,94,10,15,6351,12530,891,..,7242,12530
POA3058,8984,24316,1148,2321,1937,4390,3087,6708,355,610,246,432,485,791,86,170,8,29,1187,2033,0,4,0,0,0,0,27,57,26,64,22,45,13302,33166,1200,..,14502,33166
POA3059,6141,20088,111,306,89,206,192,510,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,23,6346,20616,250,..,6594,20616
POA3060,3934,11477,296,660,431,1166,726,1824,23,41,0,0,0,0,0,0,5,5,24,55,0,0,0,0,0,0,14,30,14,30,6,21,4704,13409,462,..,5169,13409
POA3061,1357,4282,49,95,38,115,88,210,42,73,0,0,0,0,0,0,3,5,44,73,46,43,63,68,0,0,0,0,105,119,3,4,1594,4686,99,..,1688,4686
POA3062,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,..,3,4
POA3063,166,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,533,24,..,189,533
POA3064,29684,102099,1196,3289,1325,3410,2517,6695,225,562,0,4,63,114,0,0,14,25,301,702,0,0,0,0,0,6,4,7,3,16,21,63,32529,109575,1842,..,34370,109575
POA3065,145,359,651,1392,1014,2380,1667,3768,408,692,636,1046,738,1250,936,1993,0,9,2711,4994,0,0,0,0,0,0,34,64,34,64,12,13,4565,9196,1057,..,5620,9196
POA3066,259,624,523,1041,626,1369,1151,2412,191,303,574,999,1052,1645,1235,2310,15,31,3062,5281,0,0,0,0,0,0,17,37,17,37,3,8,4489,8366,859,..,5357,8366
POA3067,449,1149,616,1375,432,1053,1050,2423,193,338,323,552,645,1059,1602,2555,0,0,2764,4504,0,0,0,0,0,0,133,260,133,260,7,7,4403,8334,1005,..,5408,8334
POA3068,1413,3823,2732,6269,1288,3268,4021,9533,971,1658,902,1464,779,1362,0,0,4,10,2660,4496,0,0,0,0,0,0,42,96,46,100,12,30,8148,17978,1032,..,9183,17978
POA3070,5023,13783,1468,3431,1332,2839,2801,6269,798,1181,478,732,948,1520,105,119,10,15,2333,3565,0,0,0,0,0,0,65,133,65,133,14,26,10237,23774,1039,..,11280,23774
POA3071,4111,11107,729,1478,1143,2357,1872,3831,1641,2430,178,260,137,236,0,0,3,3,1957,2926,0,0,0,0,0,0,52,117,52,117,3,6,7996,17986,909,..,8907,17986
POA3072,7600,20456,1910,3966,1492,3422,3397,7387,408,622,356,629,1467,2403,260,399,9,33,2498,4078,0,0,0,0,0,0,134,261,138,260,12,19,13645,32206,1457,..,15106,32206
POA3073,12804,33444,3928,7149,2656,5947,6582,13094,677,1202,101,156,0,0,0,6,17,28,786,1393,0,0,0,0,0,0,76,164,73,164,13,16,20261,48112,1946,..,22212,48112
POA3074,6192,16938,365,718,335,791,699,1512,442,992,0,0,0,0,0,0,5,12,445,995,0,0,0,0,0,0,3,20,3,20,10,19,7347,19484,545,..,7890,19484
POA3075,7016,20089,157,379,230,534,384,913,491,1070,0,0,0,0,0,0,4,11,493,1077,0,0,0,0,0,0,5,11,5,11,5,11,7905,22101,464,..,8362,22101
POA3076,8687,26423,1041,2466,780,2149,1816,4617,0,3,189,294,0,0,0,0,0,4,188,297,0,0,0,0,0,0,0,0,5,4,6,12,10704,31361,572,..,11275,31361
POA3078,2364,6674,373,772,772,1736,1147,2510,999,1415,149,241,306,498,0,0,0,0,1456,2152,0,0,0,0,0,0,11,24,11,24,3,0,4987,11360,523,..,5505,11360
POA3079,3820,10879,500,891,705,1715,1208,2604,895,1520,126,217,428,707,155,229,0,0,1593,2670,0,0,0,0,0,0,12,17,12,17,15,23,6641,16199,798,..,7434,16199
POA3081,3428,8570,1009,1958,968,2272,1979,4230,114,216,19,40,19,30,0,0,9,6,161,290,0,0,0,0,0,0,4,3,4,3,4,12,5570,13112,665,..,6233,13112
POA3082,8819,24779,678,1678,303,736,981,2411,31,74,16,28,197,354,0,0,6,23,256,477,0,0,0,0,0,0,0,6,0,6,3,5,10057,27671,418,..,10479,27671
POA3083,8503,23657,515,1051,1188,2845,1699,3898,317,628,321,528,416,650,79,134,4,4,1139,1936,0,0,0,0,0,0,0,0,0,0,10,19,11354,29516,1210,..,12567,29516
POA3084,7239,20285,706,1238,632,1547,1339,2786,724,1335,225,374,418,664,145,234,3,11,1514,2614,0,0,0,0,0,0,18,35,18,35,9,12,10112,25740,980,..,11091,25740
POA3085,4122,11174,567,994,350,798,910,1792,16,39,97,134,0,0,0,0,9,13,122,188,0,0,0,0,0,0,8,13,8,13,5,13,5172,13173,385,..,5553,13173
POA3087,3159,8291,197,322,93,232,294,555,15,28,8,9,0,0,0,0,9,12,22,49,0,0,0,0,0,0,0,4,0,4,0,0,3478,8893,197,..,3676,8893
POA3088,8524,23272,799,1353,491,1033,1290,2387,117,210,57,81,39,55,0,0,5,5,221,354,0,0,0,0,0,0,0,10,0,10,3,7,10049,26023,546,..,10588,26023
POA3089,3921,11619,109,195,120,271,227,466,4,4,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,5,4158,12099,131,..,4288,12099
POA3090,735,2376,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,740,2386,36,..,779,2386
POA3091,486,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,1525,36,..,521,1525
POA3093,1107,3058,193,300,116,237,308,541,50,75,0,0,0,0,0,0,0,7,57,81,0,0,0,0,0,0,0,0,0,0,0,4,1468,3681,89,..,1558,3681
POA3094,3088,8119,306,506,115,281,417,793,22,39,9,15,0,0,0,0,5,5,36,54,0,0,0,0,0,0,0,0,0,0,8,9,3543,8976,192,..,3738,8976
POA3095,8643,25390,159,282,264,610,427,892,476,873,37,50,32,44,0,0,10,13,551,986,0,0,0,0,0,0,4,10,4,10,6,15,9631,27292,440,..,10070,27292
POA3096,604,1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,609,1809,26,..,631,1809
POA3097,452,1349,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,456,1358,43,..,497,1358
POA3099,1666,4709,19,27,9,14,30,47,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,1702,4770,120,..,1822,4770
POA3101,4577,13493,974,2085,1155,2826,2137,4909,872,1553,827,1414,597,1135,29,43,0,5,2324,4140,0,0,0,0,0,0,22,46,22,46,9,20,9069,22614,1223,..,10296,22614
POA3102,1563,4759,328,669,188,471,516,1140,215,390,51,81,16,16,0,0,0,4,273,497,0,0,0,0,0,0,0,3,0,3,0,0,2357,6405,222,..,2578,6405
POA3103,3507,10186,1097,2187,413,1106,1514,3295,423,736,119,215,295,499,0,0,0,0,844,1444,0,0,0,0,0,0,7,19,7,19,11,17,5877,14966,768,..,6649,14966
POA3104,5882,17843,466,986,492,1373,957,2353,83,167,96,184,51,96,0,0,0,0,228,442,0,0,0,0,0,0,22,43,22,43,4,5,7090,20689,696,..,7784,20689
POA3105,3351,8856,96,193,411,1116,510,1316,206,473,96,138,36,56,0,0,3,3,348,678,0,0,0,0,0,0,4,9,4,9,5,9,4209,10860,336,..,4553,10860
POA3106,4436,13029,376,726,694,1894,1065,2614,79,127,21,30,118,187,0,0,0,0,214,346,0,0,0,0,0,0,0,0,0,0,0,4,5717,15994,445,..,6161,15994
POA3107,4087,11195,258,533,655,1692,912,2224,9,9,22,51,26,61,0,0,3,5,60,126,0,0,0,0,0,0,5,13,5,13,3,10,5068,13565,369,..,5442,13565
