POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3000,159,1134,1738,691,327,223,107,34,10,4416,1457,12552,17665,5909,2466,1688,956,323,73,43084
POA3002,19,34,66,72,54,40,62,18,5,369,289,368,1144,786,552,663,651,324,119,4896
POA3003,28,110,251,142,75,38,37,3,0,686,589,1325,3248,1377,697,435,245,91,15,8025
POA3004,54,92,370,198,129,118,107,95,86,1247,809,920,3363,2155,1224,1071,1042,659,242,11482
POA3006,113,202,606,313,138,113,81,33,4,1602,1360,3321,9434,4225,1748,1322,868,358,65,22699
POA3008,95,158,621,292,135,132,75,28,6,1550,1208,1813,6036,2891,1397,1204,695,207,42,15495
POA3011,191,202,501,324,211,172,134,97,49,1875,2729,2305,6195,4188,2538,1993,1240,703,390,22278
POA3012,329,221,510,368,275,191,103,63,46,2105,4580,2626,6061,4963,3452,2469,1525,873,479,27023
POA3013,177,88,154,158,128,108,50,36,14,909,2994,1416,2654,2901,2386,1611,870,511,300,15636
POA3015,209,99,165,212,177,106,67,40,27,1097,4017,1672,2472,3486,2860,2053,1180,589,320,18634
POA3016,139,134,100,112,147,136,112,52,26,952,2808,1899,1297,1921,2658,2516,1796,821,303,16025
POA3018,193,75,111,179,143,103,83,57,29,980,2383,1104,1569,2238,2016,1602,1370,887,398,13556
POA3019,140,123,204,144,98,90,64,12,13,895,1508,1254,2222,1416,1098,985,789,287,116,9682
POA3020,704,535,739,581,515,369,265,198,85,3978,7254,5278,8090,6370,5356,4759,3766,2442,1058,44372
POA3021,1098,721,1013,822,629,606,436,345,270,5943,9354,6989,9237,7167,6386,6214,5672,2997,1087,55112
POA3022,68,37,75,54,43,38,23,12,8,365,542,285,605,546,398,276,257,150,107,3170
POA3023,1064,936,1622,1346,946,525,329,171,80,7025,14273,9066,9573,11292,9577,6340,4479,1968,575,67146
POA3024,733,335,437,426,265,147,84,27,14,2476,9180,4089,6238,6714,3404,2295,1421,515,149,34004
POA3025,275,102,199,157,117,76,66,67,33,1098,2624,1153,2047,2077,1508,1035,962,999,561,12962
POA3026,185,67,92,112,68,61,28,9,0,621,2441,1059,1181,1811,1132,678,324,117,16,8770
POA3027,155,87,155,136,49,31,15,7,0,639,2297,1124,1965,2199,969,532,300,52,12,9448
POA3028,401,265,384,319,296,272,171,96,79,2278,4824,3031,4471,4232,3642,3673,2628,1196,496,28191
POA3029,2880,1484,2343,2113,1079,679,386,146,45,11157,33996,15302,24770,25580,12319,9079,5903,2408,541,129888
POA3030,2108,1090,1400,1412,1001,645,437,273,188,8555,28862,13563,18359,22767,14671,9998,6759,3076,1147,119201
POA3031,188,147,293,238,175,121,85,37,26,1294,2564,1905,4272,3275,2199,1622,1181,511,241,17772
POA3032,318,225,447,301,283,234,151,59,21,2045,4585,3483,6047,4968,4028,3220,2208,976,354,29874
POA3033,161,108,116,113,122,95,92,83,28,920,2640,1614,1642,1950,2139,1651,1479,1451,514,15078
POA3034,129,65,108,110,99,87,76,85,24,786,1977,1175,1376,1659,1510,1373,1424,1280,607,12388
POA3036,65,48,44,43,56,45,37,26,14,386,952,722,560,643,817,843,746,476,224,5974
POA3037,766,500,478,513,465,371,194,91,29,3413,10290,7575,6622,7489,7932,5816,3520,1591,569,51402
POA3038,277,228,264,199,246,256,172,55,15,1707,3874,3620,3127,2795,3749,4470,3188,1434,449,26703
POA3039,118,118,151,115,135,145,76,56,16,921,2250,1830,3138,2423,2130,1936,1361,752,415,16224
POA3040,216,262,242,214,248,210,138,66,44,1647,4094,3687,3835,3598,3950,3393,2332,1195,655,26722
POA3041,134,106,83,110,141,89,69,35,21,793,2337,1754,1468,1790,2008,1602,1255,601,304,13111
POA3042,161,113,127,140,143,125,93,80,43,1029,2895,1711,2288,2474,2305,1889,1605,1101,501,16763
POA3043,197,133,220,158,145,141,114,87,32,1238,2995,1864,2572,2460,2199,2027,2061,1357,381,17912
POA3044,279,211,266,304,273,184,118,92,71,1802,5108,3132,4833,4709,3900,2965,1847,1221,987,28701
POA3045,3,9,6,6,8,3,4,0,0,48,10,16,8,8,12,11,4,0,0,64
POA3046,579,377,640,415,358,222,163,128,88,2968,6470,4269,7631,5814,3961,3363,2239,1829,1211,36772
POA3047,558,404,522,443,318,260,135,104,28,2769,4612,3004,3932,2952,2293,2144,1329,889,327,21478
POA3048,473,273,306,264,221,205,102,56,13,1910,3820,2605,2718,2265,2180,2133,1385,757,213,18081
POA3049,151,109,103,94,121,86,63,27,16,771,1653,1208,1329,1265,1330,1368,1004,488,159,9812
POA3051,228,269,400,244,145,129,82,25,8,1531,1733,2767,4283,2355,1472,1105,779,333,126,14953
POA3052,42,191,121,69,45,40,24,16,10,562,487,2765,1696,760,446,400,342,245,155,7297
POA3053,79,307,392,145,91,57,45,39,24,1197,859,4907,5417,1736,963,809,684,447,217,16034
POA3054,64,57,121,71,64,46,43,25,15,500,896,1104,2148,1112,858,809,732,391,141,8186
POA3055,102,94,209,171,93,67,50,43,12,847,1882,1761,3734,2507,1748,1332,927,580,289,14746
POA3056,124,164,406,221,164,121,89,57,27,1367,2553,2995,7280,4432,2788,2086,1426,922,440,24912
POA3057,75,75,270,151,108,68,35,24,11,821,1252,1434,4445,2654,1399,932,597,372,173,13262
POA3058,319,231,413,300,315,232,123,114,111,2159,5528,3830,6388,5860,4852,3473,2376,1624,963,34906
POA3059,316,180,195,208,177,164,92,33,4,1364,4519,2897,3128,3056,2857,2574,1545,568,120,21274
POA3060,294,164,205,198,123,90,78,84,70,1301,3027,1728,2371,2136,1501,1260,911,805,534,14274
POA3061,131,68,74,74,53,52,45,30,5,547,996,590,693,626,594,520,479,365,113,4977
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
POA3063,7,9,8,0,10,11,4,4,0,57,82,97,40,53,102,92,55,32,7,563
POA3064,2288,1156,1521,1403,922,638,312,128,76,8436,29534,15210,21003,19925,12262,9204,4897,1849,539,114413
POA3065,158,121,271,182,143,121,83,34,12,1119,1067,994,3072,1841,1197,1108,697,324,135,10431
POA3066,138,97,233,139,104,59,32,15,0,829,898,847,3348,1752,1030,661,394,189,67,9179
POA3067,51,61,245,147,73,60,45,16,10,709,733,859,3278,1785,888,692,508,249,97,9096
POA3068,149,121,282,170,154,120,116,62,36,1217,2616,1796,4582,3099,2373,1946,1658,922,385,19382
POA3070,226,160,295,259,236,158,96,63,33,1529,3787,2521,5164,4021,3830,2629,1682,1111,528,25276
POA3071,161,123,216,168,160,96,59,50,22,1055,2806,1860,3851,3370,2685,1856,1233,852,495,19005
POA3072,324,222,399,347,302,200,164,101,83,2157,5058,3444,6682,5931,4742,3410,2294,1484,740,33790
POA3073,600,433,685,533,531,395,323,260,271,4030,7958,5233,9460,8024,6424,5178,4003,3075,1753,51096
POA3074,234,175,236,206,176,175,142,82,29,1452,3153,2330,3221,2679,2222,2219,2269,1599,543,20234
POA3075,410,236,306,247,255,167,131,98,39,1895,4265,2757,3495,3361,2759,2308,2122,1534,630,23219
POA3076,574,314,419,391,294,264,191,289,282,3029,6970,4042,5240,5404,4067,3570,2465,1172,567,33489
POA3078,103,90,149,116,106,102,53,17,3,750,1882,1347,2149,1921,1741,1519,987,477,215,12237
POA3079,135,115,135,147,142,133,90,43,25,970,2603,2117,2216,2315,2371,2293,1757,906,464,17055
POA3081,227,140,231,160,153,98,71,28,11,1123,2356,1610,2890,2120,1601,1625,1068,487,245,14003
POA3082,314,284,268,239,284,270,150,78,20,1913,4439,3647,4165,3668,3752,4461,2946,1212,417,28712
POA3083,293,439,368,249,284,199,164,97,59,2146,4482,4936,5214,3901,4030,3456,2736,1963,812,31529
POA3084,226,160,159,189,182,184,159,107,61,1417,4936,2902,3020,3867,3732,3180,2586,1864,952,27045
POA3085,106,103,97,106,83,66,60,25,17,670,2587,1671,1775,2036,1999,1468,1295,768,453,14050
POA3087,81,55,66,81,55,57,42,37,9,482,1690,904,1292,1399,1194,1012,884,580,201,9156
POA3088,244,159,147,179,182,165,150,118,77,1424,5047,2796,2908,4050,3715,3266,3038,1693,670,27181
POA3089,108,89,55,89,116,92,65,29,13,657,2426,1781,1401,1618,1910,1729,1069,445,125,12503
POA3090,19,23,7,10,31,35,13,11,4,164,429,426,180,264,464,380,209,117,107,2575
POA3091,18,14,8,8,13,23,19,6,4,119,234,268,114,141,281,271,174,99,21,1602
POA3093,42,25,21,39,30,34,24,15,8,238,659,431,378,483,584,513,466,303,150,3962
POA3094,109,52,49,58,70,62,55,43,16,507,1852,865,921,1399,1297,1118,1078,570,148,9250
POA3095,316,212,110,175,257,245,178,105,48,1640,5373,3596,2281,3491,4433,4172,3297,1356,366,28373
POA3096,27,11,13,19,13,15,6,3,3,109,324,280,221,195,270,296,166,108,57,1911
POA3097,17,29,8,17,20,16,10,5,0,117,256,232,115,161,249,240,183,80,13,1536
POA3099,62,31,18,44,41,52,37,17,3,306,935,616,444,574,735,800,602,247,46,4993
POA3101,198,199,166,144,197,193,122,98,56,1378,3705,3463,3169,2829,3436,3154,2468,1491,786,24499
POA3102,54,40,37,34,48,39,24,24,0,307,1192,916,664,817,978,891,618,383,163,6620
POA3103,106,108,74,89,105,91,81,58,53,756,2487,2158,1535,1915,2175,1944,1649,1132,624,15621
POA3104,161,155,91,74,184,124,83,53,30,955,3794,3354,1834,2292,3385,2912,1909,1209,622,21302
POA3105,71,59,68,61,70,85,57,49,30,552,1604,1279,1235,1332,1533,1449,1104,1077,512,11124
POA3106,140,99,82,110,106,129,128,96,87,972,2618,1939,1571,2010,2112,2459,2113,1447,696,16966
POA3107,110,80,67,87,102,71,62,77,47,700,2375,1521,1358,1801,2048,1622,1397,1424,613,14164
POA3108,186,134,184,179,195,138,127,108,63,1326,3491,2857,3891,3495,2941,2862,2446,2074,993,25054
POA3109,203,170,147,198,182,163,151,135,57,1397,5585,3333,3366,4587,3857,3713,3120,2382,989,30926
POA3111,121,81,56,86,93,82,68,70,49,702,2084,1532,1059,1526,1816,1648,1357,1040,584,12644
POA3113,99,80,29,51,97,63,55,19,4,500,1573,1281,572,922,1546,1278,899,407,79,8562
POA3114,43,39,11,21,49,25,16,16,9,220,673,674,212,332,708,586,381,210,62,3835
POA3115,39,33,25,22,32,48,28,12,3,239,628,608,278,363,634,671,438,176,43,3843
POA3116,182,99,83,89,107,78,58,52,6,743,2301,1421,1536,1629,1502,1362,1174,691,165,11779
POA3121,177,238,679,357,253,261,141,68,37,2212,3027,3330,10056,5200,3581,2896,1998,1036,411,31534
POA3122,134,208,310,191,163,136,112,68,34,1364,2748,3507,4984,3183,2598,2111,1741,1050,409,22322
POA3123,99,113,150,111,101,87,71,54,26,802,2202,1942,2922,2121,1886,1517,1183,745,319,14834
POA3124,191,154,116,153,161,129,107,73,67,1155,3470,3096,2349,2488,3045,2757,2264,1492,1008,21965
POA3125,121,251,249,113,99,90,68,36,33,1058,2016,3012,2765,1802,1713,1398,1060,838,545,15147
POA3126,61,61,46,31,48,41,47,26,23,386,1232,1152,603,795,1095,1083,923,570,323,7773
POA3127,148,123,101,101,133,141,97,49,27,923,2977,2648,1950,2210,2814,2452,2076,994,494,18608
POA3128,162,314,401,201,176,138,121,87,113,1710,2825,3758,4879,3067,2762,2197,1665,1019,673,22841
POA3129,179,131,130,122,126,115,62,38,22,926,3056,2359,2479,2481,2520,2115,1580,913,435,17946
POA3130,255,224,199,182,227,179,139,108,115,1628,5712,4169,3737,4592,4743,3897,2867,2079,1241,33044
POA3131,219,139,171,202,186,142,136,121,92,1409,3927,2542,3038,3478,3115,2491,2085,1625,895,23191
POA3132,121,86,107,99,106,84,55,46,24,729,2975,1858,2374,2675,2308,1876,1484,909,326,16795
POA3133,151,145,80,126,118,101,138,120,151,1138,4027,2802,2031,3069,3171,2602,2617,1864,758,22951
POA3134,325,227,227,274,249,202,140,98,59,1808,6089,4173,4504,5004,4788,4082,3141,1964,863,34607
POA3135,228,126,121,173,155,141,98,69,36,1149,3990,2283,2545,3153,2906,2329,1856,1160,476,20698
POA3136,471,323,374,337,340,311,235,179,116,2680,8486,4976,6097,6632,5903,5477,4606,2886,1221,46296
POA3137,162,106,124,106,94,116,60,31,26,819,2636,1697,2071,1974,1783,1799,1343,920,346,14558
POA3138,291,214,204,187,162,157,113,60,32,1420,4568,2794,3358,3351,2897,2520,2074,1141,346,23059
POA3139,197,145,100,130,166,129,83,37,9,1005,2771,1751,1888,1701,1973,1945,1416,650,158,14257
POA3140,198,129,146,124,150,158,91,72,21,1100,2975,2140,2302,2132,2405,2194,1708,1068,425,17348
POA3141,177,263,700,366,240,186,141,81,25,2186,1761,2934,8542,4185,2443,2095,1692,1024,360,25028
POA3142,107,129,137,96,129,127,132,105,70,1034,1396,1498,1870,1361,1530,1678,1746,1226,514,12817
POA3143,67,79,87,75,87,47,51,53,25,570,1192,1004,1938,1388,1186,901,905,647,218,9376
POA3144,95,58,70,78,78,74,43,64,45,604,1616,1333,1304,1232,1485,1311,1142,913,419,10763
POA3145,217,182,227,159,141,149,117,76,66,1333,3707,3470,3558,2974,3235,2668,2088,1221,680,23594
