POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3053,10,37,103,40,17,20,4,0,0,228,16,86,170,42,28,24,5,4,0,376,357,1810,3815,1258,625,409,176,34,3,8499
POA3054,0,16,59,24,25,12,9,0,0,145,4,13,78,28,28,19,0,0,0,170,96,666,1886,943,695,565,228,49,3,5130
POA3055,6,22,121,57,36,26,11,0,0,277,5,31,119,64,46,36,12,4,0,320,205,930,3129,2076,1405,863,228,28,0,8863
POA3056,5,54,163,116,73,56,7,0,0,478,3,52,247,121,78,40,12,0,0,555,261,1714,6186,3833,2226,1338,289,27,3,15877
POA3057,3,24,106,70,34,18,13,0,0,265,5,29,156,82,36,16,3,0,0,330,137,788,3835,2271,1134,601,155,18,0,8945
POA3058,4,60,129,162,122,83,15,3,0,581,13,70,203,160,119,82,16,0,0,663,633,1649,5122,4901,3869,2103,469,42,7,18787
POA3059,8,30,83,83,85,68,11,0,0,375,23,62,125,116,104,65,19,0,0,511,515,1093,2444,2291,2100,1618,337,16,0,10419
POA3060,0,17,55,52,43,37,12,0,0,213,12,39,103,92,55,32,12,0,0,348,190,632,1622,1408,972,670,135,10,0,5645
POA3061,0,5,29,21,14,12,3,0,0,84,4,3,33,29,21,11,3,0,0,109,64,155,386,339,262,198,48,4,0,1451
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
POA3063,3,0,0,0,4,5,0,0,0,14,0,0,0,0,0,4,0,0,0,9,27,33,27,47,80,55,12,6,0,284
POA3064,37,195,519,437,278,172,25,0,0,1669,99,314,930,781,491,305,41,3,0,2957,2105,5025,14231,13777,7695,4586,709,33,0,48172
POA3065,4,20,49,52,33,11,5,0,0,174,7,16,116,73,35,23,8,3,0,273,95,497,2536,1435,844,602,156,27,0,6186
POA3066,0,7,60,33,23,12,3,0,0,139,12,19,123,65,37,10,4,0,0,265,65,417,2843,1408,693,356,102,4,0,5889
POA3067,5,16,66,40,19,15,8,0,0,160,6,24,109,66,16,17,6,0,0,243,79,512,2854,1509,664,430,149,17,0,6224
POA3068,12,30,101,74,46,43,22,0,0,325,13,17,160,103,59,30,6,0,0,385,266,856,4020,2712,1949,1323,425,65,0,11618
POA3070,13,29,140,75,88,55,17,0,0,427,17,39,167,115,108,47,24,3,0,517,432,994,4547,3437,3194,1813,459,31,5,14919
POA3071,7,22,99,88,76,42,11,7,0,353,4,39,103,99,61,37,17,5,0,364,310,756,3291,2907,2231,1212,258,21,3,10997
POA3072,5,44,171,152,110,68,11,3,0,561,9,55,248,193,133,83,19,3,0,747,531,1448,5409,4795,3620,2046,401,36,4,18295
POA3073,12,66,248,214,186,114,32,4,0,875,31,138,379,291,202,144,34,16,3,1235,676,2138,7290,6153,4570,2846,658,64,8,24395
POA3074,0,37,82,83,57,51,15,0,0,323,15,60,152,124,96,81,21,4,0,553,273,866,2266,1729,1334,1049,291,20,0,7836
POA3075,12,32,90,105,78,45,12,0,0,372,22,71,139,165,118,80,18,0,0,604,332,1012,2423,2360,1624,1038,232,27,0,9046
POA3076,11,39,154,147,133,84,26,3,0,588,23,87,240,228,174,121,22,3,0,892,587,1447,3737,3965,2849,1990,433,23,0,15040
POA3078,5,13,54,55,38,32,9,0,0,202,0,12,63,50,43,31,17,0,0,219,226,575,1814,1612,1427,1038,290,27,0,7013
POA3079,15,23,49,46,52,37,17,0,0,246,11,27,70,73,73,44,19,5,0,319,430,873,1919,1932,1979,1585,516,82,10,9308
POA3081,4,21,87,62,42,32,8,0,0,262,7,33,87,58,55,50,14,4,0,307,145,628,2231,1567,1059,893,200,12,5,6732
POA3082,8,69,124,109,105,109,13,0,0,536,17,62,182,142,145,139,36,4,0,732,617,1456,3188,2728,2849,2815,582,40,0,14266
POA3083,15,65,117,102,123,94,25,3,0,545,15,95,223,145,151,99,23,7,0,763,689,1929,3863,2988,3086,2134,560,52,3,15305
POA3084,10,37,83,71,88,77,28,5,4,395,8,35,86,122,116,67,24,7,6,468,583,1098,2564,3291,3183,2204,682,86,17,13701
POA3085,11,11,38,43,52,21,12,0,0,189,3,17,47,53,36,39,13,6,0,227,363,630,1467,1779,1686,1011,280,34,0,7253
POA3087,4,14,30,45,31,29,9,0,0,168,6,13,30,44,38,20,12,0,0,158,172,337,1099,1185,991,649,182,14,0,4637
POA3088,11,44,82,119,105,91,26,4,0,486,23,25,67,115,102,68,26,3,0,444,657,1028,2475,3460,3100,2289,707,67,0,13779
POA3089,15,22,47,50,61,56,3,0,0,261,11,33,53,52,68,57,18,3,0,288,476,696,1208,1407,1675,1303,264,29,0,7063
POA3090,3,6,11,5,13,14,0,0,0,62,0,8,7,11,19,7,3,0,0,55,105,175,151,219,398,289,60,8,0,1406
POA3091,0,7,7,5,4,9,3,0,0,41,0,5,8,8,11,9,6,0,0,44,61,109,102,112,233,202,44,14,0,877
POA3093,0,8,12,22,11,11,3,0,0,68,0,6,14,20,17,10,12,0,0,78,99,168,306,411,477,344,133,16,0,1952
POA3094,3,13,27,25,38,24,10,0,0,145,8,8,37,38,35,28,5,3,0,161,224,329,774,1208,1119,782,262,26,0,4736
POA3095,24,54,66,94,120,122,29,7,0,510,23,34,61,106,143,100,35,5,0,494,878,1268,1905,2974,3854,3025,940,120,4,14975
POA3096,4,4,16,7,4,3,6,0,0,47,0,4,6,9,4,4,0,0,0,30,58,128,186,159,236,228,35,9,0,1039
POA3097,0,0,9,8,11,15,3,0,0,40,0,8,0,5,16,12,0,0,0,43,56,69,86,130,212,173,61,6,0,796
POA3099,3,4,22,23,26,15,11,0,0,107,0,3,9,16,19,9,10,0,0,79,151,237,380,479,635,567,181,29,0,2649
POA3101,15,32,82,47,58,55,28,5,0,315,31,43,116,102,117,90,30,7,3,531,540,1318,2682,2333,2685,2083,875,168,11,12700
POA3102,5,10,9,14,17,13,9,0,0,86,4,6,20,25,30,21,8,0,0,126,192,339,546,686,818,643,185,32,3,3449
POA3103,4,20,31,37,38,44,12,4,0,185,13,24,53,85,70,60,24,9,3,333,303,736,1229,1472,1592,1282,449,81,10,7154
POA3104,17,21,35,35,66,55,17,5,0,253,18,45,74,93,122,60,29,3,0,442,575,1026,1454,1811,2630,1965,556,102,7,10130
POA3105,4,16,41,28,53,46,10,6,0,200,8,20,44,33,48,39,11,0,0,209,225,497,1022,1086,1210,922,259,60,0,5276
POA3106,14,25,46,48,58,53,18,4,0,259,11,18,58,77,78,63,28,10,0,348,365,674,1240,1573,1623,1584,585,117,5,7764
POA3107,4,14,30,64,54,33,13,0,0,213,8,17,55,69,68,36,19,5,0,281,289,479,1069,1481,1628,1087,349,66,0,6457
POA3108,9,41,100,83,77,61,20,3,0,393,4,40,158,153,106,70,21,6,0,568,372,1112,2993,2622,2169,1676,509,99,7,11568
POA3109,12,27,83,116,127,102,28,9,0,505,13,51,153,186,142,103,27,7,5,685,545,1212,2646,3587,2952,2358,679,102,15,14104
POA3111,9,8,30,54,54,51,17,6,0,229,10,29,44,60,64,43,20,3,0,285,336,562,851,1235,1462,1081,358,64,0,5957
POA3113,7,16,13,30,56,33,5,0,0,165,12,15,17,40,42,36,12,4,0,170,339,426,468,772,1307,925,280,41,5,4563
POA3114,0,6,4,6,21,14,0,0,0,53,9,10,7,6,14,20,7,4,0,73,187,240,169,273,604,413,113,14,0,2016
POA3115,0,11,3,14,22,12,5,0,0,74,0,9,19,23,21,27,7,0,0,99,152,248,232,319,538,485,151,30,0,2168
POA3116,13,32,51,70,49,43,23,6,0,296,13,27,53,67,60,44,16,5,0,281,371,572,1286,1374,1240,963,295,37,0,6136
POA3121,0,46,216,126,97,66,21,7,0,581,5,69,299,151,101,68,23,0,3,729,332,1951,8908,4389,2770,1801,557,78,5,20792
POA3122,11,48,100,59,52,37,11,3,0,321,14,48,172,97,87,50,22,8,0,500,457,1587,4213,2630,2108,1461,598,112,9,13181
POA3123,4,27,54,26,26,20,9,0,0,177,8,26,90,66,54,32,18,3,0,293,246,903,2527,1796,1528,996,389,68,4,8462
POA3124,17,27,48,37,57,56,17,3,0,261,4,41,62,78,82,75,27,4,0,376,557,1176,1962,2064,2471,1941,734,108,5,11014
POA3125,11,29,66,42,45,32,9,0,0,228,9,52,117,75,48,31,7,5,0,344,378,1190,1981,1394,1333,868,231,36,0,7410
POA3126,3,7,20,5,26,24,9,0,0,95,10,9,30,31,36,25,9,5,0,161,189,388,503,632,886,729,298,58,6,3699
POA3127,11,28,29,46,59,58,17,0,0,243,3,31,59,61,76,54,14,4,0,309,568,981,1647,1860,2355,1721,600,85,8,9830
POA3128,4,43,112,70,71,59,16,5,0,384,11,81,189,124,85,67,19,0,0,575,379,1524,3447,2254,1999,1286,327,43,3,11258
POA3129,0,16,71,56,70,39,10,4,0,271,5,47,117,86,72,37,16,4,0,387,409,826,1949,1964,2023,1347,366,42,0,8928
POA3130,19,52,93,117,141,96,34,8,0,553,16,61,143,138,161,95,27,4,9,644,869,1530,3007,3833,3896,2597,654,94,10,16494
POA3131,10,35,88,85,99,64,14,9,0,393,9,28,112,112,90,72,17,10,4,450,505,940,2414,2831,2437,1539,374,53,6,11103
POA3132,4,25,59,61,69,39,16,3,0,281,4,31,94,95,71,39,11,4,0,349,388,757,1998,2257,1913,1212,345,34,3,8910
POA3133,8,30,66,65,100,78,25,3,0,381,10,45,71,115,123,77,27,11,0,478,572,979,1635,2511,2599,1717,560,82,9,10661
POA3134,14,53,135,137,160,123,39,6,0,658,23,62,184,178,177,97,30,9,0,762,933,1586,3743,4122,3946,2796,759,99,8,17999
POA3135,18,33,72,77,100,70,25,4,0,390,20,37,93,82,102,60,15,3,0,419,575,852,2094,2571,2377,1591,422,59,6,10542
POA3136,26,96,197,210,200,158,38,10,0,931,27,88,246,236,193,152,47,13,6,1014,1141,2005,5007,5496,4864,3762,992,119,11,23386
POA3137,16,34,77,70,46,64,8,0,0,316,14,33,99,89,80,57,24,0,0,386,424,707,1742,1643,1471,1253,283,25,6,7556
POA3138,24,47,147,129,111,94,21,3,0,573,30,72,151,156,119,76,22,4,0,628,635,1134,2822,2764,2373,1728,440,50,3,11955
POA3139,22,45,96,92,80,77,16,4,0,426,15,33,64,55,101,67,26,3,0,355,432,678,1577,1423,1625,1346,373,54,3,7507
POA3140,15,48,102,67,86,75,20,0,0,407,14,36,85,71,86,66,15,0,0,373,562,869,1920,1747,1965,1517,360,32,4,8968
POA3141,8,47,163,93,61,33,13,0,0,411,4,58,291,131,73,54,34,12,0,652,226,1530,7262,3403,1777,1346,599,131,9,16281
POA3142,9,18,46,20,20,25,12,3,0,148,7,27,71,54,69,57,48,17,0,347,137,592,1590,1058,1111,1065,738,221,32,6550
POA3143,5,18,34,20,24,23,9,0,0,129,0,17,74,45,25,26,8,5,0,207,98,498,1730,1143,926,628,322,67,4,5419
POA3144,8,11,25,33,19,15,6,0,0,119,9,21,40,41,51,31,11,12,4,221,233,506,1138,1033,1192,934,423,118,17,5582
POA3145,7,37,60,52,65,46,18,4,3,286,14,41,142,98,131,65,35,9,3,532,593,1396,2877,2497,2723,1859,635,92,13,12683
POA3146,18,47,67,63,81,64,18,8,0,366,20,46,107,113,117,66,15,0,0,496,670,1449,2784,2912,3268,2294,724,112,12,14227
POA3147,5,23,33,41,40,37,9,3,0,193,11,8,79,78,64,48,24,7,0,320,352,659,1385,1695,1798,1171,342,47,4,7454
POA3148,0,18,48,41,24,13,21,0,0,180,5,13,94,65,34,25,10,0,0,244,133,494,1641,1248,837,518,154,14,0,5042
POA3149,14,43,110,91,122,81,25,8,0,493,27,58,171,205,176,103,28,4,5,779,782,1637,3396,3944,3821,2681,660,94,15,17022
POA3150,26,77,143,177,206,160,70,14,0,864,51,109,306,313,302,198,65,32,6,1378,1227,2785,5152,6462,6332,4577,1453,258,23,28271
POA3151,0,21,43,31,30,35,4,5,0,181,3,27,75,64,41,21,10,4,0,249,173,565,1254,1070,1005,710,193,38,0,5015
POA3152,8,64,112,129,145,111,45,3,0,618,27,57,141,213,160,130,46,7,0,783,782,1540,3190,3960,3489,2924,971,69,3,16920
POA3153,16,42,113,108,73,74,22,4,0,455,9,39,145,144,101,91,18,0,0,542,419,860,2737,2768,1999,1548,369,37,0,10741
POA3154,5,3,25,22,25,16,0,0,0,99,5,12,18,23,24,30,7,0,0,124,143,178,425,519,551,390,91,8,0,2319
POA3155,6,44,142,108,96,71,9,6,0,489,6,35,147,149,137,100,27,3,0,611,430,963,3050,2917,2309,1723,482,43,4,11915
POA3156,28,90,156,151,193,158,38,3,0,817,27,65,182,232,223,177,44,9,0,953,1180,1783,3891,4370,4565,3485,854,91,0,20221
POA3158,4,13,29,30,28,32,9,0,0,151,5,10,20,26,41,23,4,3,0,124,214,284,620,815,903,704,179,11,0,3726
POA3159,3,0,3,4,13,10,0,0,0,43,5,3,5,11,11,6,6,0,0,44,81,96,188,327,343,245,74,7,4,1361
POA3160,7,28,43,70,53,46,14,0,0,256,7,4,38,37,47,37,13,4,0,180,251,372,791,1169,1141,897,254,21,0,4896
POA3161,7,14,78,50,36,28,24,4,0,246,5,41,111,108,76,59,43,6,0,446,254,846,2486,1865,1534,1155,714,100,27,8973
POA3162,5,25,62,69,72,50,16,3,0,293,21,34,98,99,84,43,31,8,0,421,339,749,1853,2046,2026,1435,681,126,8,9268
POA3163,8,48,136,105,82,69,25,3,0,471,12,64,282,224,142,76,21,4,3,828,510,1740,5748,4509,3235,2265,655,73,11,18741
POA3165,11,36,76,116,142,99,20,4,0,503,24,37,118,190,144,79,13,7,0,615,777,1177,2574,3977,3972,2344,590,60,5,15473
POA3166,11,41,110,79,118,67,14,4,0,453,6,52,179,134,106,74,14,0,0,577,515,1441,3563,2926,2711,1746,392,31,7,13333
POA3167,8,21,29,43,45,31,6,0,0,173,4,25,66,44,45,34,19,3,0,238,181,431,1194,1182,987,768,195,15,0,4961
POA3168,8,55,107,59,45,24,3,4,0,305,14,124,291,99,63,40,19,3,0,652,494,2329,4458,1839,1006,665,158,26,3,10972
POA3169,10,29,113,93,100,49,16,0,0,414,14,58,234,135,107,78,23,3,0,652,314,1028,3029,2156,1689,1211,336,28,0,9789
POA3170,3,24,65,74,85,79,23,5,0,357,7,35,136,132,120,69,28,7,0,543,355,761,2176,2366,2027,1311,419,53,0,9479
POA3171,3,59,129,111,100,39,14,0,0,463,12,91,308,208,159,137,29,3,0,947,252,1101,3165,1975,1524,1082,262,18,0,9385
POA3172,14,38,91,132,124,83,30,6,0,521,9,61,153,172,150,155,32,3,0,734,525,1045,2113,2344,2375,1822,496,54,9,10786
POA3173,11,46,115,147,147,89,21,0,0,587,31,87,269,252,210,159,45,6,0,1060,579,1343,3362,3711,2969,1928,459,41,0,14400
POA3174,21,80,229,178,166,95,28,0,0,797,28,166,465,338,285,176,38,0,4,1507,524,1907,5336,3978,2924,2121,546,40,3,17381
POA3175,15,67,216,212,141,106,25,7,0,796,34,192,560,414,302,195,40,6,0,1747,695,2182,6210,5003,3593,2572,674,69,7,21005
POA3177,0,18,46,47,20,16,3,0,0,165,9,51,109,95,74,55,5,4,0,406,137,437,1401,1078,726,482,99,9,0,4381
POA3178,15,63,118,126,214,148,34,0,0,721,25,70,166,185,180,166,41,5,0,833,1035,1813,3126,3538,4220,3643,730,58,4,18168
POA3179,3,11,20,20,20,26,6,0,0,107,7,11,27,36,48,40,9,0,0,177,165,297,564,724,724,525,126,4,0,3133
POA3180,5,18,37,24,32,28,15,0,0,153,4,15,37,54,40,28,12,0,0,194,169,325,777,919,808,594,177,16,0,3794
POA3181,4,30,156,59,58,28,9,0,0,358,4,62,233,132,53,35,16,7,0,537,169,1248,5536,2884,1605,1015,361,49,4,12883
POA3182,5,45,202,111,65,55,7,0,0,496,6,30,247,176,84,63,12,3,0,623,201,992,5348,3428,2212,1603,458,64,0,14308
POA3183,4,37,126,80,64,41,12,4,0,363,3,41,154,109,53,36,15,3,0,424,198,911,3840,2592,1692,1046,382,55,7,10733
POA3184,8,21,78,72,61,41,11,0,0,292,4,22,112,115,70,40,17,0,0,380,199,545,2809,2336,1935,1218,343,40,3,9438
POA3185,7,19,64,37,53,32,16,0,0,228,5,22,98,78,63,30,15,3,4,316,261,583,2057,1686,1512,1005,386,53,6,7553
POA3186,11,34,45,31,70,49,37,8,0,272,15,42,89,85,130,96,53,16,6,525,490,905,1535,1987,2797,2272,992,227,22,11235
POA3187,6,18,29,35,66,35,22,7,0,214,7,19,46,68,89,59,37,10,4,347,469,628,921,1573,2200,1515,550,88,7,7960
POA3188,6,45,45,56,57,56,15,0,0,279,12,31,62,86,121,72,19,3,0,414,508,824,1360,1896,2479,1856,473,79,0,9476
POA3189,9,4,23,26,26,23,0,7,0,113,0,10,30,29,30,17,11,0,0,133,127,211,674,880,712,458,139,26,0,3224
POA3190,6,9,36,37,58,42,9,0,0,198,3,20,56,58,50,31,8,5,0,236,263,453,1363,1592,1555,903,254,26,4,6410
POA3191,10,5,13,27,43,26,15,3,0,141,15,17,35,56,55,45,12,4,0,239,323,412,691,1067,1447,1102,351,57,3,5452
POA3192,14,40,83,96,94,64,27,4,0,427,12,37,109,144,115,66,18,7,3,512,578,955,2529,3201,2801,1758,494,56,3,12377
POA3193,12,16,32,43,76,66,19,0,0,267,24,31,47,81,148,107,54,18,3,500,659,853,939,1635,2852,2204,791,118,7,10064
POA3194,4,17,59,62,48,31,14,0,0,235,9,14,59,56,61,39,3,3,0,242,311,494,1487,1653,1692,1083,333,44,10,7109
POA3195,20,63,95,127,141,132,43,0,0,618,28,54,108,167,235,141,43,10,3,796,1187,1646,3047,4378,5251,3434,874,93,6,19910
POA3196,18,41,94,119,96,67,25,4,0,464,14,30,123,155,134,114,26,7,0,608,536,902,2948,3587,3133,2122,561,53,0,13841
POA3197,15,23,52,57,53,45,20,3,0,266,12,15,54,69,94,66,14,0,0,331,309,419,1068,1305,1544,1215,400,47,0,6312
POA3198,6,32,90,81,64,42,6,3,0,320,12,24,82,99,103,70,14,3,0,413,311,579,1893,2110,1817,1227,325,32,6,8309
POA3199,36,80,221,188,202,149,41,11,0,930,34,90,258,251,233,185,73,19,6,1153,1372,2195,5764,5821,5669,4282,1195,145,13,26461
POA3200,7,16,31,12,9,12,5,0,0,85,8,12,41,35,34,28,3,0,0,164,63,201,627,412,347,312,69,4,0,2038
