POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3201,7,48,151,113,104,54,26,0,0,502,20,48,160,141,149,108,16,3,0,653,502,973,2993,2565,2232,1677,352,19,0,11311
POA3202,0,3,5,13,9,13,6,0,0,40,4,0,14,13,15,11,5,0,0,60,86,108,220,313,437,221,67,0,0,1462
POA3204,18,31,104,98,120,78,24,0,0,477,22,50,146,160,163,85,23,4,0,656,880,1555,3508,4005,4321,2727,730,70,4,17796
POA3205,0,18,54,41,36,32,5,7,0,187,4,18,75,78,63,32,14,0,0,288,125,448,2133,1630,1237,782,224,45,0,6620
POA3206,3,13,31,16,27,26,11,0,0,121,8,16,27,60,64,33,23,3,5,238,192,262,752,1143,1383,999,360,66,4,5164
POA3207,4,29,77,62,67,51,15,3,0,304,12,24,103,109,107,62,17,7,0,440,243,489,2225,2554,2293,1452,445,82,3,9792
POA3211,7,0,0,4,6,8,0,0,0,17,0,10,5,0,10,7,0,3,0,40,41,68,67,118,146,127,25,5,3,609
POA3212,20,24,87,72,67,47,12,0,0,328,13,29,95,74,64,46,12,0,0,331,570,751,2148,2151,1989,1289,298,16,0,9212
POA3213,5,10,27,11,13,24,3,0,0,97,3,9,18,17,24,25,12,0,0,109,193,269,438,472,608,443,84,7,0,2506
POA3214,14,47,102,71,58,39,7,0,0,326,24,91,154,108,118,88,25,6,0,613,464,1032,2408,1644,1603,1363,289,25,0,8831
POA3215,11,43,94,70,49,47,12,4,0,328,19,39,136,94,79,49,26,3,0,447,515,1007,2691,2122,2070,1550,433,48,3,10451
POA3216,51,138,201,207,179,134,34,6,0,945,33,107,205,205,197,129,39,12,0,927,1997,3477,6803,6313,5909,4261,1193,123,10,30086
POA3217,8,51,150,98,55,33,9,0,0,402,12,28,125,76,51,30,6,0,0,326,504,1336,4141,3010,1513,934,203,22,4,11660
POA3218,8,23,56,52,49,47,5,0,0,242,8,19,68,69,42,41,6,3,0,250,332,709,2152,1964,1577,1154,258,27,0,8176
POA3219,17,37,109,72,59,72,26,3,0,392,15,43,73,50,82,62,17,11,0,351,481,1015,2391,1725,1798,1590,379,37,6,9419
POA3220,10,23,49,25,53,50,9,9,0,224,14,32,79,51,52,44,23,8,0,308,516,924,1977,1730,1865,1522,479,76,6,9091
POA3221,0,0,0,6,3,6,0,0,0,12,0,4,4,5,7,0,4,0,0,17,30,27,46,83,107,87,32,3,3,419
POA3222,15,45,94,73,69,59,17,4,0,378,10,18,45,82,63,48,23,3,3,291,534,661,1504,1735,1814,1633,477,56,13,8416
POA3223,0,10,26,25,29,35,9,0,0,137,6,8,12,22,34,34,13,0,0,139,126,225,490,566,781,919,339,32,0,3485
POA3224,10,43,85,80,69,41,19,3,0,347,14,15,54,46,59,46,13,0,0,250,457,598,1461,1504,1536,1211,294,28,0,7093
POA3225,0,3,4,3,10,13,8,0,0,52,3,5,7,14,18,17,10,3,0,80,100,123,226,335,441,543,273,46,5,2106
POA3226,18,15,49,72,46,44,13,0,0,258,18,10,53,56,59,36,18,6,7,261,526,534,1356,2106,1976,1516,415,49,7,8481
POA3227,0,8,9,21,21,9,7,0,0,71,6,3,12,23,22,15,9,8,0,94,171,131,244,543,705,503,189,32,3,2530
POA3228,11,41,65,99,92,59,11,3,0,373,16,28,74,129,104,46,13,0,0,420,695,833,2035,3333,2921,1792,507,48,0,12168
POA3230,0,3,3,3,4,12,5,0,0,34,3,3,8,12,5,17,6,6,0,55,68,84,208,273,305,364,132,25,0,1460
POA3231,0,0,0,3,3,3,0,3,0,19,0,0,0,5,6,9,0,0,0,27,27,37,77,93,177,229,93,11,0,754
POA3232,0,0,0,0,6,0,3,0,0,10,0,0,0,0,5,8,4,0,0,26,14,36,138,77,96,142,85,6,0,602
POA3233,0,0,0,6,7,4,0,0,0,20,7,0,10,7,7,6,6,0,0,36,54,41,164,180,236,240,105,9,6,1037
POA3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,17,11,23,30,17,4,0,116
POA3235,0,0,0,0,0,0,0,0,0,4,0,0,5,0,7,0,0,0,0,14,10,5,27,47,61,57,28,3,0,249
POA3236,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,3,20,18,19,31,14,6,0,118
POA3237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,8,6,14,19,35,30,11,3,0,119
POA3238,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,5,9,25,31,49,18,0,0,135
POA3239,0,0,0,0,4,0,0,0,0,10,0,0,4,0,0,0,0,0,0,8,14,12,34,31,48,51,28,0,0,214
POA3240,9,3,9,9,12,8,0,0,0,49,3,0,3,6,11,10,3,0,0,32,90,88,146,273,279,230,78,15,0,1196
POA3241,0,7,8,10,15,6,0,0,0,35,6,3,10,14,14,10,0,0,0,59,68,102,329,285,291,275,99,21,0,1468
POA3242,0,0,5,0,3,3,0,0,0,15,0,0,0,3,4,7,3,6,0,15,23,23,91,102,97,86,37,13,0,475
POA3243,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,3,3,0,0,16,14,7,30,38,48,40,35,8,0,215
POA3249,4,9,6,10,11,5,4,0,0,45,3,5,13,5,20,15,7,4,0,78,138,102,232,299,375,374,161,36,3,1727
POA3250,9,31,56,42,37,37,15,0,0,227,21,13,39,36,50,27,20,3,3,215,445,548,1306,1124,1156,990,317,31,10,5923
POA3251,0,0,0,3,0,0,3,0,0,9,0,0,6,3,0,3,0,0,0,11,16,10,42,57,62,60,32,7,3,283
POA3254,0,0,4,5,3,0,0,0,0,9,0,0,3,4,0,3,0,0,0,11,15,13,46,31,26,34,4,3,0,172
POA3260,8,5,8,12,13,7,3,0,0,59,8,5,10,8,17,12,14,6,0,78,143,162,347,367,462,460,204,63,3,2203
POA3264,0,5,11,7,12,15,5,0,0,50,6,3,6,10,7,6,11,0,0,49,64,86,176,170,206,216,73,7,0,1008
POA3265,4,8,7,3,10,4,0,0,0,34,13,5,8,8,10,10,4,4,0,54,111,101,260,241,319,345,123,30,0,1525
POA3266,5,8,6,3,3,6,3,0,0,30,3,5,4,5,18,18,3,3,0,61,96,122,229,219,344,304,104,27,0,1441
POA3267,0,0,0,3,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,11,7,7,20,15,25,38,7,0,0,120
POA3268,0,10,9,0,7,10,0,0,0,44,9,11,3,12,4,8,6,4,0,61,97,106,196,241,268,284,111,25,5,1327
POA3269,0,0,0,0,0,0,0,0,0,4,0,0,4,6,3,6,5,0,0,20,12,23,70,64,78,66,45,8,0,369
POA3270,0,0,0,0,0,3,0,0,0,3,0,0,3,4,4,4,0,0,0,16,5,6,25,22,34,45,19,4,0,156
POA3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,3,5,10,17,30,11,0,0,89
POA3272,3,0,0,0,3,0,0,0,0,19,3,0,4,3,0,0,0,3,0,16,38,54,126,109,136,128,67,12,5,677
POA3273,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,7,3,17,23,7,8,0,70
POA3274,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,4,10,15,18,18,20,16,8,0,107
POA3275,0,5,3,0,0,5,0,0,0,18,0,0,0,0,4,0,0,0,0,8,22,35,50,43,62,45,12,0,0,273
POA3276,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,5,12,27,39,40,41,55,25,4,0,234
POA3277,0,0,6,11,12,6,3,0,0,48,0,0,9,6,9,0,6,0,0,36,63,64,180,188,207,183,68,20,0,971
POA3278,0,0,4,0,4,5,0,0,0,13,0,0,0,0,0,0,0,0,0,4,12,6,38,33,48,30,9,6,0,183
POA3279,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,22,14,27,19,44,25,12,3,0,168
POA3280,37,69,148,105,101,67,32,8,0,572,30,50,120,98,115,79,20,7,0,525,1185,1372,3499,3154,3260,2866,738,96,3,16169
POA3281,7,7,5,11,14,5,0,0,0,52,0,0,0,9,3,10,8,0,0,38,84,54,141,227,254,185,62,13,0,1022
POA3282,5,0,8,14,18,3,4,0,0,56,0,4,13,6,10,13,4,0,0,63,62,75,230,239,268,261,72,13,0,1213
POA3283,0,0,0,0,5,9,4,0,0,22,0,6,7,4,6,12,0,0,0,41,43,40,101,129,172,175,68,11,0,745
POA3284,0,3,7,15,7,7,4,0,0,42,3,5,3,3,10,7,6,3,0,46,93,63,235,364,354,348,159,28,4,1646
POA3285,0,3,7,0,3,0,0,0,0,19,0,0,0,3,5,4,0,0,0,20,42,35,69,120,150,134,68,7,0,634
POA3286,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,4,0,0,7,17,9,28,41,55,58,36,5,3,248
POA3287,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,17,17,39,37,58,54,13,7,0,241
POA3289,0,0,3,3,0,3,0,0,0,10,3,0,0,0,4,4,3,0,0,11,17,18,41,59,74,85,39,7,0,340
POA3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,9,15,27,8,4,0,76
POA3293,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,8,11,20,30,30,31,22,5,4,169
POA3294,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,10,0,4,0,16,23,23,79,92,95,91,85,15,4,513
POA3300,12,20,26,28,43,44,19,0,0,189,19,9,39,24,31,27,22,7,7,173,306,412,907,841,933,947,324,55,6,4734
POA3301,6,0,7,0,0,0,0,0,0,14,6,0,3,3,4,8,0,3,0,29,45,41,97,96,159,154,99,15,0,708
POA3302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,31,25,44,39,20,3,0,188
POA3303,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,11,11,7,24,23,39,27,11,3,3,153
POA3304,7,0,7,0,8,7,7,0,0,29,6,8,10,8,16,13,3,7,0,67,65,69,191,213,219,275,124,26,0,1181
POA3305,7,28,40,48,51,32,19,0,0,233,20,22,31,38,55,31,26,4,6,231,412,428,958,1037,1333,1210,384,57,9,5831
POA3309,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,9,4,8,15,5,0,4,0,43
POA3310,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,4,10,13,19,39,12,8,0,111
POA3311,0,4,5,5,4,7,0,0,0,24,3,3,3,3,6,7,0,0,0,20,30,46,113,88,127,179,54,10,0,646
POA3312,5,0,3,5,0,0,4,0,0,8,3,0,6,6,3,4,11,4,0,26,23,30,68,79,111,110,76,35,0,530
POA3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,13,42,59,60,60,40,0,3,297
POA3315,4,0,0,0,5,3,0,0,0,14,0,6,3,5,7,6,4,3,3,36,39,53,94,123,135,201,92,22,7,774
POA3317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,15,9,28,24,8,5,0,97
POA3318,0,0,4,5,4,7,0,0,0,10,3,0,0,0,5,3,0,0,0,21,21,16,103,89,104,133,57,15,4,540
POA3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,19,22,30,60,25,9,4,192
POA3321,3,6,5,11,5,0,0,0,0,27,3,0,0,5,4,6,0,0,0,18,50,50,138,237,231,169,48,10,0,939
POA3322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,9,12,20,3,0,0,69
POA3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,10,10,10,6,0,50
POA3324,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,13,9,29,30,49,39,60,29,14,0,267
POA3325,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,6,11,23,33,37,61,24,5,0,193
POA3328,4,4,7,14,3,4,0,0,0,43,4,6,13,14,11,5,3,0,0,55,80,82,205,286,272,181,49,4,0,1158
POA3329,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,11,7,25,37,27,28,24,0,0,166
POA3330,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,6,3,18,17,32,12,9,4,0,99
POA3331,8,10,25,45,34,17,6,0,0,151,4,7,36,30,31,16,3,0,0,136,234,266,770,909,833,436,125,23,0,3597
POA3332,0,0,0,11,4,6,3,0,0,29,0,0,7,4,3,6,0,0,0,27,45,37,103,134,140,108,26,5,0,600
POA3333,0,0,6,4,5,0,0,0,0,11,0,0,5,3,0,8,0,0,0,12,15,22,70,88,91,85,37,10,0,408
POA3334,0,0,0,0,5,0,0,0,0,7,0,0,0,0,8,0,0,0,0,12,21,17,33,40,74,62,19,0,0,264
POA3335,0,10,57,28,12,5,0,0,0,118,4,26,60,53,31,13,0,0,0,193,84,275,1298,830,372,206,46,3,0,3108
POA3336,5,18,98,88,41,11,0,0,0,267,12,36,132,155,46,26,0,0,0,407,321,663,2905,3223,1240,459,75,3,0,8887
POA3337,34,69,162,159,108,84,41,0,0,666,40,103,249,226,170,105,25,4,0,915,938,1606,4006,4154,3345,2213,538,31,3,16839
POA3338,26,58,177,128,97,36,17,0,0,540,26,76,238,236,141,64,12,9,0,804,657,1384,4432,4455,2507,1393,323,24,0,15173
POA3340,21,52,130,121,99,53,27,0,0,508,35,51,115,121,114,75,32,6,3,546,678,1126,2922,2874,2572,1772,476,55,3,12468
POA3341,0,3,6,6,9,9,3,0,0,48,0,5,8,12,15,9,4,0,0,49,53,72,114,176,237,198,41,14,0,891
POA3342,4,5,12,15,25,11,4,0,0,67,0,8,12,13,17,13,4,3,0,68,106,119,323,429,433,381,75,16,4,1884
POA3345,3,0,0,5,3,4,0,0,0,19,7,0,0,6,12,3,5,0,0,33,44,34,100,160,163,164,36,5,0,695
POA3350,43,108,247,202,194,138,53,3,3,992,44,84,199,159,189,139,40,20,8,884,2047,3167,7051,6806,6373,4980,1273,136,13,31839
POA3351,15,24,36,39,40,18,9,0,0,183,14,14,31,46,42,40,9,5,0,203,309,353,713,886,1016,873,236,32,10,4427
POA3352,18,46,78,65,87,59,22,0,0,368,13,32,67,63,71,62,28,8,0,339,682,718,1642,2000,2182,1700,504,85,15,9517
POA3355,9,23,44,26,26,35,6,3,0,173,22,25,59,30,43,48,13,0,0,242,271,498,1178,829,1028,857,233,18,3,4929
POA3356,5,47,79,48,47,42,14,0,0,282,16,33,63,42,49,50,4,4,0,261,371,766,1665,1226,1117,979,233,22,0,6389
POA3357,0,8,8,11,7,18,0,0,0,50,3,0,3,8,8,10,3,0,0,43,138,96,179,388,486,370,82,3,5,1753
POA3358,0,19,20,15,11,6,0,0,0,77,6,12,21,11,0,10,3,0,0,67,88,225,671,423,272,153,36,0,0,1874
POA3360,0,0,0,4,3,3,3,0,0,13,0,0,7,0,3,3,0,0,0,19,13,20,56,40,96,58,22,16,0,328
POA3361,0,0,6,0,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,8,16,14,38,46,57,72,12,0,0,254
POA3363,5,9,11,16,12,12,9,0,0,76,4,3,9,8,13,18,10,0,0,57,79,82,242,268,353,300,100,8,0,1430
POA3364,0,6,10,6,11,4,0,0,0,38,0,3,6,4,17,12,6,3,0,53,53,59,143,213,248,239,110,28,0,1088
POA3370,0,0,5,12,7,3,0,0,0,30,0,5,4,3,9,9,0,4,0,32,26,47,104,142,156,181,56,9,0,720
POA3371,0,0,0,0,3,6,0,0,0,13,0,6,0,0,0,10,0,6,0,23,16,24,38,49,88,133,27,5,0,388
POA3373,0,5,6,3,11,8,0,0,0,39,0,0,6,11,11,10,4,6,0,51,60,66,132,177,251,225,91,18,0,1025
POA3374,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,11,11,5,20,34,58,42,29,6,0,209
POA3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,8,17,23,26,17,0,0,114
POA3377,9,0,34,27,21,28,11,0,0,127,7,17,23,13,17,26,10,7,0,123,244,330,819,657,793,770,264,28,3,3917
POA3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,17,16,16,4,4,0,82
POA3379,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,11,11,17,38,56,63,85,57,10,7,341
POA3380,0,13,11,12,11,10,5,0,0,58,5,4,19,14,13,11,0,4,5,80,141,260,590,431,511,492,161,19,0,2624
POA3381,3,0,5,0,0,7,0,0,0,14,0,0,3,3,5,0,3,0,0,13,33,37,125,112,148,157,53,6,0,665
POA3384,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,15,16,35,31,53,64,22,14,0,252
POA3385,0,0,0,0,4,0,4,0,0,7,0,0,3,0,0,9,5,0,0,17,5,14,23,41,54,65,31,3,0,246
POA3387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,29,26,31,30,21,6,0,154
POA3388,0,0,0,0,0,3,0,0,0,4,0,4,6,0,0,0,0,0,0,5,8,13,44,37,38,63,21,4,3,230
POA3390,0,0,4,0,0,4,0,0,0,17,0,0,3,5,0,4,0,0,0,16,24,24,56,68,85,90,27,6,0,375
POA3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,5,3,10,15,22,11,13,4,83
POA3392,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,4,15,11,29,38,57,65,18,5,0,229
POA3393,3,11,0,7,7,17,3,0,0,41,5,4,3,0,7,12,0,3,0,31,61,81,194,173,206,276,81,16,3,1086
POA3395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,34,23,33,37,11,6,0,151
POA3396,0,0,3,0,0,6,0,0,0,10,0,0,7,0,0,5,0,0,0,10,16,14,45,46,41,82,41,5,0,293
POA3400,24,37,84,56,46,33,13,6,0,299,14,21,58,43,34,30,9,11,0,228,427,652,1661,1317,1253,1203,376,81,6,6972
POA3401,11,5,10,19,26,26,4,0,0,103,6,4,16,16,16,15,8,11,0,86,173,169,311,423,628,580,162,44,7,2506
POA3407,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,10,10,18,28,54,47,22,8,0,205
POA3409,0,0,4,9,6,7,0,0,0,22,0,0,7,4,0,0,4,0,0,16,24,24,74,80,103,154,56,12,0,534
POA3412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16,26,21,21,9,5,0,118
POA3413,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,4,11,12,32,25,11,8,0,113
POA3414,0,5,5,0,0,4,0,0,0,10,0,0,4,0,0,6,5,3,0,23,31,34,122,111,134,174,36,9,0,654
POA3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,5,8,0,0,0,26
POA3418,4,7,11,9,11,8,3,3,0,41,3,0,14,3,8,5,3,0,0,51,62,107,302,193,263,291,84,40,8,1351
POA3419,0,0,0,0,7,4,0,0,0,14,5,0,0,3,0,7,0,0,0,18,21,34,64,77,84,87,41,4,0,413
POA3420,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,4,8,24,29,25,31,14,0,0,150
POA3423,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,6,0,0,4,8,8,19,13,34,59,11,4,0,154
POA3424,0,0,3,0,0,0,0,0,0,7,0,0,8,0,4,4,5,0,0,20,11,10,49,53,52,68,36,9,0,290
POA3427,3,13,53,26,22,15,5,0,0,130,7,16,30,29,21,19,0,0,0,127,90,252,1108,733,442,355,84,8,0,3062
POA3428,0,0,3,4,3,0,0,0,0,12,0,0,0,4,3,5,4,0,0,10,23,33,44,48,83,49,40,6,0,321
POA3429,33,74,187,158,155,107,26,6,0,751,38,71,162,185,169,92,32,3,3,754,1107,1783,4441,4290,4302,3271,782,67,4,20046
POA3430,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,16,24,23,35,35,10,8,0,154
POA3431,8,9,16,19,22,21,6,0,0,92,0,8,21,13,29,9,4,0,0,87,122,188,330,474,578,465,113,19,0,2289
POA3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,3,5,13,31,25,9,3,0,95
POA3433,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,5,0,0,0,9,4,6,15,25,36,21,5,0,0,109
POA3434,9,16,37,32,34,28,6,0,0,158,3,8,30,22,30,34,4,5,0,143,185,225,675,642,717,507,132,33,7,3123
POA3435,6,5,27,17,12,15,3,0,0,83,5,9,11,7,12,16,3,0,0,58,86,120,278,307,351,302,101,23,0,1578
POA3437,10,28,23,65,47,44,6,0,0,218,17,14,32,50,51,36,8,3,5,203,424,398,797,1512,1479,1030,227,32,3,5911
POA3438,3,0,3,9,20,9,0,0,0,41,0,0,3,8,5,4,3,0,0,32,104,88,158,291,347,187,44,6,0,1229
POA3440,0,0,4,11,11,4,3,0,0,24,6,0,0,9,15,6,5,0,0,41,61,64,86,228,286,200,81,6,0,1014
POA3441,0,0,3,5,0,8,3,0,0,16,5,0,4,15,5,7,0,0,0,30,32,21,69,142,189,173,75,8,0,708
POA3442,6,7,13,22,41,24,8,0,0,115,3,7,17,29,40,22,15,4,0,142,221,212,435,885,1168,798,284,47,7,4053
POA3444,8,15,22,39,41,32,3,4,0,171,11,8,25,30,38,31,14,12,0,167,271,293,672,973,1221,913,344,70,10,4763
POA3446,0,0,6,0,3,0,3,0,0,13,7,3,3,0,3,5,0,0,0,20,22,21,75,108,143,122,42,8,0,535
POA3447,0,0,3,3,0,0,0,0,0,11,0,0,5,3,0,4,0,0,0,11,15,18,31,39,72,56,22,0,0,253
POA3448,0,3,0,3,8,3,0,0,0,19,0,0,4,3,0,0,3,0,0,17,16,21,65,84,113,112,48,5,0,468
POA3450,4,7,11,16,23,18,10,4,0,85,11,5,11,28,17,27,11,0,0,110,144,109,365,615,672,642,253,29,4,2836
POA3451,3,3,14,25,24,21,6,0,0,112,11,6,12,22,18,22,12,0,0,94,134,143,399,546,689,589,161,16,0,2682
POA3453,3,6,9,7,0,5,9,0,0,31,0,0,5,6,3,4,0,3,0,27,50,53,124,173,210,211,75,15,0,903
POA3458,0,3,4,4,5,9,0,0,0,26,0,0,4,11,6,10,3,0,0,37,30,47,127,202,267,284,91,23,3,1059
POA3460,0,0,7,8,5,9,4,0,0,36,4,6,9,12,9,12,6,0,0,54,45,47,194,198,275,326,87,9,0,1178
POA3461,4,0,11,13,20,10,4,0,0,58,9,8,11,7,27,21,7,4,0,84,92,79,227,389,605,513,181,37,3,2119
POA3462,0,0,9,4,5,3,4,0,0,15,0,0,0,3,4,5,0,0,0,20,26,23,63,88,132,128,58,6,0,522
POA3463,0,0,6,8,8,7,0,0,0,34,0,6,4,8,9,12,9,0,0,46,41,48,133,141,244,320,111,18,0,1060
POA3464,0,5,6,0,0,3,0,0,0,19,0,0,3,4,6,4,0,0,0,18,31,42,88,87,111,114,44,3,0,512
POA3465,9,15,30,24,22,24,13,5,0,134,10,11,32,21,37,29,12,5,0,157,242,280,638,576,774,740,249,39,5,3536
POA3467,0,0,0,4,0,0,5,0,0,17,5,8,6,0,6,4,3,0,0,25,31,28,91,75,112,80,49,3,0,469
POA3468,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,14,4,8,7,28,24,36,16,5,0,115
POA3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,8,8,24,25,12,0,0,91
POA3472,0,0,3,3,4,4,0,0,0,14,0,5,8,3,12,9,5,0,0,37,21,25,53,59,106,123,36,5,0,437
POA3475,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,4,12,17,21,36,24,0,0,114
POA3477,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,5,15,15,36,58,77,113,44,19,0,378
POA3478,0,4,8,4,9,6,5,0,0,32,0,0,8,0,5,5,4,0,0,33,66,81,189,129,231,220,77,28,4,1026
POA3480,3,0,3,3,0,12,6,0,0,27,3,0,4,3,9,7,4,3,0,31,55,51,112,119,157,200,83,11,0,781
POA3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,15,26,0,0,0,60
POA3483,5,0,4,5,0,4,5,0,0,19,4,3,0,3,4,0,9,0,0,18,16,28,84,66,84,89,53,3,0,436
POA3485,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,7,6,9,23,39,16,0,0,108
POA3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,9,6,10,4,0,0,41
POA3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,13,16,0,0,0,40
POA3489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,3,3,0,0,23
POA3490,5,0,0,3,0,0,0,0,0,21,3,0,4,6,8,3,0,5,0,27,26,38,105,79,93,125,61,15,0,550
POA3491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,10,15,13,5,0,0,57
POA3494,0,0,0,0,0,3,0,0,0,8,0,0,6,0,5,0,4,0,0,18,12,18,68,67,50,80,16,3,0,314
POA3496,3,19,31,26,23,30,4,0,0,131,8,21,30,22,36,30,7,0,0,149,167,244,549,571,602,557,139,15,0,2847
POA3498,8,11,36,26,23,27,6,0,0,133,17,18,32,25,36,28,7,0,0,170,222,242,575,538,669,510,157,18,0,2928
POA3500,18,64,154,97,65,67,33,4,0,498,40,71,181,112,147,98,23,10,0,688,849,1409,3554,2905,2898,2463,666,58,12,14809
POA3501,4,0,8,15,6,8,0,0,0,38,0,8,7,10,17,7,3,0,0,51,78,72,137,256,273,214,62,3,0,1104
POA3505,9,8,28,19,15,20,6,0,0,99,3,5,27,17,27,20,5,7,3,112,139,146,404,385,488,443,140,17,4,2170
POA3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,5,3,0,0,0,17
POA3507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,10,3,12,8,4,0,51
POA3509,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,11,14,27,21,17,3,0,104
POA3512,0,0,0,0,5,0,0,0,0,5,0,0,0,0,3,3,0,0,0,11,5,3,23,41,31,48,22,6,0,178
POA3515,3,4,15,14,9,8,0,0,0,53,11,5,6,18,6,0,0,0,0,54,92,86,368,324,206,176,40,9,3,1299
POA3516,0,3,6,0,4,3,0,0,0,13,0,0,3,3,3,0,4,0,0,16,22,27,59,56,73,89,30,10,0,371
