POA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA3039,4,11,12,68,26,135,7,61,0,330,43,187,90,153,129,140,13,74,13,845,356,1198,243,248,321,142,50,102,45,2711,474,883,155,110,248,86,39,56,24,2078,442,593,113,125,253,96,41,53,32,1750,280,417,107,78,236,82,29,66,24,1321,58,135,31,13,65,27,11,22,3,358,5,9,0,0,3,0,4,0,0,29,0,0,0,0,0,0,0,0,0,5,1666,3438,760,800,1288,708,195,431,145,9434
POA3040,10,18,49,137,45,279,26,130,12,716,76,333,209,256,228,283,65,131,21,1597,382,1296,318,285,413,185,87,187,61,3203,693,1195,250,182,415,122,62,90,60,3064,858,1000,270,223,538,188,59,116,57,3314,498,725,180,173,443,139,79,95,35,2373,99,225,63,37,118,37,18,28,14,636,13,16,12,7,8,12,0,3,4,73,0,0,0,0,0,0,0,0,3,8,2625,4811,1344,1298,2211,1245,394,790,266,14985
POA3041,7,7,39,60,23,171,6,79,0,397,29,116,105,112,102,116,28,57,16,676,141,429,143,112,187,81,34,67,17,1211,356,505,132,108,227,68,36,51,39,1525,410,506,156,104,300,89,49,54,37,1703,209,314,107,74,239,68,41,59,15,1132,55,85,22,28,69,20,9,15,5,330,3,14,5,0,3,6,0,3,4,41,0,0,0,0,0,0,0,0,0,0,1222,1983,708,602,1148,619,206,381,135,7002
POA3042,4,3,40,59,11,168,8,83,8,399,22,104,122,91,86,126,36,70,11,665,231,639,312,181,228,103,69,95,40,1899,423,596,243,172,306,114,75,86,47,2070,350,413,241,179,368,113,94,104,23,1882,184,234,124,125,286,94,90,100,22,1266,35,53,42,17,63,33,38,38,0,329,0,5,3,0,3,7,0,8,0,24,0,0,0,0,0,0,0,0,0,0,1258,2047,1125,840,1362,750,416,584,160,8531
POA3043,7,3,36,40,18,121,17,71,5,313,32,95,108,83,95,99,54,74,13,657,210,508,366,185,296,112,123,126,38,1969,295,400,294,174,307,108,130,122,42,1880,237,243,214,188,274,123,146,158,50,1637,134,158,146,143,237,83,160,123,24,1206,31,46,30,38,66,33,45,35,17,339,3,7,3,5,0,0,3,9,0,22,0,0,0,0,0,0,0,0,0,0,945,1459,1197,856,1302,680,671,727,190,8026
POA3044,9,17,50,109,31,230,16,132,4,592,51,186,197,222,177,221,55,121,19,1253,467,1536,499,387,496,238,118,203,87,4025,809,1519,358,243,521,165,110,120,85,3929,621,918,364,241,522,189,104,125,56,3126,316,490,252,170,400,136,113,133,32,2041,47,84,38,54,72,21,38,37,8,395,6,5,6,0,3,3,5,7,0,30,0,0,0,0,0,0,0,0,0,4,2319,4755,1757,1422,2209,1196,556,883,292,15393
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA3046,4,13,70,68,15,204,11,121,7,526,65,206,347,317,169,254,113,365,39,1877,553,1814,828,670,634,313,313,563,110,5802,686,1421,520,398,589,195,215,255,77,4353,387,615,336,274,486,142,209,213,63,2723,195,301,274,235,362,122,165,188,27,1867,30,48,46,44,63,29,36,46,4,350,0,7,4,4,3,3,5,4,6,38,0,0,0,0,0,0,0,0,0,0,1918,4422,2428,2009,2322,1254,1064,1767,346,17533
POA3047,11,0,41,16,3,75,3,51,12,224,27,86,155,129,82,124,84,146,44,875,130,391,397,285,199,139,277,321,80,2212,100,240,244,206,135,65,191,166,47,1398,77,89,151,157,96,30,170,180,28,974,35,63,86,94,73,32,156,146,22,698,5,18,23,12,12,6,24,21,5,131,0,5,0,0,0,0,4,4,0,11,0,0,0,0,0,0,0,0,0,0,381,894,1096,906,600,474,911,1035,232,6531
POA3048,4,10,31,21,14,77,8,52,6,220,29,80,122,129,85,106,54,92,31,733,84,318,222,195,169,90,157,150,62,1461,92,172,187,130,122,46,128,115,34,1029,68,94,149,148,113,64,164,155,25,975,62,75,93,106,75,49,161,135,24,764,7,9,12,9,16,13,23,25,6,122,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,337,764,816,743,586,448,701,733,183,5313
